sigla;name;tot_objects;tot_area;avrg_density;densities_stdev;slices_count;ideal_count
FP;Frontal pole, cerebral cortex;220.0;308774.9632;0.0007124930004687634;9.843442414001964e-05;0;0
M1;Primary motor area;32928.0;55564318.233600006;0.0005926105286051775;0.0001854591496892373;0;0
M2;Secondary motor area;24397.0;43290945.5616;0.0005635589540377391;0.00017960388664647325;0;0
S1;primary somatosensory area;167328.0;134712821.19680002;0.0012421089434060098;0.0003469746170554448;0;0
SS;Supplemental somatosensory area;49646.0;45037754.220800005;0.0011023196173727452;0.00043185240379022563;0;0
GA;Gustatory areas;6408.0;10196593.721599998;0.0006284451626650168;0.0003522166763561248;0;0
VA;Visceral area;7283.0;10303402.067200001;0.0007068539063601921;0.0003465078316882225;0;0
AuA;auditory area;20176.0;31661139.558400005;0.0006372480675493284;0.0003117510346588446;0;0
ViA;visual area;45845.0;34230425.2928;0.0013393055916732356;0.00033710689852824155;0;0
dACC;Anterior cingulate area, dorsal part;8052.0;15954661.958400002;0.0005046800753907974;0.00016728677582403438;0;0
Vacc;Anterior cingulate area, ventral part;6927.0;14750958.604799999;0.0004695965994878419;0.0001722972236535309;0;0
PL;Prelimbic area;2292.0;5157366.1568;0.00044441289028470326;0.0001410498594251196;0;0
IL;Infralimbic area;777.0;1758524.5568;0.0004418476824764464;0.0003038333458393122;0;0
OA;orbital area;3928.0;4894012.851199999;0.0008026133398969037;0.00012550410155987073;0;0
AU;agranular insular area;16235.0;31559097.644800004;0.0005144316920187686;0.00018399504867739274;0;0
RS;retrosplenial area;32942.0;43260163.936000004;0.0007614857874495133;0.0003372025354029126;0;0
AA;Anterior area;7987.0;8055208.1280000005;0.0009915324189125657;0.000325903122823777;0;0
TeAA;Temporal association areas;3759.0;9690614.7008;0.00038790108946233095;0.00012525144653027244;0;0
Prh;Perirhinal area;1233.0;2768766.5279999995;0.00044532465541276587;0.00043251665127916285;0;0
Ech;Ectorhinal area;3699.0;7177559.699200001;0.0005153562150673974;0.00016637387721187236;0;0
aOn;Anterior olfactory nucleus;5898.0;6295132.448000001;0.0009369143618056564;2.9145177945392497e-05;3;8
TT;taenia tecta;2042.0;4304297.9584;0.0004744095366388286;0.00014168263194831;0;0
DPA;Dorsal peduncular area;867.0;1734800.8127999997;0.0004997691917152416;0.00010912592233114966;5;9
PC;Piriform area;41508.0;57088927.5264;0.0007270761914524526;0.0002495469295226855;38;54
CCA;central amygdalar area;7454.0;16082173.1136;0.0004634945754747829;0.00010859934356144612;0;0
PAA;Piriform-amygdalar area;2100.0;6353271.302399999;0.00033053837937106637;0.0002086749957302683;21;24
CA1;Field CA1;13604.0;45918808.46079999;0.0002962620428536048;0.00010400294836616579;18;21
CA2;Field CA2;543.0;3079441.0944;0.0001763306987711023;0.00018378915645820057;18;21
CA3;Field CA3;8104.0;35784938.816;0.00022646398926848456;0.00018111136189582694;19;24
DG;Dentate gyrus;3047.0;23586897.4528;0.00012918189033116312;0.00011902437370345649;0;0
FC;Fasciola cinerea;116.0;316719.5327999999;0.00036625464484140596;0.0001349397889731761;9;11
IG;Induseum griseum;31.0;813654.3360000001;3.8099717076908684e-05;3.657937962405474e-05;17;21
lpEC;Entorhinal area, lateral part;3642.0;9280015.4304;0.00039245624399172115;0.00013545100173531767;0;0
Sub;Subiculum;599.0;3380041.4912;0.00017721675948638722;0.0001812792668514706;10;9
proSub;Prosubiculum;306.0;1421861.1264;0.0002152108910767954;0.0002023369018870672;9;7
Clst;Claustrum;1341.0;2791171.4688000004;0.00048044343208213287;0.0001692148471239666;22;29
dEPn;Endopiriform nucleus, dorsal part;3791.0;8797519.315200005;0.00043091692830387544;0.00012952875561451143;37;52
vEPn;Endopiriform nucleus, ventral part;2060.0;4795822.028799999;0.0004295405433373534;0.00018590153807032604;25;31
LAn;Lateral amygdalar nucleus;911.0;4132707.9552000007;0.0002204365781167115;0.0002042407955731279;16;17
BLA;basolateral amygdalar nucleus;4139.0;9470625.472;0.00043703554873297394;0.00016631917918441677;0;0
BMe;basomedial amygdalar nucleus;3302.0;8383672.211200001;0.0003938608186027071;0.00010459765023768729;0;0
PAn;Posterior amygdalar nucleus;1986.0;5714123.36;0.0003475598748711648;0.00016154162243050998;12;12
DLS;DLS;28813.0;112721115.72480002;0.00025561315477345644;8.50575033157284e-05;33;39
DMS;DMS;10697.0;41571947.9296;0.00025731293655314953;;33;39
NACC SHELL;NACC_SHELL;6458.0;17266851.7824;0.00037401143424318963;9.568145213830398e-05;12;16
NACC CORE;NACC_CORE;2735.0;7021474.732799999;0.0003895193109823164;;12;16
FStr;Fundus of striatum;930.0;2452416.384;0.00037921782209068784;0.00012403333662656545;10;9
OT;Olfactory tubercle;5180.0;16325580.1984;0.0003172934705565729;0.00013315518611225113;14;22
LSN;lateral septal nucleus;9286.0;18256507.878399998;0.000508640538587702;0.0002685328737790338;0;0
SFn;Septofimbrial nucleus;734.0;2456402.9952;0.00029881090416934535;0.000126491790076897;8;11
aAA;Anterior amygdalar area;1955.0;3767714.6495999997;0.0005188821823880832;0.0001277893471015355;10;9
CA;central amygdalar nucleus;2636.0;6229769.216;0.0004231296390931988;0.0001388400806398439;0;0
IAn;Intercalated amygdalar nucleus;511.0;927688.608;0.000550831384144797;0.0003575750703656655;18;20
MAn;Medial amygdalar nucleus;3397.0;9420787.411200002;0.00036058557015748396;0.0003556067354471454;17;18
Gpe;Globus pallidus, external segment;1505.0;10051010.3936;0.00014973618980220252;8.683647095169445e-05;14;17
Gpi;Globus pallidus, internal segment;325.0;2061221.2543999997;0.00015767351481857494;4.408170455015368e-05;6;8
SubInn;Substantia innominata;4097.0;15998803.5328;0.00025608164958089034;0.00022168831296493654;26;35
MGCn;Magnocellular nucleus;1053.0;2383765.8239999996;0.0004417380219979193;0.0001324470214013652;12;11
MSn;Medial septal nucleus;778.0;2454251.7120000003;0.00031700089937637167;4.8774555056135424e-05;8;10
DBn;Diagonal band nucleus;1520.0;4445845.888;0.00034189219291264826;0.0001713730283219836;18;18
TnS;Triangular nucleus of septum;410.0;2022958.9248000002;0.0002026734181172436;0.0001227193357999087;7;7
BNST;Bed nuclei of the stria terminalis;3012.0;7822929.945599999;0.0003850219829328904;0.00030895803989884374;13;12
VALCT;Ventral anterior-lateral complex of the thalamus;395.0;4035974.5535999998;9.78697944583592e-05;0.00018030193470584748;9;11
VMT;Ventral medial nucleus of the thalamus;1212.0;4353225.3248;0.0002784142582961021;9.580061483895122e-05;9;15
VPLT;Ventral posterolateral nucleus of the thalamus;739.0;4598060.403199999;0.00016071994171405326;0.00010473375806551375;13;15
parVPT;Ventral posterolateral nucleus of the thalamus, parvicellular part;106.0;805527.008;0.00013159087025918812;6.394539597839883e-05;7;5
VPMT;Ventral posteromedial nucleus of the thalamus;2948.0;8540381.344;0.0003451836494480544;0.0001384087469089999;12;14
PTTn;Posterior triangular thalamic nucleus;521.0;1853026.1376;0.000281161711337104;0.0001425371471952805;9;7
MGC;medial geniculate complex;288.0;2981862.048;9.65839449860425e-05;6.51290831358995e-05;0;0
dLGC;dorsal part of the lateral geniculate complex;460.0;5248327.1808;8.764697476994611e-05;4.6948036139372445e-05;0;0
