sigla;name;tot_objects;tot_area;avrg_density;densities_stdev;slices_count;ideal_count
FP;Frontal pole, cerebral cortex;903.0;360805.81515608274;0.0025027312811168713;0.0006025931959805957;0;0
M1;Primary motor area;92897.0;42873420.796198115;0.002166773685766586;0.0005197614256047995;0;0
M2;Secondary motor area;85222.0;39776357.630278565;0.0021425290066058563;0.0005956081026888565;0;0
S1;primary somatosensory area;233857.0;98275628.47747189;0.002379603199928739;0.0006212534527744242;0;0
SS;Supplemental somatosensory area;86614.0;39242330.50642943;0.00220715739565491;0.0007932495464747161;0;0
GA;Gustatory areas;15665.0;8621321.710449118;0.0018170067799481234;0.000655741887899881;0;0
VA;Visceral area;16317.0;9690209.402996622;0.0016838645401155206;0.0007865968476950587;0;0
AuA;auditory area;41049.0;19139935.243165456;0.002144678102537358;0.0006516254233442215;0;0
ViA;visual area;59887.0;23574141.124898575;0.0025403682654952992;0.0005310396965473744;0;0
dACC;Anterior cingulate area, dorsal part;24773.0;12090518.932014134;0.0020489608543107518;0.000776468763275571;0;0
Vacc;Anterior cingulate area, ventral part;17253.0;9912026.208060473;0.001740612831105091;0.0005298524607426499;0;0
PL;Prelimbic area;15241.0;7808874.15877676;0.0019517538239324712;0.0008421924092335024;0;0
IL;Infralimbic area;7750.0;4732899.71055809;0.0016374739533802929;0.000734259075111368;0;0
OA;orbital area;17813.0;7290974.531479265;0.0024431576222206227;0.0007637090975729046;0;0
AU;agranular insular area;55647.0;33192496.14201451;0.0016764933785610341;0.0005557415277211108;0;0
RS;retrosplenial area;58694.0;29230847.107176974;0.002007947282020062;0.0005736570829712367;0;0
AA;Anterior area;14661.0;5943551.245400712;0.002466707090537008;0.0008438616771029039;0;0
TeAA;Temporal association areas;16350.0;7800866.687692391;0.002095920960397359;0.0007785076662563386;0;0
Prh;Perirhinal area;3704.0;1980425.8274181446;0.0018703048348086113;0.0006030590205620647;0;0
Ech;Ectorhinal area;10807.0;5044430.070451627;0.002142362932792614;0.000734648050916051;0;0
aOn;Anterior olfactory nucleus;18403.0;8611893.065053526;0.002136928531390864;0.0005607838285658035;5;8
TT;taenia tecta;8010.0;5036462.786673717;0.0015904019029375428;0.0005323994083393037;0;0
DPA;Dorsal peduncular area;4123.0;2359129.326369562;0.0017476786685301558;0.0006309961776230576;6;9
PC;Piriform area;90102.0;51464622.90538246;0.0017507560516988967;0.00048549271830684355;32;54
CCA;central amygdalar area;17357.0;10313717.462625843;0.0016829043516944431;0.00031282034257336795;0;0
PAA;Piriform-amygdalar area;8620.0;5661741.440480014;0.0015224997627707243;0.00047761514391451033;16;24
CA1;Field CA1;49549.0;31574968.307044573;0.0015692493977561748;0.00048306261585249056;12;21
CA2;Field CA2;2327.0;1644043.7753382032;0.001415412432993947;0.0006049898681368709;11;21
CA3;Field CA3;31824.0;22797604.8201303;0.0013959361192145672;0.00041067466845619635;14;24
DG;Dentate gyrus;18430.0;18198816.851275325;0.001012703196620635;0.00038385690261030135;0;0
FC;Fasciola cinerea;324.0;272812.2731542267;0.0011876298535030928;0.0006472730980168076;6;11
IG;Induseum griseum;495.0;719840.5941120061;0.0006876522441897445;0.0003503682030849536;14;21
lpEC;Entorhinal area, lateral part;12141.0;6006047.956567915;0.002021462380553123;0.0007168324535175947;0;0
Sub;Subiculum;3526.0;2128301.5079805115;0.0016567201530321364;0.00038994342245217536;6;9
proSub;Prosubiculum;1816.0;1051156.065575525;0.0017276216724352066;0.0007495574791725303;5;7
Clst;Claustrum;5517.0;2685599.3309535906;0.002054290056008112;0.0004519178873601006;20;29
dEPn;Endopiriform nucleus, dorsal part;15479.0;8251776.977957012;0.0018758383850350153;0.00047877237571536103;31;52
vEPn;Endopiriform nucleus, ventral part;6496.0;4056022.3698985586;0.0016015690761987749;0.0005119672269539;18;31
LAn;Lateral amygdalar nucleus;6311.0;3513466.6869858303;0.0017962316316749104;0.0003925075561467524;10;17
BLA;basolateral amygdalar nucleus;16198.0;8063603.386047789;0.0020087793539085657;0.0005035789081751551;0;0
BMe;basomedial amygdalar nucleus;13087.0;6426532.128692966;0.002036401551868013;0.0004843627008946609;0;0
PAn;Posterior amygdalar nucleus;5309.0;2503116.9141709986;0.0021209556652923164;0.0003810971033592038;6;12
DLS;DLS;140203.0;90087982.12397759;0.0015562897147263766;0.00038389318036616304;24;39
DMS;DMS;86042.0;45598677.59019153;0.0018869406865980693;;23;39
NACC SHELL;NACC_SHELL;33779.0;16488986.415566133;0.0020485795274906367;0.000601908486754745;13;16
NACC CORE;NACC_CORE;7630.0;3424732.3135165293;0.0022279113523373407;;12;16
FStr;Fundus of striatum;3447.0;2491383.8935059714;0.0013835683890326708;0.00034553806876731953;9;9
OT;Olfactory tubercle;32020.0;20742765.854636684;0.0015436707054591028;0.00048527540702479567;16;22
LSN;lateral septal nucleus;25269.0;14982134.515321488;0.0016866088055849883;0.0005482017754814741;0;0
SFn;Septofimbrial nucleus;2211.0;2435609.1856729267;0.0009077811058546858;0.0004928505585430953;6;11
aAA;Anterior amygdalar area;6131.0;3605138.2987488112;0.0017006282400117098;0.0001909609800578003;6;9
CA;central amygdalar nucleus;9084.0;5639807.845983874;0.0016106931739649157;0.0004515392447173051;0;0
IAn;Intercalated amygdalar nucleus;1710.0;842381.6290737363;0.0020299587989356764;0.0005424865903461408;14;20
MAn;Medial amygdalar nucleus;17514.0;10502471.838749602;0.0016676074231764064;0.0004125832561093656;11;18
Gpe;Globus pallidus, external segment;10135.0;8917197.240908986;0.0011365678840773153;0.0005867026738766696;11;17
Gpi;Globus pallidus, internal segment;1166.0;1533397.7437021653;0.0007604028405473344;0.00017987045535888992;5;8
SubInn;Substantia innominata;35323.0;17544250.693687987;0.0020133661229948334;0.0007394421120583091;24;35
MGCn;Magnocellular nucleus;4341.0;2022189.8119004196;0.0021466827567093723;0.0007572337363723381;8;11
MSn;Medial septal nucleus;6798.0;2693697.6798162386;0.0025236685062830634;0.0011796231463175732;8;10
DBn;Diagonal band nucleus;9820.0;4632256.980544441;0.002119916930611615;0.001095205270107978;14;18
TnS;Triangular nucleus of septum;368.0;1391926.1439160102;0.00026438184353997263;0.00019667365940825876;4;7
BNST;Bed nuclei of the stria terminalis;11026.0;7977914.482977426;0.0013820654537631749;0.0006393040621787078;10;12
VALCT;Ventral anterior-lateral complex of the thalamus;4159.0;2451382.0288387574;0.0016965939829338462;0.00044954041307751274;7;11
VMT;Ventral medial nucleus of the thalamus;8311.0;4452779.681535757;0.001866474560702619;0.0004808891768450875;9;15
VPLT;Ventral posterolateral nucleus of the thalamus;5083.0;3442741.5868139598;0.0014764395967064132;0.0005289049462622527;8;15
parVPT;Ventral posterolateral nucleus of the thalamus, parvicellular part;714.0;353381.6387841865;0.002020478490213937;0.0006436894207550077;3;5
VPMT;Ventral posteromedial nucleus of the thalamus;17438.0;8013255.864332007;0.002176144166021042;0.0005454992112849101;7;14
PTTn;Posterior triangular thalamic nucleus;1202.0;740539.3372720331;0.0016231413234952187;0.0006396910033282655;3;7
MGC;medial geniculate complex;3441.0;2142712.5869060857;0.0016059083336830268;0.0005594118267775779;0;0
dLGC;dorsal part of the lateral geniculate complex;3375.0;2757332.8709406257;0.0012240089093228216;0.0006164699913262028;0;0
LPT;Lateral posterior nucleus of the thalamus;7560.0;5183045.183187522;0.001458601986438921;0.0004774845201892573;10;18
PCT;Posterior complex of the thalamus;13654.0;5859555.630627866;0.0023302108317959495;0.0006250161852511615;7;13
PlnT;Posterior limiting nucleus of the thalamus;1261.0;642195.5506987724;0.0019635763571203614;0.0004374227111972119;6;9
SGn;Suprageniculate nucleus;1019.0;541999.702873178;0.0018800748314034316;0.0005194212448087557;4;6
EnT;Ethmoid nucleus of the thalamus;1828.0;759290.7906121536;0.002407509774385956;0.0008292263901273498;7;13
AVT;Anteroventral nucleus of thalamus;3293.0;2433230.920322677;0.0013533446301772735;0.0006482134652846679;5;8
AMn;anteromedial nucleus;3968.0;1958431.6966842962;0.0020261109982635515;0.00041107562945426785;0;0
