sigla;name;tot_objects;tot_area;avrg_density;densities_stdev;slices_count;ideal_count
FP;Frontal pole, cerebral cortex;826.0;472981.0194786552;0.0017463702896798293;3.4543576092524004e-05;0;0
M1;Primary motor area;105184.0;58394995.127131976;0.0018012502573380388;0.0004302955198448184;0;0
M2;Secondary motor area;85477.0;50192453.456772774;0.0017029850926417718;0.0003094961290795002;0;0
S1;primary somatosensory area;223528.0;97199539.11812836;0.0022996816860246876;0.00044849061254110774;0;0
SS;Supplemental somatosensory area;60177.0;29400082.888933115;0.0020468309639579975;0.00045443735413851346;0;0
GA;Gustatory areas;15203.0;9757980.925689379;0.0015580067347719215;0.0003686619002383972;0;0
VA;Visceral area;10151.0;5890063.274227035;0.0017234110275890263;0.000459965430970296;0;0
AuA;auditory area;29241.0;19587876.712738216;0.0014928111111187589;0.0005424845246897411;0;0
ViA;visual area;105754.0;39719368.34264146;0.0026625297534368353;0.00042430630130830887;0;0
dACC;Anterior cingulate area, dorsal part;24808.0;15967833.152743166;0.0015536234480091717;0.0003627055104972601;0;0
Vacc;Anterior cingulate area, ventral part;20853.0;13846271.04765838;0.0015060372520677013;0.00040896759604103195;0;0
PL;Prelimbic area;12518.0;7648042.9262371;0.0016367585957259997;0.0003314731053889781;0;0
IL;Infralimbic area;5196.0;3086898.7368416497;0.0016832427763135082;0.0005198674849743154;0;0
OA;orbital area;17066.0;7084713.275844659;0.0024088483662686186;0.00024578696157984153;0;0
AU;agranular insular area;45522.0;31603031.992650416;0.0014404314121058566;0.00034436267440024845;0;0
RS;retrosplenial area;51763.0;36004350.52813701;0.0014376873694624146;0.0004661270398106731;0;0
AA;Anterior area;9769.0;4084313.7888991367;0.0023918338562897447;0.00043953700279223426;0;0
TeAA;Temporal association areas;11588.0;10511320.81699132;0.0011024304368360874;0.0003034953027168736;0;0
Prh;Perirhinal area;2092.0;2216684.9404052286;0.000943751618404357;0.00029876858330090056;0;0
Ech;Ectorhinal area;6191.0;5131760.055020284;0.001206408704542506;0.00040047826922104147;0;0
aOn;Anterior olfactory nucleus;17015.0;8738729.686249347;0.0019470793365737827;0.00017779540143254813;5;8
TT;taenia tecta;6045.0;4832020.970830922;0.0012510293387572968;0.00033244486084044937;0;0
DPA;Dorsal peduncular area;4090.0;2568421.9714872;0.0015924174630976844;0.00023140205446224097;6;9
PC;Piriform area;60589.0;44930627.603006355;0.0013485010833889604;0.00037626406025023694;33;54
CCA;central amygdalar area;10128.0;12566752.281304441;0.0008059361538515744;0.00020789461054920817;0;0
PAA;Piriform-amygdalar area;2339.0;3509846.9186624577;0.0006664108305017908;0.0003706609351578014;12;24
CA1;Field CA1;27710.0;41265374.29989129;0.0006715072980707944;9.866004926835327e-05;12;21
CA2;Field CA2;866.0;2100327.9159603557;0.00041231656896015186;0.00027139874570551834;14;21
CA3;Field CA3;16502.0;31824293.717530306;0.0005185346812868915;0.00021857826522193145;14;24
DG;Dentate gyrus;7410.0;25527889.741108935;0.00029027076170997707;0.00015245559582058307;0;0
FC;Fasciola cinerea;83.0;145312.04603437363;0.000571184580116409;0.0002512728908453198;4;11
IG;Induseum griseum;114.0;723303.7568020781;0.0001576101311902829;7.118040633226577e-05;14;21
lpEC;Entorhinal area, lateral part;10928.0;10972493.245229855;0.0009959450195834755;0.00018885598196500077;0;0
Sub;Subiculum;2945.0;4445322.976394288;0.0006624940450083478;0.000249761130662383;10;9
proSub;Prosubiculum;2631.0;3000545.6716005625;0.0008768405110116394;0.00019124666366848617;9;7
Clst;Claustrum;6460.0;3070689.169018935;0.002103762264568096;0.0002756161290087969;20;29
dEPn;Endopiriform nucleus, dorsal part;11218.0;7252559.726622095;0.0015467642353667072;0.000390125671185123;31;52
vEPn;Endopiriform nucleus, ventral part;2756.0;2820745.4516185527;0.0009770466875763633;0.00025587191873783366;18;31
LAn;Lateral amygdalar nucleus;1585.0;2700527.709492494;0.0005869223242659735;0.00029592233897569723;10;17
BLA;basolateral amygdalar nucleus;6371.0;6189138.722470934;0.0010293839394597477;0.00019390252515585267;0;0
BMe;basomedial amygdalar nucleus;4911.0;5098376.674040818;0.0009632477774749608;0.0003212038848986826;0;0
PAn;Posterior amygdalar nucleus;4003.0;4419561.187152902;0.0009057460300891881;0.00021965566041789566;10;12
DLS;DLS;122975.0;101094975.0183213;0.0012164303911021631;0.00040360095998972053;25;39
DMS;DMS;80602.0;42677427.38700929;0.00188863305346598;;25;39
NACC SHELL;NACC_SHELL;31465.0;19716108.792929824;0.0015959031434886035;0.0006102228808255633;14;16
NACC CORE;NACC_CORE;16730.0;9006876.561447382;0.0018574696661893112;;14;16
FStr;Fundus of striatum;2282.0;3098263.471871083;0.0007365416210461499;0.00010626696211337195;8;9
OT;Olfactory tubercle;20339.0;25356997.891006935;0.0008021059940701179;0.00039088780592428637;19;22
LSN;lateral septal nucleus;28150.0;22355328.84546955;0.0012592076007732168;0.0005468331709818699;0;0
SFn;Septofimbrial nucleus;2554.0;4512365.824692156;0.0005660002090309776;0.0002572704207980576;7;11
aAA;Anterior amygdalar area;1014.0;1227371.4916377324;0.0008261557376137016;0.0002613559882927024;5;9
CA;central amygdalar nucleus;3748.0;3731194.0229613297;0.001004504182021961;0.000236342467358978;0;0
IAn;Intercalated amygdalar nucleus;709.0;570091.9675223555;0.0012436589890598615;0.0006537111789819285;11;20
MAn;Medial amygdalar nucleus;4360.0;5514867.210556659;0.0007905902052644185;0.00047406854209871625;7;18
Gpe;Globus pallidus, external segment;1404.0;3577500.3250308665;0.00039245279453269826;6.544104328026227e-05;6;17
Gpi;Globus pallidus, internal segment;581.0;1088900.730341442;0.0005335656261501618;0.00016152525774757183;4;8
SubInn;Substantia innominata;14159.0;19489486.249546777;0.0007264942656109914;0.0005566009137708742;22;35
MGCn;Magnocellular nucleus;1514.0;2599033.4223635914;0.0005825242518902087;0.000214495859233779;10;11
MSn;Medial septal nucleus;2166.0;2377720.9711939725;0.0009109563427504881;0.00016427851344174777;7;10
DBn;Diagonal band nucleus;4968.0;5322506.331313298;0.0009333948502366881;0.00038878515013861383;15;18
TnS;Triangular nucleus of septum;495.0;2299203.081628762;0.00021529198701723232;0.0001411120556611052;4;7
BNST;Bed nuclei of the stria terminalis;9774.0;10269558.562529575;0.0009517449012523563;0.00032088803093975886;10;12
VALCT;Ventral anterior-lateral complex of the thalamus;1552.0;1668981.269640059;0.0009299085785035276;0.00028176299621236365;4;11
