sigla;name;tot_objects;tot_area;avrg_density;densities_stdev;slices_count;ideal_count
FP;Frontal pole, cerebral cortex;701.0;469857.0620182261;0.0014919430964577217;7.29303828300823e-05;0;0
M1;Primary motor area;56041.0;51825412.34583558;0.0010813420957663284;0.0003188367288082447;0;0
M2;Secondary motor area;55160.0;50856434.28025724;0.0010846218532747868;0.00019364908067306903;0;0
S1;primary somatosensory area;179645.0;106507297.95119768;0.0016866919305596737;0.00032525338332868055;0;0
SS;Supplemental somatosensory area;49397.0;33334503.279654335;0.0014818579891709197;0.00034987826542039055;0;0
GA;Gustatory areas;7056.0;8731405.923627606;0.0008081172793611764;0.0002805604195522026;0;0
VA;Visceral area;10091.0;8783196.464953491;0.0011488983583897816;0.0003039058996022102;0;0
AuA;auditory area;22001.0;31771075.601460963;0.0006924852112651894;0.00023982647873482894;0;0
ViA;visual area;39747.0;40762330.81642842;0.0009750914435928376;0.0001977868129890776;0;0
dACC;Anterior cingulate area, dorsal part;14648.0;16158374.948020905;0.00090652680403323;0.0002445074097230263;0;0
Vacc;Anterior cingulate area, ventral part;10629.0;13697856.760919783;0.0007759608079947745;0.0001812904577918993;0;0
PL;Prelimbic area;8791.0;8819560.000218546;0.0009967617431915154;0.0002538930145830995;0;0
IL;Infralimbic area;3454.0;4048602.946522366;0.0008531337959349378;0.0002414734166432656;0;0
OA;orbital area;10415.0;8030233.029112522;0.0012969735700373612;0.00019210132476000342;0;0
AU;agranular insular area;24690.0;36527837.23842302;0.0006759228540919198;0.00021516537517745133;0;0
RS;retrosplenial area;27741.0;42588108.40062623;0.0006513790126351817;0.0002338192400602213;0;0
AA;Anterior area;10755.0;8871273.794252953;0.0012123399919149577;0.0002689816185448477;0;0
TeAA;Temporal association areas;6858.0;15932799.232346915;0.000430432838573452;0.0001644239684839163;0;0
Prh;Perirhinal area;2011.0;4049742.5673348843;0.0004965747739672819;0.0001847855625554622;0;0
Ech;Ectorhinal area;5384.0;9163746.52964052;0.0005875326191733073;0.0002250869450349181;0;0
aOn;Anterior olfactory nucleus;10748.0;10986997.09083736;0.0009782472782270352;0.00026611330647090866;5;8
TT;taenia tecta;3034.0;4196553.566747883;0.0007229742100852525;0.00011288645600904631;0;0
DPA;Dorsal peduncular area;2108.0;2852797.00619876;0.000738923938653745;0.0001454945528950759;6;9
PC;Piriform area;34615.0;51870126.63480861;0.0006673398012637746;0.00027381961267943465;29;54
CCA;central amygdalar area;7178.0;19888304.7977063;0.0003609156271995506;0.00011200290875676961;0;0
PAA;Piriform-amygdalar area;2706.0;6171865.126640467;0.00043844120771850984;0.00014992965892916447;15;24
CA1;Field CA1;15452.0;58176464.10434932;0.00026560569188743106;8.42365658951197e-05;17;21
CA2;Field CA2;341.0;2412215.997364803;0.0001413637917883479;4.69835891394309e-05;13;21
CA3;Field CA3;7210.0;33434213.373226866;0.00021564736455781418;6.96789626754924e-05;16;24
DG;Dentate gyrus;5171.0;35762903.26832604;0.00014459116926840153;7.252461743405348e-05;0;0
FC;Fasciola cinerea;80.0;390718.8096977056;0.00020475082850988165;6.764931668000678e-05;7;11
