sigla;name;tot_objects;tot_area;avrg_density;densities_stdev;slices_count;ideal_count
FP;Frontal pole, cerebral cortex;372.0;266101.9954155472;0.0013979602047669035;7.21153605794058e-05;0;0
M1;Primary motor area;50685.0;62071357.86004645;0.0008165601937415402;0.00023704449150128032;0;0
M2;Secondary motor area;45190.0;49632413.15828534;0.0009104937101462746;0.00028058908572608116;0;0
S1;primary somatosensory area;87719.0;118773669.58853552;0.0007385391080690073;0.0002289297675915045;0;0
SS;Supplemental somatosensory area;29510.0;45972200.754379004;0.0006419096653141861;0.00015957259514777375;0;0
GA;Gustatory areas;5762.0;9724547.53335955;0.0005925211409820108;0.00020505514551965687;0;0
VA;Visceral area;5603.0;10812020.283134103;0.0005182195235741684;0.00022006005385286713;0;0
AuA;auditory area;8672.0;24906183.133316733;0.00034818663115022063;0.00016265503740506515;0;0
ViA;visual area;15313.0;23385170.11482092;0.0006548167032702068;0.0001251504581685773;0;0
dACC;Anterior cingulate area, dorsal part;11769.0;15513733.636394607;0.0007586181557475237;0.00031708501943399065;0;0
Vacc;Anterior cingulate area, ventral part;10112.0;13816244.126257304;0.0007318921052344817;0.00025557972867931456;0;0
PL;Prelimbic area;5772.0;6118014.947479904;0.0009434432654300016;0.00021411284710482782;0;0
IL;Infralimbic area;4487.0;4300908.748465493;0.0010432678911406576;0.00020178363280696043;0;0
OA;orbital area;11314.0;8368871.797049979;0.0013519146038284606;0.0002580052819171539;0;0
AU;agranular insular area;26934.0;40020379.13275193;0.0006730071174652546;0.00023682634728522904;0;0
RS;retrosplenial area;13266.0;37210381.40022981;0.00035651341106431305;0.0001614103238491997;0;0
AA;Anterior area;4068.0;8442994.841696486;0.0004818195529280461;0.0002407546239441943;0;0
TeAA;Temporal association areas;2469.0;7547946.156393789;0.0003271088517117382;0.00026608295344907447;0;0
Prh;Perirhinal area;728.0;2142091.8733256874;0.00033985470421011844;0.0001348417435832256;0;0
Ech;Ectorhinal area;2844.0;5963819.171412496;0.0004768756258795847;0.000128895597496652;0;0
aOn;Anterior olfactory nucleus;11507.0;10356013.121771697;0.0011111418906768818;0.00011053479615000245;5;8
TT;taenia tecta;5172.0;6631541.100710204;0.0007799092128745315;0.00015724911296673353;0;0
DPA;Dorsal peduncular area;3309.0;2950094.1569576007;0.0011216591145729853;0.00017886415870126983;7;9
PC;Piriform area;33842.0;59323508.05582262;0.0005704652524620617;0.00022754400356802884;33;54
CCA;central amygdalar area;4214.0;14444809.235323984;0.0002917310939416836;6.697936788377293e-05;0;0
PAA;Piriform-amygdalar area;2308.0;6083359.116953865;0.0003793956522421597;0.00016980556674049032;17;24
CA1;Field CA1;9852.0;36933407.85517027;0.0002667503642943912;8.652421328757703e-05;13;21
CA2;Field CA2;692.0;2766074.4552533654;0.00025017403225923454;0.0001274165668454279;13;21
CA3;Field CA3;6651.0;25643864.616109703;0.00025936028362206305;0.00012157254249821849;13;24
DG;Dentate gyrus;3303.0;19592469.81790822;0.0001685851774022354;0.00010848712547747407;0;0
FC;Fasciola cinerea;139.0;431355.408276539;0.0003222400770523968;0.00016442472075566195;7;11
IG;Induseum griseum;152.0;916403.7981808891;0.0001658657464119291;7.696079405589642e-05;15;21
lpEC;Entorhinal area, lateral part;2524.0;6871473.671864566;0.00036731567645155737;0.0002613958912024948;0;0
Sub;Subiculum;461.0;2124550.585717017;0.00021698706686450425;0.00012938441806198409;5;9
proSub;Prosubiculum;191.0;832821.7365949998;0.00022934079600384286;0.00012215346820771802;5;7
Clst;Claustrum;2553.0;3425302.735884078;0.0007453355796129551;0.00033128358116637894;21;29
dEPn;Endopiriform nucleus, dorsal part;6006.0;9781321.223698534;0.0006140274777448725;0.0003130707793173269;33;52
vEPn;Endopiriform nucleus, ventral part;1434.0;4540631.573730806;0.00031581509680199735;0.00011134361858010166;20;31
LAn;Lateral amygdalar nucleus;1113.0;4474771.194676367;0.00024872780117207683;0.0001021995469080531;11;17
BLA;basolateral amygdalar nucleus;3584.0;10544828.78991963;0.0003398822371991605;0.00015243052212178995;0;0
BMe;basomedial amygdalar nucleus;3004.0;7825880.991308733;0.0003838545466428869;7.900892893609561e-05;0;0
PAn;Posterior amygdalar nucleus;944.0;3983884.1401625476;0.000236954682111183;4.343466482036105e-05;7;12
DLS;DLS;48486.0;101672238.05497357;0.0004768853418352403;0.00012055480435955358;26;39
DMS;DMS;24215.0;45751429.06918907;0.0005292730848555591;;26;39
NACC SHELL;NACC_SHELL;8188.0;12893254.151659867;0.000635060777030125;0.00017510228692083012;10;16
NACC CORE;NACC_CORE;7356.0;10790436.80524321;0.0006817147565727484;;11;16
FStr;Fundus of striatum;1116.0;2747632.704687316;0.0004061678251595139;5.1444998062654384e-05;9;9
OT;Olfactory tubercle;5500.0;18274888.877537534;0.0003009594223448489;0.00012637289669935;17;22
LSN;lateral septal nucleus;9918.0;14894669.67607968;0.0006658757942062967;0.00019376996824703493;0;0
SFn;Septofimbrial nucleus;1124.0;2931175.5267146504;0.0003834639003211838;0.0001350259317150721;7;11
aAA;Anterior amygdalar area;1017.0;2865079.630404252;0.0003549639560477085;9.447080951764757e-05;7;9
CA;central amygdalar nucleus;1999.0;6604365.032268159;0.00030267860577559214;6.417283490964864e-05;0;0
IAn;Intercalated amygdalar nucleus;418.0;873349.4649813678;0.0004786171134929563;0.00015231718970869343;15;20
MAn;Medial amygdalar nucleus;3173.0;10251846.180332351;0.00030950522902764967;0.0001714436873112029;11;18
Gpe;Globus pallidus, external segment;3704.0;9577815.674699858;0.0003867270080989602;0.00019929657393624525;13;17
Gpi;Globus pallidus, internal segment;833.0;2197317.1109983576;0.00037909867257235525;0.00010645110577929525;5;8
SubInn;Substantia innominata;6458.0;16687968.0358558;0.0003869854008663205;0.00029387783821216537;24;35
MGCn;Magnocellular nucleus;1238.0;3039107.6966560623;0.00040735640969952284;7.830486255790558e-05;8;11
MSn;Medial septal nucleus;844.0;1550719.2470721675;0.00054426357420501;0.00015911622160385587;5;10
DBn;Diagonal band nucleus;1421.0;4456703.681564749;0.00031884551936400824;0.00011612257273350393;14;18
TnS;Triangular nucleus of septum;781.0;2762087.817951259;0.00028275712123421767;7.82421513589924e-05;6;7
BNST;Bed nuclei of the stria terminalis;5409.0;10587651.090314602;0.0005108781876036752;0.00017974636316940633;9;12
VALCT;Ventral anterior-lateral complex of the thalamus;1040.0;2915431.076202441;0.00035672254730668334;0.00011848290891391017;7;11
VMT;Ventral medial nucleus of the thalamus;927.0;4623031.993736577;0.00020051775571874205;0.0001962452063359959;9;15
VPLT;Ventral posterolateral nucleus of the thalamus;1196.0;4159575.5089244656;0.00028752933981699677;0.00013716074235302185;9;15
parVPT;Ventral posterolateral nucleus of the thalamus, parvicellular part;111.0;494409.0862643269;0.0002245104369717345;0.00012001927527721601;3;5
VPMT;Ventral posteromedial nucleus of the thalamus;2514.0;8638845.944301857;0.00029101109294097586;5.67181559788313e-05;8;14
PTTn;Posterior triangular thalamic nucleus;100.0;1301292.9505630457;7.684664698808353e-05;3.576514880825915e-05;5;7
MGC;medial geniculate complex;185.0;1843041.9606023752;0.00010037753016731918;0.0002810533702446552;0;0
dLGC;dorsal part of the lateral geniculate complex;734.0;3252683.251011697;0.00022565984553574362;0.0001420858541651671;0;0
LPT;Lateral posterior nucleus of the thalamus;813.0;5694256.97055188;0.00014277543219501124;8.952086486283877e-05;11;18
PCT;Posterior complex of the thalamus;986.0;6139398.823228762;0.00016060204400949053;0.00010722576781913434;9;13
PlnT;Posterior limiting nucleus of the thalamus;84.0;645203.6473492678;0.0001301914524896173;0.00012700232304274894;5;9
SGn;Suprageniculate nucleus;39.0;404000.7066659851;9.653448460981024e-05;5.241163836556448e-05;4;6
EnT;Ethmoid nucleus of the thalamus;125.0;1020703.3235826546;0.00012246457625047377;0.0001104127341641752;9;13
AVT;Anteroventral nucleus of thalamus;569.0;1481767.7852941738;0.0003840007898990982;0.00015247880465626162;6;8
AMn;anteromedial nucleus;529.0;1141812.5039421702;0.0004632984821707579;0.00015341831681970507;0;0
ADn;Anterodorsal nucleus;205.0;706216.11190815;0.0002902794152431659;7.859392596538363e-05;3;6
IADT;Interanterodorsal nucleus of the thalamus;151.0;285345.47839939315;0.00052918308307184;9.810187074556098e-05;3;6
LDT;Lateral dorsal nucleus of thalamus;1028.0;3998009.2503049197;0.00025712796935664834;0.00017352235794602724;6;11
