,,,,,,,,,,Latency to the platform (s),,,,,,,,,,,,,,,,,,,,,,,,,,Path lenght to the platform (m),,,,,,,,,,,,,,,,,,,,,,,,,,Mean speed (m/s),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAME,ANIMAL ID,CAGE,DATE OF BIRTH,BEHAVIOUR TASK,AGE,PROTOCOL,POSITION PLATFORM ,NOTE ,,S1 Trial 1,S1 Trial 2,S1 Trial 3,S1 Mean,S2 Trial 1,S2 Trial 2,S2 Trial 3,S2 Mean,S3 Trial 1,S3 Trial 2,S3 Trial 3,S3 Mean,S4 Trial 1,S4 Trial 2,S4 Trial 3,S4 Mean,S5 Trial 1,S5 Trial 2,S5 Trial 3,S5 Mean,S6 Trial 1,S6 Trial 2,S6 Trial 3,S6 Mean,,,S1 Trial 1,S1 Trial 2,S1 Trial 3,S1 Mean,S2 Trial 1,S2 Trial 2,S2 Trial 3,S2 Mean,S3 Trial 1,S3 Trial 2,S3 Trial 3,S3 Mean,S4 Trial 1,S4 Trial 2,S4 Trial 3,S4 Mean,S5 Trial 1,S5 Trial 2,S5 Trial 3,S5 Mean,S6 Trial 1,S6 Trial 2,S6 Trial 3,S6 Mean,,,S1 Trial 1,S1 Trial 2,S1 Trial 3,S1 Mean,S2 Trial 1,S2 Trial 2,S2 Trial 3,S2 Mean,S3 Trial 1,S3 Trial 2,S3 Trial 3,S3 Mean,S4 Trial 1,S4 Trial 2,S4 Trial 3,S4 Mean,S5 Trial 1,S5 Trial 2,S5 Trial 3,S5 Mean,S6 Trial 1,S6 Trial 2,S6 Trial 3,S6 Mean
F89,1,#207,11/18/2020,3/24/2021,18 weeks,MASSED SPATIAL,NORTH,,,9.9,4.5,27.7,14.03333333,28.5,6.1,15.1,16.56666667,17,35.1,8.1,20.06666667,5.3,18.5,3.9,9.233333333,3.3,6.2,5.3,4.933333333,21.9,5.1,4.3,10.43333333,,,2.444,0.66,7.027,3.377,6.213,1.054,3.046,3.437666667,3.502,7.584,1.379,4.155,1.095,3.637,0.35,1.694,0.272,0.977,0.975,0.741333333,4.575,0.914,0.684,2.057666667,,,0.248,0.145,0.253,0.215333333,0.218,0.174,0.201,0.197666667,0.206,0.216,0.17,0.197333333,0.207,0.196,0.09,0.164333333,0.082,0.157,0.182,0.140333333,0.209,0.18,0.158,0.182333333
F90,2,#207,11/18/2020,3/24/2021,18 weeks,MASSED SPATIAL,NORTH,,,43.3,4.3,15,20.86666667,27.5,9.9,6.1,14.5,8.5,15.4,12,11.96666667,4.7,5.6,3.2,4.5,11.5,6.3,11.4,9.733333333,3.3,14.2,6.4,7.966666667,,,10.013,0.556,3.832,4.800333333,7.021,2.103,1.03,3.384666667,1.812,3.726,2.617,2.718333333,0.69,0.967,0.425,0.694,2.392,1.324,2.729,2.148333333,0.435,3.174,1.407,1.672,,,0.232,0.128,0.256,0.205333333,0.255,0.212,0.169,0.212,0.214,0.242,0.217,0.224333333,0.145,0.171,0.135,0.150333333,0.208,0.209,0.24,0.219,0.13,0.224,0.222,0.192
F91,3,#207,11/18/2020,3/24/2021,18 weeks,MASSED SPATIAL,NORTH,,,17.7,20.7,23.7,20.7,10.6,23.8,45.9,26.76666667,15.5,4.7,27.7,15.96666667,3.8,3.6,11.6,6.333333333,6.6,8.8,45,20.13333333,14.1,29.8,12.5,18.8,,,3.968,4.548,4.437,4.317666667,1.846,4.434,8.037,4.772333333,2.513,0.57,5.161,2.748,0.405,0.4,2.323,1.042666667,1.01,1.494,8.894,3.799333333,2.855,6.472,2.675,4.000666667,,,0.224,0.219,0.187,0.21,0.174,0.186,0.175,0.178333333,0.162,0.122,0.187,0.157,0.106,0.111,0.201,0.139333333,0.154,0.17,0.198,0.174,0.202,0.217,0.214,0.211
F103,1,#211,12/4/2020,3/24/2021,16 weeks,MASSED SPATIAL,NORTH,,,49.3,57.6,7.4,38.1,20.5,4.7,7.2,10.8,3.8,14.4,10,9.4,2.5,16.8,8.8,9.366666667,13.3,4.4,8.4,8.7,23.9,5.3,3.1,10.76666667,,,14.03,13.777,1.482,9.763,4.579,0.548,1.37,2.165666667,0.629,3.133,2.26,2.007333333,0.098,3.66,1.931,1.896333333,3.176,0.518,1.376,1.69,5.698,0.733,0.514,2.315,,,0.285,0.239,0.2,0.241333333,0.224,0.117,0.191,0.177333333,0.163,0.218,0.227,0.202666667,0.039,0.218,0.22,0.159,0.239,0.117,0.163,0.173,0.238,0.137,0.167,0.180666667
F105,2,#211,12/4/2020,3/24/2021,16 weeks,MASSED SPATIAL,NORTH,,,17.5,20.6,32.9,23.66666667,60,60,32.8,50.93333333,60,33.6,45.4,46.33333333,4.8,6.2,14.7,8.566666667,12.3,4.9,2.6,6.6,4,13.4,29.5,15.63333333,,,4.17,5.184,9.634,6.329333333,16.398,15.592,7.039,13.00966667,16.546,8.264,10.936,11.91533333,0.617,1.117,3.289,1.674333333,2.943,0.901,0.276,1.373333333,0.474,3.45,7.968,3.964,,,0.239,0.252,0.292,0.261,0.273,0.26,0.215,0.249333333,0.276,0.246,0.241,0.254333333,0.127,0.18,0.223,0.176666667,0.24,0.183,0.106,0.176333333,0.119,0.257,0.27,0.215333333
F37,2,,,,11 weeks,MASSED SPATIAL,,,,41.7,15.4,47.4,34.83,12.9,5.9,22,13.6,49.1,7.9,6,21,6.8,4.9,31.9,14.53,5.4,10,6.1,7.17,13.2,5.8,5.1,8.03,,,9.82,3.26,9.37,7.48,3.17,1.37,4.82,3.12,10.65,1.37,1.23,4.42,1.39,0.51,7.4,3.1,0.96,1.85,0.76,1.19,2.82,1.26,0.33,1.47,,,0.24,0.21,0.2,0.22,0.25,0.23,0.22,0.23,0.22,0.17,0.21,0.2,0.21,0.1,0.23,0.18,0.18,0.18,0.12,0.16,0.21,0.22,0.07,0.17
F38,3,,,,11 weeks,MASSED SPATIAL,,,,22.5,44.6,21.2,29.43,49.7,10.5,5.8,22,7.5,10.3,9.2,9,30.1,4.5,11.9,15.5,6.9,32.9,6.6,15.47,12.1,3.4,4.4,6.63,,,4.21,9.42,3.82,5.82,10.1,1.87,1.14,4.37,1.33,1.64,1.67,1.54,6.11,0.81,2.09,3,1.2,6.41,1,2.87,2.13,0.36,0.7,1.06,,,0.19,0.21,0.18,0.19,0.2,0.18,0.2,0.19,0.18,0.16,0.18,0.17,0.2,0.18,0.18,0.19,0.18,0.2,0.15,0.17,0.18,0.11,0.16,0.15
F60,6,#52,12/12/2019,3/7/2020,12 wks,MASSED SPATIAL,NORTH,,,60,41,28,43,17.4,9.3,10.7,12.47,5.9,6.1,4.4,5.47,4.1,13.7,7.5,8.43,20.7,5.1,4.9,10.23,3.2,4.5,11.5,6.4,,,16.8,10.18,6.94,11.3,4.44,2.5,2.91,3.28,1.75,1.56,0.57,1.3,0.28,3.73,1.9,1.97,5.46,0.98,0.92,2.45,0.29,0.8,3.42,1.5,,,0.28,0.25,0.25,0.26,0.26,0.27,0.27,0.27,0.3,0.25,0.13,0.23,0.07,0.27,0.25,0.2,0.26,0.19,0.19,0.22,0.09,0.18,0.3,0.19
