,subject,animale,group,FP,PL,IL,dACC,Vacc,OA,AU,M2,M1,S1,SS,GA,AuA,RS,AA,ViA,TeAA,Prh,lpEC,Ech,VA,aOn,TT,DPA,PC,PAA,FC,IG,CA1,CA2,CA3,DG,proSub,Sub,Clst,dEPn,vEPn,LAn,BLA,BMe,CCA,PAn,aAA,CA,IAn,MAn,LSN,SFn,DLS,DMS,NACC SHELL,NACC CORE,FStr,OT,MGCn,Gpe,Gpi,SubInn,MSn,DBn,TnS,BNST,VALCT,VMT,VPLT,VPMT,PTTn,MGC,dLGC,LPT,PCT,PlnT,EnT,AVT,AMn,IADT,IMDT,MDT,SMT,pRE ,PVT,PT ,RE,XiT,Rh,CMT,PCn,CLT,RT,IGLLGC,vlLGC,subGn,MHb,LHb,SON,PVH,IPVH,ArH,ADPO,AVPO,AVPV,DMH,MePO,MPA,PSN,SPZ,SCN,AHN,SMN,MPO,VMHn,PHn,LHA,LPO,PSTN,STN,ZI ,FF,TN ,reSN,cSN,VTA,PAG,SCO,PreCN,APTN
8,FT97,MC1,MC,0.226469484,1.244183267,0.384147431,1.021707103,0.970116258,1.846890438,-0.046955341,0.280593733,0.224189627,1.551880756,0.667410761,0.49328127,0.387414463,0.9206972,1.279927342,1.673748123,-0.222797322,-0.493707446,-0.967096671,-0.125337096,0.074616913,1.19649956,-0.09531864,0.432587626,0.367431948,-0.640013129,-0.708523127,-1.390121228,-0.599148209,-1.124562636,-0.75363602,-1.228486265,-0.20073862,-0.793561564,1.023868498,-0.049324563,-0.699083648,-1.075862658,-0.476214692,-0.388060936,-0.422242156,-0.8153397,0.023738913,-0.596722874,-0.046518905,-0.690992963,0.418912644,-0.39348105,-0.405059063,1.119934208,0.172137408,1.939470898,-0.631614861,-0.438080612,-0.361091294,-1.288165716,-0.810083769,-0.842411177,0.020949882,-0.513072717,-0.592807423,-0.074500662,-1.301988255,-0.662562302,-1.508470093,-1.517614458,-1.026809374,-1.426378635,-1.401624424,-1.399396524,-1.511379664,-0.669921437,-1.000760404,-0.72544228,-0.005223784,0.304182038,0.587358081,-0.693746664,-1.075546761,1.104779501,1.357646131,0.541746404,0.09156724,1.020472613,1.130402428,1.107113393,-0.606451231,-0.413189235,-0.783319875,0.674169278,0.080679211,-1.231674323,-0.873809601,0.427171668,-1.062501493,2.894861677,0.088125634,-0.753902038,1.575974079,0.273951599,-0.456868125,1.598745626,1.341163413,0.465868958,1.400103002,2.392033832,3.90398807,0.596932647,1.33853233,0.354172619,-0.822896271,1.746647416,-0.058903285,0.098822462,0.232554643,0.630469605,0.063070074,0.06175661,-0.903782336,-1.1634823,-1.074484768,-0.762686863,0.191783245,-1.570818036,-0.024165089,-0.149116602
9,FT42,MC2,MC,1.164875184,2.150948715,1.842151826,1.211479528,1.456903526,1.754483814,0.368778316,0.749146403,0.699021092,2.106853229,1.332109829,0.580983053,1.163761639,0.614296987,1.70942581,1.631712081,0.771257262,0.600434027,-0.202211118,1.154654913,0.57830288,1.956517872,0.715244138,1.50619255,0.28503927,-0.654864966,-0.870299886,-1.215341091,-0.687982791,-0.995968189,-0.9095377,-1.180122409,-0.441061246,-1.273914919,1.514907056,0.436044107,-0.558263798,-0.858111751,-0.232939554,-0.104106438,-0.764310224,-0.825827958,0.181132434,-0.139083928,0.261316701,-0.23277951,0.414539611,-0.939623707,-0.332128476,1.204455628,0.573749518,2.181264644,-0.527364047,-0.777557805,-0.778509052,-1.306624744,-0.806647481,-0.836945377,-0.534083638,-0.566376447,-1.305222669,-0.09697434,-1.177687937,-0.580631629,-1.429941979,-1.37838529,-0.84899625,-1.545243493,-1.42889155,-1.310583014,-1.462595451,-0.936596397,-0.943552673,-0.716576556,-0.193365873,0.409839729,0.906893372,-0.40073548,-1.008886665,0.234997362,1.087062272,-0.133651451,-0.131298129,0.619055477,0.76527252,0.646716029,-0.87268702,-0.489172153,-1.022301052,0.924214184,0.282762589,-0.928377802,-0.945556603,-0.070819553,-1.097005505,1.37432987,-0.208802224,-0.366349175,1.37338764,-0.335602105,-0.661117951,0.460023648,0.377364335,0.057479331,0.597460816,1.361204013,2.678866043,0.14190589,-0.141279461,0.029766935,-1.094433532,1.003492287,-0.215422633,0.006623679,-0.000828507,0.030190713,0.144689753,0.190678716,-1.389689802,-1.222901477,-1.158687792,-1.418835832,0.3120834,-1.560346231,0.04157412,-0.491620149
10,FT43,MC3,MC,0.451689191,1.379613992,1.575004976,1.081882334,1.160134449,0.410150804,-0.114019486,-0.073098655,-0.50272106,-0.378271867,-0.546988275,-0.074908867,0.166957095,-0.819064324,0.455205403,-0.100124467,-0.032042734,-0.662587112,-0.911925507,-0.186497448,-0.521807413,1.745114745,0.317625417,1.518687693,0.178667508,-0.670314287,-0.984862063,-1.42996269,-0.739993947,-0.943648607,-0.736497034,-1.084080932,-1.162414101,-1.198189915,1.152426574,0.334631376,-0.501092255,-0.645264656,-0.2296685,-0.057852731,-0.854315215,-0.153195719,-0.268686485,-0.128609255,0.549803463,-0.391557049,0.964083452,-0.361350822,-0.756251119,0.914053664,0.160839427,1.082113918,-0.655477494,-1.017778533,-0.612287144,-1.328814672,-1.154814297,-0.766591329,0.098705534,-0.564947587,-0.422724349,0.140216903,-0.522332336,0.124353423,-0.929749729,-1.097377693,-1.103765542,-1.462384401,-0.824444784,-0.87746586,-1.111241834,-0.835352374,-1.019017506,-0.479597433,-0.130203323,-0.513408646,1.203353202,-0.004947447,-0.564585637,0.686035232,2.246578258,0.723533657,0.273497153,1.784206065,0.995365048,1.147574896,-0.287111956,-0.028932179,-0.123653365,1.114983357,0.415315119,-0.746597941,-0.038496198,-0.176743917,-1.046811403,2.735134842,-0.247756125,-0.366349175,3.76805967,1.868629884,0.48584006,1.268327319,1.272545152,1.147462964,1.93086799,1.415347349,1.917814624,0.547329378,0.955090287,0.647662994,-0.608233989,1.732169219,-0.001184213,0.096119517,0.829483176,0.059268015,-0.256022719,-0.700995261,-1.064455647,-1.478595256,-1.431506581,-1.386733742,-0.029236712,-1.121856085,1.08491994,-0.974152034
11,FT72,MC4,MC,-0.674789906,0.747806532,0.195895048,0.89684883,1.110781325,-0.7368999,-0.441049008,-0.214551384,-0.194339613,0.3422569,0.497414777,0.053410732,-0.326882859,-0.191160379,0.691291643,-0.080776347,-0.238939966,-0.750479955,-1.050052242,0.101476581,0.130727265,-0.01771215,-0.59842324,0.495849016,-0.215804861,-0.911046433,-0.735095587,-1.333268607,-0.540897762,-1.146691401,-0.775085401,-0.968433117,-0.451419469,-0.976058073,0.895972698,0.025903639,-0.62063884,-0.766480218,-0.170363073,-0.294435593,-0.932238432,-1.08675439,-0.236931801,-0.412375184,0.583549021,-0.583255737,0.440964947,-0.290631789,-0.568335459,0.385716547,0.200241012,0.613550056,-0.531078138,-0.924661186,-0.277789073,-1.072554102,-0.982091244,-0.626012742,0.821536126,-0.20654041,-0.815166299,0.52644426,-1.103275128,-0.346474399,-1.234222252,-1.158879186,-1.018155811,-1.315919447,-1.285558417,-0.849387517,-1.099519035,-0.4649735,-0.729734697,0.022121522,0.307667012,0.309280484,2.067340284,0.040108264,-0.731139979,1.78620148,2.597357129,1.445463974,0.437907158,1.09041341,0.435816584,1.055428829,-0.688643211,-0.166312045,-0.433393691,0.868066573,1.123545969,0.445614522,-0.283414539,0.833923426,-0.716128618,2.762260896,-0.012975829,-0.47464132,4.668820833,0.862302315,-0.079613954,1.995566809,2.024049792,0.889748686,2.064191412,1.638911448,0.646010335,0.45919024,-0.506750278,0.133290603,-0.965878454,1.837875954,0.060996652,0.715133726,0.037362759,0.503712523,0.54750614,-0.207347146,-1.06434795,-1.535820053,-1.421749324,-1.332401149,0.590614466,-1.455580187,1.055944966,-0.466955642
12,FT66,MC5,MC,2.141204773,1.953623354,1.580198982,1.042538319,0.886143267,1.967874318,0.648196535,1.570340228,2.284414823,2.508621248,2.394504707,1.071824371,0.531811337,0.136278019,1.80851857,1.784757661,0.032525308,0.186422884,-0.083338071,0.805208283,1.332845554,2.367858445,0.792346976,1.555157245,0.63604401,-0.475508865,-0.935281744,-1.358825866,-0.822284184,-1.307595506,-1.074451184,-1.250823259,-0.376603211,-0.434575363,1.886769115,0.106177148,-0.611293457,-0.829450128,-0.353578989,-0.390488623,-0.484226313,-0.725783922,-0.414930408,-0.641134814,0.183381265,-0.459449672,0.328195839,-1.345599007,-0.524618462,0.219716061,1.128911942,2.011634572,-0.478104008,-0.331017985,-0.442006402,-1.149699177,-1.299586838,-0.549141171,-0.134233574,-0.663413979,-1.615948753,-0.367096058,-0.973279664,-1.007527184,-0.954672766,-0.806551477,-0.63789507,-0.741865438,-1.410011578,-1.415765541,-1.396522415,-0.267782995,-1.194207279,-1.020332681,-0.291077894,0.614420606,0.860216949,-0.635118546,-0.527908434,-0.991381486,-0.124701306,0.217444613,-0.392294061,0.413654185,1.236646663,1.478737253,-0.30774262,-0.468758702,-1.01927509,0.171700329,-0.456762443,-0.967305254,-1.277751358,-0.16816298,-0.136446422,-0.801969514,-0.343474673,-0.450704318,2.200703315,0.583786754,-0.80650962,0.210074964,0.269883249,-0.019059443,0.471963985,-0.444088098,-0.901957872,-0.08344969,0.967161965,-0.467955044,-0.041453017,0.985450749,-0.170200027,0.132407628,-0.114675124,-0.295707294,-0.481427465,-0.169343351,-0.747387792,-0.485660618,-0.174879657,0.27627065,1.009605114,-1.519811252,-0.31389283,0.370622245
13,FT32,MC6,MC,1.156016764,0.95516883,1.040344728,0.802832897,0.715637726,2.369921739,0.595423244,1.076519381,1.256577243,2.169889209,1.706572561,0.810866008,0.691402798,0.59039522,2.338745792,2.834761088,-0.023919731,-0.314676577,-0.219039676,0.166608295,1.113947376,1.523789964,0.248368655,0.873917868,0.426973448,-0.822867973,-0.997357262,-1.755179785,-0.813530214,-1.288462258,-1.093831555,-1.512095716,-0.437282302,-0.830045367,1.810891231,0.790264669,-0.253667809,-0.968521251,-0.157767048,-0.278952686,-0.567206514,-0.38431764,-0.530155988,-0.203356419,0.234864086,-0.595326068,0.263355611,-1.006858101,0.184970477,1.416695253,0.880305511,1.359593099,-0.694362015,-0.574224492,-0.976580015,-1.32486046,-1.066289198,-0.712773671,-0.374770991,-0.333654435,-1.649485005,-0.300030441,-0.340042078,-0.680916082,-0.775526855,0.314847048,-0.493724803,-1.282631655,-0.690156725,-1.137733314,-0.321936427,-0.749807706,-0.308233963,-0.141942698,0.888596986,0.304694149,1.768191507,0.133610971,0.203006497,0.986691095,1.717761013,0.472673364,0.887889691,1.426514925,1.673721827,2.186422686,0.299039189,0.764983457,-0.758216453,0.440892132,-0.175570357,-1.663059204,-1.138600025,-0.994951359,-0.8783487,1.46291496,-0.610701487,-0.701576057,0.885472795,-0.439911753,-0.797520795,0.117064668,0.161867953,-0.317381155,-0.088716007,1.426408072,1.917814624,0.244863331,-0.526865051,-0.5354607,-0.839234704,0.281136932,-0.248163369,-0.304188089,-0.42573104,-0.43603629,-0.20293131,-0.384783062,-1.156485791,-1.599833268,-1.299982369,-1.134552319,-0.008976752,-1.796080122,-0.497111023,-0.184389555
14,FT78,MC7,MC,1.298763693,0.238792078,-0.365820963,0.425799268,-0.167401769,1.184156933,-0.290756065,0.605805737,0.652448359,1.061889586,0.730137325,-0.020434705,0.609939991,0.346896382,1.229460587,1.371169895,0.516141092,0.082100187,0.372896589,0.605486386,-0.276573784,0.595032436,-0.456378253,-0.153808171,-0.147888627,-0.587008375,-1.231232535,-2.193092083,-0.497072474,-0.79302467,-0.830492672,-1.567757752,-0.192393903,-0.328795436,0.436051218,0.092744593,-0.434895136,-0.060401728,0.348496986,0.401638217,-0.278422559,0.564303519,-0.244325061,-0.417342351,0.38924315,-0.307850985,-0.271294866,-1.769607089,-0.522003046,0.114104586,0.425066299,0.770063948,-0.854286277,-0.546279526,0.613797218,-1.329465801,-2.053133437,0.357321474,1.339044296,0.562304687,-3.007380494,-0.857177754,-0.252085686,0.074732018,-0.675618775,0.6704744,-0.393394842,-0.426547752,-1.161246478,-0.709935586,0.966869071,0.261535286,1.115577177,-0.912429397,0.381840353,0.106276628,1.120063487,0.391567104,-0.006825718,0.578418467,-0.607046715,-0.382831236,0.306011704,0.918489255,1.214983964,1.119651793,0.815417622,0.822808876,-0.551914347,-0.104503005,-0.666305641,-0.888699278,-2.405366512,0.252422227,-1.757869962,0.261146677,-0.54982702,0.201008572,0.434119719,0.743144163,-0.317470004,2.84246037,-0.794157791,0.192336065,0.64700207,1.973476295,4.128617439,0.413660067,0.347648299,-0.332183255,0.496618332,2.180921976,0.501910716,-0.14785977,0.378190897,-1.254868387,-0.011721798,-0.173325019,-1.084171205,-1.246007347,-0.348258559,0.023487658,-0.226368277,-3.018505851,-0.837689622,0.249170999
15,FT30,MC8,MC,0.130706972,1.378702291,1.288031776,0.704491213,0.758556877,0.238228929,-0.15932362,-0.065910937,0.135125975,0.888746995,0.169495757,0.256188317,0.289051718,0.170405551,1.360423302,1.038349616,0.013567187,-0.504146433,-0.906437585,0.168153437,-0.12882739,1.321724006,0.035189191,0.927101123,0.21930861,-0.6946195,-1.416244301,-1.324838706,-0.638764077,-1.075793615,-0.706387172,-1.040963609,-0.266577113,-0.89050233,0.850049829,0.267248607,-0.335629885,-0.725505643,-0.190005218,-0.047035362,-0.200064095,-0.837082258,-0.636933834,-0.42028979,-0.058266106,-0.585878802,0.498263997,-0.69145546,-0.836019055,0.623402305,0.441230315,5.094271547,-0.562366897,-0.806871537,-0.823456645,-1.25644431,-0.970534426,-0.783704799,-0.045254125,-0.635747053,-0.564045862,-0.061739092,-0.856138939,-0.327471563,-1.110517088,-1.370648037,-1.269228309,-1.218708074,-1.013100883,-1.096588921,-1.347636838,-0.846651081,-0.976911511,-0.832328741,0.477304631,0.902268205,1.113408737,-0.291418554,-0.804798398,1.102540207,2.073210098,0.897007589,0.512111199,0.949230226,0.510711351,1.157937538,-0.64871642,-0.25288545,-0.432161864,0.486255561,0.338120969,-0.972356146,-0.781561349,-0.172957755,-0.331677499,2.736535601,-0.096637279,-0.018279886,2.129505436,-0.570725502,-0.453059441,1.654355145,3.426558355,0.072224437,0.786585795,1.647971668,1.051363727,0.054765755,0.347648299,-0.275815683,-0.990360279,1.303873282,-0.389844695,-0.275630315,0.173925412,1.237115237,0.037901529,-0.003241642,-1.105324654,-1.247471474,-0.987078436,-0.819350228,0.657162717,-1.041926671,-0.213585305,-0.343899002
16,FT31,HC1,HC,-1.193136767,0.451893602,1.420564531,-0.592705926,-0.252801267,-0.24238022,-0.269037571,-0.581249469,-0.396892886,-0.654964431,-0.266252674,-0.44774849,0.139083665,-0.418181278,-0.565901297,-0.287313455,0.00561839,-0.429570791,-0.268055716,0.114492672,-0.16176996,1.353606514,0.612815101,1.147684835,-0.351504428,-0.556712031,-1.022651111,-1.109679129,-0.417266368,-0.773617092,-0.531505146,-0.740059981,-0.393965175,-0.768261521,0.565248711,0.056291011,-0.035262463,-0.222176331,0.428837872,0.135366007,-0.495172065,0.111172218,-0.487460043,0.150754346,1.193666869,-0.7039679,0.352833403,-0.504312238,-0.977128764,-0.886084068,-0.536151104,-0.599422704,-0.560679616,-0.9164323,-0.9164323,-1.130208815,-0.774063389,-0.802180133,-0.541149636,-0.792361588,-0.766476331,0.114773839,-0.853504349,-0.472562632,-0.816461654,-1.163100943,-0.164496838,-0.756657786,-0.42218903,-0.853058051,-1.173098008,-0.383512887,-0.892778531,0.063003326,0.612212599,0.888510935,0.414132368,-0.253890233,-0.895902614,1.320111884,2.360127937,0.766216487,0.084938849,0.148228302,-0.335178864,0.611561005,-1.057908616,-0.18375904,-0.570462457,2.36004314,1.603122535,-0.895010019,-0.186195824,-0.224733615,-0.858859919,1.716986423,0.556340612,-0.631493644,2.549817774,0.470410486,0.183552751,0.990155197,1.566811768,0.328037112,0.432448419,4.807511998,3.505586243,1.079829759,-0.477391571,0.034815174,-0.189726037,2.087663297,0.088170043,-0.325949432,0.298175345,-0.216602075,1.117684715,0.530638337,-0.676592009,-1.143597741,-1.092273526,-0.843685803,1.678332594,-0.607750616,2.384790338,-0.035981002
17,FT32,HC2,HC,-0.307231806,-0.299536587,0.093458599,-0.507904775,-0.476898102,0.926031816,-0.280631767,-0.227803157,0.080063891,1.467974839,1.634345265,0.038860052,1.016061877,-0.239457062,-0.252443883,1.108724993,0.164893398,-0.244635766,-0.377468438,0.238436825,0.114927278,1.54882745,-0.069240847,0.15193207,-0.071258429,-0.652671774,-0.676908255,-1.845179503,-0.763329248,-1.280045208,-0.836774346,-1.502645728,-0.909676808,-0.866932468,0.375042448,-0.122775975,-0.364762039,-0.006943439,-0.215369896,0.03267984,-0.608059167,0.466299812,-0.380214389,-0.185350164,0.538728834,-0.51971528,0.773999335,-0.401333451,-1.410161063,-1.067452479,-0.39677386,-0.167905724,-0.59322593,-1.17603046,-0.959176772,-1.598939764,-1.374758683,-0.749701462,0.204687843,-0.686351561,-0.392986341,0.113343075,-1.423439231,-0.667446741,-1.213515975,-1.185874368,0.31067283,-0.681391367,-0.665760566,-0.78515847,-1.11568508,0.771089501,-0.409159777,0.068941695,0.55876991,-0.666925957,1.524973362,0.122811873,-1.048434762,1.454441741,3.106295439,0.417036568,-0.426363855,-0.468474514,-0.213177505,1.743258296,-0.434831146,-0.214535914,-0.940851005,1.696478791,0.980706842,-0.119720467,-0.262083848,0.15654993,-1.528859732,1.064749709,-0.430876101,0.160574169,3.228264485,0.74490099,0.355056,1.369451994,0.866341969,0.952868575,1.879248447,2.534481999,4.028986121,0.283533797,1.230391767,-0.231630736,-0.207951457,0.795304131,-0.040590449,0.186686201,0.497062481,-0.294073818,0.560303127,0.008297685,-1.256424198,-1.2169211,-0.946736227,-0.302457347,0.517063496,-0.998206429,1.321379634,-0.122073099
