,subject,animale,group,FP,PL,IL,dACC,Vacc,OA,AU,M2,M1,S1,SS,GA,AuA,RS,AA,ViA,TeAA,Prh,lpEC,Ech,VA,aOn,TT,DPA,PC,PAA,FC,IG,CA1,CA2,CA3,DG,proSub,Sub,Clst,dEPn,vEPn,LAn,BLA,BMe,CCA,PAn,aAA,CA,IAn,MAn,LSN,SFn,DLS,DMS,NACC SHELL,NACC CORE,FStr,OT,MGCn,Gpe,Gpi,SubInn,MSn,DBn,TnS,BNST,VALCT,VMT,VPLT,VPMT,PTTn,MGC,dLGC,LPT,PCT,PlnT,EnT,AVT,AMn,IADT,IMDT,MDT,SMT,pRE ,PVT,PT ,RE,XiT,Rh,CMT,PCn,CLT,RT,IGLLGC,vlLGC,subGn,MHb,LHb,SON,PVH,IPVH,ArH,ADPO,AVPO,AVPV,DMH,MePO,MPA,PSN,SPZ,SCN,AHN,SMN,MPO,VMHn,PHn,LHA,LPO,PSTN,STN,ZI ,FF,TN ,reSN,cSN,VTA,PAG,SCO,PreCN,APTN
8,FT97,SC1,SC,-0.023686551,1.155261947,1.223653491,0.749012728,1.101439932,0.985146256,-0.470939766,0.080537184,0.033839887,1.556411292,0.96506685,0.297461664,0.294275142,0.747207272,1.447263914,1.310671443,-0.276986298,-0.570099591,-0.474140674,-0.067208115,-0.222560066,2.309635382,0.195766288,0.822360285,0.331110764,-0.561014766,-0.893233088,-1.516248541,-0.64150862,-1.140224529,-0.7236317,-1.221214703,-0.914017414,-1.054749486,0.927314114,0.45124553,-0.619533844,-0.693643864,-0.386489733,-0.187925518,-0.577386153,-0.509627598,-0.162260707,-0.473273911,0.422624374,-0.620637978,0.44085157,-0.605475023,-1.114311557,0.11084511,0.485466478,1.088909635,-0.68555168,-0.052063143,-0.151762447,-1.336447404,-1.160397444,-0.54253941,1.346302229,1.778435647,-1.192492845,-0.15109709,-0.767408618,-0.708562255,-1.237420651,-1.416265111,-1.038439239,-1.354764513,-0.932100748,-1.226523176,-1.568757825,-0.757428257,-1.320996728,-0.805287232,0.160674982,0.63081649,0.613761762,-0.420962437,-1.102835042,0.426102215,2.405838862,0.13178049,-0.522467197,0.001870365,-0.024236819,0.565769716,-1.121004692,-0.285085675,-0.313109808,1.497712387,0.881195858,-1.372387491,-0.664357351,0.324780878,0.156208096,1.168623042,-0.592455598,0.619415501,2.990817454,1.19643498,4.035852893,0.789858477,1.873711224,0.889291638,1.356505574,1.421109975,0.208667028,0.380188961,-0.335825467,-0.330998929,0.521593584,1.532580709,-0.180336848,-0.269127888,-0.183235648,-0.523736771,-0.049563557,-0.580418025,-0.777011343,-1.208867829,-1.198362376,-0.834807519,0.093725645,-0.931633199,0.284866629,-0.866708707
9,FT42,SC2,SC,0.473797927,1.685009452,1.526512493,1.434986195,1.730715853,0.815335321,-0.258716466,0.158928004,-0.061172881,1.724805962,1.153877236,0.428837355,0.975765762,1.105864436,0.990913405,1.869115938,0.51510231,-0.622089652,-0.522274103,0.345178752,-0.125954692,1.620438418,-0.010043,1.036384708,0.374793062,-0.042527134,-0.834197186,-1.368742385,-0.449316537,-0.997513665,-0.628692678,-1.066008412,-0.414355761,-0.78450627,1.171610963,0.293748917,-0.50756423,-0.488257774,-0.271573925,-0.166768612,-0.580566383,-0.534539762,-0.739261959,-0.599362107,0.429068401,0.117623621,0.662488835,-0.470260575,-1.013934083,-0.28517316,-0.116445361,0.898600743,-0.727632688,-0.524450791,-0.794043975,-1.319290621,-1.05840419,-0.864423564,-0.315687331,-0.851671494,-1.015429796,-0.075599015,-0.797821766,-0.27824586,-0.906165717,-1.053588723,-1.088650835,-1.270244199,-0.594866861,-1.076085222,-1.390225528,-0.681885752,-1.356582115,-0.522132233,0.237078006,-0.671675179,0.72622081,-0.311824418,-0.907758713,1.481008763,2.684830898,0.692654411,-0.018960531,0.212185933,-1.015154163,0.529581138,-1.006775737,-0.356890379,-0.736351601,1.421857157,0.408010866,-1.104459185,0.121952677,0.202554999,-1.203768056,0.0130453,-0.573456679,-0.2227018,5.166385287,0.561064077,-0.020667022,0.570739598,2.777601597,0.492638238,0.861609201,0.8414191,0.317206078,0.011367182,0.804001949,-0.65502777,-0.584968401,1.682613878,-0.12251739,0.056360181,0.106298356,-0.202163104,-0.027225461,-0.472246752,-0.945285306,-1.146209445,-0.863089988,-0.76376085,0.703578387,-0.78432792,0.608022986,-0.591178246
10,FT43,SC3,SC,1.699631625,1.308979739,1.493707707,0.034698592,0.155764196,0.868537396,-0.023328698,0.354339232,0.474861509,0.97442711,0.826626728,-0.097553333,0.247704385,0.254435426,1.398051164,1.546739496,0.152470084,0.146984036,-0.081688194,0.681723054,0.15981586,2.540806892,0.936766809,1.019889582,0.085075842,-1.0107613,-0.504365306,-1.195393021,-0.649399379,-0.979816516,-0.856788727,-0.924071199,-0.460719098,-0.423024645,0.785815132,0.302918795,-0.485212265,-0.46744393,-0.256782203,-0.03955709,-0.638197535,-0.286354698,-0.375618615,-0.249871088,0.44489161,-0.159573298,0.610839102,-0.819795941,-1.012009399,-0.518016778,0.430591251,0.807781054,-0.798596887,-0.25153522,-0.477984467,-1.37701937,-1.137477501,-0.69549211,-0.391278843,-0.187161874,-0.990322902,-0.105544892,-1.196324438,-0.991987034,-1.278599622,-1.26804356,-0.958508796,-1.082880931,-1.130948267,-1.192288297,-1.316477253,-0.422798,-1.177385622,-1.242895297,-0.737887115,1.070248204,0.59602336,-0.660911695,-0.622928503,-0.483169356,2.273176587,1.01777837,-0.329972965,-0.080654321,0.670362869,0.087450955,-1.045822947,-0.409913396,-1.105747223,0.989966253,-0.260222237,-1.182353181,-0.693508192,-0.174267956,-0.345776009,0.50763808,-0.320379368,-0.342640238,0.952038946,-0.152460375,0.014741426,1.454970067,-0.629942074,0.189602581,0.301605496,1.829573635,5.598242751,0.787876669,1.81067518,-0.135834579,0.099248906,2.361164462,0.049079673,-0.084476236,0.388522242,0.478183564,-0.117302482,-0.135449593,-0.359070437,-0.87429316,-0.754596739,-0.282098122,1.603248576,-1.0013633,0.170570624,-0.536927651
11,FT72,SC4,SC,2.241772679,2.03875243,1.434150507,0.886691903,0.808628874,1.986202159,0.208381086,1.549161939,2.181649651,2.889156256,1.910216873,0.886415408,0.260034759,0.043342741,0.096902355,1.4132818,-0.303334422,0.224439306,-0.240497441,0.849413317,0.941327971,2.416367571,0.347536221,1.319528316,0.390167547,-0.231067062,-1.42422074,-1.703086686,-0.95312861,-1.07676241,-0.902092355,-1.418551238,-0.9332773,-1.20009287,1.613641787,0.034309657,-0.4389837,-1.181739468,-0.414834628,-0.027652202,-0.407358509,-0.258544819,-0.457632389,-0.56899032,-0.04656128,-0.330892711,0.64603067,-0.483604184,-0.602521452,0.248883665,0.376906496,1.211716508,-0.790823009,-0.417175445,-0.547190119,-1.118706524,-0.782670415,-0.522576641,-0.415666799,0.055025351,0.022602887,0.406496894,-0.826123175,-0.822944818,-1.219812643,-1.490483045,-1.272129369,-0.993027194,-1.230037612,-1.622696261,-1.665813468,-1.101196031,-1.445956515,-0.965310523,-0.551764376,1.343986097,1.541038874,-0.238352587,-0.552491855,-0.386030766,1.80873225,1.085529822,-0.386108614,0.527580492,1.402162919,1.443954021,-0.519073469,-0.392212993,-0.654108014,-0.009747098,0.016648836,-0.961501327,-1.036157823,-0.179628143,-0.749359406,0.341300306,-0.891445932,0.006458765,2.292277419,-0.020117026,-0.733333399,-0.36047774,-0.134959339,0.38154518,1.263643992,-0.072127727,1.676446554,-0.02021098,0.168909326,0.000480554,-0.9044627,0.622907048,-0.125429636,0.243222216,0.207162358,0.279730373,0.0262886,-0.028178349,-0.876426583,-0.801047977,-0.206402581,-0.386307261,0.260424,-1.389390348,0.097592252,-0.554537385
12,FT66,SC5,SC,2.758450561,1.24909342,0.811302092,0.974048857,0.576071704,2.164167153,0.271146698,1.516898765,1.506901024,3.352063389,2.727710555,0.674086144,0.321629194,0.196334333,1.906194952,1.183038223,-0.477129356,-0.275522469,-0.474206236,0.001725864,1.712817913,1.192658,0.414562465,0.463179529,0.244984926,-0.452720237,-1.165028808,-1.488891609,-0.979537182,-1.358238202,-1.1318168,-1.34840201,-0.80282406,-0.962038087,1.127943964,0.373849103,-0.427536903,-0.895550061,-0.291994357,-0.061848186,-0.689023553,-0.541090514,0.285289844,0.033587568,0.657300302,-0.368431355,0.271262525,-1.006049484,-0.709153151,-0.80600322,0.085813573,0.279282055,-0.182951921,-0.567974684,-0.19459868,-1.044848645,-0.89919253,-0.355714716,0.164365946,-0.139772653,-1.391108824,-0.358607355,-1.249339027,-0.661487092,-1.011170278,-0.311584443,-0.267987586,-1.12073089,-1.295237193,-1.3128765,-1.091792306,-0.13595949,-0.604935845,-0.470789325,-0.049232134,0.230131575,0.991996022,-0.662389327,-0.973712278,0.104851954,0.975295527,0.707145748,-0.072778643,0.8937926,1.042402316,1.374248069,-0.513840574,-0.145820067,-0.566569514,0.350820769,-0.297014564,-1.030284862,-1.32667826,-0.752948134,-1.138985912,-0.041505222,-0.367132868,-0.848804525,2.802272416,0.322309806,-0.367620562,0.241452187,-0.958221876,0.409472151,0.961570936,1.94744173,3.090918125,0.585142825,0.380085498,0.1431939,-0.584221013,1.549568213,0.345657302,0.34685825,0.516810704,0.606016158,0.311469904,0.109180244,-0.836197617,-1.186371546,-1.086958033,-0.849807347,0.67057779,-1.691589713,0.237038551,0.071051664
13,FT32,SC6,SC,1.515975377,2.280434277,1.862124476,2.305720668,1.918208972,1.918159479,-0.035938639,2.355362083,2.041189921,2.703031965,1.451459085,0.174806784,-0.442905558,0.01584897,1.235111961,1.684449333,-1.032654391,-0.562066552,-0.93302511,-0.048955281,0.0233494,1.894110411,1.230756583,2.015134139,0.69804161,-1.001829291,-1.040636252,-1.528366645,-0.951207015,-1.218666844,-1.104257172,-1.162384377,-0.765666995,-0.948961836,1.389709898,0.439566999,-0.88201589,-1.162798318,-0.606880156,-0.660926443,-0.90562852,-0.727606927,-0.63088423,-0.877120589,0.038683211,-0.640143909,1.192710013,-0.344401116,-0.669479722,0.397713972,0.372936008,0.71555761,-0.535016412,-0.082713963,-0.17179225,-0.435135167,-0.222747478,-0.534548479,0.402199831,0.472106355,-0.640170905,0.06006416,-0.924458333,-0.863699004,-0.407140162,-0.250612002,-0.852045667,-1.537815297,-0.960988619,-1.278598291,-1.099199894,-0.461073965,-1.237906099,-0.797189496,0.16825122,0.89843851,-0.464349498,-0.777104362,-1.351150437,-0.767993163,1.116409902,0.838025632,-0.32594475,-0.066457783,0.728052327,-0.475948842,-1.04051477,-0.290309836,-0.251511873,0.549166857,0.004830043,-0.891561593,-1.125255676,-0.058084478,0.454117922,0.122537744,-0.983768868,-0.172687623,3.015332395,0.22108268,0.098164722,0.119959612,0.207553111,0.084153722,0.620441185,0.168071245,0.897169691,-0.124459006,0.119838129,-0.617449148,-0.564793163,0.949740189,0.081139152,-0.043115115,0.713145954,-0.074741101,0.561801054,0.770836721,-1.054827227,-1.303938675,-0.910456331,-0.635604057,0.395729755,-1.236065861,-0.233334467,0.419612346
14,FT78,SC7,SC,0.939373873,2.224173438,1.70239093,2.036528704,1.614722969,2.230083205,0.476797382,0.921522251,0.753182991,2.384264884,1.666530418,0.561770824,1.364366898,0.95980119,1.663521364,2.068506453,0.728722634,0.117919664,-0.098145076,0.744715004,0.726933278,1.408940037,0.511172589,1.343611067,0.904163401,-0.655033211,-0.849408999,-1.394180538,-0.437479671,-0.987615783,-0.626906771,-1.047419416,-0.635613103,-0.775157458,1.757602349,0.583215138,-0.070025625,-0.325928001,0.027508257,0.251100874,-0.381744026,-0.705827157,-0.474413097,-0.346051266,0.65124212,-0.528551602,0.778684809,-0.231312306,-0.654785078,0.400962936,0.016943368,-1.105458157,-0.801463344,-1.050914252,-1.350844571,-1.218530081,-0.741935803,-0.665507234,-0.711411905,-0.923471563,-0.170830675,0.038468063,-1.169364728,-1.003929677,-1.025255166,-1.378453776,-0.794811584,-1.274429983,-1.269925139,-1.3225364,-1.497278199,-0.558130758,-1.321138466,-0.601226716,-0.003805473,-0.058265502,0.16925531,-0.730343432,-1.223901644,0.881841883,2.305879208,0.431790884,0.042438197,0.409430924,-0.291371063,0.804165659,-0.999638019,-0.569046266,-0.470607221,0.524935253,0.129627365,-1.32638072,-0.442515729,-0.501564478,-0.590737468,0.509498562,-0.582796104,-0.357022395,2.802272416,0.322309806,-0.152329013,0.504481468,0.58767639,-0.6155171,0.961570936,0.760613013,1.499027009,0.352728482,0.477129113,-0.235480163,-0.39802657,0.7451239,-0.423636625,-1.020264541,-0.164795093,-0.853903358,-0.206537414,-0.665727409,-0.854965241,-1.000574635,-0.96456035,-0.640604091,0.704144864,-1.223774499,0.829975022,-0.313707286
15,FT30,SC8,SC,0.972303483,0.428755326,-0.115372831,0.625763205,0.896469469,1.006162411,-0.081079863,0.220070629,0.200995934,0.755667796,0.354269524,-0.398120813,0.81237718,-0.514020905,1.121924226,2.826067347,0.481477692,-0.131109647,-0.173073208,0.240243868,-0.112749388,2.766454122,-0.09003337,-0.041455506,0.123210663,-0.824386096,-0.883380911,-1.465984948,-0.217187763,-0.820687157,-0.667770786,-1.222561721,-0.158431094,-0.052729012,1.199586583,0.511042317,0.296588351,-0.341238581,0.635143069,0.89556682,-0.404696705,-0.069049668,-0.961216116,-0.32177978,0.905684168,-0.532308184,0.650737766,-0.853685689,-1.046468404,-0.332358054,0.359616277,1.205559429,-0.811395637,-1.334244331,-1.199380934,-1.296936132,-0.903039447,-0.837814436,-0.905935605,-1.137148108,-0.949239696,-0.281210522,-1.01306272,-0.664344562,-0.860680256,-1.133568242,-0.085919596,-1.192221201,-1.464832631,-1.24832754,-1.417042184,-0.346573811,-0.641582451,-0.503154552,0.06984684,-0.060234439,1.465341723,-0.338138847,-0.860115621,0.79382871,2.552745322,1.256503385,0.143614364,0.922016348,1.765904534,1.49287827,-1.268189652,-0.279247741,-0.379718303,2.33888672,0.880724971,0.736435617,-0.8948119,-0.349854075,-1.30759891,1.608305912,-0.350933412,-1.538196844,2.396782992,0.127854502,-0.17990261,0.714868075,0.97799209,0.38870077,1.365620168,1.79079075,-1.295461166,0.849193724,0.392219179,-0.052725171,-0.768583202,2.167256713,0.046831219,0.005985405,0.189407461,-1.052675554,0.493577025,0.163545616,-1.135938174,-1.499018049,-1.100093419,-0.731843479,1.201729894,-1.53205115,0.38205958,-0.137263022
16,FT31,HC1,HC,-1.193136767,0.451893602,1.420564531,-0.592705926,-0.252801267,-0.24238022,-0.269037571,-0.581249469,-0.396892886,-0.654964431,-0.266252674,-0.44774849,0.139083665,-0.418181278,-0.565901297,-0.287313455,0.00561839,-0.429570791,-0.268055716,0.114492672,-0.16176996,1.353606514,0.612815101,1.147684835,-0.351504428,-0.556712031,-1.022651111,-1.109679129,-0.417266368,-0.773617092,-0.531505146,-0.740059981,-0.393965175,-0.768261521,0.565248711,0.056291011,-0.035262463,-0.222176331,0.428837872,0.135366007,-0.495172065,0.111172218,-0.487460043,0.150754346,1.193666869,-0.7039679,0.352833403,-0.504312238,-0.977128764,-0.886084068,-0.536151104,-0.599422704,-0.560679616,-0.9164323,-0.9164323,-1.130208815,-0.774063389,-0.802180133,-0.541149636,-0.792361588,-0.766476331,0.114773839,-0.853504349,-0.472562632,-0.816461654,-1.163100943,-0.164496838,-0.756657786,-0.42218903,-0.853058051,-1.173098008,-0.383512887,-0.892778531,0.063003326,0.612212599,0.888510935,0.414132368,-0.253890233,-0.895902614,1.320111884,2.360127937,0.766216487,0.084938849,0.148228302,-0.335178864,0.611561005,-1.057908616,-0.18375904,-0.570462457,2.36004314,1.603122535,-0.895010019,-0.186195824,-0.224733615,-0.858859919,1.716986423,0.556340612,-0.631493644,2.549817774,0.470410486,0.183552751,0.990155197,1.566811768,0.328037112,0.432448419,4.807511998,3.505586243,1.079829759,-0.477391571,0.034815174,-0.189726037,2.087663297,0.088170043,-0.325949432,0.298175345,-0.216602075,1.117684715,0.530638337,-0.676592009,-1.143597741,-1.092273526,-0.843685803,1.678332594,-0.607750616,2.384790338,-0.035981002
17,FT32,HC2,HC,-0.307231806,-0.299536587,0.093458599,-0.507904775,-0.476898102,0.926031816,-0.280631767,-0.227803157,0.080063891,1.467974839,1.634345265,0.038860052,1.016061877,-0.239457062,-0.252443883,1.108724993,0.164893398,-0.244635766,-0.377468438,0.238436825,0.114927278,1.54882745,-0.069240847,0.15193207,-0.071258429,-0.652671774,-0.676908255,-1.845179503,-0.763329248,-1.280045208,-0.836774346,-1.502645728,-0.909676808,-0.866932468,0.375042448,-0.122775975,-0.364762039,-0.006943439,-0.215369896,0.03267984,-0.608059167,0.466299812,-0.380214389,-0.185350164,0.538728834,-0.51971528,0.773999335,-0.401333451,-1.410161063,-1.067452479,-0.39677386,-0.167905724,-0.59322593,-1.17603046,-0.959176772,-1.598939764,-1.374758683,-0.749701462,0.204687843,-0.686351561,-0.392986341,0.113343075,-1.423439231,-0.667446741,-1.213515975,-1.185874368,0.31067283,-0.681391367,-0.665760566,-0.78515847,-1.11568508,0.771089501,-0.409159777,0.068941695,0.55876991,-0.666925957,1.524973362,0.122811873,-1.048434762,1.454441741,3.106295439,0.417036568,-0.426363855,-0.468474514,-0.213177505,1.743258296,-0.434831146,-0.214535914,-0.940851005,1.696478791,0.980706842,-0.119720467,-0.262083848,0.15654993,-1.528859732,1.064749709,-0.430876101,0.160574169,3.228264485,0.74490099,0.355056,1.369451994,0.866341969,0.952868575,1.879248447,2.534481999,4.028986121,0.283533797,1.230391767,-0.231630736,-0.207951457,0.795304131,-0.040590449,0.186686201,0.497062481,-0.294073818,0.560303127,0.008297685,-1.256424198,-1.2169211,-0.946736227,-0.302457347,0.517063496,-0.998206429,1.321379634,-0.122073099
