"","lower","r","upper","p"
"FP-FP",NA,1,NA,0
"PL-FP",-0.48267130393536,0.336430020051854,0.841585614780212,0.415176082046199
"IL-FP",-0.497315195117097,0.319230228739816,0.835871450294904,0.440865209917589
"dACC-FP",-0.69287446568475,0.0230551244870866,0.716094156609568,0.956786957509521
"Vacc-FP",-0.817404771041249,-0.265878877103081,0.539959614065419,0.524473098317287
"OA-FP",0.139093080069329,0.768446615118927,0.955638127395332,0.0258973900798355
"AU-FP",0.130014601658886,0.764633512722768,0.954828861154616,0.0271134533374172
"M2-FP",0.616922077185048,0.921146545885482,0.985878685127091,0.00115440299170805
"M1-FP",0.374623058180247,0.853882373257697,0.973058449854794,0.00696944129645207
"S1-FP",-0.0170361405079072,0.695992108477614,0.93976184825827,0.0551998906831093
"SS-FP",0.0355399679694937,0.722127887107262,0.94561262059197,0.0430810840501765
"GA-FP",-0.120024351210858,0.638665577642496,0.926408184837527,0.0882893475889848
"AuA-FP",0.0394706970801671,0.724006167425743,0.946027597334719,0.0422791918368762
"RS-FP",-0.552465003863718,0.249238090995466,0.811403193041389,0.551671136171683
"AA-FP",-0.124142766254616,0.636183526775752,0.925813190274297,0.0899296790207457
"ViA-FP",-0.126013576490051,0.635050820787932,0.925541181391028,0.0906840720168341
"TeAA-FP",-0.305877968748305,0.508371305773945,0.893103027488491,0.198300865407144
"Prh-FP",0.149001106300656,0.772557752883485,0.956507491866695,0.024624710320759
"lpEC-FP",0.313785305475004,0.83403888367644,0.969130156590129,0.0100525028380402
"Ech-FP",-0.0834441135926896,0.6600396813431,0.93147317144521,0.0748838298737459
"VA-FP",-0.180957366527789,0.600257903046344,0.917037339212237,0.11564202623882
"aOn-FP",-0.0127073500996484,0.698217787393021,0.940265716651912,0.0540971683704852
"TT-FP",-0.0714765754087083,0.666780491237083,0.933048999901929,0.0709218016143906
"DPA-FP",-0.500492078699161,0.315426473795959,0.834592453596878,0.446633202718404
"PC-FP",-0.183335848386913,0.598681874537912,0.916645194350727,0.116854822515324
"PAA-FP",0.0548813875936868,0.731273464278434,0.94762636459927,0.0392621733007912
"FC-FP",-0.820693771489681,-0.177070659521785,0.664609463900745,0.704085844204237
"IG-FP",-0.830114301547503,-0.302238564439853,0.511339004844401,0.466868099384474
"CA1-FP",-0.903022010648908,-0.545417271487778,0.258675015829707,0.162056148207497
"CA2-FP",-0.763304807207605,-0.126875937923625,0.634527588677493,0.764648269738627
"CA3-FP",-0.953892052791259,-0.760236024516218,-0.119675252641005,0.0285589056204804
"DG-FP",-0.927126507291121,-0.641670096441405,0.11500383288478,0.086327102867095
"proSb-FP",-0.69586746161421,0.120155647921249,0.800757836983058,0.797486729254643
"Sub-FP",-0.33675284266432,0.482392003276181,0.885916566350563,0.226036384485921
"Clst-FP",-0.263010156998535,0.542141110941177,0.90215992913124,0.165103248977026
"dEPn-FP",-0.536652032540514,0.270201369724947,0.818944352960799,0.517491178720966
"vEPn-FP",-0.625865568198564,0.140986875750422,0.769236444499632,0.739131766507838
"LAn-FP",-0.619777676604688,0.150721398254983,0.773266266275389,0.72164812150713
"BLA-FP",-0.629795943727052,0.134622447265786,0.766574448450361,0.750616067549947
"BMe-FP",-0.645093593763986,0.109235696857117,0.755735550020273,0.79680654605296
"CCA-FP",-0.511052679270196,0.302590733441338,0.830234777342898,0.46632303771903
"PAn-FP",-0.428598131524268,0.39553481532016,0.860395896530758,0.332092502888389
"aAA-FP",-0.728039420228209,-0.0479833993278133,0.679670973582685,0.91016912749377
"CA-FP",-0.744746415058779,-0.0843301957532646,0.659535782415094,0.842628934969336
"IAn-FP",-0.776749746385539,-0.159234590616866,0.614376481625045,0.706443624222305
"MAn-FP",-0.332149489033476,0.486359062395042,0.887026621538684,0.221679019117506
"LSN-FP",-0.860065020308569,-0.394460784247376,0.429636379621108,0.333526931731129
"SFn-FP",-0.963414333762082,-0.805776888837454,-0.233933602997071,0.015752034872479
"DLS-FP",-0.485590055721507,0.333044897212584,0.840469866429683,0.42018049161056
"DMS-FP",-0.748084102639979,-0.0918083915184344,0.655256267846787,0.828824110982062
"NACC.S-FP",0.258946845236188,0.81491916584051,0.965279130036154,0.0137311372998962
"NACC.C-FP",-0.731985764309212,-0.0564093992387883,0.675098826751162,0.894456532060921
"FStr-FP",-0.748448659672312,-0.0926297022696951,0.654783319148402,0.82731023480211
"OT-FP",-0.0989284006662264,0.651136675663974,0.929376149684525,0.0803113789841556
"MGCn-FP",-0.664003531018832,0.0764326319871227,0.741185314485319,0.857245981082997
"Gpe-FP",-0.822549106859915,-0.280409263879846,0.52874125329767,0.501143010470543
"Gpi-FP",-0.869884503630249,-0.426885712871208,0.397301341202195,0.291513217261696
"SbInn-FP",-0.49642301058184,0.320293750579941,0.836228054395117,0.439258044279894
"MSn-FP",-0.81496176109483,-0.259065157524472,0.545123435593344,0.535549099151788
"DBn-FP",-0.683369783791226,0.0410902391720236,0.724777116347617,0.923042478974259
"TnS-FP",-0.923563543491926,-0.626852880149514,0.13939406778309,0.0962528126912755
"BNST-FP",-0.954423615461461,-0.762729065868022,-0.125519869717138,0.0277337617841335
"VALCT-FP",-0.511502315271741,0.302037599636094,0.830045530089855,0.467179252642646
"VMT-FP",-0.857522455395999,-0.386249795502042,0.437502451538738,0.344588029939473
"VPLT-FP",-0.390232749271137,0.433702488714258,0.871905155990166,0.283026687056386
"VPMT-FP",-0.35978717659225,0.462023667129511,0.880143404502581,0.249093474128201
"PTTn-FP",-0.0585687063941492,0.726533633347603,0.956351018425579,0.0644070113948209
"MGC-FP",-0.280634400864625,0.528565180705255,0.898556679833836,0.178058020676583
"dLGC-FP",-0.746738920966333,-0.088785537336665,0.656991936978999,0.834399904822823
"LPT-FP",-0.850841460969462,-0.365024316228174,0.457268466388727,0.373945272261904
"PCT-FP",-0.554685654835066,0.246232753907474,0.810306517266586,0.556635688485987
"PlnT-FP",-0.48861619122268,0.329512809020358,0.839301072449021,0.425429294063436
"EnT-FP",-0.599565508535616,0.18200342846999,0.785884410852685,0.666204816583298
"AVT-FP",-0.913178227780138,-0.584854436031337,0.203818385338505,0.127802400527163
"AMn-FP",-0.807405313740224,-0.238334240220915,0.560467990931131,0.569757608085993
"IADT-FP",-0.708780998766566,0.0949649801157916,0.791425004291863,0.839508416123302
"IMDT-FP",-0.893445757761662,-0.429079338620154,0.478636645648076,0.336732603006916
