"","FP","PL","IL","dACC","Vacc","OA","AU","M2","M1","S1","SS","GA","AuA","RS","AA","ViA","TeAA","Prh","lpEC","Ech","VA","aOn","TT","DPA","PC","PAA","FC","IG","CA1","CA2","CA3","DG","proSub","Sub","Clst","dEPn","vEPn","LAn","BLA","BMe","CCA","PAn","aAA","CA","IAn","MAn","LSN","SFn","DLS","DMS","NACC.SHELL","NACC.CORE","FStr","OT","MGCn","Gpe","Gpi","SubInn","MSn","DBn","TnS","BNST","VALCT","VMT","VPLT","VPMT","PTTn","MGC","dLGC","LPT","PCT","PlnT","EnT","AVT","AMn","IADT","IMDT","MDT","SMT","pRE","PVT","PT","RE","XiT","Rh","CMT","PCn","CLT","RT","IGLLGC","vlLGC","subGn","MHb","LHb","SON","PVH","IPVH","ArH","ADPO","AVPO","AVPV","DMH","MePO","MPA","PSN","SPZ","SCN","AHN","SMN","MPO","VMHn","PHn","LHA","LPO","PSTN","STN","ZI","FF","TN","reSN","cSN","VTA","PAG","SCO","PreCN","APTN"
"FP",0,0.415176082046199,0.440865209917589,0.956786957509521,0.524473098317287,0.0258973900798355,0.0271134533374172,0.00115440299170805,0.00696944129645207,0.0551998906831093,0.0430810840501765,0.0882893475889848,0.0422791918368762,0.551671136171683,0.0899296790207457,0.0906840720168341,0.198300865407144,0.024624710320759,0.0100525028380402,0.0748838298737459,0.11564202623882,0.0540971683704852,0.0709218016143906,0.446633202718404,0.116854822515324,0.0392621733007912,0.704085844204237,0.466868099384474,0.162056148207497,0.764648269738627,0.0285589056204804,0.086327102867095,0.797486729254643,0.226036384485921,0.165103248977026,0.517491178720966,0.739131766507838,0.72164812150713,0.750616067549947,0.79680654605296,0.46632303771903,0.332092502888389,0.91016912749377,0.842628934969336,0.706443624222305,0.221679019117506,0.333526931731129,0.015752034872479,0.42018049161056,0.828824110982062,0.0137311372998962,0.894456532060921,0.82731023480211,0.0803113789841556,0.857245981082997,0.501143010470543,0.291513217261696,0.439258044279894,0.535549099151788,0.923042478974259,0.0962528126912755,0.0277337617841335,0.467179252642646,0.344588029939473,0.283026687056386,0.249093474128201,0.0644070113948209,0.178058020676583,0.834399904822823,0.373945272261904,0.556635688485987,0.425429294063436,0.666204816583298,0.127802400527163,0.569757608085993,0.839508416123302,0.336732603006916,0.7544996725319,0.357283599256397,0.00469216090419942,0.0165404907327607,0.0259128139657522,0.250603141180464,0.263697812358944,0.102351748711686,0.471470781654129,0.321079430558052,0.728464231819431,0.100504794766302,0.140182193603191,0.00760872319283413,0.128016818838521,0.102911734417541,0.16588337135658,0.979829881688877,0.00205199374423279,0.0847206367371467,0.844575481815617,0.115442492275256,0.765699184277587,0.157209917704895,0.259349759795184,0.040879059361757,0.0955843759860761,0.0350449965844868,0.10951114771756,0.838198703411794,0.136537102866543,0.6979878959948,0.147104522525829,0.170225893613691,0.286356884999136,0.969040090134473,0.23061968740471,0.49671940174624,0.0975196726551161,0.0234206136979982,0.950230413374301,0.705433137920334,0.101928283934202,0.0556039051415239,0.11424254860749,0.932712068111457,0.344651262054648,0.0813139381285995,0.110123770532897
"PL",0.415176082046199,0,0.00270637473086549,0.0133002236963414,0.0369044437364146,0.448003023039804,0.110114150489868,0.41749386979892,0.441024494148642,0.312195359653721,0.433337134664931,0.137758249849749,0.293176808832376,0.904658438881135,0.529209328661697,0.743348622463251,0.62700502550181,0.265928803172674,0.812970586358394,0.291682183225516,0.285024018453338,0.0128515443763536,0.00351234992687067,0.00375476707306275,0.0504497414052269,0.335699309172504,0.665997973143173,0.0245707611347239,0.0988785769382048,0.399923729097717,0.553308133284933,0.335087212802687,0.588732964847188,0.294622698732788,0.0704976863549156,0.698914474869402,0.498782529656163,0.140586904646271,0.0575067594815118,0.225038186596669,0.655250560608347,0.160404132004699,0.557660510450961,0.86150307463818,0.433056321890808,0.612320304377774,0.198769080935526,0.718047729656036,0.876254551965593,0.444631927006229,0.360267971854661,0.303177675560391,0.0274453328536107,0.906568075123427,0.091404142137297,0.899190202461654,0.126512712812601,0.0744671774641205,0.0127841044292469,0.00935756691125162,0.30276072878634,0.621410808012009,0.149468784991699,0.154231100470003,0.223086177062089,0.0938486217717617,0.401431355299091,0.290994235531421,0.398671379212131,0.026632081673597,0.0211223338625481,0.122306903838467,0.0204998774397711,0.413772902270095,0.0791024059231535,0.548997405505237,0.266084621107176,0.025365322580218,0.188138830086776,0.169030344720311,0.931255598456374,0.820951280456408,0.0894500278077478,0.324756669467477,0.772041948295193,0.576995480110543,0.0969979587929904,0.0422884841575208,0.211181098777838,0.356269858600907,0.857919813987966,0.634005128718548,0.38632467466369,0.53272166417556,0.197772666027986,0.751489576826433,0.570099696130753,0.446517273677194,0.893747243130513,0.595019975413645,0.486457897350498,0.0591991917087884,0.734109064382648,0.683073659096339,0.718219420949878,0.183052200680228,0.404348294484673,0.154300598529492,0.524120318668911,0.822661077815257,0.376433819617311,0.219556157723121,0.0529492936441979,0.937960728554484,0.729474574531414,0.451916780166702,0.426735224738191,0.374334593434524,0.938822804787812,0.238594847892009,0.979997121383412,0.793833971858841,0.0963142060315356,0.100843101952062,0.759710307620648,0.700930360125873
"IL",0.440865209917589,0.00270637473086549,0,0.0530033063411795,0.0643606591620597,0.575612427618326,0.0995689030954989,0.522477816490189,0.589242930236532,0.581104204331493,0.671921101451579,0.257593281199024,0.362670390111227,0.640497627964034,0.547893972252277,0.82410123003514,0.695397499585223,0.481330916375585,0.801547819508508,0.512107428240532,0.375661798302372,0.00797246176142092,0.00238612808950331,5.80677798160692e-05,0.072376687354628,0.587574675877795,0.953643403304457,0.08163888723324,0.0198800733614048,0.442333030250926,0.500919972785431,0.402406676199434,0.218734462006202,0.174802746150054,0.0506666974939644,0.222184344817114,0.837555115811046,0.233779493102247,0.15923530693472,0.386510695830546,0.553187976783029,0.35722357426607,0.924364339776343,0.359108547103803,0.699738581261388,0.562709422677691,0.0910734230565915,0.691094069247517,0.946553858889215,0.313908987711041,0.326141142265825,0.302767011895707,0.101644230021942,0.669290214506657,0.0207644718832351,0.810329367775426,0.189623319565366,0.0714255055222797,0.0073862753727363,0.012002488845377,0.283931339246174,0.59981460146916,0.617898925045037,0.403347127551225,0.670488121168809,0.261674842119464,0.464539722090449,0.245471728438457,0.835214587542593,0.174246580876142,0.0848861354098336,0.0555157101578878,0.04519116684084,0.713498243078249,0.309460042085631,0.821698695445423,0.577304890248776,0.231376993496597,0.516520995935196,0.230496034170159,0.621581070531394,0.974177737850108,0.431000340798932,0.866923632839842,0.921459385101394,0.995202703468418,0.223814109775696,0.211671052504401,0.59098690065656,0.283977770205618,0.811227865864803,0.511897568693836,0.261041661847623,0.15685478718947,0.209636897209811,0.882021758513569,0.969419149239806,0.573398271228425,0.802478596602691,0.691754812754537,0.75944651183458,0.0179898158551046,0.669681542855961,0.716147392376384,0.626693528579697,0.182882969870152,0.297148951322306,0.151156194326281,0.822636931158823,0.896482250179447,0.314818142094458,0.0992751154546841,0.0290972658300314,0.620146220232432,0.83199574928604,0.515970908476723,0.254225369484994,0.892987355697029,0.694138418357334,0.570588839583178,0.733250027364395,0.544776697437544,0.329954989964074,0.0619788093251534,0.654075765992297,0.378956338156428
"dACC",0.956786957509521,0.0133002236963414,0.0530033063411795,0,0.0009201964235741,0.699416048015791,0.316331055500161,0.820542774087576,0.96492652555099,0.722840637206619,0.767472525064311,0.372685581833133,0.733202973734624,0.846633738718767,0.942187401256625,0.821953742749062,0.906486636840564,0.726569050163813,0.371500812141837,0.790985978373072,0.487331931995708,0.15423015079977,0.081364912497397,0.024535930229178,0.214903683658742,0.865536746301703,0.0833862919880893,0.0155008992216104,0.204320816935305,0.407948331694392,0.775316830136896,0.203202460315503,0.228523810844028,0.0880415457879399,0.108038975263196,0.859625329709923,0.162627532317469,0.0531108271169859,0.0164612102655376,0.0759788367179131,0.0988503958056904,0.115778608543325,0.199783370615423,0.650250649877391,0.967671088091793,0.860220610239686,0.0561745237150989,0.198642431820125,0.918220273265784,0.234392572071903,0.933060834500904,0.945261791010219,0.0524230009142325,0.734599089855098,0.134141308095703,0.742860624325197,0.0425159879284945,0.0268250298971718,0.0587602557109378,0.0239194049985346,0.117896768803611,0.168360138361842,0.0871686470386079,0.28755210702796,0.0925015109327629,0.0528996909454577,0.326694496253515,0.0574437060672223,0.433212019051162,0.102012460300739,0.0134751171199534,0.0810299634745635,0.0124305745384173,0.835302359642682,0.0595531130431213,0.774880853005131,0.564568320414069,0.0746949708999266,0.120873394665309,0.53320208127723,0.454460602402691,0.751707669935346,0.17897906076794,0.876181730713051,0.769327097955006,0.535032968598994,0.0453495648538373,0.0402380816388176,0.459069929987973,0.04383525232033,0.353736885955887,0.914276118370301,0.0858008272040735,0.963907954428617,0.456420513646668,0.712330093370758,0.304156185777605,0.0412416998043909,0.392083265777344,0.798462562403905,0.940278759448454,0.0966958078494259,0.798599058672282,0.566479294202366,0.550624004061724,0.468996539195082,0.582201198395176,0.89599585143326,0.398548768842772,0.208712616735404,0.187609079040852,0.465884906880625,0.206554820294355,0.382613726973847,0.977404787002834,0.434302912997372,0.838624479756604,0.817428519312525,0.944002409264084,0.65865185109193,0.401582323062369,0.302065220278715,0.394907027833973,0.080326182815545,0.174537517203938,0.275403332447813
"Vacc",0.524473098317287,0.0369044437364146,0.0643606591620597,0.0009201964235741,0,0.815140754942753,0.587535973708005,0.708408314554607,0.648966002184937,0.97636483395994,0.92040023255396,0.616024753616013,0.946851507584212,0.712579588457109,0.78525189476477,0.571906106067002,0.74864714118297,0.925264801538322,0.135999845554478,0.998932445403702,0.671895718165195,0.391353186052885,0.227362624406869,0.043468250683907,0.461574541248672,0.584358594086355,0.160141351445143,0.00175302054699991,0.345983915711259,0.399349342277298,0.91636559403446,0.0508787981196855,0.236122992269892,0.0133451631441963,0.217681331592571,0.746042012839874,0.312888157038591,0.0385030012892882,0.0230389595890672,0.079080981429347,0.0628760304152926,0.02862557071009,0.339540982444302,0.472084521621606,0.916108261016705,0.916365421525255,0.0218893355370251,0.0545255128202051,0.952544072193885,0.199623630619992,0.803744383938281,0.796696579659695,0.0227977375952849,0.325172792776837,0.0514231111760589,0.558452177484741,0.00503371070825075,0.00417510541811456,0.0705156717498167,0.0160965050088857,0.0297043233728736,0.0269066766812144,0.065934629175814,0.41714133270844,0.0528909705690586,0.0175469754595954,0.0968927822409,0.00798198960267413,0.606836039349455,0.225461209605391,0.00465910792153701,0.0165616396134022,0.00560850910708995,0.468282180046787,0.223288150410384,0.962208102134981,0.974355742068583,0.155370731887576,0.0847315136592458,0.978361743744383,0.119775700898609,0.359930704856829,0.487738694127408,0.942155157732632,0.377628365939645,0.477438177613019,0.00633556563606571,0.0426666703862383,0.750062195886411,0.00650272008601038,0.0741136920944193,0.609029428837744,0.0140485224084546,0.939390312900518,0.343878760823429,0.322202594341719,0.172008417428363,0.0909239035673212,0.222196019580821,0.98369547530769,0.804535596798268,0.176527128052781,0.341931317116793,0.475667217466438,0.397895287714918,0.688768589246687,0.49579166410917,0.905928317641003,0.898317799853713,0.19524852841211,0.0284980032087102,0.459213768719035,0.10082175484609,0.304807291149736,0.900751933522275,0.163339101081597,0.681321969020566,0.67862459845348,0.642243474572372,0.929352261761087,0.160652916479083,0.104036661835167,0.316467554417251,0.0172622506345225,0.0699233777123745,0.0965896617212555
"OA",0.0258973900798355,0.448003023039804,0.575612427618326,0.699416048015791,0.815140754942753,0,0.0135057155819962,0.0115018576069706,0.0465489108088902,0.0111386714407195,0.0543903867067079,0.0291352670422971,0.0177629359332007,0.0697561700572951,0.0156989770342937,0.00227210784060022,0.465462330302778,0.116140320237224,0.133087027565294,0.351661160059929,0.0899051028853951,0.0923038860375218,0.129134466673892,0.685598511324749,0.0353891344076484,0.229485925916317,0.802951306139356,0.62191608157115,0.177639796197427,0.466223236563595,0.047185929710067,0.054590428096489,0.544624094625028,0.496409329664735,0.111360948442938,0.344551263007447,0.809516373182494,0.483018592424425,0.683617102198789,0.659394729766719,0.448317096030411,0.662616386016261,0.713296169777207,0.88366007373103,0.245760401077311,0.827583122033359,0.436238402237715,0.212940433182555,0.0572835076469125,0.282367966462751,0.0919937473593118,0.94845467297807,0.735911332407642,0.0311999578436699,0.700149684644038,0.224951281634847,0.948680511788329,0.978022804508264,0.1956364561534,0.813179726051621,0.343275173200066,0.0976041097612929,0.826882143146574,0.132489381554705,0.844479777900792,0.440131870052103,0.141715919716709,0.765517758793611,0.906023229024534,0.0899340573210726,0.841972971818834,0.989665257916684,0.888734731557285,0.378004228581671,0.90587892827293,0.774194499370376,0.252777078670189,0.446538686155406,0.551771764181936,0.165535398354328,0.15831170161211,0.04024107991778,0.573407650269669,0.512269069297349,0.0175885345857337,0.303389601489486,0.508355084922614,0.755415545437416,0.0329642147420988,0.373638099729311,0.035821097117962,0.0073648532383196,0.223461978700372,0.122168402572169,0.813991778926087,0.172704990826268,0.271440602611912,0.466696493226757,0.0209141786821222,0.321097538762757,0.0562875387327479,0.142638270543581,0.0926483357168633,0.0521456582073057,0.029565160647616,0.559072732544788,0.617296036846235,0.490750272785976,0.701114194749242,0.317715242299605,0.665744640400337,0.128883839902427,0.668163015960017,0.144093853715254,0.255679351627306,0.304843946782635,0.110486944619949,0.65637304608481,0.874767924721416,0.371723141879898,0.393275158151493,0.438952784584655,0.715761587860472,0.486624361492165,0.0682416716585439,0.220190462158636
"AU",0.0271134533374172,0.110114150489868,0.0995689030954989,0.316331055500161,0.587535973708005,0.0135057155819962,0,0.00453964782217651,0.0131223459260836,0.0128864940407134,0.0155306735650953,0.00141282847179307,0.0759574841519696,0.394432398051244,0.0118074467659812,0.0309198977639115,0.64203491025725,0.145499510708718,0.279067141887911,0.242177950402142,0.00425555509881147,0.0143701283497706,0.0090655911851375,0.117157965675108,0.00516751281184322,0.409968951123074,0.791466062635875,0.737608153655176,0.00590619612558161,0.106023128263165,0.0038772949465091,0.370550306540444,0.961463921507853,0.868532081982846,0.000808007178354737,0.14590268773297,0.699527491210075,0.234967457288415,0.371755142399683,0.276498185042122,0.943836301642025,0.75710179190344,0.851412176342311,0.894109735898265,0.459940714620282,0.804334101233024,0.96878641481297,0.393709860925286,0.107162428200041,0.335647253447025,0.00543756533806323,0.844233206512413,0.470363800733236,0.179326568911829,0.191691001802033,0.733224650015673,0.654027488583066,0.488263066572034,0.0339579440010829,0.274869571449921,0.693660531195539,0.451609163807507,0.989457424987541,0.0340466778406954,0.805272395849417,0.743209074219561,0.300429978213365,0.962668263727138,0.955591188592939,0.0526942180879092,0.620888978162722,0.592999267829302,0.483669664143907,0.664414812494487,0.778224841194386,0.528960082854952,0.630690110071567,0.344030799633935,0.627481477683003,0.082809074682429,0.463131871808152,0.292664108374932,0.512814157086138,0.460802929737409,0.134340968439292,0.203191724649062,0.949072908963541,0.870565825805314,0.0399469898117735,0.695193794884483,0.235126145373326,0.0866498962910352,0.715177258746486,0.0391689716852856,0.344178532584164,0.139986742099332,0.303016508827377,0.352582503309657,0.32829815769724,0.32658918453334,0.056461681900923,0.00219885492331018,0.305161195505262,0.0635165241783682,0.0398422344233717,0.0460794631840827,0.452077172533248,0.0967719396239253,0.968276963317214,0.221884549082372,0.954735719843055,0.00534272969904125,0.184025771912341,0.343967099886559,0.0987046983663733,0.569675518402096,0.0746444635931793,0.891833895649313,0.886485772616073,0.309352446715572,0.585907563737114,0.685729174081117,0.591941414503802,0.816433907950434,0.317381840250997,0.441361707852165
"M2",0.00115440299170805,0.41749386979892,0.522477816490189,0.820542774087576,0.708408314554607,0.0115018576069706,0.00453964782217651,0,9.61160317562193e-05,0.00494394655421392,0.00108688288762871,0.00853094186712186,0.0790148389678167,0.300918030079917,0.0170184688971542,0.0240846699379388,0.435209037695752,0.0502914080226314,0.0331617479859695,0.0963407851067817,0.00801213829546321,0.103763560203405,0.0982388509469977,0.509721541603901,0.0664976577975928,0.179748709830793,0.907715214475419,0.636438699013605,0.116418555313508,0.273069895463591,0.00110553359315768,0.0997722444520191,0.554073410148185,0.221857439445534,0.0496174576562264,0.475765263606953,0.852935231521873,0.78630296818475,0.932117240996522,0.653401732135028,0.603653960616481,0.734691764166816,0.888723303811781,0.637682523628957,0.601988475117479,0.576311329124389,0.290064463437204,0.0524070673532133,0.144826508575604,0.982888982254032,0.00139075146606008,0.800335899179808,0.87907501078633,0.0272080320819111,0.911421507641719,0.873504418062122,0.576941049873372,0.681309632677047,0.395457116954117,0.930250326090738,0.142866439113333,0.0998828199549569,0.743648095672337,0.0726752122598797,0.462221153948177,0.290763360576411,0.0486916071744976,0.289803902933639,0.710031873408926,0.183671393752861,0.746936719891568,0.519214599110325,0.85362663186988,0.368963664356499,0.78153887610994,0.545072977863078,0.545732960341946,0.589673132227874,0.337465884013373,0.0143401967965656,0.0573451191470483,0.0921171250877101,0.346002730878055,0.1921557305134,0.0533531806257705,0.250574737011466,0.425268868124324,0.789751065893943,0.0188759130349847,0.1573470426476,0.0349729958223695,0.158324961990834,0.158101468364467,0.183736009449319,0.706519903566364,0.00491441645019805,0.109844068936868,0.707625200216729,0.139083183588472,0.492552240290414,0.0322979104597945,0.0949349786547987,0.059996182473269,0.039146264162484,0.020862699402436,0.0665164362814822,0.627750461076767,0.11316341334396,0.957354656094822,0.0706620946191027,0.328921767709628,0.110754555471358,0.781879408258645,0.414459095039222,0.118128957922896,0.137461834517157,0.0807248216976231,0.789917817610427,0.587833971884002,0.108733431925752,0.103630334455763,0.151022870123363,0.691875760725558,0.433641211725344,0.0884260934505091,0.0594402419957613
"M1",0.00696944129645207,0.441024494148642,0.589242930236532,0.96492652555099,0.648966002184937,0.0465489108088902,0.0131223459260836,9.61160317562193e-05,0,0.00439035645211199,0.00030499753174318,0.00530756005835655,0.184286818655537,0.311627875106861,0.0182723615030121,0.0378800564507787,0.612213419571017,0.0910441405714894,0.0650352396570045,0.107122402716386,0.00440815912169806,0.162624392035686,0.15521920087817,0.578626981937036,0.0765647937328894,0.200149272782736,0.963262646715299,0.748234347890242,0.158841369535925,0.165360767660526,0.00338083190244559,0.186992862089822,0.381633934049919,0.134028020003518,0.0725228843037654,0.661034132169781,0.867220127886029,0.764643516074008,0.883087679438001,0.554422342230334,0.450671464069893,0.960098785526704,0.63529080249742,0.366800721841647,0.466634706269916,0.80213376779777,0.255901566872861,0.0595266998383514,0.252390275811522,0.744009540431846,0.000267660431210264,0.952953733033832,0.67071551367813,0.0182835934708469,0.921639281463471,0.775484312073676,0.60165421623444,0.686246723911267,0.469154342822655,0.868035836247803,0.180129726745665,0.138939959679046,0.888291209833659,0.0381140877182108,0.491436769949263,0.368658674074044,0.0998529506061637,0.208138657733441,0.601933547105779,0.168725370329505,0.853542137535746,0.449762081436878,0.947984185611183,0.334437383473424,0.863361395281897,0.281639464098759,0.591399829655714,0.495718361889449,0.370945389556259,0.00820336772423891,0.0705351309607307,0.221519221751265,0.350855438974628,0.0982523118658026,0.108970578352103,0.240184452909692,0.499414401411088,0.918953913459165,0.0202009950716887,0.0925381445431316,0.0580967224912969,0.258866590031054,0.164873433932391,0.270002677613991,0.431029905211107,0.00491837052017698,0.156458404439001,0.774947534050833,0.238400593504708,0.392111628069152,0.0151459125962937,0.103946636952599,0.175201073010776,0.0273955180523953,0.0247917650575451,0.0436878802519298,0.373437548677904,0.0458268223030922,0.979854662352592,0.0261812189721757,0.307679911465408,0.12374084064563,0.667304723721859,0.502726910346131,0.0697204448649051,0.235406077224354,0.121143130986474,0.665967900379543,0.378032641999742,0.0721235674317073,0.075067476449606,0.101028963389207,0.400259049874455,0.533109141128868,0.0785341973521088,0.0228313731644887
"S1",0.0551998906831093,0.312195359653721,0.581104204331493,0.722840637206619,0.97636483395994,0.0111386714407195,0.0128864940407134,0.00494394655421392,0.00439035645211199,0,0.000805545434093576,0.00160441715431252,0.0516649839284863,0.0302592189172894,0.00150370028545927,0.00353520202330639,0.462775207958538,0.0541851587140567,0.15088991961206,0.0931065966552362,0.00567412499622041,0.201871577988633,0.168059080623871,0.687858601027637,0.0632938036440449,0.372869791703709,0.715979439751269,0.981705784312256,0.279073852371365,0.177691370180659,0.0192478128026429,0.223050447626579,0.148827341497157,0.403674308769128,0.0820804858756249,0.549480659983223,0.970497154729108,0.366827684488155,0.611670599856175,0.411135113552057,0.443008604280754,0.674071954005416,0.853207166627192,0.497576564584714,0.17731850032295,0.959917615783927,0.262951945695722,0.184038934753295,0.093522477129266,0.633956203580848,0.0160756263474998,0.727252704463986,0.597705150290334,0.0209258387000371,0.636884302207374,0.953849594973538,0.837306162077965,0.907854027248066,0.214440455362091,0.699799691900519,0.33693478798509,0.230746187967726,0.651500512936631,0.00866805516480817,0.854461473064345,0.667258547550926,0.176331634521723,0.645739657906004,0.40748285640551,0.0369305921123157,0.866315447806863,0.899251402205471,0.902398055377931,0.418543951002393,0.951208830947212,0.141756260615045,0.328070920578532,0.273293682973973,0.74710897880878,0.0425951978343074,0.173827327822043,0.191236424511015,0.42344284080259,0.0700133560390077,0.0989700738704792,0.437390406095429,0.882815569435149,0.821105186612144,0.00020348261786482,0.257085017059972,0.147013502110666,0.142912232021525,0.21733961956314,0.320342957319459,0.600872933469868,0.0920997786641231,0.34690726118131,0.397006177256241,0.104760478501855,0.0787514249756177,0.000199418044238206,0.0190662691619067,0.269944978960135,0.00610041118199409,0.0149385089328659,0.298329090740642,0.768386531126341,0.100903665973556,0.888162482991033,0.069544419655104,0.836612132818044,0.0709598424234407,0.413344623694608,0.406007579993968,0.0205587296277708,0.448382382317213,0.402848243419581,0.219534787134265,0.818212526790303,0.198324665858602,0.278727424644299,0.361950320031016,0.507332906488062,0.625120307731896,0.0586706829394942,0.0719129006651728
