"V1","V2"
"FP","OA"
"FP","AU"
"FP","M2"
"FP","M1"
"FP","Prh"
"FP","lpEC"
"FP","PAA"
"FP","NACC.SHELL"
"PL","IL"
"PL","dACC"
"PL","Vacc"
"PL","aOn"
"PL","TT"
"PL","DPA"
"PL","IG"
"PL","FStr"
"IL","aOn"
"IL","TT"
"IL","DPA"
"dACC","Vacc"
"dACC","DPA"
"dACC","IG"
"Vacc","IG"
"Vacc","LSN"
"Vacc","FStr"
"Vacc","Gpi"
"Vacc","TnS"
"Vacc","BNST"
"Vacc","IGLLGC"
"Vacc","MHb"
"Vacc","SCO"
"OA","AU"
"OA","M2"
"OA","S1"
"OA","GA"
"OA","AuA"
"OA","AA"
"OA","ViA"
"OA","PC"
"OA","OT"
"OA","Rh"
"AU","M2"
"AU","M1"
"AU","S1"
"AU","SS"
"AU","GA"
"AU","AA"
"AU","ViA"
"AU","VA"
"AU","aOn"
"AU","TT"
"AU","PC"
"AU","Clst"
"AU","NACC.SHELL"
"M2","M1"
"M2","S1"
"M2","SS"
"M2","GA"
"M2","AA"
"M2","ViA"
"M2","lpEC"
"M2","VA"
"M2","NACC.SHELL"
"M2","OT"
"M1","S1"
"M1","SS"
"M1","GA"
"M1","AA"
"M1","ViA"
"M1","VA"
"M1","NACC.SHELL"
"M1","OT"
"M1","APTN"
"S1","SS"
"S1","GA"
"S1","RS"
"S1","AA"
"S1","ViA"
"S1","VA"
"S1","NACC.SHELL"
"S1","OT"
"SS","GA"
"SS","AA"
"SS","ViA"
"SS","VA"
"SS","NACC.SHELL"
"SS","OT"
"GA","AA"
"GA","ViA"
"GA","VA"
"GA","PC"
"GA","Clst"
"GA","NACC.SHELL"
"AuA","TeAA"
"AuA","Prh"
"RS","ViA"
"RS","proSub"
"AA","ViA"
"AA","VA"
"AA","DLS"
"AA","NACC.SHELL"
"ViA","DLS"
"ViA","OT"
"ViA","Rh"
"TeAA","Prh"
"TeAA","Ech"
"TeAA","MAn"
"Prh","lpEC"
"Prh","Ech"
"lpEC","VPMT"
"lpEC","PTTn"
"VA","Clst"
"VA","NACC.SHELL"
"aOn","TT"
"aOn","DPA"
"aOn","PC"
"aOn","Clst"
"TT","DPA"
"TT","PC"
"TT","Clst"
"DPA","Clst"
"PC","Clst"
"PAA","reSN"
"PAA","cSN"
"IG","DG"
"IG","LSN"
"IG","FStr"
"IG","Gpi"
"IG","TnS"
"IG","BNST"
"IG","MHb"
"IG","STN"
"IG","SCO"
"CA1","MSn"
"CA1","LHb"
"CA1","DMH"
"CA1","SPZ"
"CA1","PHn"
"CA1","ZI"
"CA2","LAn"
"CA2","BMe"
"CA2","VMT"
"CA2","PSTN"
"CA3","PVH"
"CA3","PSN"
"CA3","SPZ"
"CA3","PHn"
"CA3","PSTN"
"DG","LSN"
"DG","SFn"
"DG","TnS"
"DG","BNST"
"DG","PT"
"DG","vlLGC"
"DG","MHb"
"DG","IPVH"
"DG","ADPO"
"DG","MePO"
"DG","STN"
"DG","SCO"
"DG","PreCN"
"proSub","FF"
"Sub","OT"
"Sub","SubInn"
"Sub","MGC"
"Sub","PlnT"
"Sub","VMHn"
"Sub","cSN"
"Sub","VTA"
"Sub","APTN"
"Clst","NACC.SHELL"
"dEPn","vEPn"
"dEPn","CA"
"vEPn","VALCT"
"vEPn","dLGC"
"vEPn","AMn"
"LAn","BLA"
"LAn","BMe"
"LAn","PAn"
"LAn","MGCn"
"LAn","SubInn"
"LAn","MSn"
"LAn","DBn"
"LAn","LPT"
"LAn","PCT"
"LAn","EnT"
"LAn","ArH"
"LAn","LHA"
"BLA","BMe"
"BLA","PAn"
"BLA","SubInn"
"BLA","DBn"
"BLA","VPMT"
"BLA","LPT"
"BLA","PCT"
"BLA","EnT"
"BLA","MDT"
"BMe","PAn"
"BMe","SubInn"
"BMe","VMT"
"BMe","PCT"
"BMe","EnT"
"BMe","ArH"
"CCA","VTA"
"PAn","SubInn"
"PAn","DBn"
"PAn","VALCT"
"PAn","VPLT"
"PAn","VPMT"
"PAn","PCT"
"PAn","EnT"
"PAn","PCn"
"PAn","CLT"
"PAn","VMHn"
"LSN","SFn"
"LSN","TnS"
"LSN","BNST"
"LSN","PVT"
"LSN","IGLLGC"
"LSN","MHb"
"LSN","STN"
"LSN","SCO"
"LSN","PreCN"
"SFn","Gpi"
"SFn","TnS"
"SFn","BNST"
"SFn","PVT"
"SFn","PT"
"SFn","IGLLGC"
"SFn","vlLGC"
"SFn","MHb"
"SFn","PVH"
"SFn","IPVH"
"SFn","MPO"
"SFn","STN"
"SFn","SCO"
"SFn","PreCN"
"FStr","SON"
"FStr","PAG"
"FStr","SCO"
"OT","VTA"
"OT","APTN"
"MGCn","SubInn"
"MGCn","MSn"
"MGCn","DBn"
"MGCn","MGC"
"MGCn","PlnT"
"MGCn","EnT"
"MGCn","VMHn"
"MGCn","PHn"
"MGCn","LHA"
"Gpe","LPO"
"Gpe","PAG"
"Gpi","TnS"
"Gpi","BNST"
"Gpi","IGLLGC"
"Gpi","MHb"
"Gpi","STN"
"Gpi","SCO"
"SubInn","MSn"
"SubInn","DBn"
"SubInn","VPMT"
"SubInn","MGC"
"SubInn","PCT"
"SubInn","PlnT"
"SubInn","EnT"
"SubInn","PCn"
"SubInn","VMHn"
"SubInn","LHA"
"MSn","DBn"
"MSn","LPT"
"MSn","PlnT"
"MSn","DMH"
"MSn","PHn"
"MSn","LHA"
"DBn","VPMT"
"DBn","PCT"
"DBn","PlnT"
"DBn","EnT"
"DBn","MDT"
"DBn","PCn"
"DBn","LHA"
"TnS","BNST"
"TnS","PVT"
"TnS","IGLLGC"
"TnS","vlLGC"
"TnS","MHb"
"TnS","PVH"
"TnS","IPVH"
"TnS","MePO"
"TnS","STN"
"TnS","SCO"
"BNST","PVT"
"BNST","PT"
"BNST","IGLLGC"
"BNST","vlLGC"
"BNST","MHb"
"BNST","ADPO"
"BNST","SCO"
"BNST","PreCN"
"VALCT","VPLT"
"VALCT","VPMT"
"VALCT","dLGC"
"VALCT","PCT"
"VALCT","MDT"
"VALCT","SMT"
"VALCT","PCn"
"VALCT","CLT"
"VMT","LPT"
"VMT","RT"
"VMT","AVPV"
"VMT","DMH"
"VMT","PSTN"
"VPLT","VPMT"
"VPLT","PCT"
"VPLT","SMT"
"VPLT","PCn"
"VPLT","CLT"
"VPMT","PTTn"
"VPMT","PCT"
"VPMT","EnT"
"VPMT","SMT"
"VPMT","PCn"
"VPMT","CLT"
"PTTn","SMT"
"PTTn","PCn"
"MGC","PlnT"
"MGC","VMHn"
"MGC","cSN"
"MGC","VTA"
"MGC","APTN"
"dLGC","RE"
"dLGC","XiT"
"LPT","MDT"
"LPT","RT"
"PCT","EnT"
"PCT","MDT"
"PCT","SMT"
"PCT","PCn"
"PCT","CLT"
"PCT","LHA"
"PlnT","EnT"
"PlnT","VMHn"
"PlnT","LHA"
"PlnT","VTA"
"EnT","MDT"
"EnT","PCn"
"EnT","CLT"
"EnT","LHA"
"AVT","IMDT"
"AMn","RE"
"MDT","CLT"
"SMT","PCn"
"SMT","CLT"
"pRE","XiT"
"pRE","PVH"
"pRE","ZI"
"PVT","PT"
"PVT","IGLLGC"
"PVT","vlLGC"
"PVT","MHb"
"PVT","PVH"
"PVT","MePO"
"PVT","SCO"
"PVT","PreCN"
"PT","vlLGC"
"PT","MHb"
"PT","ADPO"
"PT","MePO"
"XiT","RT"
"PCn","CLT"
"RT","AVPV"
"IGLLGC","vlLGC"
"IGLLGC","MHb"
"IGLLGC","MPO"
"IGLLGC","PreCN"
"vlLGC","MHb"
"vlLGC","PVH"
"vlLGC","ADPO"
"vlLGC","PreCN"
"subGn","LHb"
"subGn","ADPO"
"subGn","PSN"
"subGn","LPO"
"MHb","ADPO"
"MHb","STN"
"MHb","SCO"
"MHb","PreCN"
"LHb","PHn"
"LHb","LPO"
"SON","PAG"
"IPVH","PSN"
"IPVH","MPO"
"IPVH","STN"
"ADPO","MePO"
"ADPO","MPA"
"ADPO","PSN"
"ADPO","LPO"
"ADPO","PreCN"
"AVPO","AVPV"
"AVPO","MPA"
"AVPV","DMH"
"AVPV","MPA"
"AVPV","PSN"
"AVPV","MPO"
"AVPV","PSTN"
"AVPV","PreCN"
"DMH","PHn"
"DMH","PSTN"
"MePO","STN"
"MePO","SCO"
"MPA","PSN"
"MPA","MPO"
"MPA","PSTN"
"MPA","PreCN"
"PSN","MPO"
"PSN","LPO"
"PSN","PreCN"
"MPO","PSTN"
"MPO","PreCN"
"VMHn","cSN"
"VMHn","VTA"
