"","FP","PL","IL","dACC","Vacc","OA","AU","M2","M1","S1","SS","GA","AuA","RS","AA","ViA","TeAA","Prh","lpEC","Ech","VA","aOn","TT","DPA","PC","PAA","FC","IG","CA1","CA2","CA3","DG","proSub","Sub","Clst","dEPn","vEPn","LAn","BLA","BMe","CCA","PAn","aAA","CA","IAn","MAn","LSN","SFn","DLS","DMS","NACC.SHELL","NACC.CORE","FStr","OT","MGCn","Gpe","Gpi","SubInn","MSn","DBn","TnS","BNST","VALCT","VMT","VPLT","VPMT","PTTn","MGC","dLGC","LPT","PCT","PlnT","EnT","AVT","AMn","IADT","IMDT","MDT","SMT","pRE","PVT","PT","RE","XiT","Rh","CMT","PCn","CLT","RT","IGLLGC","vlLGC","subGn","MHb","LHb","SON","PVH","IPVH","ArH","ADPO","AVPO","AVPV","DMH","MePO","MPA","PSN","SPZ","SCN","AHN","SMN","MPO","VMHn","PHn","LHA","LPO","PSTN","STN","ZI","FF","TN","reSN","cSN","VTA","PAG","SCO","PreCN","APTN"
"FP",0,0.0435505649280855,0.0785894930980737,0.208521694306429,0.931816247549841,0.199025260424441,0.0261677433816469,0.00214865509933714,0.0361898841790993,0.224789560609495,0.123474335700613,0.0971444926627646,0.0584480096113035,0.208995004512066,0.901670298509395,0.74047513544776,0.0293671994650176,0.129619794054662,0.3979848254865,0.544553377410448,0.0493380788423491,0.519572372089056,0.559387037099797,0.201177458249484,0.0196917279944563,0.972226886822062,0.00113565939009976,0.856366677906927,0.231518412435895,0.325200112975834,0.0151635476972104,0.21081953187481,0.535372001057959,0.569576123011263,0.129150705435451,0.041801174144751,0.0525040205584187,0.342709539049459,0.0435367230306041,0.441056130758353,0.902190268691667,0.436814533900426,0.822739352005571,0.411742408631843,0.737947162292491,0.309836823165654,0.530120455892281,0.692270286104362,0.0741559602995825,0.265967464978426,0.335573332797706,0.262210715213877,0.452946539084193,0.599122129650452,0.265820342295214,0.777479467050353,0.589599140950458,0.842727329122141,0.620713261660953,0.661502558208185,0.636153840804291,0.641299269215936,0.236152049753846,0.409016387481898,0.0194977427702309,0.605295215513053,0.591756708274829,0.306731687884443,0.59085430617727,0.273275137055834,0.852216559522756,0.0952953625418486,0.181735656299333,0.0350123788238283,0.18628373498154,0.261704802608386,0.134106286681615,0.208164827115302,0.721425014889279,0.733471385720174,0.228125017686528,0.54174068581396,0.36465300218028,0.767008726651139,0.602487440319075,0.272264538906717,0.418236771657598,0.661293969082779,0.0976855062617644,0.30952857580994,0.233237252402078,0.9919290604819,0.733658955968471,0.533549043729723,0.750951056973029,0.0873944706235004,0.483802552391068,0.283381451137427,0.40707564320786,0.302041181291078,0.787618948691366,0.850908298512877,0.836813212634264,0.835634755989345,0.108488203730233,0.670810692604521,0.439002541023258,0.880875727544964,0.0175580419977212,0.918601267900727,0.227902955286976,0.496659957802561,0.811186715815197,0.915798884281771,0.368508726043643,0.271799199173741,0.291027613692675,0.0147699449949142,0.996643951500741,0.536150497834913,0.796677370019062,0.343458980890703,0.20787928126033,0.0839663737723457,0.592399575785235,0.0842082394532587
"PL",0.0435505649280855,0,0.0046448270809548,0.0610454341496542,0.888985979557265,0.646722463735603,0.0928957772176618,0.0154827724717366,0.0158645013613743,0.316483045606821,0.0626583041203505,0.000535159924133954,0.282543737596699,0.923795775576102,0.498417967093399,0.421217391194111,0.194556799628653,0.715034390635712,0.647722845628618,0.188709516956506,0.0190733423651906,0.763798546810542,0.519514667347841,0.177205022568991,0.251955181523381,0.82109969614824,0.00294535385090467,0.155237662758975,0.547893950716467,0.739377533200741,0.242307164678646,0.820246884868825,0.129163535574147,0.068062422888125,0.225856163520758,0.11530107932714,0.0642998555402706,0.740319132541007,0.210554336728216,0.917048089154193,0.354593854094004,0.696211631714735,0.981554356050209,0.699531111811954,0.675911471892235,0.0474498571321557,0.0225459737451601,0.266082577779083,0.127894727881777,0.177260308904554,0.967907562603894,0.88213892432993,0.384087695394189,0.509756001863981,0.635155863879608,0.69041988576094,0.266673185912107,0.617924937229734,0.203910651652402,0.733376814971556,0.448807063447133,0.254270168114807,0.13415960062806,0.137122448143656,0.187948284410982,0.924701042083225,0.689468310770813,0.636226986578005,0.13464896373555,0.21779446006251,0.666226520567765,0.322182158459961,0.0421490317441923,0.400117689921047,0.631164969281291,0.0436894827944325,0.0819732961772961,0.259885221844223,0.658888121160616,0.779610644623834,0.928206321172089,0.803995813637518,0.140829645334506,0.51419788171591,0.431968047658939,0.528855496795224,0.987416846201907,0.194897726967456,0.637526926121768,0.260292044329392,0.438967046111211,0.89452316206172,0.876727383066507,0.305569706402984,0.0998175583174397,0.229297441758286,0.936360330221275,0.210550094435207,0.851687169031162,0.354623390875582,0.576877497843335,0.94255799334953,0.565201599816645,0.520870122072408,0.466876108330041,0.384912858177853,0.21040149164823,0.992365505974923,0.617896547609932,0.734863002789608,0.144459391551181,0.942787965914199,0.287266876310309,0.718183191906721,0.474360154554507,0.743674126961788,0.237274097306089,0.0339082290484201,0.672057788396403,0.248588317256268,0.359606448104175,0.812673515036257,0.966523428008547,0.334938191450124,0.815410706484285,0.0390951555131854
"IL",0.0785894930980737,0.0046448270809548,0,0.380165016044987,0.511543268014596,0.768641333741421,0.308127623763194,0.15530395281457,0.203553246803657,0.954974453363609,0.240365992945432,0.0129491217201374,0.612547821683994,0.932155567946398,0.220557843525891,0.13328821651048,0.216149894188752,0.781712473213996,0.940409919961504,0.0270114514662258,0.0618639303871395,0.854235776962535,0.403905416774605,0.0640252535769855,0.293106695944026,0.792822653771443,0.0568656167853047,0.230695892142193,0.885577321472887,0.422796148731817,0.184722316519278,0.935759803037543,0.105433619570267,0.0202040606617764,0.239965318219089,0.136980544471035,0.0339428296593763,0.772534596009044,0.103304965066335,0.915487463265939,0.598886807489288,0.581167803847458,0.750042640255305,0.78548104473013,0.629601383094018,0.223002743786649,0.0692930266252595,0.400640585329494,0.342873186956688,0.151882362215217,0.963844388027127,0.729201677704663,0.584324904874669,0.694498950065651,0.370269673244497,0.358696504031915,0.22434749008253,0.401585377373113,0.0207360226052266,0.866395374884382,0.315769378084084,0.245055151793739,0.276884213099655,0.0790938640745858,0.572641424516022,0.580545131023633,0.478250973119943,0.800661060598351,0.232961777482915,0.172112849618279,0.258298869702348,0.504758940757917,0.0244484608315917,0.0974779289699101,0.742555674058726,0.0583531728916435,0.105713260137629,0.251078197016891,0.324171913569315,0.689783308045936,0.665606753056058,0.466248784528644,0.0565808600266789,0.199267232568788,0.260247047046741,0.290133788262598,0.654445749172673,0.0428587105335643,0.940739123649928,0.851733141624246,0.854271419977998,0.552319717801283,0.750863093359685,0.14688796990211,0.113042028655705,0.430808771416316,0.497635571976055,0.420591224661629,0.28304928063495,0.0664714424869214,0.236684041795219,0.712228065336434,0.824000512275145,0.190705293600467,0.0930906897767731,0.842127979497473,0.747662883179734,0.631243315774556,0.514302097991376,0.519490178589761,0.0766062562960621,0.810755886517182,0.461148153423428,0.30675620221182,0.135734007500549,0.865357544750382,0.389459468870195,0.0355773640631298,0.366943201450528,0.173007658536045,0.364815606507468,0.719953346953584,0.694712655524863,0.188939892306486,0.454046352336353,0.090980094394403
"dACC",0.208521694306429,0.0610454341496542,0.380165016044987,0,0.0452167163541663,0.595604735934546,0.103105875748135,0.0120834179800976,0.0120611548926333,0.158897991288429,0.14355864960426,0.0959951251057031,0.217279460285614,0.982961269453314,0.913117533760266,0.496089052846324,0.139205761650909,0.421651277208739,0.275271913000736,0.644914774701686,0.0936912106797932,0.655083531002352,0.854944292404473,0.776845785055787,0.813565015656957,0.531218622994589,0.180682276981046,0.0388984075596557,0.171511228249949,0.401323164273858,0.972519385932562,0.860629825285293,0.862240214624164,0.622926575934022,0.497957716131485,0.296713134829673,0.389320710030639,0.599983465360343,0.936118511324286,0.441017836542269,0.10527734686989,0.939109246647978,0.423483580866792,0.432294521301693,0.146472671508105,0.574466487649048,0.230168345388014,0.244594632969401,0.0345600189143402,0.58852949522879,0.824528549639477,0.82326738506348,0.0420490905726239,0.83410384369766,0.966367829292267,0.494788320491806,0.326255789011593,0.524804821257259,0.759591972671258,0.797344733884593,0.641122773436474,0.718526853039652,0.0743800979043036,0.462004466235206,0.0613377657451877,0.317919039859362,0.235582145459008,0.437138683909335,0.206016781499114,0.625862272689059,0.209702036525305,0.654490754217949,0.363930448510322,0.710761496998752,0.489512353293659,0.0687264021838813,0.3572961418666,0.168599115326482,0.786055691050702,0.63669686222899,0.402835119528703,0.974229753168452,0.992608538366705,0.510716098141567,0.745906908202157,0.650875205692771,0.500060682982389,0.505433227640479,0.691487905137348,0.00547994979868823,0.0176783502777835,0.251180454311226,0.192271924311246,0.531946059150316,0.184690231234968,0.734348566640827,0.253975638884804,0.607949013602406,0.215234003241554,0.930790067622041,0.913266297670518,0.188912279540211,0.13769184551657,0.81598727913554,0.482803196293709,0.426173913887937,0.115357633942707,0.687423888546202,0.607863586616565,0.682163033723469,0.861332929726638,0.16760552495902,0.540074994270143,0.806179897203052,0.479416027811238,0.412280225633978,0.414039882335207,0.547724341032585,0.587711085041923,0.784635212216277,0.994285995879876,0.287656617842817,0.948029535155233,0.339427747747612,0.253388862673095,0.315080599269633
"Vacc",0.931816247549841,0.888985979557265,0.511543268014596,0.0452167163541663,0,0.870115763233251,0.792886990908588,0.384394438613134,0.420076959328006,0.230156942461222,0.809514355924285,0.882937752071888,0.492888305154407,0.633483430382767,0.479021019678728,0.975036862666513,0.47015291552683,0.363161496213873,0.440264140212542,0.884686258584864,0.989613325088232,0.817459905888772,0.37132812879921,0.273185970863135,0.44161383082099,0.706793751562904,0.866084088709017,0.254511572981182,0.0735444223840711,0.176370282074201,0.291907672178705,0.971638927341257,0.279997656296434,0.404001430875772,0.700994906394528,0.792007843639644,0.554283798023618,0.718187885999446,0.192762368952946,0.415004189544951,0.418964136626719,0.854243601385397,0.105622324445794,0.470711223785809,0.173956689816149,0.969856355836394,0.781934622482808,0.674314633828526,0.503779044112589,0.918140508682643,0.940921247351158,0.840477734808084,0.0147423139008544,0.300103065151444,0.915902541328004,0.045782151118914,0.716296112026001,0.0301119716368808,0.486825093491321,0.828737525372613,0.771915492867252,0.241977441635521,0.386399100210399,0.883105463373605,0.335897518373925,0.0493183920631728,0.108970017486777,0.454305736797557,0.904292905799739,0.318333935525387,0.058891013863551,0.597579690460547,0.47703418979708,0.128280809860988,0.874542314926416,0.557239953108714,0.623804764758094,0.699012136229183,0.953176650082902,0.416322015810454,0.29392619643403,0.519117038888102,0.141033072577751,0.117953317521868,0.758555041651312,0.751200884596755,0.530768387144371,0.635643999376217,0.978928552536006,0.00624121582720555,0.00514768303912998,0.215890934479451,0.0547357709477687,0.810599737582504,0.85845230694998,0.775072413964711,0.0549881271030495,0.880497020443836,0.0493725960265419,0.662518417518911,0.357277698590034,0.0784179014235942,0.168353898885426,0.626362880672739,0.0647066766660409,0.707669738677927,0.397954349962131,0.685648601383198,0.904211065047021,0.85173501194906,0.3719663178674,0.0366159719458868,0.826221796468823,0.684553594303347,0.228792278545075,0.822306581113425,0.604147934933443,0.627649635910663,0.347189628380535,0.599543555732502,0.48321513902547,0.30894770737196,0.922587395522704,0.656799343102154,0.253775130948548,0.483353085110502
"OA",0.199025260424441,0.646722463735603,0.768641333741421,0.595604735934546,0.870115763233251,0,0.05197623803118,0.171692574653927,0.297039837153381,0.216502513888679,0.506679601375102,0.612466661883921,0.133474118097211,0.102928171177175,0.562718017674206,0.184702619374823,0.578225056892833,0.0456308677587791,0.139543204725519,0.0755285645400861,0.545987234081209,0.211776865149897,0.423237247594161,0.621016210653551,0.0375888869918648,0.968137591509452,0.107196004252839,0.441985260686205,0.677547079251735,0.890892257598284,0.155710857100241,0.359889149293748,0.792550396399248,0.378859625117053,0.160092117218548,0.213344932345328,0.489570242272903,0.341009383952252,0.404469085827635,0.0646034469103039,0.933058884804837,0.897580490803184,0.891770424243197,0.08107407550773,0.0889082135420012,0.437909540066271,0.980458775743842,0.500054048091873,0.213366588680921,0.648985226184174,0.0898161548088167,0.12030766501585,0.877674064032651,0.195893363689975,0.88059805160389,0.58118835212543,0.918907506990948,0.964814921283767,0.209305741656642,0.264885273598935,0.218281268432,0.742139087212213,0.434744134167228,0.756415573861556,0.0995902250838546,0.434933861301308,0.0147765406190708,0.177827855673358,0.929005181330216,0.379390207842282,0.850459559628114,0.0432606942617032,0.641327148499298,0.664549439474142,0.189370593063239,0.859452629220478,0.407907937591878,0.715848869341323,0.671148345691729,0.875082347745518,0.0405846973254747,0.242176683559501,0.549539675056522,0.783566725370856,0.614700767231151,0.757211351979322,0.673797716181656,0.390959955590592,0.0467871903089177,0.594480306551636,0.221570546535375,0.272906110027522,0.842421527438959,0.946907810483415,0.370695975155275,0.0915034206988828,0.142985457231129,0.426977937491742,0.795171178732272,0.319050974788065,0.134773125346531,0.755211521545853,0.741665057044434,0.375628841837332,0.871095663103635,0.486018348277793,0.0438642802206907,0.149533505524557,0.934484055456723,0.411252764490361,0.595607621539825,0.912235132575867,0.415848899427851,0.411851420076704,0.817872914779453,0.0525540635711153,0.269037626247485,0.122882612004989,0.520119835014441,0.967201477494757,0.642229754112289,0.944936211965944,0.160892336831323,0.978700906309222,0.335627742988048,0.230501184330994
"AU",0.0261677433816469,0.0928957772176618,0.308127623763194,0.103105875748135,0.792886990908588,0.05197623803118,0,0.00282547571059688,0.0201571726689923,0.407610752399351,0.191868952116531,0.0492049943612915,0.182445969637282,0.133376951934736,0.512174843151164,0.785037566657202,0.0665118518634211,0.116328837690795,0.0469340384030154,0.731210160073681,0.0292738040469927,0.193678354582452,0.260970888288224,0.14681537095555,0.0351212144957,0.257617749713325,0.0202806774633627,0.556895410253318,0.512505352286927,0.937785474754875,0.0703405525096209,0.816213635649941,0.917709778730239,0.917496819892894,0.0205804469062059,0.0186660681840151,0.06197925340852,0.96662589323633,0.197309442182444,0.402051182909657,0.0687567777410752,0.432377078848226,0.472607917849258,0.392398083481646,0.0821457604115535,0.568858549224497,0.403274762418443,0.958038587744605,0.00117131997235576,0.539523142644661,0.126451590694686,0.449209493186571,0.0891305476863936,0.600608581806599,0.609960135929456,0.899519631687971,0.142836054202274,0.763839121188325,0.84427378035113,0.630776009606537,0.988947509114965,0.242397114959501,0.0523922302937353,0.585952242584258,0.0118408901782482,0.508933551527827,0.0826546973076422,0.36673151239417,0.263615616024183,0.0316626191015475,0.682112222213489,0.00930505905965098,0.0717192270041158,0.261516614209707,0.0197272773081539,0.0966963453034611,0.0149315161885172,0.0330073261911111,0.475909521776487,0.824274468069812,0.155460174518031,0.857153670181744,0.169679358164253,0.532352687316856,0.204441413490124,0.118846876568261,0.665094791794341,0.402768188573109,0.177770681286031,0.312674197606617,0.208233632635609,0.565864489724773,0.689315741344776,0.175613125746484,0.641164305502703,0.355562590543022,0.320218128204065,0.816082705897805,0.885585729487773,0.848936395102261,0.881881178892391,0.697928154306844,0.797542087204382,0.581227824575217,0.556745495126831,0.786019001771343,0.116112244211022,0.957246242329134,0.46848720925952,0.680141823955237,0.172368697059156,0.525229336210437,0.585832956482172,0.930879356689171,0.967819755532336,0.0716987512862198,0.0182337277444598,0.0708305023662197,0.783544369776486,0.836832255300315,0.814677509066697,0.311660060783537,0.448945078500108,0.442107782454922,0.70602664427666,0.0198626333944888
"M2",0.00214865509933714,0.0154827724717366,0.15530395281457,0.0120834179800976,0.384394438613134,0.171692574653927,0.00282547571059688,0,0.00201231951071881,0.14134899994036,0.0740478347484373,0.0272869389637093,0.0779689254447731,0.327261860874847,0.755264465928832,0.685469414945842,0.0187370933902322,0.1159163306855,0.146713162938182,0.738392115779928,0.0167543165893523,0.390939563741282,0.560014546891864,0.328692900925796,0.103047084242594,0.664938527753542,0.0076734314453608,0.317774088852095,0.139058902586476,0.943028600432036,0.134307400624836,0.532446327692318,0.745316645680439,0.70081414334204,0.108274818702302,0.0558427502458241,0.106121675771563,0.735925706049535,0.337915610296425,0.724509259598082,0.230368238846798,0.986595465536495,0.540447813780022,0.758713520039699,0.249712189811996,0.331406685166896,0.321253652959543,0.816448208221059,0.00494383019031921,0.385546563103241,0.341607154827178,0.383554499234475,0.0987728731074327,0.830833245945193,0.471939736870391,0.543850027050884,0.322281974991265,0.818028901591996,0.744087971746231,0.717060763192798,0.943079301839234,0.554248533722529,0.0515076512819846,0.338075873846706,0.00310222502477852,0.32982631614223,0.185624570829554,0.680055403494095,0.288443837939687,0.224003206740135,0.556577193030948,0.0883811081600966,0.150436052496913,0.472005260806873,0.137285598652736,0.0559969114215473,0.0609188287009962,0.0615008871281888,0.593559075258602,0.848794064293924,0.174957927063104,0.635727678199446,0.450330871051988,0.924000223165426,0.470690693754228,0.27985521526943,0.759546551964156,0.52224158378572,0.210631997667804,0.0614310711625842,0.0547191478497805,0.601801154266663,0.564124386882221,0.366675075615756,0.447972726010445,0.246657208939589,0.230924755500587,0.492953484709761,0.675336895124367,0.74975347701962,0.945290800970475,0.53382801638471,0.461491341139811,0.728112784950327,0.76323356266442,0.552005907228186,0.175003011314782,0.916390481053327,0.362471825265189,0.752856045068471,0.250041513132163,0.245084765966135,0.946770009738781,0.974489723689955,0.909036803873286,0.186091532582114,0.131676084885512,0.0977584134201396,0.888263112294046,0.757310025096042,0.909034396567804,0.232391439921634,0.486767688344631,0.213729090501232,0.612724297527886,0.0680645490039916
"M1",0.0361898841790993,0.0158645013613743,0.203553246803657,0.0120611548926333,0.420076959328006,0.297039837153381,0.0201571726689923,0.00201231951071881,0,0.0630761960785815,0.00866311798166823,0.00932751892151707,0.189484495080878,0.340579895534221,0.875654766450267,0.959132858000393,0.150537872360923,0.249772018355669,0.497180204557659,0.809823554518201,0.00398803684348142,0.994362878682759,0.914528894865868,0.668019032203738,0.347606340209016,0.589976433731573,0.0131291698131612,0.318563325076163,0.233574937180527,0.782036160801742,0.321471445930028,0.642716156529226,0.360847260878597,0.464597835023383,0.427942827182993,0.257498121579949,0.335009428193641,0.934518815572077,0.619592721168732,0.790934056710264,0.12955191931511,0.665401384400908,0.811184341236696,0.650178979251556,0.286738726420441,0.153192403845762,0.145826587061408,0.569809441193303,0.0194625550867402,0.888754573371529,0.963337743006739,0.334930156436787,0.293746432643732,0.788398909403077,0.942887737689119,0.787745956891445,0.220367664010157,0.849963974683974,0.920568854432603,0.444721157432311,0.753107927542493,0.323822378683672,0.145211915502589,0.642874678729877,0.00862886933431594,0.749375793757785,0.200316884870178,0.901771672325092,0.0564232870918035,0.331865146139128,0.367164378464837,0.135422305817885,0.269441061535591,0.805308934236672,0.196028633646389,0.052050292754205,0.0703229193236001,0.180287229404804,0.854328428052977,0.927722537829164,0.573622363624496,0.682668986114814,0.5252571756016,0.977427634588795,0.846947473338325,0.712299305265839,0.679377467751407,0.53823479877886,0.322677384186087,0.044725275840611,0.118982354678073,0.843176435189345,0.881244264964972,0.657160601437197,0.159087812221859,0.415539388971154,0.509398411432068,0.515070269577092,0.376873347322806,0.873611811360543,0.668163214025051,0.586625985117307,0.181950401213587,0.912167939353218,0.970451269454619,0.24965953148382,0.240723521413572,0.903744139395299,0.443079938817603,0.837219302756787,0.247176937732004,0.407392077745073,0.383673812830526,0.575226489409367,0.658433383798093,0.189456377046865,0.0546641188078961,0.152174184446585,0.768445158462706,0.928057007555032,0.85760761566719,0.532036194590696,0.504334627391557,0.587883964822644,0.268246242149949,0.0566342130515738
"S1",0.224789560609495,0.316483045606821,0.954974453363609,0.158897991288429,0.230156942461222,0.216502513888679,0.407610752399351,0.14134899994036,0.0630761960785815,0,0.0271826328185137,0.477533677580212,0.047377634725733,0.347116361060018,0.0819212897830344,0.152732011134667,0.579730502267507,0.21799804763163,0.848048831262492,0.657885329180818,0.278506887247163,0.512049546086965,0.300153276509442,0.353753807531472,0.612287962795482,0.690641853824431,0.168599357699544,0.840439167393529,0.0935995998424633,0.592859047599771,0.670524308698159,0.0885665235984408,0.462715563618778,0.963005918534393,0.702592493795711,0.915889815902011,0.809445004611424,0.427384934820551,0.904200634226515,0.886058223427104,0.94639356055611,0.61152935193113,0.807763631702141,0.771189998296844,0.291980995566005,0.0742939459490334,0.642458388789292,0.84554262955919,0.412864891940419,0.895872364592542,0.727697692209856,0.0214435043385397,0.725073025520984,0.565508443023614,0.657296375601584,0.274001824987844,0.600700019694639,0.6881475517608,0.167367756959419,0.125096876806884,0.336152132825537,0.796472865657716,0.784592535752212,0.641961627180555,0.0502360919729169,0.599801632466931,0.143432225445044,0.981479752252655,0.587939186766074,0.529259567202703,0.373951242059261,0.611600669419553,0.652616553541384,0.671932774626058,0.721594648087678,0.815182774409571,0.979848726661921,0.762547511096793,0.316043603050233,0.398641633935196,0.344649295215519,0.0810569910307801,0.594548511701667,0.31231092603102,0.319881168274923,0.266609669573155,0.476893769179387,0.288634528615626,0.0961051625083002,0.0554855426012216,0.0597781030868874,0.727329484981613,0.829542497236592,0.244609699494583,0.735582971353777,0.122260475690287,0.339023571271956,0.114040705226654,0.0928017528145709,0.950520524740367,0.619180951244879,0.963670772247264,0.0213143918968929,0.0754510283884988,0.305153534708125,0.033512405956389,0.515272779274839,0.190553775532752,0.347595679828573,0.252715116977799,0.919186776763596,0.375202576132016,0.322569402818022,0.0938374711042153,0.444815901130465,0.293689855056709,0.71300501552999,0.358723518471019,0.943721754594608,0.710712815253369,0.680423040551866,0.944898068384062,0.0758952083020424,0.853328606052536,0.164961095751556,0.537055892948066
