"","FP","PL","IL","dACC","Vacc","OA","AU","M2","M1","S1","SS","GA","AuA","RS","AA","ViA","TeAA","Prh","lpEC","Ech","VA","aOn","TT","DPA","PC","PAA","FC","IG","CA1","CA2","CA3","DG","proSub","Sub","Clst","dEPn","vEPn","LAn","BLA","BMe","CCA","PAn","aAA","CA","IAn","MAn","LSN","SFn","DLS","DMS","NACC.SHELL","NACC.CORE","FStr","OT","MGCn","Gpe","Gpi","SubInn","MSn","DBn","TnS","BNST","VALCT","VMT","VPLT","VPMT","PTTn","MGC","dLGC","LPT","PCT","PlnT","EnT","AVT","AMn","IADT","IMDT","MDT","SMT","pRE","PVT","PT","RE","XiT","Rh","CMT","PCn","CLT","RT","IGLLGC","vlLGC","subGn","MHb","LHb","SON","PVH","IPVH","ArH","ADPO","AVPO","AVPV","DMH","MePO","MPA","PSN","SPZ","SCN","AHN","SMN","MPO","VMHn","PHn","LHA","LPO","PSTN","STN","ZI","FF","TN","reSN","cSN","VTA","PAG","SCO","PreCN","APTN"
"FP",1,0.768440736751614,0.702156073325835,0.54231449959597,-0.0401960103231316,0.551851623814937,0.813060735302995,0.933044153498968,0.785835219947066,0.526445613340365,0.637553291480113,0.673573581084995,0.737637500171242,0.541844657606179,-0.0580185756559735,-0.154717885060521,0.803818008443819,0.629734920036497,0.381830943046384,0.279012459671003,0.755876484287948,0.295759242916921,0.269188549394865,0.549671402469909,0.83394981825557,0.0185175253306871,-0.990353663084903,0.0849127975837002,-0.520040970879633,-0.438365516571794,-0.851005946125418,-0.540038230922771,-0.320751834876157,-0.262489177807121,0.630324934682688,0.772417631987371,0.74934439254474,0.424319866933209,0.768471854331276,0.35034403938639,0.0652992995779244,-0.396185846836892,-0.139675688219844,0.371635336291212,0.176535797925461,0.575650075051205,0.288655780028969,-0.184386115800647,0.709502885991494,0.488524976866956,0.430006607406154,-0.491866880714915,0.444790194096447,-0.243270650521671,0.488655448017023,0.132228337555376,-0.249432519018445,-0.0930434693308875,0.229406935707306,-0.203584009043804,-0.247625434284101,0.216317551060617,-0.648887364592288,-0.373644754770088,-0.834631681525534,0.239292072880287,-0.2794353483394,-0.453537433301705,-0.248618644662259,-0.482085006959532,-0.0988442020778263,-0.67628475303908,-0.569797378644837,-0.843060317231195,-0.564999175099423,-0.546647028471939,-0.62414591736681,-0.542669088505001,-0.220594669925031,0.21090523231164,-0.523259782353973,-0.316027079025594,-0.45495391764685,-0.184035105822241,-0.317630431749428,-0.48297092799835,-0.366869050086328,-0.229851855479704,-0.672785480501671,-0.451214780706049,-0.518418991374051,0.00633894352678514,0.158885716679566,-0.322107168913815,0.167601965144395,-0.688192962191129,-0.320228830075563,-0.601351279092135,0.485492276392393,0.583162250262317,0.142552990859933,0.0997250591350863,-0.0965746816112674,0.0972787484153215,0.794276358605911,-0.223164233795815,-0.457060155980447,-0.0795842009968797,-0.889764412666663,-0.0543192458347817,0.579651547444805,-0.311362431034785,0.111919842804865,0.0496597613408459,-0.404163368632841,0.537119808242641,-0.46675537034542,-0.946414831480378,0.00263583737973462,0.284616331787723,0.120642957437238,-0.423725566987649,-0.600125763516125,-0.753019269295124,-0.325998615301619,-0.693155624299911
"PL",0.768440736751614,1,0.873007056532636,0.684615631080087,0.0593466774454704,0.19316597866303,0.631761044243044,0.806950677890524,0.805290345529867,0.407366275223738,0.681591913478003,0.939254479785413,0.434093396634754,0.0406871342102344,-0.282123053230648,-0.332345658694179,0.512020788854626,0.154418862263232,0.192590413879831,0.517795538863648,0.79223193999336,0.127344130416621,0.268946406337991,0.529442373079081,0.459563659337646,0.105975061509059,-0.955354370082817,0.552871951063634,-0.251531086221625,-0.140850435089167,-0.467915079842058,-0.0964650956801366,-0.630308782545382,-0.671784223122182,0.482555295363272,0.600702645287594,0.678561496580416,0.140327792559527,0.496674327631444,-0.0442989397085457,0.414959003351746,-0.18194253703286,-0.0122977159100318,-0.163120550996865,0.194565610092439,0.816438186184483,0.779565973333263,0.447619717932087,0.584740709509265,0.529385450012007,0.0171193110974537,-0.0630259455012268,0.4387643117008,-0.275015795068191,0.19984036716633,-0.168258102209287,-0.44712736836904,-0.209853015266602,0.502970562900493,-0.144184902980057,0.344805677098972,0.457583901803986,-0.683808559300818,-0.573597242911379,-0.518554280030448,-0.0402027419527879,-0.186125379983397,0.199220746592116,-0.576542159266399,-0.489929782985941,-0.200621734927119,-0.403015355771396,-0.724313073820323,-0.380241265624965,-0.202151837710013,-0.76812874077906,-0.648481273204207,-0.452819201257648,-0.231545915733484,-0.148006987307997,-0.0383274807715388,0.116239697887543,-0.615945206042121,-0.336577771133595,-0.400025359307084,-0.263176650465674,0.00671121687366427,-0.556064903113666,-0.198469188175494,-0.45247599982908,-0.32048648757592,-0.0704343669246593,-0.0659362556338166,-0.454505110872876,0.669701737532063,-0.479448760374529,-0.0339672752517297,-0.597350224418659,0.0992006239486513,0.463426968277315,0.25771179392524,0.0338555341165686,-0.241069391519472,0.268106777099453,0.372668174641075,-0.391649275005796,-0.59750427744507,-0.00449713366467604,-0.231207454233813,0.158148877048946,0.611600103799347,-0.0305320543223349,-0.430284302402121,0.152657431831443,-0.2974144337307,0.15276468352045,-0.472338710508657,-0.845624361522026,0.222289440458949,0.462459391903135,0.375292987514016,-0.100583810762159,0.0197231645826202,-0.430515217079141,0.123690320595147,-0.731685535055514
"IL",0.702156073325835,0.873007056532636,1,0.360625108202218,-0.273900956301716,-0.124677288137908,0.413812898685945,0.552798624508972,0.503312301404375,0.0240228656389366,0.469615613274698,0.818684005079967,0.212995472755981,-0.0362153501693073,-0.487386308650513,-0.57817510323798,0.491451422145187,-0.117496940581678,0.0318028134926134,0.764949241094527,0.683075307775596,0.0780574064260246,0.344118449306207,0.679065208871392,0.425616573294303,0.122965058914714,-0.798402672082794,0.478193190782368,-0.0611779056565378,-0.331282416108816,-0.521787991993504,-0.0342883037941438,-0.661739834652964,-0.787960718300582,0.469967486238819,0.573765390271798,0.744964891846872,0.12253594651232,0.616853493354295,-0.0451346122760869,0.243422558357738,-0.25491340786475,-0.168225146895694,-0.115431380274958,-0.223740707999358,0.584592782934056,0.669615838974304,0.346362829384316,0.387514695567104,0.556606051702139,-0.0192877761222114,0.146508795411386,0.284818360844058,-0.165955813056988,0.367639433238292,-0.375950827051758,-0.483924894609241,-0.345712527379432,0.786002758603723,0.0714991010789893,0.446064875942935,0.465519526536356,-0.532372194208166,-0.65310243254093,-0.236606877438987,-0.231887881221041,0.324083168112433,0.107130976813337,-0.476167068134803,-0.534726853718846,-0.495370017708262,-0.278140694309953,-0.773137380270788,-0.673087589554422,-0.139087007113034,-0.737819063305526,-0.6135286586325,-0.460316038016613,-0.489695271016761,-0.209893430645411,0.182344669650922,0.332471919219566,-0.741242071995089,-0.609175971182185,-0.548034538746221,-0.427987092748722,-0.188729242780756,-0.77000280511241,-0.0316268844592243,-0.0794088486709297,0.0780381630919437,0.308213123912451,0.134485796900401,-0.608723548548527,0.651297483346153,-0.325911823856784,0.282615769259544,-0.409094265724987,0.526660701547018,0.781373452268857,0.515183170218852,0.172046608855882,0.0944261803926925,0.515813983958996,0.73929540394054,-0.0934011680804058,-0.169858320075179,0.222696463478299,-0.299326815261745,0.295814786275454,0.705414390851877,0.101627780784928,-0.305942560949693,0.414878945133792,-0.575246640387224,-0.0795625367832468,-0.354110250864972,-0.84176303241354,0.453030731509897,0.533792215702033,0.371541485212571,-0.151668064748705,0.182871481373647,-0.562223288318169,-0.382644259318455,-0.63460783821312
"dACC",0.54231449959597,0.684615631080087,0.360625108202218,1,0.717226596399438,0.222955953157464,0.617130324592067,0.823022991260539,0.82313712631672,0.548848390091804,0.566069786409408,0.627226104813768,0.490405644747847,0.00908782331249629,-0.0464038872638225,-0.283590573951876,0.571139676470485,0.332053282267894,0.440019461621203,0.194206699004737,0.630588954906312,0.188363554355509,-0.0776749072853561,0.120167397635325,0.10009862283721,-0.287918990446467,-0.629272340896759,0.732172333167957,-0.535356727806356,0.345892942466465,-0.0146584271330835,0.0746071510978887,-0.0814167867484989,-0.206937758047639,0.28241286177655,0.422756479215734,0.354207004787527,-0.220373040589733,0.0340965445890531,-0.319129313638626,0.661958349549853,0.0358907261364443,0.406781083249852,-0.324920608229815,0.609213747822219,0.291986922584481,0.478666377689343,0.465920029773042,0.743311999950934,0.227142788560265,0.0941394861198192,-0.0948242787588145,0.827539778380934,0.0889459603595321,-0.0179410072368677,0.2844113622236,-0.399927602110652,0.265674042370972,0.12966361038915,-0.108941707835472,0.216429268596255,0.152465306550904,-0.768182615131012,-0.305386875041124,-0.684064092984079,0.406266514076667,-0.516215217553771,0.321698685233755,-0.500963103452078,-0.205230080492824,0.54114375099509,-0.188703434563412,-0.372177235524394,0.172950532781818,-0.287749210758003,-0.718828216613476,-0.376964695530252,-0.538422591112822,-0.143616945389636,0.247239811020632,-0.344853346497128,-0.0151816779003031,-0.00435397156286023,0.339198122670228,-0.171064003766621,-0.190778446587696,0.281089514040188,-0.305358940490861,-0.167654942266039,-0.865549114858849,-0.797725314190836,-0.556733190341002,-0.514266217199458,-0.287431215593734,0.566673750583638,-0.143644481403023,-0.457835276327964,-0.267766871972145,-0.592516859266628,-0.0461727672021225,-0.0511572826316797,-0.56225204791677,-0.572923511121838,0.0987808158331978,-0.360402030497995,-0.361082806734927,-0.708120086743389,0.187395513834928,-0.237640304872154,0.190668258494534,0.0819566158539838,-0.539475181935098,-0.256295785398031,-0.104120799526304,0.294176075318236,0.37123951522252,-0.337200997660134,-0.311602208734575,-0.282363474887853,0.115894807437578,0.00304748773239456,-0.429971355391647,-0.0306274936671864,-0.42692878687818,0.5546032668125,-0.408442629115304
"Vacc",-0.0401960103231316,0.0593466774454704,-0.273900956301716,0.717226596399438,1,0.0694950222523538,0.111377942641911,0.357651905391676,0.333114754946771,0.478676611767245,0.102303917018471,-0.0625965223454197,0.285611811552257,-0.20080847269131,0.294428595410342,-0.0133152469857481,0.300119695136288,0.372730090426054,0.319627790544948,-0.061656744848664,-0.00553967328615521,0.0979799878818864,-0.366885174606561,-0.441733545682483,-0.318735387060936,-0.175398264675336,-0.0895163778671409,0.457377976848677,-0.662294508678093,0.53030298759998,0.426571233106441,0.015128213450137,0.476228977787466,0.344052564465829,-0.162296822850391,-0.111858726412828,-0.247655303848039,-0.152654807422694,-0.513783053457383,-0.33654660115857,0.366337032478838,-0.0861772474836516,0.721389482294359,-0.299760148192601,0.578142271579439,-0.0200984690242551,-0.117375124145622,0.177384717448049,0.278754848611209,-0.043714052769391,0.0315295578100302,-0.0854942277873635,0.899153171597442,0.420083361354122,-0.0449123370671516,0.715952459006839,0.153712824497523,0.755661400588408,-0.28945468695225,0.0918553593379565,-0.135595971161682,-0.468203439399697,-0.436857969605062,-0.0625063722401634,-0.39269051074998,0.708191431225875,-0.656839211419978,0.310397917718798,0.0511328405028472,0.405949203021451,0.736791487738684,0.221790202168016,0.295699982611271,0.631421981076865,0.0671120090489017,-0.270605227883018,0.206426657384756,-0.163412705738875,0.0312257154404748,0.412518245168059,-0.424965177767286,-0.296066978174365,0.615700202615422,0.70466613692965,0.16239076146611,0.134298953240683,0.261999734988429,0.219901458408405,0.0112390517284296,-0.85936286037334,-0.868422510957511,-0.5918423814125,-0.696925592409742,0.112272222370499,0.0836710498013385,0.12114134575406,-0.69641744387682,-0.0798382868305066,-0.812629276871914,-0.228990204313785,-0.412863297363935,-0.702436240995725,-0.538682056150779,-0.204939129654706,-0.784412922623511,-0.174857583490964,-0.427385637433874,0.188499205478704,-0.0565145476754118,0.0876718364026438,-0.401507087905124,-0.737932635392215,-0.093220359427235,-0.171575594689119,0.479903276710438,0.105252084964089,0.217922237763275,0.253674989145002,-0.469762042983208,-0.220632252802016,-0.291751559114735,-0.413176506802688,-0.0456473303539843,-0.206538837853011,0.554231473224517,0.291663666067507
"OA",0.551851623814937,0.19316597866303,-0.124677288137908,0.222955953157464,0.0694950222523538,1,0.702576213213695,0.535166739898931,0.422498219759944,0.491124655036419,0.27693822903034,0.213042970838863,0.577951468965948,0.617377678934505,0.242563609290425,0.521807828495568,0.233270823273475,0.716292421655389,0.570743538601923,-0.658962736712562,0.25269073100198,0.495527102661029,0.330985650958732,0.208050360906113,0.735451226129913,0.018771815073464,-0.719209123787125,-0.318489999259133,-0.175548143278388,0.0583229203745758,-0.552348903045565,-0.375088764032387,0.123129144124223,0.361545733716654,0.547546725840934,0.494060664863661,0.287712511595239,0.388892789390024,0.343731756623342,0.678006089464034,0.0394622912879161,0.060440405987285,0.0722789180240641,0.649914102864926,0.685868799378176,0.395320276648879,0.0104227410847999,-0.281093685854843,0.494040451486934,0.191864487387602,0.636354456333312,-0.594244854252691,0.081732621313196,-0.510713765250181,0.0638543994463216,0.231504804362969,0.0433034338528953,-0.018769783305457,-0.497849607565963,-0.448619498002686,-0.532726760587641,0.139318054169383,-0.397824365646523,0.131416937527138,-0.622070104031509,0.323163286505946,-0.852591572249752,-0.528801651476505,0.0379001814645469,-0.361171370997823,0.0884319627788769,-0.721710093657577,-0.196274760588346,-0.201672754460031,-0.517137945633383,0.0830756137061844,-0.341377632894496,-0.153963057882553,0.222927346741955,-0.0834723027465282,-0.728047500806287,-0.510071720536471,-0.275700571934613,-0.145311624073209,-0.262924768657547,-0.130977525767886,-0.177678642453549,0.38709095104267,-0.713710975957584,-0.223620236743891,-0.486458329854801,-0.536083460149056,-0.0844424055150888,0.031289195129162,-0.402481841488578,-0.633826740587628,-0.566732486277006,-0.403993383027393,-0.137417525624073,-0.49419925696291,-0.623323375508478,0.145734982839036,-0.139580997302704,-0.363830331898143,0.0861493497745467,-0.318694894720567,-0.823738163934112,-0.605617088257347,-0.0386208733466778,-0.371995879560185,0.245541247526114,-0.0468765554093869,0.335973899330427,-0.338688552937756,0.0977554355068145,0.749242895710151,-0.4451616967441,-0.698197121509013,-0.332132885715597,0.0174961155461987,0.195754132691257,0.0293842635034147,-0.592581732448968,0.0125471894410829,0.4797126788276,-0.4783677706854
"AU",0.813060735302995,0.631761044243044,0.413812898685945,0.617130324592067,0.111377942641911,0.702576213213695,1,0.89295604078344,0.788134829278494,0.341580737142203,0.514663696205273,0.708435007214862,0.524087967336347,0.57806833540473,-0.273507352293829,-0.115674347007258,0.674549630958684,0.599364250456109,0.713385909710507,-0.145390468404775,0.758111718872172,0.51288240713022,0.451903913115472,0.562331938275535,0.741824664685671,-0.495982444589958,-0.88135265647486,0.246075790469778,-0.273301448674799,0.0332054803856461,-0.667787874636014,-0.0986577044896951,-0.0485300695182468,-0.044058679697622,0.786572106266097,0.793809040001963,0.682859257302203,0.0178032851663761,0.509334115892677,0.345392157002864,0.718774966873661,0.356589548470311,0.36823913820173,0.352064754269194,0.696421247318764,0.296079368316159,0.34455137271042,0.0223868985543986,0.920755259732038,0.25663300836871,0.586523619271243,-0.313734060962935,0.745174240115549,-0.220004804198429,0.214510888710769,0.0536926341435097,-0.566905460597736,-0.127321771588445,0.0834404672314275,-0.202377357916435,0.00651059251557287,0.467836448339824,-0.806783604702096,-0.228672064580169,-0.824273588909727,0.275529309890017,-0.695611415822884,-0.370167796911279,-0.449682154260871,-0.751236470025424,0.19069989884607,-0.838447486953696,-0.665406322826055,-0.492486713582934,-0.789743077691844,-0.674228146297528,-0.809394375637163,-0.747505715948826,-0.365695532868868,-0.117693779190333,-0.552625887999689,-0.0844441897093829,-0.582808945179426,-0.322997354822276,-0.603719860282152,-0.596113130487139,-0.182636852677388,-0.378270464774237,-0.52886041771771,-0.410294816336421,-0.498861690357287,-0.298268759280796,-0.168881928671486,-0.57635024079207,0.216402979043729,-0.378222303009468,-0.404510632541444,-0.123235386381405,-0.076424974076493,-0.101053044994724,-0.0697472540218777,-0.180879372826145,-0.108833911703579,0.231481300822857,0.304956498792786,-0.127068574334058,-0.707112486973647,0.0251920352232033,-0.330901482205169,0.191927326449592,0.579868146648199,-0.265411979696004,0.228742900466644,-0.0368978190880141,0.0171661690722261,0.713676163066344,-0.795506908864644,-0.77401980440041,-0.145326849324789,0.0874678964132685,0.0994932958371082,-0.411077418750066,-0.344707387388055,-0.34959044892467,0.198593019589498,-0.78923437065777
"M2",0.933044153498968,0.806950677890524,0.552798624508972,0.823022991260539,0.357651905391676,0.535166739898931,0.89295604078344,1,0.904696407379291,0.568632608944467,0.661444232989922,0.764098198966592,0.654934497205932,0.399167809034658,-0.132052737758816,-0.171057172915097,0.793532470578775,0.599900629601358,0.562448546897225,0.141397567411383,0.801515055256263,0.353079149796377,0.244192741679637,0.398088961552018,0.617212131910567,-0.201428852574877,-0.927597405393887,0.406377418402224,-0.571312246442609,-0.0304034773111063,-0.576951179766297,-0.260968655488946,-0.151762510942067,-0.162398519979985,0.610039327481251,0.694706844593235,0.612969113419789,0.142767748971374,0.391188042469171,0.149124476424955,0.521129478113701,-0.00789616872033233,0.316984949472684,0.130148340624359,0.503145792325726,0.483376248610094,0.403721717986959,0.0985301309492323,0.870244766037343,0.356844497437221,0.38845041982272,-0.358241208831341,0.73105164990874,-0.0907187773672229,0.298969592456114,0.253992286143421,-0.402939477343809,0.097670630869229,0.138237425492647,-0.15328509156501,-0.0335479341527559,0.247676649820223,-0.808479511295505,-0.391068905189699,-0.889469303867679,0.397236051209088,-0.565691026348524,-0.174124675513898,-0.429339878136817,-0.484238105631513,0.271042881835809,-0.638526029269929,-0.558229587738389,-0.328438819403609,-0.573404038718531,-0.742382638203972,-0.684854983097066,-0.683757012948411,-0.278132513192919,0.10114891209711,-0.531764120401886,-0.219848364170386,-0.343721099475883,-0.0507099848417065,-0.369718727179653,-0.436275543066883,-0.129688670496502,-0.293957112062606,-0.496601347138294,-0.683888383909942,-0.696959114108671,-0.272187674300137,-0.241717202301402,-0.405576217441814,0.345400106149257,-0.464129212076791,-0.47798808274087,-0.352649732695916,-0.219990966023935,0.168423543576873,-0.0322431360167098,-0.286170324102521,-0.305719806599317,0.147115405953886,0.159188967524989,-0.274066136537923,-0.635582295668598,0.0493099981332183,-0.408825904913013,0.147168339350653,0.50284532539266,-0.465493784782415,-0.0284046027365632,-0.0136071602261657,-0.0485901313241068,0.565200785383461,-0.580121787131097,-0.732507643080087,-0.0746298114209372,0.130923047749358,0.0485914213046249,-0.476676101761023,-0.318176713726935,-0.537172871289656,0.264340835178382,-0.671780456931536
"M1",0.785835219947066,0.805290345529867,0.503312301404375,0.82313712631672,0.333114754946771,0.422498219759944,0.788134829278494,0.904696407379291,1,0.680816030785334,0.842417111469688,0.838311798384656,0.517024766996636,0.389210846085167,-0.0665133688810901,-0.0218027174856947,0.55811501154195,0.461439087557431,0.282902675800877,0.102135510164826,0.87950410811276,-0.00300648281942251,0.0456479619788742,0.180968814447346,0.384030458987507,-0.249187819321212,-0.904925036846948,0.405773850539785,-0.475620526153857,-0.117319447556907,-0.403555945243494,-0.195473664617498,-0.410086084604432,-0.303706493229689,0.32782789644461,0.454838429703772,0.393353022797754,-0.0349517532209776,0.208880106065021,-0.112446095939504,0.629820224691138,0.201138757413101,0.126552711233735,-0.191178410914391,0.470419738501688,0.660656772185322,0.563461920810624,0.238303166409555,0.790744308758763,0.0594709698874631,0.0195581907936644,-0.393412198950643,0.516861508588361,-0.113833465968366,-0.0304787435353484,0.114190940377528,-0.487560823109025,-0.0803645641241602,0.0424141176432659,-0.316685129804399,0.147015019504347,0.401769895616893,-0.670205197869023,-0.195382271785925,-0.842634079175314,0.135308700126444,-0.550541829403625,0.0524847464641439,-0.693553758255583,-0.395705247684411,0.405198920088759,-0.575618213834859,-0.444827158645458,-0.115450370122671,-0.510581748058162,-0.75026706108038,-0.667818511831521,-0.526283329289805,-0.0974225992157666,0.0482223534597638,-0.236019992016566,-0.190353234095643,-0.291924884304635,0.0150493797545303,-0.10239285681933,-0.155950455256758,0.174509258332221,-0.283223616311,-0.402639004382009,-0.718341839808681,-0.595939317804203,-0.104934193141096,-0.0635069399728724,-0.206311675354552,0.594621197802851,-0.336183685490016,-0.275239025861565,-0.335922039569879,-0.444740025381173,0.0844596212916494,0.199408878440553,-0.251362488028206,-0.524590708647817,0.046912549931778,-0.0197017028154903,-0.503193853479114,-0.566920036201277,-0.0567909190561147,-0.348894426120215,0.0963320974336954,0.50546504070396,-0.341730225961384,-0.358157463363717,-0.235061001587451,0.186444539452855,0.561685727931415,-0.697070127703545,-0.661863046325149,0.155626293608464,-0.038407349671041,-0.0762374926635441,-0.261220568470084,-0.306108696358209,-0.250545529379642,0.540457300289805,-0.693136564196636
"S1",0.526445613340365,0.407366275223738,0.0240228656389366,0.548848390091804,0.478676611767245,0.491124655036419,0.341580737142203,0.568632608944467,0.680816030785334,1,0.76441979720327,0.295380159889286,0.712407663848606,0.384390131572822,0.648563890469498,0.555656242190748,0.232373248233277,0.489741828272312,-0.0813994703472493,-0.186758305559891,0.437373788851569,-0.273585424115303,-0.420043877059413,-0.379537471018968,0.213147560061161,0.185396717148096,-0.642800567677594,-0.0855151011720353,-0.630723652342662,-0.224578766664071,-0.179541415670088,-0.638244307679467,-0.334956409201827,0.0197353005469414,-0.161398320769497,0.0449191514281926,-0.102341691233282,0.328201511049403,-0.051182310605926,-0.060919502089325,0.0315925630647329,-0.235286343188154,-0.12887099727699,-0.123275231625091,0.465944079419353,0.76832277215193,0.195622289997886,-0.0827543041655198,0.337999249626606,-0.0556495250243431,-0.147346707922056,-0.783446643692821,0.185409228157397,-0.240884941807986,-0.187095571654069,0.441062366592811,0.219950951537926,0.169542234536712,-0.539727569246601,-0.588207694905955,-0.429543471132834,-0.109417991392567,-0.144613071005647,0.195908766715069,-0.706232508382152,0.220480176195092,-0.612824063760935,0.00987810803065871,-0.227492864187351,0.262927913824648,0.399986749511267,-0.213549911096651,0.189778640386637,0.197050805976533,-0.150751258952153,-0.109522010735817,-0.0107481735274653,0.128033650719599,0.496856703693464,0.426825216685685,-0.386204658881946,-0.698162718677981,0.246226291496476,0.500168084587268,0.493467288505457,0.447180291579106,0.295789918000423,0.46879700619763,-0.627066660481673,-0.695419908337165,-0.687025034185458,-0.183851832353471,0.0914187388768908,0.50782476788833,0.157708404699275,-0.591767158458929,-0.39036493747137,-0.709885472530364,-0.739720503810235,-0.0329982939819976,-0.230386135848711,0.0214045845509793,-0.783909165386308,-0.659091964761863,-0.506558997074956,-0.792645877637941,-0.335769869456074,-0.560545903463652,-0.420454986358807,-0.500412699176559,-0.0476570184944171,-0.364132412318598,-0.402721042606225,-0.630374062312714,0.316622709716939,0.464492838816123,-0.155555128686764,-0.459953055174668,-0.0375364597166029,-0.156839544642241,-0.173916164937047,0.0294046419472032,-0.706593537431083,-0.0867223233027485,0.646952892175344,-0.258142216894719
