"data.key.column","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","source","target","weight"
"7654",,"interacts with","FP (interacts with) OA","false","interacts with","FP (interacts with) OA","FP","OA","0.788113"
"7657",,"interacts with","FP (interacts with) S1","false","interacts with","FP (interacts with) S1","FP","S1","0.7916499"
"7660",,"interacts with","FP (interacts with) AA","false","interacts with","FP (interacts with) AA","FP","AA","0.7971722"
"7663",,"interacts with","FP (interacts with) ViA","false","interacts with","FP (interacts with) ViA","FP","ViA","0.9244902"
"7666",,"interacts with","FP (interacts with) PC","false","interacts with","FP (interacts with) PC","FP","PC","0.8905151"
"7669",,"interacts with","FP (interacts with) FC","false","interacts with","FP (interacts with) FC","FP","FC","0.8563066"
"7672",,"interacts with","FP (interacts with) dLGC","false","interacts with","FP (interacts with) dLGC","FP","dLGC","-0.818311"
"7675",,"interacts with","FP (interacts with) AMn","false","interacts with","FP (interacts with) AMn","FP","AMn","-0.7827557"
"7678",,"interacts with","FP (interacts with) DMH","false","interacts with","FP (interacts with) DMH","FP","DMH","0.8983756"
"7681",,"interacts with","FP (interacts with) PreCN","false","interacts with","FP (interacts with) PreCN","FP","PreCN","-0.9447582"
"7684",,"interacts with","PL (interacts with) IL","false","interacts with","PL (interacts with) IL","PL","IL","0.8176526"
"7687",,"interacts with","PL (interacts with) Prh","false","interacts with","PL (interacts with) Prh","PL","Prh","-0.821769"
"7690",,"interacts with","PL (interacts with) proSub","false","interacts with","PL (interacts with) proSub","PL","proSub","0.8500358"
"7693",,"interacts with","PL (interacts with) IMDT","false","interacts with","PL (interacts with) IMDT","PL","IMDT","-0.7997126"
"7696",,"interacts with","PL (interacts with) PCn","false","interacts with","PL (interacts with) PCn","PL","PCn","-0.791895"
"7699",,"interacts with","PL (interacts with) MPO","false","interacts with","PL (interacts with) MPO","PL","MPO","0.8048401"
"7702",,"interacts with","PL (interacts with) PAG","false","interacts with","PL (interacts with) PAG","PL","PAG","0.7948092"
"7705",,"interacts with","IL (interacts with) OA","false","interacts with","IL (interacts with) OA","IL","OA","-0.8038752"
"7708",,"interacts with","IL (interacts with) S1","false","interacts with","IL (interacts with) S1","IL","S1","-0.8031474"
"7711",,"interacts with","IL (interacts with) SS","false","interacts with","IL (interacts with) SS","IL","SS","-0.7769881"
"7714",,"interacts with","IL (interacts with) Prh","false","interacts with","IL (interacts with) Prh","IL","Prh","-0.885028"
"7717",,"interacts with","IL (interacts with) DPA","false","interacts with","IL (interacts with) DPA","IL","DPA","0.8427367"
