"data.key.column","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","source","target","weight"
"36188",,"interacts with","VTA (interacts with) APTN","false","interacts with","VTA (interacts with) APTN","VTA","APTN","0.9018056"
"36185",,"interacts with","cSN (interacts with) APTN","false","interacts with","cSN (interacts with) APTN","cSN","APTN","0.8782494"
"36182",,"interacts with","cSN (interacts with) VTA","false","interacts with","cSN (interacts with) VTA","cSN","VTA","0.9685931"
"36179",,"interacts with","reSN (interacts with) cSN","false","interacts with","reSN (interacts with) cSN","reSN","cSN","0.814912"
"36176",,"interacts with","STN (interacts with) SCO","false","interacts with","STN (interacts with) SCO","STN","SCO","0.8774423"
"36173",,"interacts with","PHn (interacts with) PSTN","false","interacts with","PHn (interacts with) PSTN","PHn","PSTN","0.7534409"
"36170",,"interacts with","PHn (interacts with) LHA","false","interacts with","PHn (interacts with) LHA","PHn","LHA","0.741471"
"36167",,"interacts with","VMHn (interacts with) APTN","false","interacts with","VMHn (interacts with) APTN","VMHn","APTN","0.9031525"
"36164",,"interacts with","VMHn (interacts with) VTA","false","interacts with","VMHn (interacts with) VTA","VMHn","VTA","0.9070361"
"36161",,"interacts with","VMHn (interacts with) cSN","false","interacts with","VMHn (interacts with) cSN","VMHn","cSN","0.8945515"
"36158",,"interacts with","MPO (interacts with) PreCN","false","interacts with","MPO (interacts with) PreCN","MPO","PreCN","0.7862863"
"36155",,"interacts with","MPO (interacts with) PSTN","false","interacts with","MPO (interacts with) PSTN","MPO","PSTN","0.7320666"
"36152",,"interacts with","PSN (interacts with) PreCN","false","interacts with","PSN (interacts with) PreCN","PSN","PreCN","0.8658849"
"36149",,"interacts with","PSN (interacts with) LPO","false","interacts with","PSN (interacts with) LPO","PSN","LPO","0.7485762"
"36146",,"interacts with","PSN (interacts with) MPO","false","interacts with","PSN (interacts with) MPO","PSN","MPO","0.8480292"
"36143",,"interacts with","MPA (interacts with) PreCN","false","interacts with","MPA (interacts with) PreCN","MPA","PreCN","0.8648641"
"36140",,"interacts with","MPA (interacts with) PSTN","false","interacts with","MPA (interacts with) PSTN","MPA","PSTN","0.7613747"
"36137",,"interacts with","MPA (interacts with) MPO","false","interacts with","MPA (interacts with) MPO","MPA","MPO","0.8733377"
"36134",,"interacts with","MPA (interacts with) PSN","false","interacts with","MPA (interacts with) PSN","MPA","PSN","0.9690736"
"36131",,"interacts with","MePO (interacts with) SCO","false","interacts with","MePO (interacts with) SCO","MePO","SCO","0.7641755"
"36128",,"interacts with","MePO (interacts with) STN","false","interacts with","MePO (interacts with) STN","MePO","STN","0.9497548"
"36125",,"interacts with","DMH (interacts with) PSTN","false","interacts with","DMH (interacts with) PSTN","DMH","PSTN","0.8515383"
"36122",,"interacts with","DMH (interacts with) PHn","false","interacts with","DMH (interacts with) PHn","DMH","PHn","0.9241404"
"36119",,"interacts with","AVPV (interacts with) PreCN","false","interacts with","AVPV (interacts with) PreCN","AVPV","PreCN","0.7441588"
"36116",,"interacts with","AVPV (interacts with) PSTN","false","interacts with","AVPV (interacts with) PSTN","AVPV","PSTN","0.8601759"
"36113",,"interacts with","AVPV (interacts with) MPO","false","interacts with","AVPV (interacts with) MPO","AVPV","MPO","0.7818412"
"36110",,"interacts with","AVPV (interacts with) PSN","false","interacts with","AVPV (interacts with) PSN","AVPV","PSN","0.8328427"
"36107",,"interacts with","AVPV (interacts with) MPA","false","interacts with","AVPV (interacts with) MPA","AVPV","MPA","0.9261304"
"36104",,"interacts with","AVPV (interacts with) DMH","false","interacts with","AVPV (interacts with) DMH","AVPV","DMH","0.868292"
"36101",,"interacts with","AVPO (interacts with) MPA","false","interacts with","AVPO (interacts with) MPA","AVPO","MPA","0.8198747"
"36098",,"interacts with","AVPO (interacts with) AVPV","false","interacts with","AVPO (interacts with) AVPV","AVPO","AVPV","0.8065054"
"36095",,"interacts with","ADPO (interacts with) PreCN","false","interacts with","ADPO (interacts with) PreCN","ADPO","PreCN","0.9348294"
"36092",,"interacts with","ADPO (interacts with) LPO","false","interacts with","ADPO (interacts with) LPO","ADPO","LPO","0.8589837"
