"data.key.column","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","source","target","weight"
"56313",,"interacts with","reSN (interacts with) cSN","false","interacts with","reSN (interacts with) cSN","reSN","cSN","0.9156476"
"56310",,"interacts with","FF (interacts with) APTN","false","interacts with","FF (interacts with) APTN","FF","APTN","0.936594"
"56307",,"interacts with","FF (interacts with) PAG","false","interacts with","FF (interacts with) PAG","FF","PAG","0.9557841"
"56304",,"interacts with","ZI (interacts with) APTN","false","interacts with","ZI (interacts with) APTN","ZI","APTN","0.795537"
"56301",,"interacts with","PHn (interacts with) VTA","false","interacts with","PHn (interacts with) VTA","PHn","VTA","0.8507318"
"56298",,"interacts with","VMHn (interacts with) TN","false","interacts with","VMHn (interacts with) TN","VMHn","TN","0.9029298"
"56295",,"interacts with","MPO (interacts with) LPO","false","interacts with","MPO (interacts with) LPO","MPO","LPO","0.8835526"
"56292",,"interacts with","AHN (interacts with) MPO","false","interacts with","AHN (interacts with) MPO","AHN","MPO","0.8643069"
"56289",,"interacts with","SPZ (interacts with) LPO","false","interacts with","SPZ (interacts with) LPO","SPZ","LPO","0.8706683"
"56286",,"interacts with","MPA (interacts with) LPO","false","interacts with","MPA (interacts with) LPO","MPA","LPO","0.8040003"
"56283",,"interacts with","MPA (interacts with) MPO","false","interacts with","MPA (interacts with) MPO","MPA","MPO","0.8997179"
"56280",,"interacts with","MPA (interacts with) AHN","false","interacts with","MPA (interacts with) AHN","MPA","AHN","0.8372274"
"56277",,"interacts with","MePO (interacts with) LPO","false","interacts with","MePO (interacts with) LPO","MePO","LPO","0.8101752"
"56274",,"interacts with","MePO (interacts with) SPZ","false","interacts with","MePO (interacts with) SPZ","MePO","SPZ","0.8762472"
"56271",,"interacts with","MePO (interacts with) PSN","false","interacts with","MePO (interacts with) PSN","MePO","PSN","0.9421852"
"56268",,"interacts with","AVPO (interacts with) LPO","false","interacts with","AVPO (interacts with) LPO","AVPO","LPO","0.9052054"
"56265",,"interacts with","ADPO (interacts with) PSN","false","interacts with","ADPO (interacts with) PSN","ADPO","PSN","0.8699869"
"56262",,"interacts with","ADPO (interacts with) MePO","false","interacts with","ADPO (interacts with) MePO","ADPO","MePO","0.9018268"
"56259",,"interacts with","ArH (interacts with) SPZ","false","interacts with","ArH (interacts with) SPZ","ArH","SPZ","0.9634653"
"56256",,"interacts with","PVH (interacts with) FF","false","interacts with","PVH (interacts with) FF","PVH","FF","0.8826357"
"56253",,"interacts with","PVH (interacts with) ArH","false","interacts with","PVH (interacts with) ArH","PVH","ArH","0.9885363"
"56250",,"interacts with","subGn (interacts with) AVPV","false","interacts with","subGn (interacts with) AVPV","subGn","AVPV","0.9752712"
"56247",,"interacts with","vlLGC (interacts with) PHn","false","interacts with","vlLGC (interacts with) PHn","vlLGC","PHn","0.7296178"
"56244",,"interacts with","vlLGC (interacts with) IPVH","false","interacts with","vlLGC (interacts with) IPVH","vlLGC","IPVH","0.8534286"
"56241",,"interacts with","IGLLGC (interacts with) vlLGC","false","interacts with","IGLLGC (interacts with) vlLGC","IGLLGC","vlLGC","0.9056876"
