"data.key.column","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","source","target","weight"
"55977",,"interacts with","reSN (interacts with) cSN","false","interacts with","reSN (interacts with) cSN","reSN","cSN","0.7382538"
"55974",,"interacts with","FF (interacts with) APTN","false","interacts with","FF (interacts with) APTN","FF","APTN","0.9317367"
"55971",,"interacts with","ZI (interacts with) APTN","false","interacts with","ZI (interacts with) APTN","ZI","APTN","0.8957112"
"55968",,"interacts with","ZI (interacts with) FF","false","interacts with","ZI (interacts with) FF","ZI","FF","0.87733"
"55965",,"interacts with","PSTN (interacts with) APTN","false","interacts with","PSTN (interacts with) APTN","PSTN","APTN","0.8766649"
"55962",,"interacts with","PSTN (interacts with) FF","false","interacts with","PSTN (interacts with) FF","PSTN","FF","0.8983632"
"55959",,"interacts with","LHA (interacts with) PSTN","false","interacts with","LHA (interacts with) PSTN","LHA","PSTN","0.8085927"
"55956",,"interacts with","LHA (interacts with) LPO","false","interacts with","LHA (interacts with) LPO","LHA","LPO","0.7876067"
"55953",,"interacts with","PHn (interacts with) PAG","false","interacts with","PHn (interacts with) PAG","PHn","PAG","0.8301312"
"55950",,"interacts with","SMN (interacts with) PAG","false","interacts with","SMN (interacts with) PAG","SMN","PAG","0.8690001"
"55947",,"interacts with","AHN (interacts with) PHn","false","interacts with","AHN (interacts with) PHn","AHN","PHn","0.8366112"
"55944",,"interacts with","SCN (interacts with) TN","false","interacts with","SCN (interacts with) TN","SCN","TN","0.8712479"
"55941",,"interacts with","SCN (interacts with) STN","false","interacts with","SCN (interacts with) STN","SCN","STN","0.8641543"
"55938",,"interacts with","SPZ (interacts with) PHn","false","interacts with","SPZ (interacts with) PHn","SPZ","PHn","0.8293797"
"55935",,"interacts with","SPZ (interacts with) AHN","false","interacts with","SPZ (interacts with) AHN","SPZ","AHN","0.9153111"
"55932",,"interacts with","DMH (interacts with) PHn","false","interacts with","DMH (interacts with) PHn","DMH","PHn","0.9082763"
"55929",,"interacts with","AVPV (interacts with) VMHn","false","interacts with","AVPV (interacts with) VMHn","AVPV","VMHn","0.840832"
"55926",,"interacts with","AVPO (interacts with) MPA","false","interacts with","AVPO (interacts with) MPA","AVPO","MPA","0.8559163"
"55923",,"interacts with","AVPO (interacts with) AVPV","false","interacts with","AVPO (interacts with) AVPV","AVPO","AVPV","0.8851319"
"55920",,"interacts with","ADPO (interacts with) MePO","false","interacts with","ADPO (interacts with) MePO","ADPO","MePO","0.8749997"
"55917",,"interacts with","IPVH (interacts with) PHn","false","interacts with","IPVH (interacts with) PHn","IPVH","PHn","0.8984418"
"55914",,"interacts with","IPVH (interacts with) AHN","false","interacts with","IPVH (interacts with) AHN","IPVH","AHN","0.9048906"
"55911",,"interacts with","IPVH (interacts with) SPZ","false","interacts with","IPVH (interacts with) SPZ","IPVH","SPZ","0.9535977"
"55908",,"interacts with","LHb (interacts with) SCO","false","interacts with","LHb (interacts with) SCO","LHb","SCO","0.8897532"
"55905",,"interacts with","LHb (interacts with) AVPO","false","interacts with","LHb (interacts with) AVPO","LHb","AVPO","0.876049"
"55902",,"interacts with","MHb (interacts with) SCO","false","interacts with","MHb (interacts with) SCO","MHb","SCO","0.8350249"
"55899",,"interacts with","MHb (interacts with) MePO","false","interacts with","MHb (interacts with) MePO","MHb","MePO","0.815214"
"55896",,"interacts with","subGn (interacts with) ZI","false","interacts with","subGn (interacts with) ZI","subGn","ZI","0.8300088"
"55893",,"interacts with","vlLGC (interacts with) PVH","false","interacts with","vlLGC (interacts with) PVH","vlLGC","PVH","0.7802829"
"55890",,"interacts with","IGLLGC (interacts with) PVH","false","interacts with","IGLLGC (interacts with) PVH","IGLLGC","PVH","0.7400833"
"55887",,"interacts with","IGLLGC (interacts with) vlLGC","false","interacts with","IGLLGC (interacts with) vlLGC","IGLLGC","vlLGC","0.799748"
"55884",,"interacts with","CLT (interacts with) LPO","false","interacts with","CLT (interacts with) LPO","CLT","LPO","0.7591376"
"55881",,"interacts with","CLT (interacts with) LHA","false","interacts with","CLT (interacts with) LHA","CLT","LHA","0.8448562"
"55878",,"interacts with","XiT (interacts with) CMT","false","interacts with","XiT (interacts with) CMT","XiT","CMT","0.8922152"
"55875",,"interacts with","PVT (interacts with) MHb","false","interacts with","PVT (interacts with) MHb","PVT","MHb","0.7920902"
"55872",,"interacts with","pRE (interacts with) PreCN","false","interacts with","pRE (interacts with) PreCN","pRE","PreCN","0.8713838"
"55869",,"interacts with","pRE (interacts with) MePO","false","interacts with","pRE (interacts with) MePO","pRE","MePO","0.7842374"
"55866",,"interacts with","pRE (interacts with) MHb","false","interacts with","pRE (interacts with) MHb","pRE","MHb","0.7324535"
"55863",,"interacts with","IMDT (interacts with) CMT","false","interacts with","IMDT (interacts with) CMT","IMDT","CMT","0.869839"
