node1, node2, weight
olfactory peduncle,claustro-endopiriform complex,0.625
olfactory peduncle,preoptic and hypothalamic nuclei,0.1875
prefrontal&other cortexes,sensory-motor cortex,0.9285714285714286
prefrontal&other cortexes,claustro-endopiriform complex,0.4
prefrontal&other cortexes,septum,0.1875
prefrontal&other cortexes,basal ganglia,0.2857142857142857
occipital cortex,medial thalamus,0.16666666666666666
occipital cortex,ventral thalamus and habenula,0.3333333333333333
temporal cortex,basal ganglia,0.1875
HPC,medial thalamus,0.125
HPC,ventral thalamus and habenula,0.2222222222222222
HPC,lateral hypothalamic complex,0.21428571428571427
claustro-endopiriform complex,amygdala,0.42857142857142855
claustro-endopiriform complex,basal ganglia,0.25
amygdala,basal ganglia,0.15
septum,preoptic and hypothalamic nuclei,0.15789473684210525
basal ganglia,medial thalamus,0.25925925925925924
basal ganglia,ventral thalamus and habenula,0.19047619047619047
basal ganglia,lateral hypothalamic complex,0.17647058823529413
medial thalamus,ventral thalamus and habenula,0.38461538461538464
medial thalamus,preoptic and hypothalamic nuclei,0.10344827586206896
medial thalamus,lateral hypothalamic complex,0.2727272727272727
preoptic and hypothalamic nuclei,lateral hypothalamic complex,0.2631578947368421
lateral hypothalamic complex,midbrain,0.3
