"Node_Removed","CI_Value"
"APTN",553
"PlnT",440
"MHb",290
"MGC",276
"S1",248
"Gpe",220
"ZI",212
"IG",205
"Ech",126
"SS",100
"CA",96
"MePO",70
"VA",57
"PVH",52
"M1",48
"DG",44
"PHn",35
"LHb",30
"AMn",26
"PAG",24
"subGn",21
"Prh",21
"pRE",20
"CA2",20
"M2",20
"MPA",19
"Gpi",18
"AU",17
"RE",6
"cSN",6
"IGLLGC",5
"DPA",4
"CMT",1
"DMH",0
"AVPV",0
"AVPO",0
"ADPO",0
"ArH",0
"IPVH",0
"SON",0
"vlLGC",0
"RT",0
"CLT",0
"FStr",1
"PCn",0
"Rh",0
"XiT",0
"PT",0
"PVT",0
"SMT",0
"MDT",0
"IMDT",0
"IADT",0
"AVT",0
"EnT",0
"PCT",0
"LPT",0
"dLGC",0
"PTTn",0
"VPMT",0
"VPLT",0
"VMT",0
"VALCT",0
"BNST",0
"TnS",0
"DBn",0
"MSn",0
"SubInn",0
"MGCn",0
"OT",0
"NACC.CORE",0
"NACC.SHELL",0
"DMS",0
"DLS",0
"SFn",0
"LSN",0
"MAn",0
"IAn",0
"aAA",0
"PAn",0
"CCA",0
"vEPn",6
"BMe",0
"BLA",0
"LAn",0
"dEPn",0
"Clst",0
"Sub",0
"proSub",0
"CA3",0
"CA1",0
"FC",0
"PAA",0
"PC",0
"TT",0
"aOn",0
"lpEC",0
"TeAA",0
"ViA",0
"AA",0
