"Node_Removed","CI_Value"
"vEPn",1128
"VMHn",960
"DMH",770
"Vacc",750
"BMe",616
"MGC",576
"RT",489
"PVH",456
"CA1",402
"ViA",399
"aOn",375
"DPA",248
"APTN",228
"PT",201
"AU",192
"RE",146
"PAn",146
"PAA",146
"AHN",146
"FP",144
"SCN",119
"AVT",54
"M2",50
"AuA",33
"aAA",30
"dLGC",24
"VTA",16
"AMn",8
"NACC.SHELL",8
"reSN",8
"FStr",4
"CA2",4
"IGLLGC",1
"MePO",0
"AVPV",0
"AVPO",0
"ADPO",0
"ArH",0
"IPVH",0
"SON",0
"LHb",0
"MHb",0
"subGn",0
"vlLGC",0
"CLT",0
"PCn",0
"CMT",0
"IADT",8
"Rh",0
"XiT",0
"PVT",0
"pRE",0
"SMT",0
"MDT",0
"IMDT",0
"EnT",0
"PlnT",0
"PCT",0
"LPT",0
"PTTn",0
"VPMT",0
"VPLT",0
"VMT",0
"VALCT",0
"BNST",0
"TnS",0
"DBn",0
"MSn",0
"SubInn",0
"Gpi",0
"Gpe",0
"MGCn",0
"OT",0
"NACC.CORE",0
"DMS",0
"DLS",0
"SFn",0
"LSN",0
"MAn",0
"IAn",0
"CA",0
"CCA",0
"BLA",0
"LAn",0
"dEPn",0
"Clst",0
"Sub",0
"proSub",0
"DG",0
"CA3",0
"IG",0
"FC",0
"PC",0
"TT",0
"VA",0
"Ech",0
"lpEC",0
"Prh",0
"TeAA",0
"AA",0
