"","lower","r","upper","p"
"FP-FP",NA,1,NA,0
"M1-FP",-0.450495541070986,0.37239489662033,0.853179388692446,0.363627621278591
"M2-FP",0.178867884183555,0.784641912859922,0.959044097224771,0.0211108384543896
"S1-FP",-0.749899555629571,-0.0959072942656464,0.652890083516767,0.821273499522221
"SS-FP",-0.770495828490627,-0.144016075869168,0.623981093308691,0.73368035596936
"GA-FP",-0.621979404187695,0.14721800533476,0.771821728595089,0.727928653754896
"VA-FP",-0.729096408208849,-0.0502307670564402,0.678457003023774,0.90597561529383
"AuA-FP",-0.945975323289063,-0.723769381670612,-0.0389739991730666,0.0423797798214522
"ViA-FP",-0.900775282155386,-0.536901858636041,0.269876017640777,0.170040217247647
"dACC-FP",-0.496216702155488,0.320539386256965,0.836310355263078,0.43888719263603
"Vacc-FP",-0.729330745993346,-0.0507299488089752,0.678186816586038,0.905044413649139
"PL-FP",-0.329780403296923,0.488387615451606,0.887592463361991,0.219467809777816
"IL-FP",-0.348499536906742,0.47211438805827,0.883019041861094,0.237528029859692
"OA-FP",0.979270154780526,0.996377604485525,0.999371494809143,1.18507810003458e-07
"AU-FP",0.437440268677633,0.873006822836842,0.976780034504541,0.00464485187177641
"RS-FP",-0.864971567529653,-0.410519052534085,0.413882491218205,0.31238346041364
"AA-FP",-0.930291763822922,-0.655014563793469,0.0922282556965923,0.0779199771539517
"TeAA-FP",-0.96288441338216,-0.803192559006132,-0.226997508184696,0.0163551784122698
"Prh-FP",-0.908625369130145,-0.566981369855242,0.229308760241479,0.142770516390601
"Ech-FP",-0.941480879910892,-0.703604704882335,0.00211869745590306,0.0514831483278496
"aOn-FP",-0.237309819386911,0.627971954773321,0.937626893906434,0.131026598367054
"TT-FP",0.100463398187198,0.751906014773064,0.95210708575657,0.0314249129909929
"DPA-FP",-0.059510663776055,0.673401739478379,0.934586993639598,0.0671529145413229
"PC-FP",-0.615749256980632,0.157081715676593,0.775872374632283,0.710280842515199
"CCA-FP",-0.84759670057056,-0.354894769906482,0.466423575692146,0.388334984382831
"PAA-FP",-0.640655798341192,0.116703047262379,0.75896094188288,0.783160479719173
"CA1-FP",-0.816635997509017,-0.26372875724618,0.541595673666026,0.527959010633453
"CA2-FP",-0.495525776756834,0.321361219155928,0.83658554361463,0.437647366377713
"CA3-FP",-0.799537567230904,-0.217286647485715,0.575505371952754,0.605229477680658
"DG-FP",-0.715835284905536,-0.0225242665204251,0.693150513815968,0.957781282499503
"FC-FP",-0.430631718191936,0.393429023267979,0.859746796930627,0.334907620351258
"IG-FP",-0.501565930525543,0.314134769989551,0.834156846723414,0.448598960342344
"lpEC-FP",-0.86364903887424,-0.406162719358458,0.418205623955229,0.318054727017567
"Sub-FP",-0.636525357769278,0.123577124431405,0.761902477222139,0.770641064332701
"proSb-FP",-0.897674784738087,-0.446349521642949,0.461998976225868,0.31542302407725
"Clst-FP",-0.709004801151655,-0.00865710524996998,0.700287878765349,0.983768738651613
"dEPn-FP",-0.389175017695061,0.434714490552056,0.872203870247344,0.281777233966268
"vEPn-FP",-0.783907598283489,-0.177020549039913,0.602853251765317,0.674955240956296
"LAn-FP",-0.855588274063202,-0.380053150613471,0.443356480909201,0.353045730309023
"BLA-FP",-0.82587937503789,-0.289950121536896,0.521218087104494,0.486045537552589
"BMe-FP",-0.731908243303799,-0.0562429491297378,0.675189693897681,0.894766648833171
"PAn-FP",-0.831774895879846,-0.210683842903247,0.644653108407275,0.650216890814517
"DLS-FP",0.630158364773743,0.92436284891619,0.986473260797779,0.00102135665809486
"DMS-FP",-0.254871619908223,0.548271487688826,0.903770722382071,0.159426631076419
"NACC.S-FP",-0.386378278407959,0.43738032910186,0.872989191348029,0.278498867292148
"NACC.C-FP",-0.608912144493423,0.167731799150266,0.780189414251112,0.69135178938666
"FStr-FP",-0.386396825086617,0.437362698055541,0.872984004881808,0.278520487549533
"OT-FP",-0.636948518066395,0.122876218800218,0.761603748443542,0.771915653611866
"LSN-FP",-0.669107086842167,0.0672960315116459,0.737018305177776,0.874200382455503
"SFn-FP",-0.677253576309829,0.0524513557158126,0.730137630372727,0.901833935747906
"aAA-FP",-0.712621427779866,-0.0159661329497753,0.696543538338971,0.970068587886501
"CA-FP",-0.766389153170436,-0.134181366918776,0.630066891763352,0.751413484464556
"IAn-FP",-0.715307591595521,-0.0214433561071977,0.69371194309496,0.959806030637387
"MAn-FP",-0.824487807266722,-0.285950432152363,0.524387348482973,0.49235286445382
"Gpe-FP",-0.065903567901898,0.669878842237623,0.933769903344362,0.0691430731335627
"Gpi-FP",-0.420745026970304,0.403586224899838,0.862863871978777,0.321431659184225
"SbInn-FP",-0.591533967093702,0.194009479487778,0.790597299075541,0.645257220651386
"MGCn-FP",-0.619844588910494,0.150615211657941,0.773222577607563,0.721838284471256
"MSn-FP",-0.680229665940343,0.0469466365175056,0.727550714863156,0.912104308214398
"DBn-FP",-0.700881452765921,0.00749143870867599,0.708424583811147,0.985954077952298
"TnS-FP",-0.803280666351867,-0.227233021357656,0.568465406807386,0.588377322914169
"BNST-FP",-0.590067689508692,0.196176251629015,0.791440386814023,0.641497902764415
"VALCT-FP",-0.41053752596108,0.413864079059689,0.865982809291709,0.308061715643498
"VMT-FP",-0.789182409073375,-0.190386185350226,0.593974334288146,0.651558237436241
"VPLT-FP",-0.519229417230248,0.292445488495765,0.826744265878838,0.482126576414214
"VPMT-FP",-0.604309862888745,0.174800065349165,0.783022704785295,0.678864962917453
"PTTn-FP",-0.861361052250532,-0.398675010843077,0.425550019816786,0.3279151711916
"MGC-FP",-0.855761448058192,-0.380606223480399,0.442836827143779,0.35228702932703
"dLGC-FP",-0.689434695860831,0.0296363323901181,0.719287712956411,0.944464405635405
"LPT-FP",-0.792536148471136,-0.199001121109098,0.588148249720413,0.63660678001331
"PCT-FP",-0.609483858301989,0.166848139546642,0.779833426279048,0.692917210973727
"PlnT-FP",-0.875107672041014,-0.44461007728754,0.378716507210209,0.269703010426011
"EnT-FP",-0.76105033521811,-0.121579429962695,0.637730227694482,0.774275023871004
"AVT-FP",-0.542776790216889,0.262171536344153,0.816077986742191,0.530488992914049
"AMn-FP",-0.673105060971114,0.0600513663761794,0.733677574748114,0.887674089234233
"IADT-FP",-0.486763137293813,0.331678404424583,0.840018243228145,0.422207872269125
"IMDT-FP",-0.795991397848448,-0.207973800130875,0.581992113446753,0.621147608202212
"MDT-FP",-0.465147297474552,0.356318553532006,0.848055012321696,0.386297873731629
"SMT-FP",-0.270011620872558,0.536797751014076,0.900747693081846,0.170139115895435
"pRE-FP",-0.884311207113424,-0.47668398233747,0.34330839960333,0.232382615897961
"PVT-FP",-0.881042693201331,-0.465167714320458,0.356295807001857,0.245460045144279
"PT-FP",-0.680535472656537,0.0463784881671897,0.727282609931764,0.913164952302761
"RE-FP",-0.840551105018081,-0.333290930167974,0.485378532212807,0.419815907921735
"XiT-FP",-0.867426866174597,-0.418662048492279,0.405700592307372,0.301913065469227
"Rh-FP",-0.458057609309839,0.36415878051521,0.850565647423483,0.375165378223859
"CMT-FP",-0.691429469632116,0.0258273707140785,0.717442945900862,0.951595210885464
"PCn-FP",-0.544957024936407,0.259285993554953,0.815041251283449,0.535188790768023
"CLT-FP",-0.644323905386803,0.110536960999466,0.756299874091533,0.794425243595296
"RT-FP",-0.674896724381704,0.0567794638847086,0.732158052299453,0.893767098588646
"IGLLG-FP",-0.956095119698328,-0.725119705663828,0.0615460985270312,0.0651882966971339
"vlLGC-FP",-0.908755749516124,-0.567488766145273,0.228599873341257,0.142332872406752
"subGn-FP",-0.166490045953979,0.670652210483929,0.945961727801432,0.0991578472090143
"MHb-FP",-0.899581859832511,-0.532408574502416,0.275699681083687,0.174336927672877
"LHb-FP",-0.718610775249609,-0.028236302804996,0.690169168791168,0.947085066119612
"SON-FP",-0.849098847117143,-0.359569859061677,0.462219970582195,0.38166374785239
"PVH-FP",-0.888345164130414,-0.491092764882085,0.326605025909977,0.216536943057849
"IPVH-FP",-0.890450079018288,-0.498698561440136,0.31757712037279,0.208406242114719
"ArH-FP",-0.681935315623878,0.0437717478932228,0.726049839104148,0.918032743915329
"ADPO-FP",-0.81513540890408,-0.160757187698083,0.673880568994646,0.730602797567733
"AVPO-FP",-0.764373013120004,-0.129398246400004,0.632993178305914,0.760072973913875
"AVPV-FP",-0.752281545278259,0.0017914304043865,0.75383258102756,0.996958778169977
"DMH-FP",-0.917282895220523,-0.60124604571182,0.17946142396925,0.114885272484224
"MePO-FP",-0.685764806214445,0.0365897483372959,0.722630512471971,0.931455430660348
"MPA-FP",-0.739972294495514,-0.073761390978084,0.665502813348511,0.862198219064134
"PSN-FP",-0.615780043199254,0.157033350384255,0.775852636557977,0.710367108754382
"SPZ-FP",-0.790171616320365,-0.0916485044069918,0.710441926348114,0.845065266431708
"SCN-FP",-0.909735826255608,-0.375150697571519,0.62743938216126,0.463672941687664
"AHN-FP",-0.740317799569703,-0.0745212694498226,0.665076924090904,0.860789067778001
"SMN-FP",-0.725740722253052,0.208800537549291,0.872510966507254,0.691350801565813
"MPO-FP",-0.668168065281094,0.0689864304099573,0.737793117960351,0.87106025107564
"VMHn-FP",-0.746906100948237,-0.0891605610853109,0.656777033723313,0.833707824111335
"PHn-FP",-0.897950628972685,-0.526300211369767,0.283522608165749,0.180270682216483
"LHA-FP",-0.832393179894282,-0.308924577807724,0.50587203116893,0.456563854365033
"LPO-FP",-0.648736664012493,0.103041304747379,0.753035976207315,0.808160750264037
"PSTN-FP",-0.883384250676974,-0.389311788332641,0.514619618560612,0.388009039976521
"STN-FP",-0.855126872484216,-0.378581211607988,0.444736787334433,0.355068557132855
"TN-FP",-0.874225310550402,-0.441592007016385,0.381928706890818,0.273357918774625
"ZI-FP",-0.927881586661839,-0.644837831153461,0.109668385766282,0.0842859371022676
"FF-FP",-0.927936038441835,-0.580584273408182,0.306464166781536,0.171711885774085
"SCO-FP",-0.89254466951955,-0.425442901980332,0.482058743395457,0.341295223531664
"reSN-FP",-0.594571754529857,0.189495907703139,0.788833781734321,0.653109233982296
"VTA-FP",-0.825337658384724,-0.288390873332059,0.52245626597072,0.488500630696002
"PAG-FP",-0.920515557708405,-0.545822618184739,0.351864534290629,0.205003889369032
"PreCN-FP",-0.907658993011644,-0.488501221747253,0.41851645488167,0.265994255850058
"APTN-FP",-0.806282427353987,-0.235297261351614,0.562670761360278,0.574831149749464
"cSN-FP",-0.715975658111335,-0.02281207578946,0.693000877969304,0.957242194571154
"FP-M1",-0.450495541070986,0.37239489662033,0.853179388692446,0.363627621278591
"M1-M1",NA,1,NA,0
"M2-M1",0.219078661199885,0.800215309081389,0.96227239431714,0.0170677299483814
"S1-M1",0.32451410443657,0.837638871423894,0.969847953589436,0.00943941406371589
"SS-M1",0.29033474855449,0.826012850853693,0.967521569114596,0.0115087454525325
"GA-M1",0.674854390742206,0.934923116666332,0.988414039383545,0.000655810753068006
"VA-M1",0.109637649814418,0.75590996900294,0.952966765594809,0.0300262811768353
"AuA-M1",-0.505894424213332,0.308897354784283,0.832383936883026,0.456605620649772
"ViA-M1",-0.50690190336952,0.307671188616935,0.8319673154817,0.458488446048266
"dACC-M1",-0.744139643412051,-0.0829786493454801,0.660304114699937,0.845127739560281
"Vacc-M1",-0.902357314531112,-0.542890267980139,0.262021702669302,0.164403752202703
"PL-M1",-0.785891392044329,-0.182021080836401,0.599553814284369,0.666173875055171
"IL-M1",-0.793673318160628,-0.201943206996607,0.586139692039365,0.631524865134396
"OA-M1",-0.422386139268435,0.401914158050645,0.86235313363196,0.323632190088993
"AU-M1",-0.365851036106032,0.456513502332271,0.878560065441615,0.255526247235945
"RS-M1",-0.673036293296898,0.0601766354668813,0.733735618059856,0.887440904187721
"AA-M1",-0.62639728399341,0.140129563737885,0.768879130294101,0.740676337844313
"TeAA-M1",-0.892262202854366,-0.505295084486327,0.309625506697547,0.201486064561612
"Prh-M1",-0.815549066054467,-0.260698154297505,0.543891393236908,0.532886852658239
"Ech-M1",-0.875803104249203,-0.446995673945972,0.376163349448197,0.266831272953933
"aOn-M1",-0.706391331934938,0.0997054768194768,0.793206458298491,0.831574817819595
"TT-M1",-0.77598427741207,-0.157355973358231,0.615574637631226,0.709791716576682
"DPA-M1",-0.648828900244257,0.102883712932848,0.752967009590209,0.808450003093741
"PC-M1",-0.842768118269966,-0.340031981153542,0.47954547797741,0.409879270591132
"CCA-M1",-0.974715938232109,-0.862360298734045,-0.40193759410801,0.0058644377064947
"PAA-M1",-0.843430750984475,-0.34205686092073,0.477779082206824,0.406914446905689
"CA1-M1",-0.772061820582534,-0.147799209148782,0.621614982866082,0.72688580431327
"CA2-M1",-0.533015031082501,0.27491711168066,0.820615040523322,0.509914111754971
"CA3-M1",-0.694237578270323,0.0204298418048195,0.7148120807303,0.961704704000627
"DG-M1",-0.918327436579492,-0.605460216461153,0.17304082732665,0.111689468584839
"FC-M1",-0.218188326559188,0.574871977237382,0.910645429425462,0.136048704582087
"IG-M1",-0.68481378668719,0.0383803251366451,0.723486153738299,0.928107529280217
"lpEC-M1",-0.725343039677135,-0.0422813723344165,0.682733279042681,0.92081685997514
