"","FP","M1","M2","S1","SS","GA","VA","AuA","ViA","dACC","Vacc","PL","IL","OA","AU","RS","AA","TeAA","Prh","Ech","aOn","TT","DPA","PC","CCA","PAA","CA1","CA2","CA3","DG","FC","IG","lpEC","Sub","proSub","Clst","dEPn","vEPn","LAn","BLA","BMe","PAn","DLS","DMS","NACC.SHELL","NACC.CORE","FStr","OT","LSN","SFn","aAA","CA","IAn","MAn","Gpe","Gpi","SubInn","MGCn","MSn","DBn","TnS","BNST","VALCT","VMT","VPLT","VPMT","PTTn","MGC","dLGC","LPT","PCT","PlnT","EnT","AVT","AMn","IADT","IMDT","MDT","SMT","pRE","PVT","PT","RE","XiT","Rh","CMT","PCn","CLT","RT","IGLLGC","vlLGC","subGn","MHb","LHb","SON","PVH","IPVH","ArH","ADPO","AVPO","AVPV","DMH","MePO","MPA","PSN","SPZ","SCN","AHN","SMN","MPO","VMHn","PHn","LHA","LPO","PSTN","STN","TN","ZI","FF","SCO","reSN","VTA","PAG","PreCN","APTN","cSN"
"FP",0,0.363627621278591,0.0211108384543896,0.821273499522221,0.73368035596936,0.727928653754896,0.90597561529383,0.0423797798214522,0.170040217247647,0.43888719263603,0.905044413649139,0.219467809777816,0.237528029859692,1.18507810003458e-07,0.00464485187177641,0.31238346041364,0.0779199771539517,0.0163551784122698,0.142770516390601,0.0514831483278496,0.131026598367054,0.0314249129909929,0.0671529145413229,0.710280842515199,0.388334984382831,0.783160479719173,0.527959010633453,0.437647366377713,0.605229477680658,0.957781282499503,0.334907620351258,0.448598960342344,0.318054727017567,0.770641064332701,0.31542302407725,0.983768738651613,0.281777233966268,0.674955240956296,0.353045730309023,0.486045537552589,0.894766648833171,0.650216890814517,0.00102135665809486,0.159426631076419,0.278498867292148,0.69135178938666,0.278520487549533,0.771915653611866,0.874200382455503,0.901833935747906,0.970068587886501,0.751413484464556,0.959806030637387,0.49235286445382,0.0691430731335627,0.321431659184225,0.645257220651386,0.721838284471256,0.912104308214398,0.985954077952298,0.588377322914169,0.641497902764415,0.308061715643498,0.651558237436241,0.482126576414214,0.678864962917453,0.3279151711916,0.35228702932703,0.944464405635405,0.63660678001331,0.692917210973727,0.269703010426011,0.774275023871004,0.530488992914049,0.887674089234233,0.422207872269125,0.621147608202212,0.386297873731629,0.170139115895435,0.232382615897961,0.245460045144279,0.913164952302761,0.419815907921735,0.301913065469227,0.375165378223859,0.951595210885464,0.535188790768023,0.794425243595296,0.893767098588646,0.0651882966971339,0.142332872406752,0.0991578472090143,0.174336927672877,0.947085066119612,0.38166374785239,0.216536943057849,0.208406242114719,0.918032743915329,0.730602797567733,0.760072973913875,0.996958778169977,0.114885272484224,0.931455430660348,0.862198219064134,0.710367108754382,0.845065266431708,0.463672941687664,0.860789067778001,0.691350801565813,0.87106025107564,0.833707824111335,0.180270682216483,0.456563854365033,0.808160750264037,0.388009039976521,0.355068557132855,0.273357918774625,0.0842859371022676,0.171711885774085,0.341295223531664,0.653109233982296,0.488500630696002,0.205003889369032,0.265994255850058,0.574831149749464,0.957242194571154
"M1",0.363627621278591,0,0.0170677299483814,0.00943941406371589,0.0115087454525325,0.000655810753068006,0.0300262811768353,0.456605620649772,0.458488446048266,0.845127739560281,0.164403752202703,0.666173875055171,0.631524865134396,0.323632190088993,0.255526247235945,0.887440904187721,0.740676337844313,0.201486064561612,0.532886852658239,0.266831272953933,0.831574817819595,0.709791716576682,0.808450003093741,0.409879270591132,0.0058644377064947,0.406914446905689,0.72688580431327,0.509914111754971,0.961704704000627,0.111689468584839,0.136048704582087,0.928107529280217,0.92081685997514,0.315364492908371,0.400059242832401,0.519260863051966,0.45074859428194,0.376636801884145,0.020155140310653,0.648549560570518,0.0818077364516369,0.124510319012524,0.494895001135968,0.684834796423366,0.559890294593231,0.227201867706701,0.349481535506301,0.81750287780309,0.0192978825655601,0.0371024150037459,0.448512697045945,0.312003568658485,0.500891194962696,0.000826037032796763,0.374127847137616,0.125137456786764,0.438981811841252,0.388641590274436,0.406520774847839,0.333827821668447,0.0205474267052858,0.0652173420561591,0.0101620741487495,0.213453854991768,0.00438512131505462,0.0216426986390227,0.226468798659568,0.951389636374661,0.870468724589676,0.45837681050481,0.0489005984963296,0.537222708869753,0.12221134368037,0.775192158756329,0.276510450831325,0.297573225040146,0.177120269098806,0.206375741596671,0.0236989414620747,0.770986005566667,0.0491702361758764,0.0994051649031098,0.861041064863185,0.572251313303604,0.000749681792610939,0.136425827441132,0.00383810149397319,0.176016206314665,0.470339606341338,0.868162695607144,0.85817662363846,0.130359240231956,0.192448012721437,0.13819281141777,0.309447765614088,0.132302686970773,0.939070164802707,0.995777051950434,0.0564653293841409,0.124893904787875,0.116555123072661,0.236066404119261,0.583512092995545,0.170539946939638,0.0603834498328683,0.405044067747332,0.662121717758484,0.180024560346169,0.452562635521577,0.0801055654710419,0.219442174085513,0.485647211197357,0.555424174230055,0.225668418932806,0.295949444727471,0.195962389071334,0.124672333707298,0.753893582880037,0.786898733443137,0.828407506649211,0.47869258491534,0.171888319640348,0.447093859261629,0.805076326410042,0.739423413729402,0.966172200822686
"M2",0.0211108384543896,0.0170677299483814,0,0.261139005731384,0.348435956063557,0.0766491407772185,0.413668064458086,0.601704326735821,0.98980021394079,0.382828787207568,0.632493537763283,0.444942089819104,0.637920614207458,0.0144356651055472,0.0248872714909298,0.956983221901759,0.656787846358863,0.0182174979906691,0.208264492464036,0.102597383234439,0.476462074497677,0.4151668588094,0.197665128819829,0.773996339545867,0.0219479488123959,0.528689796575108,0.866515596651277,0.279711139432032,0.810629178607759,0.36350293388524,0.0617599605494171,0.341146986336435,0.603477879265776,0.796985790765643,0.592426471636761,0.781978981082473,0.358570124365263,0.459550208419523,0.0312837486295243,0.41649955555333,0.164179957240321,0.18653665643964,0.0395690351522687,0.402084796496821,0.98958223665999,0.780281114568567,0.939440161827885,0.755662047802957,0.24609124541086,0.371700093789903,0.44291835844671,0.976024461479444,0.943744806388817,0.046250314413905,0.138249387252851,0.124330679661779,0.668779486584175,0.648409615924181,0.473762359152275,0.434063865163633,0.238402244273721,0.371807793035247,0.0116510731611837,0.641536074403278,0.0701928498008045,0.243083337558036,0.963175847563539,0.459890842877936,0.689081483628248,0.853331346698023,0.29921302095518,0.811122015585077,0.646008858266977,0.453394795644375,0.242018685574032,0.191011900119755,0.743048620847914,0.219555679010473,0.0277644854702589,0.454883210727946,0.0580129023651717,0.471512870673345,0.676618748363973,0.830724524718062,0.0497500271194306,0.358765020544687,0.0769895413642682,0.368277399482271,0.977119251398099,0.26340957712591,0.376021986943275,0.0315965458598166,0.221613612193599,0.356226777111727,0.47647308170315,0.0853185310645668,0.567049204356219,0.982726549112234,0.0134622662661384,0.238783505224843,0.136542112231846,0.0623713426444606,0.543479496854115,0.264914265464487,0.315347352556597,0.63823623906583,0.823003947605946,0.355338714739776,0.778990820293328,0.285049842553902,0.318486643631586,0.186840518037678,0.343583396684881,0.508646154542583,0.846791155873707,0.875163588621641,0.165518390332265,0.518678755371447,0.641712785344593,0.54441207890359,0.724952960255588,0.972506208517974,0.29754661831455,0.509870249506712,0.53683676901684,0.728532517987163
"S1",0.821273499522221,0.00943941406371589,0.261139005731384,0,1.15171771266889e-05,0.00814484500665374,0.0221802564939239,0.1109322338466,0.091868007353002,0.800499366383994,0.305792284169713,0.369498709801316,0.290790192190525,0.886775614548201,0.878611156732091,0.303369472771105,0.15009166106228,0.641213654542452,0.767925406776778,0.632334962712018,0.619532524442143,0.239646439555588,0.531346513672164,0.106568165328384,0.0466867987772015,0.114077096817217,0.885695221159509,0.955345439105868,0.736857456058557,0.0235816690451438,0.457188721761575,0.67072304951983,0.858033992007585,0.144334588306057,0.951841707849123,0.420133082196548,0.938323279278801,0.429497014158187,0.0576886667461643,0.806702326179394,0.0639653459663344,0.178592877914681,0.752277176241988,0.463855339107797,0.108558734944802,0.0703331693839651,0.0575414326867392,0.387340865906547,0.00791819150974169,0.00129859650414928,0.304151480549784,0.12965683510365,0.580225695758338,0.00165051216416947,0.875476240073653,0.547857555791465,0.127620490347733,0.105551407968018,0.130432565539463,0.118233741266204,0.0206932141206509,0.0197456669109978,0.0283205201786536,0.0116253812895927,0.00898915703966117,0.0159560943371818,0.0185587394862553,0.771619530930833,0.442865500819628,0.400997232455646,0.0290314249888671,0.121247899458703,0.0241901848608554,0.700720789419253,0.122982734893825,0.257899394110179,0.00760548592917671,0.114026075966082,0.0602111359916486,0.576623833936032,0.369228334838405,0.156594016704654,0.434679294725844,0.109287348356363,0.00588669561641931,0.0170400111057433,0.0019669961431204,0.0355730668192943,0.624265255624102,0.864376930824562,0.499104505672021,0.624254187511815,0.745711612423597,0.222844937413365,0.408429186836571,0.340498290539773,0.860135232195899,0.714205769492274,0.0185208506513548,0.0449553820459492,0.0269523974069121,0.632306766873448,0.263044854819137,0.0543980771010092,0.00114478276368402,0.470229008032671,0.176365073936118,0.226084559542524,0.233495015932183,0.00641172936536914,0.128964360694461,0.885394518218492,0.571291058898482,0.0474152192343738,0.187437462227291,0.108332362360436,0.236407429145087,0.129025187649996,0.365730583384653,0.943207318040729,0.428364541777249,0.0952892744612073,0.778366340971935,0.815253278337652,0.892906323632042,0.993270042341972
"SS",0.73368035596936,0.0115087454525325,0.348435956063557,1.15171771266889e-05,0,0.00637792959471996,0.0118541434683255,0.0647406358196468,0.10220172826894,0.54556047278051,0.195738315485808,0.259342618922007,0.211141359061842,0.775721800439028,0.996792727583485,0.408002411612053,0.18358217203797,0.840340593422064,0.845943860058927,0.677395550585583,0.543853399024354,0.206646412014241,0.442922445727822,0.130878534123965,0.0692759139578673,0.159856288857933,0.914496814115252,0.874522956965635,0.960184306763835,0.0252770579101118,0.599616986502759,0.498207096935864,0.953640958825421,0.114846676717915,0.728551325473654,0.403497254454228,0.993508363918365,0.353117340341425,0.0652615459663277,0.814460572055882,0.0659806644408614,0.149353716943506,0.575596891122674,0.270031899053266,0.108699386345946,0.0326609231583665,0.0446086513131981,0.537247930054906,0.00715409372184571,0.00170430932815547,0.494342762430182,0.138390130206096,0.441880903075221,0.00368917377722465,0.914444389525888,0.503470589455843,0.177877216242079,0.173643744521078,0.220356985576194,0.208424939542228,0.0202353890135879,0.0240771604944516,0.0648088304572354,0.0171276355004505,0.00930445198768426,0.00734735554268035,0.00907684455925099,0.604711282080945,0.656013219499012,0.229478695760868,0.0190131156846365,0.114511816600665,0.018828979860687,0.940754189171298,0.237236124533724,0.393664951289648,0.00976007800644187,0.176558251814724,0.102046172045402,0.512679138499652,0.330525025958943,0.135076287581569,0.337853705597436,0.107550814680738,0.0075128525126035,0.0484538712864495,0.00297737294794743,0.0500458481033637,0.505020234497055,0.712141805104057,0.407476579572489,0.633720503146931,0.669224776059254,0.263148868313557,0.347625720876116,0.421333650360525,0.804995046169939,0.866335936483094,0.0602635481559361,0.0838263221096484,0.0690095371441673,0.732304515025118,0.433448745471653,0.110752283994079,0.00801596600210516,0.365854393895709,0.220104569321137,0.152737106739345,0.171457720828806,0.0219589250313205,0.172045470378295,0.948143349362367,0.686965438403877,0.0757850358706984,0.137047807738457,0.0524249774591558,0.282038873248562,0.140398960796822,0.2726838866738,0.91703966108766,0.441002831332739,0.0294130139912956,0.861374723934534,0.923960169683123,0.854023445040376,0.929516685826768
"GA",0.727928653754896,0.000655810753068006,0.0766491407772185,0.00814484500665374,0.00637792959471996,0,0.00639111610078244,0.156184002186758,0.146233856871993,0.849210241806144,0.225400764958519,0.738183703155522,0.668489329945638,0.683937773652765,0.423342899554436,0.663265196691406,0.368214483963227,0.621320433758798,0.999301590286214,0.747298233034455,0.977005639623116,0.470184246851145,0.794716412288136,0.595134275725141,0.0378034181338347,0.463034752601551,0.739572370323272,0.707767206787588,0.89729322970055,0.0585722909646107,0.119567277928565,0.954866894292903,0.587215805077603,0.224392564215457,0.591405613691852,0.271420293762866,0.490793445422047,0.440089111828122,0.0470934191155753,0.695284056159209,0.0469035962189776,0.0721175742267498,0.94077580187991,0.500380991249552,0.271988736961744,0.20459116679915,0.106023332740103,0.663358963488294,0.010880486461075,0.0487627917885161,0.396147552672833,0.394257705370282,0.382103189174974,0.0116084790539702,0.653970666042045,0.146430058337585,0.219621821737902,0.276016999838996,0.284311066354859,0.27027529601567,0.0525941490915704,0.0408697039996381,0.0479961854351138,0.227373456055373,0.0174717209066463,0.0466734090458816,0.235356127184164,0.937278346120038,0.786100749627803,0.493280144934836,0.140714368581671,0.620082761842998,0.248513340572919,0.911239703088708,0.273681262866566,0.624082798246323,0.18845648517283,0.371626140384199,0.158907337971351,0.790348648204899,0.09643909603821,0.110686395621335,0.520067494093528,0.356347987866103,0.0103720592058014,0.284804517442768,0.0191826348946793,0.284013388163354,0.625720086709704,0.853091740933318,0.60070379928539,0.105645881677051,0.354533604804216,0.0822211091009702,0.53493480164278,0.473438136115638,0.596920756096442,0.768537404173936,0.0896125289103307,0.097124441867726,0.137982501519729,0.585788825416527,0.547792715163561,0.128786718015876,0.0500930628462718,0.636797927313501,0.419299619075673,0.156050934782423,0.39671987167481,0.0698646597144872,0.109024304715607,0.68178941659076,0.718271796987485,0.120969594600765,0.166023038605337,0.0717122976449739,0.28400914559308,0.745437457149957,0.546979193600267,0.982175210317313,0.150910274067379,0.0992187524473999,0.386585377979003,0.830450326290337,0.481051794865914,0.553539510973862
"VA",0.90597561529383,0.0300262811768353,0.413668064458086,0.0221802564939239,0.0118541434683255,0.00639111610078244,0,0.108698146274165,0.148012132562161,0.487825491288466,0.161487140872763,0.549855846896681,0.757896415365088,0.933812114640636,0.517584795685058,0.991536660208396,0.258636711640531,0.898195160951697,0.438156295285142,0.809790525678704,0.464240838046331,0.455036884610551,0.951587925004239,0.871443844182612,0.375019818537727,0.950487626915695,0.370146278509404,0.533200619159827,0.583489986255515,0.030654454863562,0.321963838622728,0.40729793522747,0.427202715808474,0.217022149518323,0.549574889457026,0.0861701241353082,0.243316539138089,0.949052005153206,0.390100663179825,0.707515929680658,0.389764532779741,0.341455136038951,0.685318381820177,0.322864540416215,0.334024601013243,0.274921238434732,0.0609295781419084,0.814337830977243,0.0330934190976161,0.021193973114322,0.416474496187023,0.0721631863814053,0.0371159653646572,0.0824742669530973,0.700276307639301,0.603834652655337,0.174930308907371,0.211440961775119,0.252485512666767,0.291396984458582,0.00870094619236728,0.0998085017514211,0.337349082711244,0.257819862313017,0.113993791573558,0.0454151281622745,0.20340014888358,0.88956801479639,0.728649654860404,0.501158102787686,0.205534376820923,0.822947971448845,0.295205531177278,0.546776984106586,0.647036947063926,0.833930671980406,0.0681063571542039,0.305309238547402,0.395106034475097,0.630476846006313,0.341515287852807,0.0927596921051877,0.42315239046705,0.266382466091661,0.0334840986683284,0.327923425004949,0.0707364460945463,0.275635303183765,0.400613204511012,0.80802927967036,0.429762901823751,0.364841995396857,0.311945256971631,0.0390116021438403,0.585811664062044,0.963514312335341,0.408919548100373,0.532130760481193,0.274707279907171,0.0773987445516207,0.241095462857268,0.632570846714299,0.696103921398028,0.134763429828548,0.0901425725780246,0.666659694704538,0.305831467976954,0.448473204014859,0.642258696696145,0.159201612921188,0.10544876689505,0.580807843687098,0.675072981272896,0.056641282017049,0.397867891965452,0.074543647833161,0.456970673443735,0.75838039782189,0.751982656188424,0.982653828880574,0.123795100483695,0.0574122779877732,0.458192640361509,0.880784651938019,0.301374017970886,0.583729765524135
"AuA",0.0423797798214522,0.456605620649772,0.601704326735821,0.1109322338466,0.0647406358196468,0.156184002186758,0.108698146274165,0,0.0182049340727971,0.318655744976475,0.35258128887689,0.169245001386171,0.130128919799168,0.0461355050135305,0.175271096520941,0.278343553615488,0.0487817236354236,0.125043643664971,0.234957004100726,0.232516035804404,0.0770732095902952,0.0232365147835359,0.186750632159807,0.603168092309553,0.667030025375805,0.52589091372137,0.996910224509235,0.677545584645888,0.79703287866158,0.319104785208067,0.990348743005275,0.444300745758743,0.170256071769396,0.379057038615266,0.795253879188462,0.570918518863428,0.616919798071796,0.809328303077935,0.674138707100129,0.7106786603277,0.263624813018445,0.403063384680664,0.0190051037804724,0.0359059825595954,0.0942848245238803,0.1920582247059,0.0217212719236574,0.818117229578664,0.0828193201389051,0.208860426953999,0.87285263197682,0.553295871148989,0.474169002969823,0.494250211159094,0.339925479148111,0.898436442367023,0.326559149735221,0.496496025988364,0.580350388701086,0.691821817035421,0.571720268677468,0.0653504095301749,0.863394102095944,0.301357815863333,0.522679592316789,0.367472649456697,0.0878691749380555,0.355813846239208,0.953495304786735,0.2444575938061,0.52746511495285,0.217677804961014,0.332730193222808,0.331798320741426,0.759566299881303,0.583365191202847,0.254822360291112,0.772566061546655,0.750603691851602,0.262610837140674,0.75222369015284,0.212359398346626,0.277620515180752,0.188142035161639,0.603412830504708,0.694124039435891,0.4698292787208,0.685004851139715,0.53678639817205,0.109561220901952,0.154152320156189,0.910366537544338,0.797730126257869,0.352180238543537,0.717279873933318,0.617482688468079,0.118315684964125,0.659783799714673,0.512806554058946,0.617682403106348,0.519178290817101,0.386700526771389,0.910384691094172,0.602234877272005,0.177814828802632,0.82689014585062,0.14066090625572,0.285047709717697,0.219889558954308,0.32957561529213,0.555161982511931,0.625139904128017,0.768176167557696,0.339033111530438,0.062590172517131,0.00682933861821538,0.675199160503891,0.1330555396891,0.0863230150576971,0.612622686787463,0.225916987355428,0.0393583721682541,0.853060637025272,0.702852882645323,0.982957197789232,0.820985631885775
"ViA",0.170040217247647,0.458488446048266,0.98980021394079,0.091868007353002,0.10220172826894,0.146233856871993,0.148012132562161,0.0182049340727971,0,0.634628482514619,0.883333335443441,0.994383324972207,0.705885625090205,0.197494993683303,0.614885015994546,0.0309548287233964,0.000975861248168824,0.316346065450473,0.311024751520845,0.177651908868765,0.466645789197823,0.180676973964909,0.753121691140447,0.634792572520817,0.684072234869257,0.277999620452906,0.580087240331421,0.499181903390799,0.397268341124353,0.0728241181257623,0.521547130357296,0.928510165324059,0.295938276321701,0.333945247755248,0.30224634426029,0.205277636070027,0.859353357755091,0.991608646169118,0.535340797226416,0.947988921006718,0.149544603649709,0.19466048260485,0.16958600021778,0.638392273745217,0.00685263824802097,0.409336168705325,0.00113028258574251,0.13656064811823,0.121893181942901,0.184773338348083,0.207792384031324,0.655257428989404,0.766728190270294,0.4218002584136,0.159499824805496,0.870893196131666,0.0122189299870501,0.069223398371835,0.0398842309842701,0.106891406872587,0.585297740473978,0.0900919418994514,0.48489335497258,0.155599953888611,0.481183691429608,0.539082666438073,0.308877495860555,0.670039426970671,0.164122862310967,0.915064540387924,0.809545161682806,0.488484136823533,0.702928642334755,0.84373326799686,0.155488670330823,0.939935251955795,0.170966511263974,0.617568627264193,0.992743301857203,0.0847404456540456,0.918727962580588,0.579820061169383,0.1971270372787,0.0629726007253632,0.534582817090674,0.413374613412054,0.379156338070013,0.399017414214426,0.59808352506435,0.598342713447693,0.446865086237338,0.708762804170947,0.400543789452526,0.264509081264477,0.534913633579571,0.461342719279173,0.336732689353297,0.861501968146996,0.132514111592216,0.109485403317591,0.142566631395888,0.375280738076439,0.186201481491436,0.0751369662321113,0.0375300468181597,0.533143051111616,0.00685821337027243,0.525083331525313,0.326146065839971,0.0739409783107277,0.0760440694842198,0.3870073320864,0.769720526787958,0.0306958971299884,0.176677021466052,0.140110661957653,0.829711052137033,0.2613080112927,0.188656872502404,0.785971291983102,0.0435363507224976,0.409644989441539,0.701195294163526,0.701580367762709,0.516431769244762,0.192474519057912
"dACC",0.43888719263603,0.845127739560281,0.382828787207568,0.800499366383994,0.54556047278051,0.849210241806144,0.487825491288466,0.318655744976475,0.634628482514619,0,0.0228649990804885,0.00612898231104922,0.0730357607509476,0.387967930887125,0.282374331710233,0.236818328901945,0.59453784129443,0.394266214113627,0.682073002294372,0.900514236916582,0.707419600127908,0.380085069000626,0.0977150195992648,0.90220231257211,0.925249395884126,0.531444876573089,0.186158410587117,0.798823220418858,0.151266566934432,0.714582108171349,0.248525864330766,0.0691282273492077,0.712171826156064,0.89158056227029,0.162730266634881,0.605937535464604,0.781307340938399,0.790724152559797,0.784777286467213,0.467752627807998,0.676703173425974,0.729241873368051,0.23388752962318,0.00259446011124161,0.595133986253147,0.329576672931315,0.973031164529296,0.0571708754551723,0.615998564741643,0.64906475265103,0.0965185453202853,0.467566217774283,0.204434160895405,0.940891747007547,0.861051673325833,0.903018549704399,0.220919376036854,0.256114932330075,0.116940095466455,0.140318543733337,0.5670909941423,0.728198959413304,0.431501184663579,0.922913633766167,0.906764935638442,0.358786255359844,0.223515948366171,0.0152666030069828,0.0269730365681133,0.00851362778925822,0.338318458629745,0.437602238530492,0.250365342131082,0.13853723885268,0.0789481023649437,0.383217420617963,0.769825598834122,0.47149418932172,0.747878578224854,0.690725567347209,0.540750536672886,0.228189825115184,0.975925332372546,0.808418045159718,0.849097328142382,0.745261094499576,0.891339846456288,0.888655341976316,0.0185102235857829,0.165499807258446,0.370311454461557,0.426466949820327,0.291875170883372,0.980215009862835,0.566743399335171,0.887705238625297,0.466781526736471,0.516752176017343,0.31342062522694,0.292489311400492,0.348476019219529,0.718041975844653,0.0586737492036308,0.186267876762869,0.651332242212681,0.267527218925375,0.172526810305396,0.474887031595136,0.662671889783745,0.448923196940424,0.231550807418522,0.854458440420044,0.561891247818209,0.395370856007108,0.564471311730061,0.165635023283451,0.792980967986982,0.571414271063225,0.556682859923427,0.939375150259727,0.46516733657151,0.0341216799477114,0.84694677344111,0.86214450213829,0.397064874449399,0.101472326153284
