"","FP","M1","M2","S1","SS","GA","VA","AuA","ViA","dACC","Vacc","PL","IL","OA","AU","RS","AA","TeAA","Prh","Ech","aOn","TT","DPA","PC","CCA","PAA","CA1","CA2","CA3","DG","FC","IG","lpEC","Sub","proSub","Clst","dEPn","vEPn","LAn","BLA","BMe","PAn","DLS","DMS","NACC.SHELL","NACC.CORE","FStr","OT","LSN","SFn","aAA","CA","IAn","MAn","Gpe","Gpi","SubInn","MGCn","MSn","DBn","TnS","BNST","VALCT","VMT","VPLT","VPMT","PTTn","MGC","dLGC","LPT","PCT","PlnT","EnT","AVT","AMn","IADT","IMDT","MDT","SMT","pRE","PVT","PT","RE","XiT","Rh","CMT","PCn","CLT","RT","IGLLGC","vlLGC","subGn","MHb","LHb","SON","PVH","IPVH","ArH","ADPO","AVPO","AVPV","DMH","MePO","MPA","PSN","SPZ","SCN","AHN","SMN","MPO","VMHn","PHn","LHA","LPO","PSTN","STN","TN","ZI","FF","SCO","reSN","VTA","PAG","PreCN","APTN","cSN"
"FP",1,0.37239489662033,0.784641912859922,-0.0959072942656464,-0.144016075869168,0.14721800533476,-0.0502307670564402,-0.723769381670612,-0.536901858636041,0.320539386256965,-0.0507299488089752,0.488387615451606,0.47211438805827,0.996377604485525,0.873006822836842,-0.410519052534085,-0.655014563793469,-0.803192559006132,-0.566981369855242,-0.703604704882335,0.627971954773321,0.751906014773064,0.673401739478379,0.157081715676593,-0.354894769906482,0.116703047262379,-0.26372875724618,0.321361219155928,-0.217286647485715,-0.0225242665204251,0.393429023267979,0.314134769989551,-0.406162719358458,0.123577124431405,-0.446349521642949,-0.00865710524996998,0.434714490552056,-0.177020549039913,-0.380053150613471,-0.289950121536896,-0.0562429491297378,-0.210683842903247,0.92436284891619,0.548271487688826,0.43738032910186,0.167731799150266,0.437362698055541,0.122876218800218,0.0672960315116459,0.0524513557158126,-0.0159661329497753,-0.134181366918776,-0.0214433561071977,-0.285950432152363,0.669878842237623,0.403586224899838,0.194009479487778,0.150615211657941,0.0469466365175056,0.00749143870867599,-0.227233021357656,0.196176251629015,0.413864079059689,-0.190386185350226,0.292445488495765,0.174800065349165,-0.398675010843077,-0.380606223480399,0.0296363323901181,-0.199001121109098,0.166848139546642,-0.44461007728754,-0.121579429962695,0.262171536344153,0.0600513663761794,0.331678404424583,-0.207973800130875,0.356318553532006,0.536797751014076,-0.47668398233747,-0.465167714320458,0.0463784881671897,-0.333290930167974,-0.418662048492279,0.36415878051521,0.0258273707140785,0.259285993554953,0.110536960999466,0.0567794638847086,-0.725119705663828,-0.567488766145273,0.670652210483929,-0.532408574502416,-0.028236302804996,-0.359569859061677,-0.491092764882085,-0.498698561440136,0.0437717478932228,-0.160757187698083,-0.129398246400004,0.0017914304043865,-0.60124604571182,0.0365897483372959,-0.073761390978084,0.157033350384255,-0.0916485044069918,-0.375150697571519,-0.0745212694498226,0.208800537549291,0.0689864304099573,-0.0891605610853109,-0.526300211369767,-0.308924577807724,0.103041304747379,-0.389311788332641,-0.378581211607988,-0.441592007016385,-0.644837831153461,-0.580584273408182,-0.425442901980332,0.189495907703139,-0.288390873332059,-0.545822618184739,-0.488501221747253,-0.235297261351614,-0.02281207578946
"M1",0.37239489662033,1,0.800215309081389,0.837638871423894,0.826012850853693,0.934923116666332,0.75590996900294,0.308897354784283,0.307671188616935,-0.0829786493454801,-0.542890267980139,-0.182021080836401,-0.201943206996607,0.401914158050645,0.456513502332271,0.0601766354668813,0.140129563737885,-0.505295084486327,-0.260698154297505,-0.446995673945972,0.0997054768194768,-0.157355973358231,0.102883712932848,-0.340031981153542,-0.862360298734045,-0.34205686092073,-0.147799209148782,0.27491711168066,0.0204298418048195,-0.605460216461153,0.574871977237382,0.0383803251366451,-0.0422813723344165,-0.408224562344421,-0.380284782743829,0.269103714886982,0.312724897768509,-0.363116631923666,-0.788142381817896,-0.192114967486318,-0.648744387394685,-0.63622156875579,0.284344013230519,-0.171416393436952,-0.244267683221024,-0.481337612872442,-0.382656105422488,-0.0979566231809465,-0.791371425510203,-0.736687007922539,-0.314191404941695,0.410812200501565,0.280567481296874,-0.929624256338936,0.364894718503365,0.588157100792826,-0.320476706502923,-0.354680761168192,-0.342326203747791,-0.394235765889962,-0.786693292182233,-0.676887700695483,0.833410288621663,0.49395901054071,0.875500638273843,0.782736452636632,0.482000480670184,0.0259371574946094,-0.0693049496885912,0.307743832783094,0.709090518337305,0.258040096869524,0.591829222120482,0.121075566410949,0.439004744628305,0.422076869166678,0.529529654161206,0.500622035053369,0.775631665324277,-0.123387414535293,-0.708509734716342,-0.622332877573895,0.0743853685014031,0.236840372774748,0.931902900588511,0.574423627044627,0.881082482051398,0.530668699346363,-0.299999448478186,-0.0778946834959849,0.0759304775473355,0.628807059092284,-0.51409266783247,-0.572332027919186,-0.412788853205741,-0.579363580999091,0.0325188300505742,-0.00225224657627606,-0.741467216038778,-0.588460893736303,-0.646598822092092,-0.473407259029962,-0.230122070118242,-0.536376142592661,-0.685870419381948,-0.376582311655194,0.229269324771926,-0.526551412440741,-0.383803676741068,-0.651467746629588,-0.488411195393003,-0.29020339161381,-0.246965277078727,-0.482725475730192,0.462579618009027,0.510646393668269,-0.588737557894981,0.13281021176905,0.12653761524536,-0.101599893296192,-0.294638619219854,0.534961788731292,-0.346026710345967,-0.115590176648545,-0.140824965086599,-0.0180454100118475
"M2",0.784641912859922,0.800215309081389,1,0.451762349210847,0.383422004527565,0.657103710055972,0.337453494172368,-0.219359637659244,0.00543999322301388,0.358750830179251,-0.201381851845102,0.316539581209959,0.198241670052369,0.811641384959004,0.77169901989025,0.0229503392846232,-0.187386853481529,-0.795571133269772,-0.498832520313456,-0.6178387677765,0.325328595207453,0.336436274921199,0.508988401613535,-0.12173256078869,-0.78165598363813,-0.263278672019844,-0.0714343227839974,0.436392772177003,0.101696777151825,-0.372484541155605,0.68327029392591,0.388790927462611,-0.218316194884786,-0.109137778887879,-0.247599963080049,0.117350800777234,0.376042252532885,-0.306980630133581,-0.752305103667949,-0.335533101882139,-0.543130316233929,-0.564734027796345,0.730519136539336,0.345369044577329,0.00555625480195751,-0.11828200174624,-0.0323210828351461,-0.131833113814361,-0.464619849205923,-0.366620340285967,-0.317873917721396,0.0127883480959346,-0.0300208025195969,-0.714904683977696,0.572265304483642,0.589164704834205,-0.180535379645714,-0.192195437403735,-0.297798233068235,-0.323742052325849,-0.471343045701833,-0.366543681982586,0.825263722833518,0.196154231309593,0.668044644158571,0.467237062449025,-0.0196446014178581,-0.306759222241831,-0.169014315838658,-0.0785457389626601,0.420783786983988,-0.10142842319157,0.193576710536535,0.310993118152835,0.468167358567679,0.515510539911788,0.138813648478723,0.488306803359032,0.762635425411071,-0.310020853653066,-0.690432201202462,-0.299244190313842,-0.176075340504358,-0.0907777289857681,0.70726735685451,0.375901267008003,0.656542144728479,0.369061765002922,0.0122042777060323,-0.490798053197637,-0.363551858576586,0.797707412319928,-0.486418915797349,-0.377740138501595,-0.296059419102488,-0.643229819413613,-0.239959283867817,-0.00921302846078253,-0.858161111984001,-0.471007100449669,-0.621151295722518,-0.682126483111633,-0.254218125300892,-0.448595262523825,-0.408237725692299,-0.218257585736909,0.118552778598112,-0.378384917561956,-0.148429485241983,-0.432068445227416,-0.405832461563171,-0.519661348040983,-0.386990478326073,-0.275708826613846,0.0906190734355218,0.0667776730588573,-0.54169731090454,-0.26946461523791,-0.216055838670945,-0.279106454387906,-0.148876968095916,0.01466545811014,-0.461231162902224,-0.302336578081948,-0.258276375948962,-0.146881550991493
"S1",-0.0959072942656464,0.837638871423894,0.451762349210847,1,0.983290831267395,0.84576082235149,0.780839948101934,0.606468741349214,0.633284096432964,-0.107219229513497,-0.415629592212397,-0.36818943353007,-0.427462682544446,-0.0605340558716516,0.0649229184907979,0.417521368261134,0.558617441679719,-0.196340240183236,-0.125071308434304,-0.201473729490537,-0.230161406481017,-0.470247739437937,-0.261644346571937,-0.61235880909195,-0.713933559249794,-0.602305410687793,0.0611145529754608,-0.0238247798915191,0.142249999433375,-0.77602633467419,0.308517398474952,-0.179428246570275,-0.0760074334558491,-0.56517500439764,-0.0283790020416853,0.333076885498627,0.0329180232186993,-0.326788153156154,-0.691064726166132,-0.103836046804388,-0.679175269625001,-0.57314731824364,-0.133703747448177,-0.304187208841601,-0.609655487204282,-0.66780070207133,-0.691352653211786,-0.355589169882247,-0.847265738582744,-0.917923330882665,-0.416909972818185,0.582578933976466,0.232078177592096,-0.910932985319821,-0.0666094322654594,0.251553207687333,-0.585078643105212,-0.613750743580311,-0.581632466550214,-0.596901158418613,-0.786159155236001,-0.789673836763699,0.760951655782714,0.82539851978665,0.840378424351379,0.804895700294053,0.79422822403371,0.123039036836344,-0.317908802829088,0.346117270402528,0.758828326873576,0.593049095330258,0.77399146154489,0.162451043514226,0.590856412989374,0.454498343658179,0.849387781299462,0.602372431778392,0.686198380141737,0.234226376074418,-0.368382439341352,-0.551375017005663,0.323332587100016,0.608673045970728,0.862179855282839,0.800329655223921,0.905435425005179,0.740637644544672,-0.20615874449745,0.0801457354978522,0.281690948259726,0.227146815337942,-0.137337642518867,-0.485293666160914,-0.341021551214655,-0.389271299465646,0.0748739060221446,-0.154882716082981,-0.838125426200122,-0.717818734396094,-0.81073777543472,-0.20149006677037,-0.450160690450558,-0.697607775905531,-0.921370730776752,-0.329681368717977,0.634061290514247,-0.482348364852843,-0.574064227996589,-0.858044381943959,-0.583426498327149,0.0612761358255782,-0.237415352293933,-0.712325034401449,0.563791095394516,0.609961485135537,-0.473105243262899,0.58335194647503,0.406305094584113,-0.0334723991904153,-0.327545614705676,0.628251394142768,0.131691976984385,0.109479722191238,0.0572415426912973,0.00358934157937976
"SS",-0.144016075869168,0.826012850853693,0.383422004527565,0.983290831267395,1,0.858303936603926,0.824204832234754,0.677755615604736,0.618391394029563,-0.25295048139559,-0.510865144364353,-0.453277367192204,-0.49612303141788,-0.12078464411278,0.00171054862548837,0.341313080197986,0.522938067417637,-0.0855684518766311,-0.0825373610980698,-0.175634182332313,-0.279478178529612,-0.500365061130773,-0.317871220259179,-0.581089764136165,-0.669645835884124,-0.547803371609716,-0.045665143267387,-0.0671224269426548,0.0212414249219304,-0.770434466267567,0.220588980145802,-0.282255820117532,-0.0247349089120803,-0.601296541313617,-0.162014400392278,0.344398605829617,-0.00346223357811027,-0.380000976878444,-0.676807411452888,-0.0996113234472442,-0.675505745070827,-0.605827322838286,-0.234839695438566,-0.444337669682566,-0.609465545333786,-0.748457727745846,-0.718607586276793,-0.258024658171493,-0.852551467849627,-0.909952848807288,-0.284692710028545,0.572099383180426,0.31855893523606,-0.882690096225849,-0.0456932200956681,0.278948268196947,-0.528750924761961,-0.533129399774333,-0.487570624272326,-0.498680895208601,-0.787844525840318,-0.774366994454624,0.677631225622046,0.799968582574503,0.838451157392703,0.851181793080702,0.839838170812928,0.217591129462101,-0.187830680817624,0.479285803981922,0.792463823727606,0.601735049266922,0.793175638095594,0.0316188334203829,0.472372265939876,0.351184992607854,0.835738051729943,0.530109000910948,0.61860900058231,0.273193201835338,-0.396710945843822,-0.576031252975018,0.39123406842216,0.611020745637529,0.850027051983798,0.710056999960141,0.891016294649213,0.706636823988615,-0.277977004201958,0.172099763565567,0.341672455321173,0.221122457443818,-0.180281643920532,-0.450073445197368,-0.384016237267807,-0.332267304304742,0.10476673564642,-0.0715311283229562,-0.734192037138311,-0.645557252870762,-0.718332357695793,-0.144781442337095,-0.324151553882116,-0.606708982508974,-0.846613221096973,-0.406209504234142,0.587535713598738,-0.555650554643133,-0.639564657940087,-0.781617306556404,-0.534797338040616,0.0276710019308999,-0.170210720705133,-0.65853583401027,0.620532995951513,0.701645303482966,-0.434502392697581,0.569741306700019,0.482603135210159,-0.0489262114804676,-0.319139234281993,0.757701786780112,0.0819317469681418,0.0448362105121772,0.0781720448768221,0.0376265993227983
"GA",0.14721800533476,0.934923116666332,0.657103710055972,0.84576082235149,0.858303936603926,1,0.858202570570629,0.551826777709561,0.562995982862733,-0.0807718250954926,-0.482968215801596,-0.141513306256521,-0.180700743132848,0.17192430127931,0.330914589235643,0.183681555048356,0.369106738165211,-0.207873108457662,-0.000372485215139781,-0.136458812913548,0.013546039088576,-0.300099513448698,0.110377811199779,-0.223233838329667,-0.734909351044826,-0.30471884351363,-0.140742276263152,0.158491653303722,0.0548870794307701,-0.689345871664799,0.595190164457625,0.0240802969029695,0.227922017801534,-0.483883906871208,-0.248261332284723,0.44318951409633,0.286937447015004,-0.319743600792278,-0.713033794415517,-0.165513103181715,-0.71345324675478,-0.712959485735905,0.0316072835684839,-0.28088813933547,-0.442720269182978,-0.50232074519019,-0.613103734724368,-0.183627993886887,-0.829391619653188,-0.709388090246763,-0.349464563364086,0.350773787153664,0.359260799476459,-0.825487303107105,0.189001711806629,0.562771773417637,-0.488245983874212,-0.439408753434649,-0.432664474042331,-0.444136177771503,-0.701295597728668,-0.72736069693844,0.711052771226023,0.481182615412273,0.798561795939836,0.713963268136421,0.474037004468686,-0.0334765513167836,-0.115091911040272,0.285364096655868,0.569372765787825,0.208594395955047,0.462524101371407,-0.047409818861781,0.44132596578847,0.206264890524009,0.518047561597009,0.366672984699259,0.548838181015905,0.112766384951406,-0.626583432501701,-0.606797001912538,0.268603862182866,0.377652190084323,0.832217539989691,0.43226628449221,0.791812308461942,0.43290484830714,-0.205312731493713,0.0868634399166743,0.219948725592587,0.66144330001303,-0.378970104203561,-0.648088016996065,-0.259441698208548,-0.298006472766125,0.222179008245579,0.124734482325559,-0.684794536190845,-0.625594689391586,-0.619393207611494,-0.228769108126566,-0.251592620246467,-0.583644336673355,-0.706536394829028,-0.219169462844499,0.410128934687064,-0.551973532833539,-0.428393073877999,-0.668616318723159,-0.609027295302925,-0.173141478306506,-0.152607894561287,-0.593402488409893,0.586844275015498,0.665418225054074,-0.432908275060011,0.137489540948935,0.277400002875815,-0.0105002466535142,-0.557696316153449,0.622597855188857,-0.390385655369573,-0.100377926907835,-0.293131237673113,-0.248105933291664
"VA",-0.0502307670564402,0.75590996900294,0.337453494172368,0.780839948101934,0.824204832234754,0.858202570570629,1,0.609467219370136,0.560969871972964,-0.28881935378951,-0.546032752243299,-0.250339387546053,-0.130599330766219,-0.0353295929808338,0.270143268226773,0.00451384253416277,0.453874142908239,0.0544031636951758,0.321023752877214,0.102153498959849,0.333883013517101,-0.309920544499935,0.025831261707447,-0.0687798920647071,-0.364261973522958,-0.0264188892492763,-0.367727427644007,-0.260505538144594,-0.23013521588874,-0.754097782184648,0.403181356558314,-0.341794593653047,0.328323585685104,-0.490643620107568,-0.275677217650143,0.641912160916165,0.4670335663923,-0.0271856554997323,-0.353663354866697,0.158632669467538,-0.353897588835793,-0.425315825244778,-0.171142655701752,-0.402496844144441,-0.394088657003516,-0.440307172846762,-0.684834649421833,-0.0996781049280228,-0.747270059623438,-0.784342117528477,-0.335550073309584,0.664645160744893,0.736652452711225,-0.647686991370507,-0.162701146692127,0.218106413396547,-0.531792755500254,-0.495841970658181,-0.459109319451599,-0.426978419038881,-0.842178100230596,-0.621760525013793,0.391609400114177,0.454565727294505,0.602414849396471,0.716778409493777,0.503458784855631,-0.0590340720570662,-0.146816293849968,0.280399782241164,0.501421954319791,0.0949977437922525,0.42395002997042,-0.252210237705637,0.192985013617066,-0.089039799078228,0.671706412298431,0.416006188113237,0.350185754306721,0.20255084324786,-0.388518381024687,-0.631962148122727,0.331042731472091,0.447369653804031,0.746205370759794,0.398668787859229,0.667101207604787,0.439721508356385,-0.346381685571966,0.113815841538809,0.326610434187225,0.406991538472687,-0.410857212443752,-0.731892082125655,-0.228755545093362,0.0194639487461217,0.340686748658447,0.261162477661844,-0.480832073290427,-0.655868995190468,-0.51107361224345,0.201337061969234,-0.165050935483701,-0.576405215792482,-0.635863316449931,0.200350379242548,0.505951289599918,-0.314217335027525,-0.243294587389834,-0.548516921392589,-0.613891682923576,0.231731402663131,-0.176953627298569,-0.693122598450551,0.381918194429028,0.660610103630376,-0.308659458547224,0.13033219000991,0.147700049892783,-0.0102182716566121,-0.589835631859627,0.691605586812701,-0.338147077493362,-0.0703979483896644,-0.419084908912977,-0.229992640140124
"AuA",-0.723769381670612,0.308897354784283,-0.219359637659244,0.606468741349214,0.677755615604736,0.551826777709561,0.609467219370136,1,0.79562087579095,-0.405703218786828,-0.38039165148881,-0.537740150179607,-0.582002568596529,-0.715161038929746,-0.531439589519713,0.437507005213929,0.709347179933386,0.588274078634818,0.474391300789697,0.476564843776616,-0.704643207604906,-0.777195032193691,-0.519751330349964,-0.218498381253347,-0.181532727337465,-0.265003729216656,0.00164788324497788,-0.175548991900019,0.109112056370787,-0.405360178367616,0.00514742798734939,-0.316962176272654,0.536674677270395,-0.361406417652423,0.121500243150136,0.237638510749718,-0.210439769066529,-0.102405257459067,-0.177484744192446,0.15685869108226,-0.449674447567283,-0.378051287846716,-0.792494705569629,-0.739768952898464,-0.629717986025019,-0.514476948652721,-0.782457432212195,-0.0976226112544324,-0.647141548031345,-0.498269659818283,-0.0680214582080231,0.248253491946588,0.297537136824363,-0.28475116386558,-0.389695829906073,0.0542737169759792,-0.399698386145347,-0.283333936441286,-0.232003890351425,-0.16746641831561,-0.237158309715188,-0.676646102548132,0.0731166508638775,0.419097624422654,0.266987177904778,0.369637276040727,0.63930564722148,0.37803985636194,0.0248126865074341,0.466039283493293,0.264033073742596,0.49003752156997,0.395057076921415,-0.395755352057297,0.129677774876324,-0.230209428403991,0.457113011128605,-0.122518649430769,-0.134629293555356,0.450524924877211,-0.133733321513873,-0.49498166623522,0.438097183813775,0.51836100855051,0.218354447674346,0.166167266877266,0.300328193265162,0.171320126450509,-0.258307218413044,0.65602804294956,0.554074944753876,-0.0528723384874912,0.108731207868855,-0.380684114840453,0.153162545908894,0.210111142362741,0.596795707543256,0.185671738601561,-0.300341467155786,-0.209994567777767,-0.296025575920229,0.356036868030554,-0.047867902119646,-0.219047391301687,-0.528815040150363,-0.102507840066799,0.675750833222603,-0.432070164867171,-0.587754662931261,-0.397424588683549,-0.247123881471968,0.205650045405213,0.124933289808442,-0.390357855428552,0.729857883117874,0.854907283678401,0.176881912643646,0.578455251830332,0.689850936481515,0.234585064012906,-0.482500177456335,0.73103660362018,0.0868819710121434,0.177832640158758,0.00908999522549451,-0.0960636922533349
"ViA",-0.536901858636041,0.307671188616935,0.00543999322301388,0.633284096432964,0.618391394029563,0.562995982862733,0.560969871972964,0.79562087579095,1,0.200145562930869,0.0623838870959757,-0.00299557793529461,-0.159547907940878,-0.509153725686957,-0.211628510866047,0.75323931065338,0.925525240447472,0.407471305363587,0.41156830043951,0.528982529437345,-0.332193186789281,-0.52588593650936,-0.133236852834226,-0.200050595672725,-0.171848155672999,-0.437787645835434,0.232160670334038,-0.281642248744966,0.348689406335069,-0.663517087137786,0.267687712935222,-0.0381649554287674,0.423369557779354,-0.394147975287215,0.457281682257638,0.501666389637034,-0.0752956476572273,-0.00447544847052293,-0.259192820911899,0.0277534903690818,-0.559234544756965,-0.556308377885912,-0.537380419841206,-0.197969147324024,-0.854735911861782,-0.340402429530853,-0.921710970530474,-0.574263509912189,-0.592231464910707,-0.521736614431304,-0.499279025139425,0.188263863655231,0.125730389560465,-0.331952919912246,-0.548191693909522,-0.0690763816329719,-0.822331117537105,-0.669737918101052,-0.729748016304663,-0.611917881183509,-0.229060788448137,-0.635939429681185,0.290682942977393,0.55247141245765,0.293047050490488,0.256902262257365,0.413230959928353,-0.179817562049396,-0.543191586163386,-0.0453610975946817,0.10228713795309,0.28840133849323,0.161209335079035,-0.0837328112761622,0.552594390022379,-0.0320564867424264,0.53592805426297,0.210060977928159,-0.00387027765803748,0.64412864263996,0.043399551811358,-0.232319876491776,0.509511534324688,0.68100808694061,0.259657522262942,0.337652841412963,0.361336353542582,0.347481618572111,0.22149300828357,0.243773856753288,0.315273981161664,0.174183137806107,0.346429491741868,-0.448934092214592,0.259454676225634,0.305816265019473,0.392068219121422,0.0741368196230473,-0.626118302517231,-0.608406638944873,-0.61385893100269,0.364077010062521,-0.520301571862994,-0.659616204343267,-0.735600177198413,0.286629071145504,0.931598081981084,-0.265502102834457,-0.487965934953099,-0.661624431640076,-0.658105525022691,0.355822321921772,-0.124083487845277,-0.75397903332895,0.575203628127204,0.570078573298568,0.0913273228313872,0.451620083309382,0.562518159469048,0.127097372534701,-0.721070923913135,0.340191757812251,0.178857548425308,0.178619400672989,-0.270859145719988,-0.514066550984206
"dACC",0.320539386256965,-0.0829786493454801,0.358750830179251,-0.107219229513497,-0.25295048139559,-0.0807718250954926,-0.28881935378951,-0.405703218786828,0.200145562930869,1,0.778465092124669,0.86024332006827,0.6631571299859,0.355151068515777,0.434230594255285,0.472741640757715,0.223586236640529,-0.350767886437012,-0.172980749042434,0.0531591367930844,0.175011959109996,0.360681450338701,0.624745880345424,0.0522538066769906,-0.0399093458431469,-0.261583894636664,0.520344764866595,0.108134269611646,0.55729626273794,-0.154672028555614,0.462513291916034,0.669904898536979,-0.156021877477005,0.0579533303039857,0.590516161105376,0.216870742718528,0.117719114693583,0.112560933428523,-0.115816958665743,-0.301667413899045,-0.176027387341406,-0.161591121107666,0.4753421782923,0.896039983560052,-0.223234009333461,0.397423793153917,-0.0143853633865739,-0.69207925585063,0.210977808945367,0.191818770109694,-0.626468604985108,-0.301787745036778,-0.502470567934543,0.0315453226708085,-0.0743796475242258,-0.0518161131711266,-0.487054770051739,-0.456012748248771,-0.59857141102619,-0.56983534404638,0.239934189586627,0.147067391026231,0.325449703497419,0.041159189643058,-0.0498076817884385,-0.375885908103854,-0.484681812619,-0.807902330045792,-0.765068338260694,-0.843368192396954,-0.390888621510745,-0.32139115091227,-0.460928583098341,0.571926057428373,0.653338955969899,0.358477864534048,-0.124025683960347,0.299256210064907,0.136137466968891,0.168085443978892,0.255883147806612,0.480446003646077,-0.0128412343213781,0.10290112386677,-0.0808328398479664,0.137587263248521,-0.0580825807427871,0.059524269991541,0.79441820535499,-0.587425322697345,-0.36760964148753,0.360869982645614,0.426597137012369,-0.0105527781598261,0.240142935757404,0.060034632931548,-0.302294488739928,-0.270660155283902,-0.447997827553706,-0.426107896334365,-0.419761083637363,-0.1527363859858,-0.689149503699703,-0.520234998798809,-0.190515959647157,0.487143766573649,0.638360172721311,0.297076325047142,0.228882230362209,-0.313921936991983,-0.477427544955082,0.0779371943919943,-0.243061535874941,-0.350002302101831,-0.26584080058655,-0.541572735013004,-0.111326555092212,-0.237341556930613,-0.270973093393295,-0.035733794174457,-0.303337989192961,-0.744484034540389,0.0905262674791847,0.0814737317180139,-0.348830056530912,-0.619413396504232
