SS,SS,,MS,MS,,SC,SC,,MC,M C
,1,,,1,,,1,,,1
vEPn,0.983471074,,LPO,0.98245614,,APTN,0.991735537,,AU,0.991150442
VMHn,0.975206612,,GA,0.956140351,,PlnT,0.966942149,,PCT,0.982300885
DMH,0.958677686,,AVT,0.947368421,,MHb,0.958677686,,MSn,0.973451327
Vacc,0.950413223,,PAG,0.938596491,,MGC,0.876033058,,EnT,0.96460177
BMe,0.94214876,,PSN,0.929824561,,S1,0.867768595,,LAn,0.955752212
MGC,0.933884298,,FF,0.903508772,,Gpe,0.859504132,,MGCn,0.946902655
RT,0.925619835,,NACC.SHELL,0.894736842,,ZI,0.644628099,,PAn,0.938053097
PVH,0.876033058,,AU,0.885964912,,IG,0.636363636,,VALCT,0.92920354
CA1,0.785123967,,Clst,0.877192982,,Ech,0.347107438,,Clst,0.920353982
ViA,0.776859504,,PHn,0.868421053,,SS,0.347107438,,PL,0.911504425
aOn,0.768595041,,SFn,0.859649123,,CA,0.330578512,,SubInn,0.902654867
DPA,0.727272727,,MAn,0.578947368,,MePO,0.305785124,,PHn,0.89380531
APTN,0.388429752,,MPA,0.368421053,,VA,0.305785124,,VMT,0.884955752
PT,0.388429752,,CA3,0.368421053,,PVH,0.297520661,,BLA,0.876106195
AU,0.371900826,,Ech,0.350877193,,M1,0.297520661,,PCn,0.867256637
RE,0.347107438,,CA,0.254385965,,DG,0.289256198,,DPA,0.85840708
PAn,0.347107438,,LSN,0.254385965,,PHn,0.280991736,,CA1,0.849557522
PAA,0.347107438,,PSTN,0.236842105,,LHb,0.280991736,,CLT,0.840707965
AHN,0.347107438,,XiT,0.219298246,,AMn,0.280991736,,XiT,0.778761062
FP,0.330578512,,SS,0.219298246,,PAG,0.26446281,,DBn,0.398230088
SCN,0.314049587,,VALCT,0.210526316,,subGn,0.256198347,,PlnT,0.398230088
AVT,0.305785124,,SPZ,0.210526316,,Prh,0.239669421,,SMT,0.398230088
M2,0.272727273,,AMn,0.201754386,,pRE,0.231404959,,CA2,0.371681416
AuA,0.26446281,,proSub,0.201754386,,CA2,0.223140496,,TeAA,0.371681416
aAA,0.26446281,,PlnT,0.192982456,,M2,0.223140496,,FStr,0.362831858
dLGC,0.26446281,,lpEC,0.192982456,,MPA,0.223140496,,LPT,0.345132743
VTA,0.239669421,,MePO,0.192982456,,Gpi,0.223140496,,Gpe,0.327433628
AMn,0.231404959,,IADT,0.184210526,,AU,0.223140496,,LHb,0.327433628
NACC.SHELL,0.231404959,,IL,0.184210526,,RE,0.214876033,,IL,0.318584071
