"Node_Removed","CI_Value"
"LPO",525
"GA",357
"AVT",264
"PAG",220
"PSN",220
"FF",160
"NACC.SHELL",144
"AU",133
"Clst",126
"PHn",122
"SFn",99
"MAn",64
"MPA",60
"CA3",52
"Ech",42
"CA",38
"LSN",28
"PSTN",21
"XiT",21
"SS",16
"VALCT",12
"SPZ",10
"AMn",8
"proSub",7
"PlnT",5
"lpEC",5
"MePO",2
"IADT",2
"IL",2
"PL",14
"DMH",0
"AVPV",0
"AVPO",0
"ADPO",0
"ArH",0
"IPVH",0
"PVH",0
"SON",0
"LHb",0
"MHb",0
"subGn",0
"vlLGC",0
"IGLLGC",0
"RT",0
"CLT",0
"PCn",0
"CMT",0
"Rh",0
"RE",0
"PT",0
"PVT",0
"pRE",0
"SMT",0
"MDT",1
"IMDT",0
"EnT",0
"PCT",0
"LPT",0
"dLGC",0
"MGC",0
"PTTn",0
"VPMT",0
"VPLT",0
"VMT",0
"BNST",0
"TnS",0
"DBn",0
"MSn",0
"SubInn",0
"Gpi",0
"Gpe",0
"MGCn",0
"OT",0
"FStr",0
"NACC.CORE",0
"DMS",0
"DLS",0
"vEPn",16
"DPA",8
"dACC",4
"VA",2
"IAn",0
"aAA",0
"PAn",0
"CCA",0
"BMe",0
"BLA",0
"LAn",0
"dEPn",0
"Sub",0
"DG",0
"CA2",0
"CA1",0
"IG",0
"FC",0
"PAA",0
"PC",0
"TT",0
"aOn",0
"Prh",0
