"Node_Removed","CI_Value"
"AU",3388
"PCT",1960
"MSn",1863
"EnT",1716
"LAn",1359
"MGCn",1158
"PAn",1116
"VALCT",1036
"Clst",954
"PL",910
"SubInn",846
"PHn",780
"VMT",630
"BLA",596
"PCn",540
"DPA",537
"CA1",414
"CLT",378
"XiT",300
"DBn",282
"PlnT",200
"SMT",188
"CA2",149
"TeAA",135
"FStr",132
"LPT",124
"Gpe",118
"LHb",118
"IL",87
"DMH",74
"Prh",72
"AVPO",65
"VPMT",62
"reSN",56
"PC",42
"PSTN",30
"RS",28
"dACC",23
"lpEC",16
"DLS",14
"Rh",13
"pRE",12
"cSN",0
"VTA",0
"PAG",0
"SCO",0
"PreCN",0
"IG",21
"APTN",0
"MGC",33
"FP",0
"Vacc",0
"OA",0
"M2",0
"M1",0
"S1",0
"SS",0
"Sub",4
"GA",0
"AuA",0
"AA",0
"ViA",0
"Ech",0
"VA",0
"aOn",0
"TT",0
"PAA",0
"FC",0
"CA3",0
"DG",0
"proSub",0
"dEPn",0
"vEPn",0
"BMe",0
"CCA",0
"aAA",0
"CA",0
"IAn",0
"MAn",0
"LSN",0
"SFn",0
"PVH",6
"DMS",0
"NACC.SHELL",0
"NACC.CORE",0
"OT",0
"Gpi",0
"TnS",0
"BNST",0
"VPLT",0
"PTTn",0
"dLGC",0
"AVT",0
"AMn",0
"IADT",0
"IMDT",0
"MDT",0
"PVT",0
"PT",0
"RE",0
