SS,SS,,MS,MS,,SC,SC,,MC,MC
,1,,,1,,,1,,,1
MAn,0.818181818,,Clst,0.99122807,,subGn,0.991735537,,PL,0.991150442
CA1,0.727272727,,PC,0.824561404,,IAn,0.983471074,,DPA,0.982300885
cSN,0.719008264,,GA,0.798245614,,Ech,0.975206612,,PHn,0.973451327
AU,0.41322314,,CA3,0.789473684,,AVPO,0.454545455,,MSn,0.96460177
VMT,0.404958678,,MePO,0.780701754,,MGC,0.446280992,,BMe,0.955752212
VTA,0.305785124,,FF,0.754385965,,Gpi,0.429752066,,LAn,0.938053097
PT,0.305785124,,LSN,0.736842105,,Gpe,0.371900826,,LPT,0.92920354
M2,0.289256198,,PTTn,0.368421053,,LAn,0.363636364,,VALCT,0.477876106
VA,0.223140496,,IL,0.359649123,,CA1,0.330578512,,lpEC,0.469026549
CCA,0.223140496,,SFn,0.350877193,,ViA,0.32231405,,OT,0.460176991
EnT,0.214876033,,MDT,0.280701754,,BLA,0.26446281,,M1,0.451327434
PTTn,0.198347107,,Gpi,0.271929825,,Clst,0.190082645,,FP,0.442477876
PSN,0.190082645,,ZI,0.254385965,,MHb,0.157024793,,XiT,0.380530973
SFn,0.157024793,,PSTN,0.175438596,,LHA,0.148760331,,AVPV,0.371681416
vEPn,0.157024793,,SPZ,0.175438596,,PCT,0.140495868,,PSTN,0.362831858
AA,0.157024793,,DLS,0.166666667,,TeAA,0.132231405,,CA1,0.318584071
VALCT,0.157024793,,AU,0.166666667,,CCA,0.132231405,,OA,0.318584071
IADT,0.157024793,,LPT,0.157894737,,PHn,0.132231405,,PVH,0.292035398
PreCN,0.157024793,,EnT,0.149122807,,FP,0.123966942,,ADPO,0.283185841
SubInn,0.148760331,,VMT,0.149122807,,PL,0.115702479,,PSN,0.256637168
VMHn,0.132231405,,PCT,0.131578947,,DMS,0.099173554,,FStr,0.221238938
IMDT,0.132231405,,SubInn,0.087719298,,FStr,0.099173554,,SubInn,0.212389381
AHN,0.132231405,,NACC.SHELL,0.087719298,,S1,0.090909091,,VMHn,0.203539823
LPO,0.123966942,,LPO,0.087719298,,SS,0.074380165,,PlnT,0.194690265
DG,0.115702479,,M1,0.078947368,,IG,0.074380165,,MGCn,0.194690265
OT,0.107438017,,M2,0.070175439,,IMDT,0.074380165,,AU,0.194690265
PCn,0.099173554,,PAA,0.070175439,,Vacc,0.074380165,,GA,0.194690265
Vacc,0.099173554,,MPA,0.070175439,,CA3,0.066115702,,Clst,0.194690265
RT,0.099173554,,IMDT,0.070175439,,VA,0.066115702,,PreCN,0.185840708
