SS,MS,SC,MC,HC
MAn = 0.3014019562921083,Clst = 0.30352054985091304,subGn = 0.220030102118821,PL = 0.1565271324187291,LHA = 0.06765472414848907
cSN = 0.26111620314763073,TT = 0.235801231279612,ZI = 0.2181099137536199,AU = 0.14591761797357886,PAn = 0.06192211124775141
VMHn = 0.25352466101382803,AVT = 0.21733646051611769,Gpe = 0.18087608088374563,lpEC = 0.12643212364854656,MGCn = 0.05237334492980982
PT = 0.22850486995122413,SMN = 0.19257946147756416,lpEC = 0.17391197819984971,VPMT = 0.12545273606479646,M1 = 0.047001476020294114
PlnT = 0.20824560586247332,GA = 0.14616264028538847,AVPO = 0.15473942907003885,PHn = 0.09867275188567791,AHN = 0.04374551533799863
APTN = 0.2060569969888319,PSTN = 0.1182987648670582,APTN = 0.1459725936937462,AVPV = 0.09290120936154243,CLT = 0.04361916108666589
CA1 = 0.20570336417560534,CA3 = 0.11741250555129855,MGC = 0.14593364733791975,VALCT = 0.07673786240440385,SS = 0.042981518150995206
VMT = 0.17282980587144686,MePO = 0.11715674791032774,Gpi = 0.14313414174590586,OT = 0.07664351364853146,SCN = 0.04259529494862449
LSN = 0.16788690035768428,FStr = 0.10516497566908463,LHA = 0.13485317133376776,MSn = 0.07562797585690678,PAG = 0.0425454708542581
MPO = 0.16027643552678228,PSN = 0.09752910822626039,MHb = 0.13481739365905285,aOn = 0.07532841730552982,dLGC = 0.04215270388301307
LAn = 0.15475723622782442,FF = 0.0959741949999545,Prh = 0.13436418622013932,TT = 0.07532841730552982,Prh = 0.04208302841106378
MHb = 0.14439694149969745,IL = 0.09504328108795868,IAn = 0.1316451969187403,IG = 0.07460333405669183,FP = 0.04190138692700884
CCA = 0.13249299719887955,PTTn = 0.09047106822432861,LAn = 0.12709938185407307,SubInn = 0.07314206731168352,FC = 0.0406777303083644
RT = 0.12891369378641743,LPO = 0.08566185310789125,CA1 = 0.11672657007766096,Vacc = 0.0703656487153491,S1 = 0.038889403100581775
AVT = 0.12137635217491244,MAn = 0.08240260410943728,SCO = 0.11185810975178896,PVH = 0.06736598619779192,IGLLGC = 0.03580090588540449
AU = 0.10490677746914488,SFn = 0.08113188402215406,AVPV = 0.11162464985994397,M2 = 0.06555280252144355,PreCN = 0.034351192611332265
PSN = 0.1014663891162108,PAA = 0.0787780957460428,M1 = 0.11134775632729442,PreCN = 0.06124665308540865,SCO = 0.03392547242507198
IADT = 0.09935849999752858,AU = 0.0782185907823605,LPO = 0.10856162461492339,FP = 0.060900102983337444,STN = 0.033504516673342706
XiT = 0.09814829296689055,LAn = 0.07424009131670957,LHb = 0.10797041843548194,MGCn = 0.05625786084757987,DPA = 0.032569300539399826
