SS,SS,,MS,MS,,SC,SC,,MC,MC
Node_Removed,CI_Value,,Node_Removed,CI_Value,,Node_Removed,CI_Value,,Node_Removed,CI_Value
vEPn,1128,,LPO,525,,APTN,553,,AU,3388
VMHn,960,,GA,357,,PlnT,440,,PCT,1960
DMH,770,,AVT,264,,MHb,290,,MSn,1863
Vacc,750,,PAG,220,,MGC,276,,EnT,1716
BMe,616,,PSN,220,,S1,248,,LAn,1359
MGC,576,,FF,160,,Gpe,220,,MGCn,1158
RT,489,,NACC.SHELL,144,,ZI,212,,PAn,1116
PVH,456,,AU,133,,IG,205,,VALCT,1036
CA1,402,,Clst,126,,Ech,126,,Clst,954
ViA,399,,PHn,122,,SS,100,,PL,910
aOn,375,,SFn,99,,CA,96,,SubInn,846
DPA,248,,MAn,64,,MePO,70,,PHn,780
APTN,228,,MPA,60,,VA,57,,VMT,630
PT,201,,CA3,52,,PVH,52,,BLA,596
AU,192,,Ech,42,,M1,48,,PCn,540
RE,146,,CA,38,,DG,44,,DPA,537
PAn,146,,LSN,28,,PHn,35,,CA1,414
PAA,146,,PSTN,21,,LHb,30,,CLT,378
AHN,146,,XiT,21,,AMn,26,,XiT,300
FP,144,,SS,16,,PAG,24,,DBn,282
SCN,119,,VALCT,12,,subGn,21,,PlnT,200
AVT,54,,SPZ,10,,Prh,21,,SMT,188
M2,50,,AMn,8,,pRE,20,,CA2,149
AuA,33,,proSub,7,,CA2,20,,TeAA,135
aAA,30,,PlnT,5,,M2,20,,FStr,132
dLGC,24,,lpEC,5,,MPA,19,,LPT,124
VTA,16,,MePO,2,,Gpi,18,,Gpe,118
AMn,8,,IADT,2,,AU,17,,LHb,118
NACC.SHELL,8,,IL,2,,RE,6,,IL,87
reSN,8,,PL,14,,cSN,6,,DMH,74
FStr,4,,DMH,0,,IGLLGC,5,,Prh,72
CA2,4,,AVPV,0,,DPA,4,,AVPO,65
IGLLGC,1,,AVPO,0,,CMT,1,,VPMT,62
MePO,0,,ADPO,0,,DMH,0,,reSN,56
AVPV,0,,ArH,0,,AVPV,0,,PC,42
AVPO,0,,IPVH,0,,AVPO,0,,PSTN,30
ADPO,0,,PVH,0,,ADPO,0,,RS,28
ArH,0,,SON,0,,ArH,0,,dACC,23
IPVH,0,,LHb,0,,IPVH,0,,lpEC,16
SON,0,,MHb,0,,SON,0,,DLS,14
LHb,0,,subGn,0,,vlLGC,0,,Rh,13
MHb,0,,vlLGC,0,,RT,0,,pRE,12
subGn,0,,IGLLGC,0,,CLT,0,,cSN,0
vlLGC,0,,RT,0,,FStr,1,,VTA,0
CLT,0,,CLT,0,,PCn,0,,PAG,0
PCn,0,,PCn,0,,Rh,0,,SCO,0
CMT,0,,CMT,0,,XiT,0,,PreCN,0
IADT,8,,Rh,0,,PT,0,,IG,21
Rh,0,,RE,0,,PVT,0,,APTN,0
XiT,0,,PT,0,,SMT,0,,MGC,33
PVT,0,,PVT,0,,MDT,0,,FP,0
pRE,0,,pRE,0,,IMDT,0,,Vacc,0
SMT,0,,SMT,0,,IADT,0,,OA,0
MDT,0,,MDT,1,,AVT,0,,M2,0
IMDT,0,,IMDT,0,,EnT,0,,M1,0
EnT,0,,EnT,0,,PCT,0,,S1,0
PlnT,0,,PCT,0,,LPT,0,,SS,0
PCT,0,,LPT,0,,dLGC,0,,Sub,4
LPT,0,,dLGC,0,,PTTn,0,,GA,0
PTTn,0,,MGC,0,,VPMT,0,,AuA,0
VPMT,0,,PTTn,0,,VPLT,0,,AA,0
VPLT,0,,VPMT,0,,VMT,0,,ViA,0
VMT,0,,VPLT,0,,VALCT,0,,Ech,0
VALCT,0,,VMT,0,,BNST,0,,VA,0
BNST,0,,BNST,0,,TnS,0,,aOn,0
TnS,0,,TnS,0,,DBn,0,,TT,0
DBn,0,,DBn,0,,MSn,0,,PAA,0
MSn,0,,MSn,0,,SubInn,0,,FC,0
SubInn,0,,SubInn,0,,MGCn,0,,CA3,0
Gpi,0,,Gpi,0,,OT,0,,DG,0
Gpe,0,,Gpe,0,,NACC.CORE,0,,proSub,0
MGCn,0,,MGCn,0,,NACC.SHELL,0,,dEPn,0
OT,0,,OT,0,,DMS,0,,vEPn,0
NACC.CORE,0,,FStr,0,,DLS,0,,BMe,0
DMS,0,,NACC.CORE,0,,SFn,0,,CCA,0
DLS,0,,DMS,0,,LSN,0,,aAA,0
SFn,0,,DLS,0,,MAn,0,,CA,0
LSN,0,,vEPn,16,,IAn,0,,IAn,0
MAn,0,,DPA,8,,aAA,0,,MAn,0
IAn,0,,dACC,4,,PAn,0,,LSN,0
CA,0,,VA,2,,CCA,0,,SFn,0
CCA,0,,IAn,0,,vEPn,6,,PVH,6
BLA,0,,aAA,0,,BMe,0,,DMS,0
LAn,0,,PAn,0,,BLA,0,,NACC.SHELL,0
dEPn,0,,CCA,0,,LAn,0,,NACC.CORE,0
Clst,0,,BMe,0,,dEPn,0,,OT,0
Sub,0,,BLA,0,,Clst,0,,Gpi,0
proSub,0,,LAn,0,,Sub,0,,TnS,0
DG,0,,dEPn,0,,proSub,0,,BNST,0
CA3,0,,Sub,0,,CA3,0,,VPLT,0
IG,0,,DG,0,,CA1,0,,PTTn,0
FC,0,,CA2,0,,FC,0,,dLGC,0
PC,0,,CA1,0,,PAA,0,,AVT,0
TT,0,,IG,0,,PC,0,,AMn,0
VA,0,,FC,0,,TT,0,,IADT,0
Ech,0,,PAA,0,,aOn,0,,IMDT,0
lpEC,0,,PC,0,,lpEC,0,,MDT,0
Prh,0,,TT,0,,TeAA,0,,PVT,0
TeAA,0,,aOn,0,,ViA,0,,PT,0
AA,0,,Prh,0,,AA,0,,RE,0
