SS,SS,,MS,MS,,SC,SC,,MC,MC,,HC,HC
LPO,17,,Clst,10,,CA1,12,,SFn,16,,MHb,16
SubInn,17,,LHb,10,,LAn,12,,SubInn,16,,TnS,16
VMHn,16,,LPT,10,,TeAA,10,,TnS,16,,SubInn,16
MPA,16,,M1,9,,CA3,10,,MHb,16,,SFn,16
AVPO,16,,M2,9,,S1,9,,AU,15,,PCT,15
PCn,16,,SMT,9,,BLA,9,,BNST,15,,BNST,15
MSn,16,,AU,8,,OA,8,,PCT,15,,AU,15
S1,16,,CLT,8,,ViA,8,,DG,14,,EnT,14
MPO,15,,DLS,8,,IAn,8,,EnT,14,,DG,14
DBn,15,,GA,8,,APTN,8,,M2,13,,PreCN,13
MGCn,15,,Gpi,8,,SS,7,,LAn,13,,SCO,13
PSN,14,,LPO,8,,AuA,7,,PAn,13,,VPMT,13
AVPV,14,,PC,8,,Sub,7,,DBn,13,,DBn,13
OT,14,,Rh,8,,vEPn,7,,VPMT,13,,PAn,13
SS,14,,ZI,8,,BMe,7,,SCO,13,,LAn,13
MePO,13,,EnT,7,,DLS,7,,PreCN,13,,M2,13
VMT,13,,MDT,7,,Gpe,7,,M1,12,,PVT,12
DG,13,,NACC.SHELL,7,,pRE,7,,S1,12,,LSN,12
EnT,12,,VA,7,,M2,6,,GA,12,,IG,12
VPMT,12,,dEPn,7,,M1,6,,ViA,12,,ViA,12
VPLT,12,,FF,6,,VA,6,,IG,12,,GA,12
aAA,12,,IMDT,6,,PC,6,,LSN,12,,S1,12
Rh,11,,PL,6,,IG,6,,PVT,12,,M1,12
SMT,11,,VMT,6,,proSub,6,,Vacc,11,,ADPO,11
IMDT,11,,BLA,5,,SFn,6,,OA,11,,vlLGC,11
PCT,11,,CA3,5,,Gpi,6,,AA,11,,IGLLGC,11
dLGC,11,,CMT,5,,DBn,6,,PCn,11,,PCn,11
M1,11,,DBn,5,,VPMT,6,,IGLLGC,11,,AA,11
CMT,10,,DPA,5,,PCT,6,,vlLGC,11,,OA,11
PTTn,10,,FP,5,,PVT,6,,ADPO,11,,Vacc,11
VALCT,10,,IL,5,,MHb,6,,SS,10,,STN,10
CLT,9,,LSN,5,,IPVH,6,,BLA,10,,PlnT,10
ADPO,8,,MePO,5,,PHn,6,,NACC.SHELL,10,,VALCT,10
MAn,8,,NACC.CORE,5,,LHA,6,,MGCn,10,,MSn,10
M2,8,,PAG,5,,PL,5,,MSn,10,,MGCn,10
SFn,7,,PSN,5,,lpEC,5,,VALCT,10,,NACC.SHELL,10
LAn,7,,PSTN,5,,FC,5,,PlnT,10,,BLA,10
vEPn,7,,RE,5,,CA2,5,,STN,10,,SS,10
GA,7,,vEPn,5,,CCA,5,,VA,9,,LHA,9
AU,7,,AA,4,,OT,5,,BMe,9,,VMHn,9
VTA,6,,AHN,4,,PlnT,5,,OT,9,,PSN,9
DMH,6,,APTN,4,,IMDT,5,,Gpi,9,,AVPV,9
PT,6,,AVT,4,,PCn,5,,CLT,9,,CLT,9
MDT,6,,CA,4,,subGn,5,,AVPV,9,,Gpi,9
BMe,6,,DG,4,,DMH,5,,PSN,9,,OT,9
VA,6,,Gpe,4,,SPZ,5,,VMHn,9,,BMe,9
Vacc,6,,IADT,4,,AHN,5,,LHA,9,,VA,9
PVH,5,,MPA,4,,PSTN,5,,FP,8,,VTA,8
MHb,5,,MPO,4,,PAG,5,,PL,8,,PSTN,8
RT,5,,MSn,4,,PreCN,5,,Sub,8,,PHn,8
IADT,5,,PCT,4,,FP,4,,Clst,8,,MPO,8
PlnT,5,,PTTn,4,,dACC,4,,MGC,8,,PT,8
NACC.SHELL,5,,RT,4,,Vacc,4,,PT,8,,MGC,8
LSN,5,,SFn,4,,Prh,4,,MPO,8,,Clst,8
CCA,5,,SPZ,4,,Ech,4,,PHn,8,,Sub,8
Ech,5,,SubInn,4,,Clst,4,,PSTN,8,,PL,8
Prh,5,,TnS,4,,CA,4,,VTA,8,,FP,8
PL,5,,dACC,4,,MSn,4,,aOn,7,,APTN,7
FP,5,,lpEC,4,,VPLT,4,,TT,7,,cSN,7
cSN,4,,vlLGC,4,,MGC,4,,VMT,7,,MPA,7
ZI,4,,ADPO,3,,LHb,4,,VPLT,7,,MePO,7
XiT,4,,AMn,3,,AVPV,4,,MDT,7,,SMT,7
BNST,4,,BMe,3,,MePO,4,,SMT,7,,MDT,7
FStr,4,,CA1,3,,ZI,4,,MePO,7,,VPLT,7
DMS,4,,Ech,3,,FF,4,,MPA,7,,VMT,7
DLS,4,,FStr,3,,SCO,4,,cSN,7,,TT,7
PAn,4,,IPVH,3,,AU,3,,APTN,7,,aOn,7
CA1,4,,LHA,3,,GA,3,,DPA,6,,DMH,6
aOn,4,,MAn,3,,DPA,3,,PC,6,,IPVH,6
ViA,4,,PAA,3,,DG,3,,CA1,6,,PVH,6
OA,4,,PHn,3,,PAn,3,,FStr,6,,LPT,6
dACC,4,,PT,3,,DMS,3,,LPT,6,,FStr,6
APTN,3,,PVH,3,,NACC.CORE,3,,PVH,6,,CA1,6
PreCN,3,,PlnT,3,,FStr,3,,IPVH,6,,PC,6
SCO,3,,SS,3,,MGCn,3,,DMH,6,,DPA,6
reSN,3,,TT,3,,SubInn,3,,Prh,5,,LPO,5
LHA,3,,TeAA,3,,TnS,3,,lpEC,5,,CA3,5
SMN,3,,VALCT,3,,BNST,3,,CA3,5,,lpEC,5
AHN,3,,VPMT,3,,PTTn,3,,LPO,5,,Prh,5
SCN,3,,ViA,3,,AMn,3,,IL,4,,LHb,4
SON,3,,XiT,3,,SMT,3,,dACC,4,,subGn,4
vlLGC,3,,aOn,3,,CLT,3,,TeAA,4,,RT,4
RE,3,,proSub,3,,IGLLGC,3,,CA2,4,,dLGC,4
PVT,3,,AVPO,2,,AVPO,3,,vEPn,4,,PTTn,4
AMn,3,,ArH,2,,LPO,3,,PTTn,4,,vEPn,4
AVT,3,,DMS,2,,IL,2,,dLGC,4,,CA2,4
MGC,3,,FC,2,,RS,2,,RT,4,,TeAA,4
CA3,3,,IG,2,,AA,2,,subGn,4,,dACC,4
CA2,3,,IGLLGC,2,,aOn,2,,LHb,4,,IL,4
PAA,3,,LAn,2,,NACC.SHELL,2,,AuA,3,,PAG,3
DPA,3,,MGC,2,,dLGC,2,,RS,3,,XiT,3
lpEC,3,,OT,2,,LPT,2,,PAA,3,,pRE,3
TeAA,3,,PCn,2,,EnT,2,,pRE,3,,PAA,3
AA,3,,Prh,2,,RE,2,,XiT,3,,RS,3
AuA,3,,SMN,2,,CMT,2,,PAG,3,,AuA,3
IL,3,,SON,2,,vlLGC,2,,Ech,2,,reSN,2
FF,2,,STN,2,,SON,2,,proSub,2,,ZI,2
STN,2,,Sub,2,,PVH,2,,dEPn,2,,SPZ,2
IPVH,2,,VMHn,2,,ArH,2,,DLS,2,,AVPO,2
IGLLGC,2,,VTA,2,,ADPO,2,,Gpe,2,,ArH,2
pRE,2,,Vacc,2,,MPA,2,,AMn,2,,SON,2
LPT,2,,aAA,2,,SCN,2,,RE,2,,Rh,2
TnS,2,,cSN,2,,SMN,2,,Rh,2,,RE,2
Gpi,2,,dLGC,2,,MPO,2,,SON,2,,AMn,2
Gpe,2,,reSN,2,,STN,2,,ArH,2,,Gpe,2
NACC.CORE,2,,AVPV,1,,reSN,2,,AVPO,2,,DLS,2
IAn,2,,BNST,1,,cSN,2,,SPZ,2,,dEPn,2
dEPn,2,,CCA,1,,VTA,2,,ZI,2,,proSub,2
IG,2,,IAn,1,,dEPn,1,,reSN,2,,Ech,2
TT,2,,MGCn,1,,aAA,1,,CCA,1,,FF,1
RS,2,,OA,1,,LSN,1,,CA,1,,IMDT,1
PAG,1,,PVT,1,,VALCT,1,,MAn,1,,AVT,1
TN,1,,RS,1,,VMT,1,,AVT,1,,MAn,1
PSTN,1,,S1,1,,AVT,1,,IMDT,1,,CA,1
SPZ,1,,SCN,1,,IADT,1,,FF,1,,CCA,1
LHb,1,,TN,1,,MDT,1,,FC,0,,TN,0
subGn,1,,VPLT,1,,XiT,1,,aAA,0,,SMN,0
CA,1,,pRE,1,,RT,1,,IAn,0,,AHN,0
BLA,1,,subGn,1,,PSN,1,,DMS,0,,SCN,0
proSub,1,,AuA,0,,VMHn,1,,NACC.CORE,0,,CMT,0
PC,1,,CA2,0,,TN,1,,IADT,0,,IADT,0
PHn,0,,DMH,0,,TT,0,,CMT,0,,NACC.CORE,0
ArH,0,,MHb,0,,PAA,0,,SCN,0,,DMS,0
Clst,0,,PAn,0,,MAn,0,,AHN,0,,IAn,0
Sub,0,,PreCN,0,,PT,0,,SMN,0,,aAA,0
FC,0,,SCO,0,,Rh,0,,TN,0,,FC,0
