SS,MS,SC,MC,HC
LPO = 0.21980095256644092,LPT = 0.13646383096572712,CA1 = 0.14945567000154614,MHb = 0.1716176326432427,lpEC = 0.2241491279014381
AVPO = 0.2173222601610083,LHb = 0.13599282426105527,LAn = 0.1476434937309134,TnS = 0.16621221842317926,MGCn = 0.22332796240218522
MPA = 0.21732226016100828,Clst = 0.12816182526315176,TeAA = 0.1350515449335296,SFn = 0.16541185015227575,LHA = 0.21934411953769659
MSn = 0.21732226016100825,M2 = 0.12745247449646577,CA3 = 0.1348973069194987,BNST = 0.16468775917059628,SubInn = 0.21662228829228755
SubInn = 0.21380924392523928,M1 = 0.12733816406448828,BLA = 0.12488510726530995,DG = 0.15290671356610178,SMT = 0.21161010496027774
DBn = 0.2108573940444108,SMT = 0.12603841702182536,ViA = 0.11970595964558155,SubInn = 0.14637925909014526,MAn = 0.20182220994248998
MGCn = 0.21085739404441078,AU = 0.12465662173937399,S1 = 0.11813922091116279,SCO = 0.14586397054019304,Gpe = 0.1952183924170077
VMHn = 0.20786884385299895,CLT = 0.12458036137804478,AuA = 0.11752597683007346,LSN = 0.14484313826212777,VPLT = 0.19521839241700764
MPO = 0.20192348943035152,Rh = 0.12434104883601976,IAn = 0.11644430667479967,PCT = 0.13982874913278287,Rh = 0.19382530740501697
AVPV = 0.19807275027147275,Gpi = 0.12219738992394436,Sub = 0.11527333613429548,PreCN = 0.13881282798805242,Gpi = 0.19095487208364773
OT = 0.1965468132623632,DLS = 0.11982617442061666,pRE = 0.11440828543230712,PVT = 0.13853922700078988,PAn = 0.18693972188615737
MePO = 0.19176016726596876,EnT = 0.11789835703176005,OA = 0.11315873496555365,EnT = 0.1364837343553607,CCA = 0.17722593206281967
aAA = 0.18033053578877903,GA = 0.11757076299982078,PVT = 0.11081764819936701,IGLLGC = 0.13287654637308594,Prh = 0.17595870893883747
DG = 0.1709558040360545,PC = 0.11674429714522501,APTN = 0.11023194621708993,vlLGC = 0.13175609292689416,VTA = 0.1546529564770719
dLGC = 0.16911887067907305,ZI = 0.11635700325938501,BMe = 0.1102224409692663,IG = 0.13128369544262847,PCT = 0.1527554109074776
PSN = 0.16642853571642138,VA = 0.11617507571940425,proSub = 0.10959282274433277,DBn = 0.1309260450726423,PAG = 0.15075348390426335
PCn = 0.12309309908623554,dEPn = 0.11475534387608484,vEPn = 0.10927582144090307,PAn = 0.12959114987525538,VALCT = 0.1432501689207583
S1 = 0.12273244745644968,MDT = 0.11133422176869567,DLS = 0.10746014143445412,AU = 0.1291216431400882,MSn = 0.12056691552299714
ADPO = 0.11421263472655586,LPO = 0.10975582369824288,SS = 0.10648613891124784,VPMT = 0.12390001711935672,AVT = 0.11675701445394027
SS = 0.11139376461457408,PL = 0.10835895114681714,Gpe = 0.1059987444582993,Vacc = 0.1232200389213207,FC = 0.11412103222113855
VPLT = 0.10421817082823019,VMT = 0.10695703770117247,CA2 = 0.10351157101010328,LAn = 0.12281221847170117,IGLLGC = 0.11364811307691072
VMT = 0.10291775194235582,NACC.SHELL = 0.10660221701444941,PreCN = 0.10348747969891123,STN = 0.12242776468342152,AHN = 0.11169571501372885
VPMT = 0.10250763557484187,IMDT = 0.10610672818677218,M2 = 0.1032650147382449,M2 = 0.12097785742395932,PreCN = 0.11036881137000273
EnT = 0.10028702929773059,CMT = 0.10552630805392843,IPVH = 0.1029216898803956,Gpi = 0.1190276121488312,PAA = 0.10942355967211023
PCT = 0.09953419603014943,FP = 0.1025555492919786,M1 = 0.10260610059358602,GA = 0.11602908560031772,LPO = 0.10236368902913247
Rh = 0.0963604707564253,RE = 0.10109547652141358,MHb = 0.1011364962583281,M1 = 0.11571848376029348,SS = 0.0976730291369
M1 = 0.09420723767166983,vEPn = 0.09982459265197242,VA = 0.10067515238275794,S1 = 0.11558212849900536,dLGC = 0.09627689387558314
IMDT = 0.0936594603151635,DPA = 0.09971018525603846,PHn = 0.10035573655600886,ADPO = 0.11446748555748866,STN = 0.09365976150563218
SMT = 0.08945247175855635,FF = 0.09968313843617752,VPMT = 0.09977143457542274,PCn = 0.11385587677467088,OA = 0.09043278302591531
CMT = 0.08740244546756136,BLA = 0.09906391007955204,PCT = 0.09887085424319957,BLA = 0.11083420640216142,IL = 0.08935215392304827
PTTn = 0.08570140150272791,AA = 0.09813324657254575,CCA = 0.09855777931565352,AA = 0.11006896827436415,S1 = 0.08710218419743682
CLT = 0.08538930493344893,IL = 0.09745048834589577,Gpi = 0.09845591613882854,ViA = 0.10997374101372885,DPA = 0.08500253421653438
NACC.SHELL = 0.08456407926963455,APTN = 0.095700227264312,subGn = 0.09761783739173784,PT = 0.10776487676648348,MDT = 0.0839557005405151
VALCT = 0.08455927080910511,PAG = 0.09552407624754777,LHA = 0.09707942287869234,SS = 0.10657797082539022,ZI = 0.08338394646557375
MAn = 0.07740445689291466,PSN = 0.09542929101772915,PC = 0.09619074843305973,MGCn = 0.10546082940492724,LPT = 0.07992143400794899
GA = 0.07507441938816192,LSN = 0.0953940954420599,SFn = 0.0957299212985906,NACC.SHELL = 0.10454270588925708,BMe = 0.07934041847617442
FStr = 0.07343878795289703,MePO = 0.09538095033610415,DMH = 0.09568808231095818,PlnT = 0.10336194580925419,PCn = 0.07900596727367667
SFn = 0.07289817989749886,DBn = 0.09493366414066456,IG = 0.0955827203442989,LHA = 0.10332527597386341,PVH = 0.07848572941653698
MDT = 0.06700585517525415,dACC = 0.09465901147117292,lpEC = 0.095289150618255,OA = 0.10319830408232183,SCO = 0.07624104569280071
VA = 0.06438541330486662,CA3 = 0.09439343101652264,SPZ = 0.09456451098996649,VA = 0.09975473874934515,PlnT = 0.07516106300983373
M2 = 0.06149374486613623,NACC.CORE = 0.09430891806236681,AHN = 0.09456451098996647,CLT = 0.09951937181315787,RT = 0.07439781024030397
reSN = 0.06057501638852626,PSTN = 0.09343766409659454,PAG = 0.09431875849236795,MSn = 0.09918885545465997,SFn = 0.07316892522249331
LSN = 0.05719537857436804,IADT = 0.09210596198834074,FC = 0.09430431071865059,VALCT = 0.09794375920158258,GA = 0.07308914641345717
VTA = 0.0570342910036453,lpEC = 0.09147619721873504,PCn = 0.09426176658418482,BMe = 0.09785532763619488,AuA = 0.06953650759658543
PlnT = 0.05480146027152543,CA = 0.0911188243531823,PSTN = 0.09417691875489351,MePO = 0.09650245896009396,M1 = 0.06940373990874095
cSN = 0.05305579927961867,ViA = 0.09067278364238457,DBn = 0.09393899242761933,OT = 0.09433810194223632,DBn = 0.06739243601614518
LAn = 0.05302026443114137,MPO = 0.09049506938379616,PlnT = 0.09008849192235678,VMHn = 0.09244610392719531,VA = 0.06639765835966178
BNST = 0.052813994221938894,MSn = 0.090331777144793,PL = 0.09007011606023792,MPO = 0.09028864911688014,IMDT = 0.06505288479752244
IADT = 0.052761014267475585,MPA = 0.09023458521421852,MePO = 0.0899855620943675,MDT = 0.08688657388265694,CLT = 0.06489041770330546
AU = 0.05107118061437035,SPZ = 0.09015411440317829,OT = 0.08917359865838649,VPLT = 0.08687576946006256,DLS = 0.0635497419801253
vEPn = 0.04993085597274756,RT = 0.08985839826638446,VPLT = 0.08865367404132722,IPVH = 0.08660139512111048,ViA = 0.06328862492565361
PT = 0.048861423426445755,DG = 0.08922259363219412,FF = 0.08839693419829112,PSN = 0.08591732994607432,NACC.CORE = 0.06054401656799267
ZI = 0.0486389357881144,TnS = 0.0887932043994659,Clst = 0.08828890169714454,MGC = 0.08511075582104874,VMT = 0.05994872617001781
BMe = 0.04863888007871225,AHN = 0.08872562529799273,IMDT = 0.08769696499821207,FP = 0.08458741947177714,SON = 0.05964854594403698
CCA = 0.04843693798218006,AVT = 0.0885116749837969,ZI = 0.08760990673903861,Sub = 0.08448116747410399,FP = 0.05817593437320913
Vacc = 0.048030408793965,TeAA = 0.08846613937527267,dACC = 0.0870945975268552,Clst = 0.08376807627916853,MPA = 0.05781830171756603
DMH = 0.047673680119785664,SFn = 0.0879381998026831,FP = 0.08681509958318792,SMT = 0.0830985076203273,IG = 0.05647834851967078
FP = 0.04640281761738031,PTTn = 0.08755375278083197,CA = 0.08652421859607284,PVH = 0.08244568500969833,PL = 0.05538502859636358
RT = 0.04585477021377097,Gpe = 0.08752769833795036,Vacc = 0.08593531910824347,AVPV = 0.0822752200407223,subGn = 0.05524298610100729
PVH = 0.04569529876286631,aOn = 0.08705050185250923,MSn = 0.08539152389630321,PL = 0.07930246877173404,MGC = 0.05460392832908974
XiT = 0.04522751130929894,SubInn = 0.08704375812449217,Prh = 0.084814801590576,VTA = 0.07870501078304773,IAn = 0.054398034661184466
Ech = 0.04520273176850168,vlLGC = 0.08695163107848561,SCO = 0.08457610835292306,MPA = 0.07776742891401987,Sub = 0.05404152968321133
Prh = 0.045019957622266085,PCT = 0.0868538792637903,Ech = 0.08424122302636029,PHn = 0.07745423664234136,BNST = 0.05347010383553652
PL = 0.04477620644211475,PlnT = 0.08648751723048988,AVPV = 0.08418862325644645,APTN = 0.07689497571151312,CA2 = 0.051974508807749766
MHb = 0.04476040361474102,SS = 0.08644665507700355,MGC = 0.08412568769097228,PSTN = 0.07495616061541925,M2 = 0.0517389353407638
OA = 0.0442862210116256,BMe = 0.08634400779350043,AU = 0.0837935249550978,PC = 0.07434141593779832,TnS = 0.05131445272976306
DLS = 0.04428622101162559,VALCT = 0.08609992077022159,GA = 0.0836491108125276,FStr = 0.0741940068313666,PT = 0.05098705775641756
PAn = 0.043572572346204534,TT = 0.08556389130629247,LHb = 0.08297311313277775,TT = 0.07335721519875033,TN = 0.05062812461419321
dACC = 0.04296800853466866,FStr = 0.08504511494636441,IGLLGC = 0.08235006004492602,aOn = 0.07335721519875031,PHn = 0.050603998113491984
AMn = 0.04275035857543119,AMn = 0.08484140844454578,SubInn = 0.08216013429462507,LPT = 0.07238163926935248,DG = 0.0504296576375536
DMS = 0.0426223707103791,PAA = 0.084553337787097,DG = 0.08165039003056632,cSN = 0.07059124535338401,LHb = 0.05029938476269616
aOn = 0.041967574659481165,LHA = 0.08435509255437978,PTTn = 0.08139614884440953,VMT = 0.07037757374816714,RE = 0.04752952293027676
CA1 = 0.04190510378993033,ADPO = 0.08417792713080899,FStr = 0.08123463590267307,DMH = 0.06765838798177826,proSub = 0.047206291163591374
ViA = 0.0414521134533474,MAn = 0.08387920479479327,DMS = 0.08079556439105953,lpEC = 0.06661227302062137,PTTn = 0.04690435480534575
TnS = 0.04110914137247966,PT = 0.08381557044837065,MGCn = 0.08062613012707041,DPA = 0.06543852547459361,CMT = 0.04613641644620048
