"","FP","PL","IL","dACC","Vacc","OA","AU","M2","M1","S1","SS","GA","AuA","RS","AA","ViA","TeAA","Prh","lpEC","Ech","VA","aOn","TT","DPA","PC","PAA","FC","IG","CA1","CA2","CA3","DG","proSub","Sub","Clst","dEPn","vEPn","LAn","BLA","BMe","CCA","PAn","aAA","CA","IAn","MAn","LSN","SFn","DLS","DMS","NACC.SHELL","NACC.CORE","FStr","OT","MGCn","Gpe","Gpi","SubInn","MSn","DBn","TnS","BNST","VALCT","VMT","VPLT","VPMT","PTTn","MGC","dLGC","LPT","PCT","PlnT","EnT","AVT","AMn","IADT","IMDT","MDT","SMT","pRE","PVT","PT","RE","XiT","Rh","CMT","PCn","CLT","RT","IGLLGC","vlLGC","subGn","MHb","LHb","SON","PVH","IPVH","ArH","ADPO","AVPO","AVPV","DMH","MePO","MPA","PSN","SPZ","SCN","AHN","SMN","MPO","VMHn","PHn","LHA","LPO","PSTN","STN","ZI","FF","TN","reSN","cSN","VTA","PAG","SCO","PreCN","APTN"
"FP",1,-0.368138059149579,-0.633233830468083,0.450686039812277,0.0840543860006396,0.788112954545436,0.622313787290962,0.679781064292763,0.530057093561156,0.791649853719418,0.667646729729653,0.679180222617745,0.249229839795977,0.619183333982322,0.797172190153746,0.924490238480461,-0.286475203554334,0.682757499065008,0.0170748686759599,-0.0649949355896531,0.609332178074641,0.340456286158529,-0.673181191739694,-0.519402621141037,0.890515130389882,0.0393890560432903,0.856306573209866,-0.403772038466388,-0.407510526970196,-0.345462190116916,-0.634076207317553,-0.52288139623067,-0.202206417651441,-0.13749187452453,-0.56583988476957,-0.239021948292362,-0.155014960499752,-0.459145271380898,-0.460529139794332,-0.447978486558007,0.558404563252049,-0.45608375472257,0.626117338818225,-0.295412525472019,-0.465836694827862,0.107235976419532,-0.197583882014211,0.0679576676174627,0.332031189784666,0.191869625205116,0.021216419960157,-0.0653164428904794,0.29449600918775,0.453511955889077,0.567511280649171,0.0617589630035283,-0.440174127949721,0.0738732429501965,-0.0270069097293208,0.193834157888122,-0.0446474164605435,-0.310604776804535,-0.424752742303643,-0.210385393534319,-0.44934501979744,0.700347862861912,-0.150368847365833,-0.640643873107054,-0.818311021978879,-0.740608643141445,-0.130519166384684,-0.193682929809572,-0.0787431078785942,-0.466480278241423,-0.78275568324213,-0.512838550670279,0.691064519146859,-0.353318208366681,-0.134395801280427,-0.0572914075403532,-0.0442011297617267,-0.391039551819081,-0.130833689373433,0.117317361318292,0.292487090212138,-0.208776533353809,0.284055160802036,-0.451324625450881,-0.403946806736518,-0.804879741812472,-0.450282250665778,0.601992835950174,-0.0532426241094448,-0.227977393705386,0.0987367915056745,-0.618298548427508,0.0578021506628376,0.445410695924104,-0.308675108422234,-0.109594660674983,-0.148773902154915,0.898375623450205,-0.628999014244339,-0.52547309588498,-0.0400088688920715,-0.627314430315799,-0.124061940050896,-0.770526126349842,0.530157890443414,-0.282736890045853,0.164190419019407,0.45407782053965,0.213421979884175,0.193439834334489,0.757456725234255,0.423905076101829,-0.579188304695248,-0.503453194684652,0.184914287472797,-0.342338423181911,-0.00697111721944058,0.204396678526997,-0.548798371841131,-0.268750983009757,-0.944758186353322,0.0361299695171121
"PL",-0.368138059149579,1,0.817652621828622,0.401464233409248,0.722099611598029,-0.737954308357675,-0.534756659980312,0.0197287667387556,-0.327259753433904,-0.440999761489402,-0.471609509138535,-0.502115651180702,-0.442557874021236,0.192792829412722,-0.262271951415664,-0.46904677239544,-0.350196401734846,-0.821768992432988,0.123849705539895,-0.571564291000356,-0.501115570212707,0.0236861214683778,0.74327019661125,0.659307687713291,-0.212805581365565,-0.570019290162383,-0.282636697063084,0.472148069695407,0.381407964388454,0.109941040326047,-0.043907479035666,0.525850458529744,0.850035828810551,0.667140233979689,0.163927860705842,0.0182707198708709,-0.420925730132571,-0.0384831179576831,-0.0893846258396665,-0.483638749687225,-0.419964658075185,-0.102375785349418,-0.244491788368645,-0.0962923261151325,-0.302648774157536,-0.411652135957115,-0.134295349796987,0.342732595986021,-0.00353417108190896,0.251647941581539,-0.00319069515792541,-0.0795143507522056,0.0190031062175829,0.0119148341560943,-0.138662777587948,0.262358198764258,0.338081051383196,0.0793814324528188,-0.189438949627809,0.150232390962994,0.436742185578105,0.346797134462375,-0.0237737103602847,0.144577211436205,-0.115148873521628,-0.535342257162339,-0.479856183475219,-0.325778637296396,-0.0458889228287487,-0.115791206384709,-0.471723787608245,-0.411288327406703,-0.618492403887292,0.347834367455302,-0.0570125433084722,-0.024745954977802,-0.799712588825698,-0.338451670489459,-0.2191369933722,0.287969837305673,0.00698452987146391,0.63983251078188,0.197542288991071,0.375352677636078,-0.717153701298504,-0.248447124606113,-0.791894996112158,-0.125709902351305,0.657942954775459,0.116470806219829,-0.106275674551697,-0.287098563205843,0.00336478001289654,0.0477317696537297,0.582738746663093,0.620932699986484,-0.0493452821787041,-0.0667862732690448,0.150938091271356,-0.0829446568870712,0.25912137058571,-0.271814070549921,0.434682098551373,0.21985851987909,-0.0204581357984765,0.202071067717621,-0.105921358932504,0.622142412132927,-0.534179939089513,0.804840072807847,0.35533932171781,0.242115384993429,0.206993755533464,0.129401035487401,-0.326203327252243,-0.140803313689776,0.607267794444908,0.234224930593572,0.598708954423659,0.404569888794931,0.0825808370118548,-0.285297581780431,0.79480916975464,0.765935610332614,0.515688711319878,-0.232394025947819
"IL",-0.633233830468083,0.817652621828622,1,-0.19266622338118,0.445830547934059,-0.803875223128603,-0.681636441922603,-0.467195198853885,-0.623940686095593,-0.803147444848798,-0.77698806282978,-0.762555155997122,-0.673524131727412,-0.372704772193721,-0.668921713899937,-0.756264538865364,-0.42166559245431,-0.885027981456534,-0.0335874041351414,-0.595717061663361,-0.758313329560551,0.260135045332004,0.756431010846154,0.842736719212539,-0.591215499014574,-0.288203883002743,-0.526601597107122,0.675471206958655,0.416392015254166,0.391970680324296,0.349807545503802,0.661687217794686,0.833408971278198,0.746440978912779,0.341113951351669,0.270513359648267,-0.11070247245684,-0.169546387005087,0.0583823972234829,-0.0780277625761449,-0.484395740759784,0.314487056053657,-0.0957633207132601,0.241023552280861,0.0159056905467321,-0.33648866394488,0.242193586402812,0.40674784785057,-0.18945585500454,-0.123920333691652,-0.038860624115155,-0.0665070994201182,0.247812375217128,-0.337102690290904,-0.421652134902569,0.372800570153191,0.328487626371992,-0.0341973694733272,-0.132940258625328,-0.393680795402069,0.368416835364393,0.697844260441996,0.222880989870248,0.508099354316101,0.13324476749592,-0.421843278571527,0.123831737647171,0.14551288832062,0.443521390487638,0.348669455014823,0.0809187488808773,-0.0784617996977626,-0.249020304593269,0.719425547929495,0.140316907396449,0.249704755533761,-0.68961193280122,0.163466406113308,0.180268783824409,0.555192223532421,0.32468181289374,0.786838790919905,0.548182155372737,0.479299174224074,-0.51534851087627,-0.226279709930756,-0.389095265588758,0.361534050949153,0.669360024124649,0.78315662152522,0.354353283759159,-0.698421549837291,-0.413079124220358,0.123226782467161,0.0446934179735612,0.860854811679123,0.223565581731639,-0.513123195404139,0.233512927536408,-0.372575074485272,-0.140110500434442,-0.43462285768313,0.594835941007308,0.307033949491675,-0.0612349390568638,0.484484333921468,-0.29543834177181,0.797163639242479,-0.865635819555765,0.814580899054963,-0.183176870777263,-0.0627721740571755,0.303351221399602,0.233751039012106,-0.466908618605082,-0.466249592242352,0.910330729155752,0.481079908505672,0.153994330538845,0.153721311006968,-0.128614120906451,-0.604102673175287,0.892575569753028,0.176483292480881,0.913995874607311,0.0855807053527838
"dACC",0.450686039812277,0.401464233409248,-0.19266622338118,1,0.581406529473323,0.0613228764987414,0.160954648025488,0.767642623107367,0.420112813599647,0.498360967256981,0.356979416250693,0.318140565809829,0.135293171858241,0.879336942205477,0.645673689230599,0.307816044651652,-0.112276967947732,-0.122712156992249,-0.0905259121532096,-0.163173633658876,0.252198663538122,-0.314202876973154,-0.000248014921756989,-0.220730199654706,0.601939874693676,-0.248327210925328,0.378053983984967,-0.244757017808097,-0.0709239920323207,-0.297915181756836,-0.630499350876134,-0.112931414793051,0.0973811778605297,-0.0667602588970315,-0.319339145251897,-0.404101976988064,-0.554443124257023,0.102796579045249,-0.329406857798447,-0.691118555102296,0.186907408686552,-0.474639345159797,-0.040442358581604,-0.35110027231637,-0.597609155375877,0.0828471111493298,-0.590838130137477,0.0875375165164665,0.364689748843293,0.678363457083101,-0.0366036563603301,-0.118128364479429,-0.226883303682013,0.575108300114684,0.365141335449607,0.118871893756613,0.156856575744101,0.225426136440802,0.0615162512128367,0.731999118341268,0.221195115955218,-0.459142895063208,-0.128075185187033,-0.373457796746345,-0.0608806972643896,-0.0695394567387183,-0.762753613561594,-0.738929865980533,-0.699589512609383,-0.744547730552999,-0.494321978023965,-0.594830870545217,-0.708906207047394,-0.227883144732385,-0.304256132774175,-0.389218006385198,-0.06917930496045,-0.498736389752858,-0.177743783268817,-0.34405706284248,-0.470674232867467,-0.103045358360497,-0.397379667657961,0.0115276105958425,-0.112351526572243,0.00897745816161145,-0.406683933371387,-0.606382245826189,0.165762233057726,-0.723433819824639,-0.752483706324085,0.457681489609957,0.515743855837128,0.00487055198825273,0.815993861767923,-0.292567262502744,-0.279874122655718,0.59711496735407,-0.363073567744345,0.355830330016011,0.552754768124749,0.212133888106443,-0.331691297130836,-0.0422069049544179,0.119586039827755,-0.446172516890851,0.138839469585989,-0.0542985624895008,0.40668945033403,0.149883208150669,0.858881031990114,0.224869948686783,0.122202587508687,0.0550756348163782,0.209668161724419,0.404148066303452,-0.414498031020601,-0.339564736010652,0.815979675516962,0.35942912177404,0.207835316839565,0.0927485292967306,-0.162138292400904,0.471774356467658,-0.522388355096251,-0.40688362420023
"Vacc",0.0840543860006396,0.722099611598029,0.445830547934059,0.581406529473323,1,-0.421360238639899,-0.503574402256687,0.0356636887582475,-0.41980409248124,-0.243318215551199,-0.405072962175184,-0.484380843867317,-0.512377549079241,0.322076725111268,0.129933339387068,-0.13207641524661,-0.56660069414412,-0.264973330163496,-0.0668168422906689,-0.57364304550645,-0.471110697380308,0.0221964493100823,0.210280698646495,0.447317993939252,0.144301175359745,-0.180036176651454,-0.053308380777187,0.40903836064634,0.205272506488798,0.157996622249821,-0.0762298687302733,0.462476938316526,0.674439328308964,0.593850540944668,0.12840291733077,0.214746566464225,-0.358566469910188,-0.331861954324304,-0.431455157815812,-0.526096836447895,0.000441808825407732,-0.165911092791319,0.0535820418163385,-0.325991711917399,-0.461201783695182,0.0521473238391905,0.0233010132566676,0.11170103673302,0.092774637144497,0.516502651847602,0.378736272840735,0.23318884842934,0.181795811011134,0.170139194591828,0.0562183487198747,0.16505249158884,0.0435953010213929,0.10185132332677,-0.00373293649132408,0.084095657531916,0.199507658487798,0.373349493693727,0.0380717489362099,0.351621752882775,-0.0821445014868679,-0.273011721869991,-0.877851538955952,-0.353059759755197,-0.296627529540981,-0.354065194281992,-0.292401269506252,-0.462553463254532,-0.766462527943525,0.0104352041911025,-0.321155218313026,0.0478131635275085,-0.409320310754137,-0.238832998781493,-0.0247858902868203,0.45252918809327,0.00296994978469583,0.716034367319795,0.389856525180615,0.700945639155154,-0.169507225279561,-0.131275263043348,-0.433077273892148,-0.0667996073342939,0.613064640679643,-0.42123911075282,-0.553835629937889,-0.276803744723181,-0.0196003297656084,0.262643018756503,0.447075198276616,0.415384881945541,0.107005371009527,0.157563257569458,-0.125365702684366,-0.355912063671033,-0.0752469427219878,0.0419967687259589,-0.218994857323154,0.034996838082647,0.175364579187374,-0.193993797789105,-0.182642113402408,0.340328928769245,0.275555353751031,0.706916159459886,0.279845145746663,0.330583362589057,0.20307734134879,0.213860633785979,0.0321981691729969,-0.271665007570248,0.329406072873203,-0.353957839707927,0.754573919199511,0.569976695969729,0.276190238582423,0.101744801574844,0.261866277602732,0.283378562458301,-0.172464428442111,-0.678816832908113
"OA",0.788112954545436,-0.737954308357675,-0.803875223128603,0.0613228764987414,-0.421360238639899,1,0.616618371324402,0.514065767025198,0.700138820724183,0.826144197985207,0.797192271702612,0.773400253394566,0.567936632871505,0.334064935188979,0.480165830366016,0.767046503325276,0.00630671227070312,0.866735887395229,-0.0886356582324605,0.115647807070087,0.661771383855905,0.247183964717151,-0.881159417885971,-0.83678429531045,0.528747495884198,0.215046638992919,0.852369181803219,-0.658166770804269,-0.753207741809735,-0.578822985164556,-0.520876098781482,-0.815223870671751,-0.499464029537575,-0.389779811609372,-0.708488703422534,-0.475603355089675,-0.149100563026052,-0.301750261729134,-0.443163702612191,-0.172772529911358,0.315039853658033,-0.055329243482605,0.566843585423596,-0.323698338996098,-0.335605476362814,0.181249911234468,-0.253752586886465,0.173845493156151,0.11743130062132,-0.126578654448231,-0.261914314347256,-0.324314588209506,-0.0246286264453617,0.340838204743524,0.541450993504057,-0.0953237459521047,-0.486171931197056,0.193122659382556,0.324957032569756,0.0811456782661204,0.0558068260132002,-0.35335313087594,-0.291013441329256,-0.344916849297486,-0.309016458837207,0.684181829415422,0.219933145326632,-0.124932661449081,-0.371231271669238,-0.274854639267482,0.21232546489703,0.185767749634131,0.423253079401266,-0.370661007901615,-0.540786467868989,-0.593298683226579,0.906046442928667,0.0598760114462502,0.0813709662721721,-0.294234915220849,-0.0619154593988198,-0.648556976953022,-0.31472496041354,-0.302094687673571,0.379011649256347,0.0828790213729663,0.581622180787453,-0.38123566229265,-0.756518636432863,-0.580733566327903,-0.111538807258556,0.728030992154836,-0.085194912662306,-0.460199434439941,-0.30057742118143,-0.730271167892305,-0.167804639243608,0.48941792810775,0.0521078497383126,0.160399244814661,-0.039351903681495,0.738767516453631,-0.524501720873126,-0.346002436675543,0.059824250304037,-0.290129629454364,0.238943173120893,-0.917722896684056,0.61680672877691,-0.507269556186901,0.043222463080907,0.0500547474768356,-0.227655124202212,0.106075246724512,0.417867394242753,0.446492827105439,-0.707784250337992,-0.129326403488649,-0.282252672650388,-0.620528522871275,0.121764444502788,0.125664566330933,-0.840550906576877,-0.414973670584744,-0.872947782276159,0.410084114326145
"AU",0.622313787290962,-0.534756659980312,-0.681636441922603,0.160954648025488,-0.503574402256687,0.616618371324402,1,0.571523906499439,0.693097763310825,0.721199450981181,0.718893408354756,0.878831856697337,0.468252320192342,0.446705442659258,0.736552101090919,0.729164341218978,0.299541469117262,0.400228298423241,0.156295771131268,0.499698626745727,0.89275038466686,-0.0222680452262799,-0.272299046448819,-0.566228173909384,0.722665669064684,0.119729574132161,0.360565611819298,-0.359475391198221,-0.0777218585085475,-0.165679235419214,-0.295877589215394,-0.389276029977487,-0.621229841753188,-0.621046925862764,-0.412791379819954,-0.293181896005657,0.293872221162768,0.0119313196059212,0.282721445511139,0.100373058808382,0.359946924294913,-0.261793307611893,0.188044956517986,0.14545791882508,0.153243744377147,-0.0472228031165418,-0.384223944708818,-0.252907867288359,0.467541349495918,0.134577290399623,-0.249889469292032,-0.177315654895857,0.0184132082390733,0.485767971940602,0.193450526627297,-0.0697043593428009,-0.0237703881743651,-0.105528203917997,-0.302316701079981,0.252934172833768,-0.401387563571235,-0.735775058075102,-0.185168340815649,-0.519568087487021,-0.0103055542499272,0.620297360798813,0.0430539250818147,-0.389252657822455,-0.363584076380553,-0.466400579057147,-0.104420808125039,-0.134934062197514,0.079743213772321,-0.400673436593135,-0.275309175783049,-0.251012933849886,0.414897057034435,-0.367281987940055,-0.152905098420851,-0.537482699553508,-0.381625245037998,-0.886721795613503,-0.444690210068013,-0.401591421961235,0.222511769537345,-0.319099817014956,0.16855107652038,-0.413983803622191,-0.596854334186444,-0.34134495681114,0.0619708518210218,0.495857380095759,0.27358364817317,-0.333612842851512,0.117284369478761,-0.598657136674435,0.132187482939918,0.192722523632043,-0.485057636255975,0.245034267110772,0.0851071111615374,0.568731396939403,-0.240040367727151,-0.567224515702606,-0.521419142182897,-0.295782324011463,0.0487916738487366,-0.591780109837057,-0.00674284565268954,-0.774861696558951,0.128076717815712,0.518150423279718,-0.0809727590855916,-0.32525808025365,0.777154326141679,0.540788027732757,-0.65526571400377,-0.177545743202419,0.00617754979961355,-0.422232927576383,-0.245556485538676,0.013997328715362,-0.250031118788528,-0.103306191419295,-0.490739412986795,0.301543149377855
"M2",0.679781064292763,0.0197287667387556,-0.467195198853885,0.767642623107367,0.0356636887582475,0.514065767025198,0.571523906499439,1,0.851429102311075,0.821767946514342,0.753789770351014,0.773632519193444,0.441432472700674,0.842328596216793,0.66183789609547,0.544664756622333,0.0231993281944577,0.0112748335965371,-0.105250070808499,-0.0423679282903701,0.616951618348841,-0.00808095550069831,-0.224245201530233,-0.532614162043323,0.709907926127375,-0.239358035336307,0.667469725848929,-0.636842354728881,-0.349741271266915,-0.519877401928856,-0.894377873083242,-0.56923266395061,-0.189702106452203,-0.34011201303138,-0.638669076681479,-0.689787616027727,-0.527717383146823,0.108126152030908,-0.287939753943119,-0.598547292343349,0.230747934283325,-0.43250488529935,0.1770334252493,-0.13560358500051,-0.554984063938352,0.0173090867787112,-0.656155597056062,0.253948271825875,0.337225009268233,0.285088383489653,-0.434632176386587,-0.437646180895508,-0.144439511437351,0.510154843872652,0.437443500266425,0.100164387348894,0.132241285804194,0.22477416072151,0.118905860388878,0.707124557664268,0.296232457359942,-0.676949007394989,-0.27332963639145,-0.598039529478498,-0.0859996666206804,0.295830547733313,-0.354667439511413,-0.75724613911229,-0.717293814927526,-0.702869453531394,-0.27770459137761,-0.337216840879742,-0.228765263309111,-0.119258327507025,-0.347327001625711,-0.689490540483657,0.368233605043561,-0.359722336545567,-0.138612269208042,-0.560820704691488,-0.320237878934059,-0.571337660689476,-0.612024591380087,-0.323103224191191,-0.047489644001579,0.064729862032184,-0.0526809224483871,-0.662141714011095,-0.244651187289737,-0.729775034925003,-0.455164245018341,0.817255235413095,0.327086035221938,-0.250023858990534,0.585861235625979,-0.673701737880506,-0.349063617366116,0.524364641044687,-0.149457801115738,0.568946704271819,0.592146580126339,0.403248712177977,-0.207856162498605,-0.071708929182395,0.0462190715297076,-0.458628653531027,0.122183243122772,-0.353720156268728,0.335809430506811,-0.153506951631753,0.742564084865049,0.071597222743177,0.0895017229869335,0.109866615984551,0.440142415102171,0.721315488744979,-0.644523380919425,-0.301434555882139,0.374488322208465,-0.244187656899799,-0.0825627840466912,-0.119681928702599,-0.376079481663844,0.247452092672653,-0.688659545660921,-0.0583153105550056
"M1",0.530057093561156,-0.327259753433904,-0.623940686095593,0.420112813599647,-0.41980409248124,0.700138820724183,0.693097763310825,0.851429102311075,1,0.855380637148825,0.858124515009972,0.89707033989434,0.647441707145429,0.623307666572403,0.481913077501497,0.482512045841688,0.234234492155274,0.136590111643443,-0.0828544114623459,0.147238491330958,0.736315076701563,-0.103254880214611,-0.36309361647007,-0.810287083896269,0.470995844431386,-0.0502471605460358,0.65320008321445,-0.71546275388668,-0.573712886779007,-0.618128402542995,-0.709212531618709,-0.724824343422095,-0.465848538082702,-0.567731245289941,-0.781170207461192,-0.855979096185405,-0.403868437950841,0.162239624026685,-0.17914107831541,-0.363653079128345,0.184096766349946,-0.305168278974079,0.18085458268644,-0.116700405222614,-0.385320417435396,0.0467299982409182,-0.74650948719151,0.26345781345968,0.328224627503151,0.109671898965304,-0.588600624675467,-0.60142317798349,-0.362589716523357,0.52985514755068,0.443049238050537,0.0685004186345769,0.136510629459525,0.228265192146023,0.196015288023816,0.599051607125678,0.249299820072217,-0.750880226554353,-0.148598173107068,-0.697877426134075,0.0160351448463778,0.392625900037102,-0.100851294864285,-0.423075504980677,-0.438310286077161,-0.432967394188253,-0.0802563182872206,-0.161159767153799,0.118539548733133,-0.145300259055711,-0.229593240170206,-0.698236468787285,0.482294791043273,-0.17153739642447,-0.0327546103940194,-0.77058231984167,-0.432898812845176,-0.830370584484835,-0.720860462054007,-0.643967039817649,0.0529014255907643,0.0904473435900171,0.117956688094575,-0.632017830207811,-0.518050518076769,-0.585113063255064,-0.131147360358816,0.891152739844829,0.311744275085219,-0.455458189978446,0.317013715444952,-0.724178412331444,-0.381027684992856,0.533488558984308,-0.00159305678672617,0.702052613911376,0.597303671304974,0.377279662597844,-0.167404431210753,-0.120587291235469,-0.0545036506699068,-0.130412746650636,0.372330462296905,-0.484211757228402,0.413795892249003,-0.422005525471927,0.608315255545278,-0.00878848436881158,-0.0513341112214694,-0.0400247831042086,0.219726801437504,0.756289866362935,-0.767803342780229,0.021848771716082,0.0328312241851951,-0.500147423028852,-0.017163506025631,-0.161721067095581,-0.49578991954041,0.139661185350894,-0.642993780846766,0.248149991079583
"S1",0.791649853719418,-0.440999761489402,-0.803147444848798,0.498360967256981,-0.243318215551199,0.826144197985207,0.721199450981181,0.821767946514342,0.855380637148825,1,0.967856443764162,0.937708419672168,0.730951222424924,0.761685766629686,0.712251382974557,0.825848183125768,0.267690426601615,0.473959243995072,0.188533783605675,0.278132022740971,0.855237803776699,-0.0420802740509703,-0.598129963447792,-0.826838155472707,0.737671958870123,-0.19696737486169,0.469074740337498,-0.495245848306449,-0.534676657638392,-0.701369052603688,-0.716723509863351,-0.802281696614341,-0.378602823047565,-0.350435445865474,-0.679453642719858,-0.568075815001385,-0.211090504458126,-0.0134393758270718,-0.310498386390718,-0.223731460593864,0.0502787594527548,-0.0879758155694133,0.106407819457908,-0.388734666594318,-0.291440083915703,-0.145984889812589,-0.578552659787219,-0.0594142298391873,0.140729389978776,0.111366146567675,-0.128014237691556,-0.162236530274764,-0.293636334514114,0.556261534807594,0.173513212464984,-0.234473173683164,-0.233308404964906,-0.080468894981668,-0.0437629443515857,0.392459438869006,-0.0443924588936139,-0.608162201166486,-0.444986205288887,-0.718132469109784,-0.332087287558879,0.313520128231604,-0.0391170396839192,-0.359596812468612,-0.41553451595652,-0.422659558645051,-0.336868625226789,0.00202551446941729,0.115449735384574,-0.481224716316261,-0.495076667813643,-0.727341353192445,0.361347260457004,-0.418182453249703,-0.319780258848647,-0.489968500063743,-0.365993518819681,-0.764701010810016,-0.69284558716094,-0.503162060310674,-0.0617929150383878,-0.0695361900769651,-0.0191052061432408,-0.733741717983063,-0.648237791753611,-0.486842628699786,-0.259627475804443,0.902516830692934,0.387465880425423,-0.472192815484174,0.143865049627306,-0.589985650720327,-0.430399128875359,0.706114508034902,-0.0090943552636244,0.356664182864051,0.405530941753808,0.653745278522709,-0.321999233624733,-0.356944584645008,-0.0793392915504996,-0.405701361165915,0.383815691389202,-0.756975543459892,0.664093919151709,-0.531249791384196,0.453564286615803,0.273296733029656,-0.262083626386784,-0.18390732032454,0.420405764397354,0.432534260159675,-0.670244199902338,-0.0938428558778264,0.0972790835546071,-0.286011317091098,0.191771467050908,0.256300041372856,-0.382361933138692,0.208964685249607,-0.607419992006107,0.269552704700183
