"","FP","PL","IL","dACC","Vacc","OA","AU","M2","M1","S1","SS","GA","AuA","RS","AA","ViA","TeAA","Prh","lpEC","Ech","VA","aOn","TT","DPA","PC","PAA","FC","IG","CA1","CA2","CA3","DG","proSub","Sub","Clst","dEPn","vEPn","LAn","BLA","BMe","CCA","PAn","aAA","CA","IAn","MAn","LSN","SFn","DLS","DMS","NACC.SHELL","NACC.CORE","FStr","OT","MGCn","Gpe","Gpi","SubInn","MSn","DBn","TnS","BNST","VALCT","VMT","VPLT","VPMT","PTTn","MGC","dLGC","LPT","PCT","PlnT","EnT","AVT","AMn","IADT","IMDT","MDT","SMT","pRE","PVT","PT","RE","XiT","Rh","CMT","PCn","CLT","RT","IGLLGC","vlLGC","subGn","MHb","LHb","SON","PVH","IPVH","ArH","ADPO","AVPO","AVPV","DMH","MePO","MPA","PSN","SPZ","SCN","AHN","SMN","MPO","VMHn","PHn","LHA","LPO","PSTN","STN","ZI","FF","TN","reSN","cSN","VTA","PAG","SCO","PreCN","APTN"
"FP",1,0.336430020051854,0.319230228739816,0.0230551244870866,-0.265878877103081,0.768446615118927,0.764633512722768,0.921146545885482,0.853882373257697,0.695992108477614,0.722127887107262,0.638665577642496,0.724006167425743,0.249238090995466,0.636183526775752,0.635050820787932,0.508371305773945,0.772557752883485,0.83403888367644,0.6600396813431,0.600257903046344,0.698217787393021,0.666780491237083,0.315426473795959,0.598681874537912,0.731273464278434,-0.177070659521785,-0.302238564439853,-0.545417271487778,-0.126875937923625,-0.760236024516218,-0.641670096441405,0.120155647921249,0.482392003276181,0.542141110941177,0.270201369724947,0.140986875750422,0.150721398254983,0.134622447265786,0.109235696857117,0.302590733441338,0.39553481532016,-0.0479833993278133,-0.0843301957532646,-0.159234590616866,0.486359062395042,-0.394460784247376,-0.805776888837454,0.333044897212584,-0.0918083915184344,0.81491916584051,-0.0564093992387883,-0.0926297022696951,0.651136675663974,0.0764326319871227,-0.280409263879846,-0.426885712871208,0.320293750579941,-0.259065157524472,0.0410902391720236,-0.626852880149514,-0.762729065868022,0.302037599636094,-0.386249795502042,0.433702488714258,0.462023667129511,0.726533633347603,0.528565180705255,-0.088785537336665,-0.365024316228174,0.246232753907474,0.329512809020358,0.18200342846999,-0.584854436031337,-0.238334240220915,0.0949649801157916,-0.429079338620154,-0.132475282054402,0.412858697005687,-0.907982971129066,-0.802410571318384,-0.813823860192356,-0.460724148520942,-0.449613281945283,0.666080820212621,0.29927127103865,0.44171767594537,0.162067791796931,-0.62077556818714,-0.569994856120282,-0.84936553071178,-0.584590391477055,-0.617400570277586,-0.541307632294278,0.0118820191559033,-0.904058322366427,-0.692350919529307,0.103991205004293,-0.648078923499869,-0.126297046301737,-0.550697619976185,-0.494426559301501,-0.727338201929998,-0.627822211850631,-0.742025808027979,-0.656096658373666,-0.108290836519442,-0.574291466635173,0.204178735443302,-0.562002288682573,0.582209458182118,-0.43101579611254,0.0165149545827272,-0.478261508855867,-0.283193110048884,-0.673026808521041,-0.776570340467652,0.029329319490829,0.176238384506609,0.666682592141938,0.743153904488772,0.64968344992731,0.0396670638115032,-0.386203209892866,-0.649531000249593,0.607549820931459
"PL",0.336430020051854,1,0.894524706755287,0.816976465322258,0.737192740835805,0.314526115574208,0.607562711989969,0.334860054710438,0.319124912029562,0.410664181488101,0.324225882204972,0.572845039887243,0.425560808238644,0.0509368700219053,0.262958835732369,0.138647306342078,0.204566024320197,0.447747998364981,-0.100422122850041,0.42675097923633,0.432089266822236,0.819163734231646,0.884654150755778,0.881976982758301,0.705779545656728,0.392838303381612,0.200764923768423,0.772734900564974,-0.623082138046595,-0.346856687283757,-0.248246064924257,0.3932949631321,-0.249994473278861,-0.424412240912848,0.66751505831539,0.163467690124972,-0.28189357035429,-0.569521646968917,-0.691420523135457,-0.483297281438489,-0.188267800952787,-0.547207484683888,0.245613550336196,0.0741362229535822,-0.324412927682226,0.213128630416115,0.507917485963929,0.152733168943313,-0.0661906479069882,0.316743922593762,0.374815216534572,0.417671436129297,0.763611284155911,0.0499131980514161,-0.633974721310861,0.0538693505205692,0.586447876043731,-0.66073854044348,-0.819496640240016,-0.838130591232681,0.417997825086535,0.207820458093974,-0.559320169119007,-0.553987468933656,-0.485073585232787,-0.630357687161312,-0.379263833385232,-0.427299786688243,-0.347720382953832,-0.766130016208948,-0.784600415067491,-0.59170852321292,-0.786868013874431,-0.337382290398765,-0.653088579827385,0.276060268238952,-0.488421104050655,-0.770149794775631,-0.563058451538783,-0.583522077154781,0.036696612297609,-0.106063980540664,-0.636906574806631,-0.401061792772917,-0.135519381387086,-0.234004510357672,-0.673787434309119,-0.771300747849174,-0.496085739172121,0.377708877760233,0.0760690387205425,-0.200506398183125,0.35629980027998,-0.260799577500439,0.553125751601106,-0.134139283023981,0.262145958751581,-0.388540292686839,0.0627112797686139,-0.223301362670567,-0.28968801403622,-0.736204990801835,0.143777660183437,-0.172413748920061,-0.152637176736495,-0.568402469338072,-0.422184488490516,-0.553910320217593,0.329138554105805,0.0951535579252716,-0.398089870782296,-0.488306363139644,-0.700563642829255,-0.0331118058160705,-0.146356802066393,0.342593779515455,-0.328636874042576,0.399693504869893,-0.0360597824077442,0.513398780742908,0.0117834861508009,-0.122355641687006,0.674787557635991,0.620298420130791,0.12959832263684,-0.162333135730903
"IL",0.319230228739816,0.894524706755287,1,0.700452580431505,0.6784501347828,0.234830413818962,0.622100365595324,0.267111954014901,0.226719850769027,0.231554911267638,0.178746240070358,0.454757756139638,0.373083458859951,-0.196753427846641,0.251531073131942,0.0943714939595922,0.165449145127186,0.292953090212293,-0.106647043758185,0.273549357209509,0.363806983115676,0.846902925445102,0.898977568389493,0.971261255118814,0.664280097016895,0.227709091900325,-0.0273164799318066,0.649013049273055,-0.789168983646472,-0.31826032016751,-0.280549398449736,0.345147765154581,-0.532286542188099,-0.531925046883394,0.705320750448332,0.485896949820696,0.0870764303587301,-0.475438357856301,-0.548480158340866,-0.356169652644982,-0.248318844731026,-0.377017284012762,-0.0403829010231986,0.375652848772752,-0.16300377310691,0.242568784357666,0.634468349378987,0.16787733034377,-0.0285200701955819,0.409343565804828,0.40001425396083,0.41799290502156,0.6191721553574,-0.180244359701219,-0.785898933126214,-0.101860041197701,0.516886873042528,-0.665911429021651,-0.850908752676775,-0.82343852551014,0.43297112421402,0.220472534530584,-0.209868196164345,-0.344501681554404,-0.179562022978309,-0.451311449507372,-0.333672829319916,-0.465157567057949,0.0883441426665287,-0.532502436511317,-0.643901785109205,-0.695359581477259,-0.717284395780245,-0.155278890392427,-0.412779340039709,0.105616213963779,-0.257432734148801,-0.477583091881492,-0.297823271078732,-0.521008409029316,0.207721272849897,-0.0152123280692499,-0.325783938263376,-0.0712144723382134,-0.0463138961549937,-0.00255856931622407,-0.527381501901665,-0.53919770841458,-0.22568671071437,0.43293361795077,0.101370790660183,-0.273680129961281,0.451844312435402,-0.551088031980234,0.541208278787011,-0.063088933854491,0.0180165319161585,-0.292765634200987,0.117151984158448,-0.167504246424003,-0.129743867115668,-0.840068637918698,0.180021418013451,-0.153796029129028,-0.204746998478462,-0.568581498517973,-0.513773001505997,-0.557420136166522,0.118800951547839,0.0553222405975075,-0.446846959809484,-0.622517707391968,-0.758633301272873,-0.208557402800086,-0.0900885156121837,0.298195807942152,-0.457622127060555,-0.0631615631288824,-0.183227476831142,0.261825399311347,-0.15913602875515,-0.278863918876639,0.434520026805972,0.682860088806483,0.188941430016317,-0.361477478625652
"dACC",0.0230551244870866,0.816976465322258,0.700452580431505,1,0.9269966790337,0.163185320652821,0.407482815619895,0.0963043146571553,0.0187102192005597,0.150055614738538,0.125320598875748,0.365919259006511,0.144281599665645,-0.0821643841475579,-0.0308529597989206,-0.0955377568996834,-0.0499568492198376,0.147975783864767,-0.366762211488394,0.112417690789898,0.289132740019975,0.553988523279618,0.649449670199683,0.772849399430771,0.492608490195632,0.0719617853488691,0.694451910242944,0.806871257878742,-0.502578763829945,-0.341350031415362,-0.121007083007004,0.503648018124242,-0.52288034756038,-0.639042852126513,0.610358611712738,0.0751489403897514,-0.544800401361293,-0.70023169497523,-0.802744446177442,-0.658213809255331,-0.623122300317964,-0.600079948777117,0.506936310097614,0.191137232110198,0.0172455053405293,0.0748278565119399,0.694046990411381,0.508040185473773,0.0436713487656679,0.474892865044458,0.0357312893053285,-0.0292103228763412,0.701649393324592,-0.143505185390594,-0.577150284205083,0.138917895045332,0.723449287880114,-0.765528182920865,-0.688982233900313,-0.774892981730877,0.597335232360191,0.538675451588371,-0.640376753245603,-0.430055253152225,-0.632344151667329,-0.70066569709402,-0.437154358104462,-0.691544007556347,-0.324309213707637,-0.61865618474427,-0.816136484897685,-0.649984629446278,-0.821260167879086,0.0882965919353983,-0.687455944590142,-0.133800589356401,-0.265777018918791,-0.660356174676191,-0.640922185948818,-0.286589528661109,0.310296778402573,0.147867485302365,-0.527620544261463,-0.0662298286763641,-0.137164210785583,-0.259381515065087,-0.76444185557215,-0.77604949690695,-0.307292917725418,0.720380617622045,0.37954978918775,0.0457833413834176,0.642482636029204,-0.0192538488473375,0.339400392043853,0.155933206215122,0.455684439891574,-0.829255310018782,0.3862473261664,0.108331207518868,0.03187290779637,-0.674228932258188,0.108256671506697,0.240301572357643,0.249873205515752,-0.330544530047714,-0.28635989474672,-0.0555832560458173,0.426900920985178,0.498409188287478,-0.563611702799338,-0.30287393335558,-0.500451998373828,0.358901935450246,-0.0120519472399654,0.355199609240484,-0.0864974134618558,0.10817529462967,-0.0330032746016034,0.205374316588932,-0.379151587254286,-0.457433389834544,0.384130897915931,0.651112881370291,0.532200273980759,-0.439911684967342
"Vacc",-0.265878877103081,0.737192740835805,0.6784501347828,0.9269966790337,1,-0.0992412791839598,0.227732052648922,-0.15813192357216,-0.191875538913291,-0.0126067575551555,-0.0425043744463454,0.210962509988476,-0.0283610671039062,-0.155793433559047,-0.115556920386945,-0.237047037137658,-0.135711990125002,-0.0399011032637326,-0.574930114814931,-0.000569362574407153,0.178760686266657,0.352791308456139,0.481192397968541,0.721228600322159,0.305665813622516,-0.229618824552335,0.593429103918159,0.909082585802134,-0.385222305557499,-0.347252672640718,0.0446643818239429,0.704873362557225,-0.515708374400995,-0.816759968201304,0.490034264057127,0.137154598076857,-0.410129859704997,-0.733155207184684,-0.777868810128456,-0.653123326580159,-0.681187288222618,-0.76003655547712,0.389980979658909,0.298876476668857,0.0448021770233999,-0.0446644741970364,0.7818627240272,0.697350043038315,-0.025320648721956,0.507090660597389,-0.105448741419444,0.109295771499595,0.778696398294898,-0.400746719619959,-0.703730334085887,0.245135494721843,0.869435483664261,-0.877587539575826,-0.667483854867505,-0.804293465077368,0.756847814262941,0.76527431983909,-0.675588820609973,-0.335098607322837,-0.700683644617666,-0.798256435557229,-0.67394103461755,-0.846839391467745,-0.216343198704442,-0.482913384518982,-0.872872567818678,-0.802321676325241,-0.864467370648929,0.301325682889587,-0.484889421100045,-0.0222667850144739,-0.0151074387726709,-0.552724774336035,-0.6923338656445,0.0127470206260777,0.594923721644899,0.410798097060784,-0.288874456806005,0.0308701891491555,-0.397178964747307,-0.295441298409051,-0.895962349546298,-0.770438854829315,-0.134928876645105,0.857349968140539,0.661333249689021,0.215056439555864,0.813429753419129,0.0323477246093009,0.423392924677596,0.402999819941872,0.580260795849711,-0.742497833340903,0.528938214618397,-0.00869618491734462,0.105017257639599,-0.575364970263876,0.388210679060934,0.296575935910855,0.348256214953981,-0.186559989121325,-0.350490759653237,-0.0502561203134253,-0.0678924475612253,0.511343757834675,-0.806270641525214,-0.307199376742114,-0.620328500921799,0.416397822967025,-0.0530316474673344,0.589834473026164,0.173406456139228,0.19287307125014,-0.215720036193685,-0.0416510718776844,-0.592851667640918,-0.66369921702797,0.445491501459952,0.79941612255192,0.668513921725684,-0.626365867034238
"OA",0.768446615118927,0.314526115574208,0.234830413818962,0.163185320652821,-0.0992412791839598,1,0.815990233569601,0.826049252609756,0.714239749024262,0.82798853810359,0.697623340928216,0.758520862430098,0.797384657557118,0.668805644930166,0.806007180369775,0.900656218516017,0.303147180659482,0.599609244325926,0.578417323690505,0.381062875777832,0.636220519635714,0.632636972536748,0.583218059269299,0.170984110124718,0.741119718463511,0.479279305082204,0.116867717306072,-0.207526139436386,-0.528994985119865,-0.302655233715991,-0.712829742912518,-0.697218893443608,0.278965420114585,0.283388600390013,0.605897278450924,0.386276884972308,0.102302818268797,-0.291876806803464,-0.172105914636371,-0.185894343983969,0.314319840605951,0.18405222636532,0.155392058209301,-0.0622082662205988,-0.464906924522644,0.0924816364513887,-0.322296344021613,-0.494438408817457,0.691858105889931,0.434235750096516,0.633097235862902,-0.0275047096380218,-0.142775737257379,0.752542513626051,-0.162772403187972,-0.483376194452628,-0.0273840806263971,-0.0117222447284066,-0.510964627774632,-0.100308300116769,-0.387217921544959,-0.624905060406794,0.092861996934743,-0.579138062760301,0.0833290579964284,0.319715307386253,0.614879098476212,0.126396971418062,-0.0502052445010288,-0.636176937018626,0.084685093711141,0.00551197408609459,0.0594816274558372,-0.362149766501465,-0.0502825949438956,0.134216025376575,-0.500356462871491,-0.315488639693354,0.274221206902079,-0.587385770047288,-0.549489430963313,-0.77604245640582,-0.23614842326214,-0.273448645316058,0.841558774878838,0.417505621591681,0.303367630993752,0.145610873362616,-0.74762386355056,-0.365242421389022,-0.739989979390392,-0.851058924843217,-0.4847309891398,-0.591883476916998,-0.110236464780854,-0.534108063293431,-0.483694314532385,-0.372807238683427,-0.829737929692997,-0.40384057666824,-0.693822750064351,-0.613773162234074,-0.63212683509986,-0.702224186803616,-0.757255123335023,-0.269395822896833,0.261067072667283,-0.286964789915729,0.202004871620224,-0.406422449672409,0.200923656070586,-0.583525217956592,-0.18088673750757,-0.565452325231524,-0.456383211286388,-0.455110327738923,-0.607063627458678,0.20680694023078,0.0739699807671599,0.401693574891557,0.385353253443161,0.351853297171434,-0.169870489983762,-0.289582229360721,-0.671466946363065,0.487723499023809
"AU",0.764633512722768,0.607562711989969,0.622100365595324,0.407482815619895,0.227732052648922,0.815990233569601,1,0.874005860094414,0.817837951204447,0.81899164449452,0.806740931905614,0.915532001635472,0.658249265643142,0.350652650934034,0.824447306320999,0.753338879960542,0.19586650100299,0.563836632963353,0.436917131557306,0.468028060541433,0.876780308625845,0.811941985304249,0.839907318138642,0.598289386124455,0.868247740910017,0.339970830602505,0.123782755280692,0.141832969308873,-0.862022124707767,-0.613104014706059,-0.880666110148367,-0.367439358951384,0.0227054762769039,0.070347972137744,0.930149458673022,0.563374803217412,0.163122588998519,-0.474382017713146,-0.36658115647403,-0.439014782835095,0.0299719171184083,-0.131038016395321,-0.0795822144151954,0.0565955438402231,-0.30672681184208,0.10512713467029,-0.0166503225257161,-0.351153828405408,0.611548771371123,0.39287712492177,0.865909315866927,0.0834624111895236,0.299983866382151,0.527264810666224,-0.514839361649485,-0.144269542245675,0.188969119957921,-0.288541618180389,-0.744924195496055,-0.440349578351338,-0.166428733010226,-0.312161251757251,0.00562282518695931,-0.744685497141337,0.104615519248271,0.138724679821409,0.458804865314825,-0.0199155247571088,0.0236935653991391,-0.70108905593485,-0.208124499706332,-0.224495830577538,-0.291461993362118,-0.183025025609665,-0.119410329950994,0.289434862891244,-0.223048208180985,-0.386660499738456,0.225090077170945,-0.695366290828824,-0.304655902939074,-0.465363498984014,-0.273109111876417,-0.306166704407175,0.623856202296989,0.503658297384679,0.0300120472693949,-0.0764663793697602,-0.729594920767487,-0.165563993404163,-0.474241118794182,-0.641173143924817,-0.154338899895929,-0.731503282018483,0.423155484103373,-0.570223659170839,-0.456637045527149,-0.465161464175941,-0.435857272383617,-0.399675697627542,-0.693477747256005,-0.932413411008954,-0.416121663758967,-0.680001784507418,-0.729850545613087,-0.762844340756191,-0.384183293625858,-0.62610273869089,-0.0211518455711195,-0.486171042794872,-0.0266723484078546,-0.866721842455709,-0.522490151793511,-0.386707468902144,-0.623330045575897,-0.262424013267425,-0.660440895300029,0.063845138002805,0.0670157856649325,0.45136077470016,0.251829287080701,0.188449098189981,0.247914167154761,0.09853790804199,-0.406677654226983,0.318902002603512
"M2",0.921146545885482,0.334860054710438,0.267111954014901,0.0963043146571553,-0.15813192357216,0.826049252609756,0.874005860094414,1,0.965958913127105,0.870243712215908,0.922746666979981,0.843257496075457,0.653230632714607,0.419442896597785,0.800418601910332,0.774342009857553,0.322980325781785,0.706115120749162,0.747083294767484,0.62672559599398,0.846638670389337,0.616216980928072,0.623995466341365,0.275037304781309,0.674575120813577,0.52683317439515,0.0544408660507925,-0.199098313407178,-0.599247733894382,-0.441829117843711,-0.922298335814296,-0.62181192136383,0.272697777475697,0.486195837639884,0.707550655938722,0.29651307493474,0.0787596386779622,-0.114981149023115,-0.0362358449643379,-0.189328082614959,0.218212654634023,0.143453659466695,-0.0594877656154726,-0.198379260982494,-0.219192395867137,0.234412973290584,-0.428042510961252,-0.701682366224308,0.564609116172405,0.00912638288140035,0.915984065438837,-0.10730845334658,0.0646734390268997,0.764341415764833,-0.0473124199772782,-0.0676706164807697,-0.234037001129063,0.173413449811928,-0.349942557372581,-0.0372342258168664,-0.566870273766157,-0.621655209084502,0.138481272794591,-0.663770711616738,0.305246326141159,0.427484107411522,0.757238280542081,0.428250860429914,-0.157221309020673,-0.522847931281785,0.136659017257455,0.269132392489853,0.0783862962301037,-0.368571434570762,-0.117592138167122,0.278666879528852,-0.278228088940234,-0.226464901524698,0.428493506952725,-0.854408061339435,-0.691737243315744,-0.681010014429686,-0.385208469058752,-0.514380781727516,0.747629227492049,0.460748562291246,0.361740473690518,0.124816844781376,-0.792993797063977,-0.550547000852462,-0.742216067833328,-0.549474917952176,-0.549719612420116,-0.522782667945209,0.175567323060008,-0.870511657068346,-0.65564076053612,-0.197483813317127,-0.618056010347355,-0.285824327250889,-0.749462052935292,-0.676816349293272,-0.686608279728931,-0.731559324903369,-0.785541131784563,-0.722736929746212,-0.253603150807781,-0.603508209658993,0.028437895310429,-0.667229995316597,0.43535361249255,-0.606705948603144,-0.117405400425288,-0.336916432270104,-0.597036061066575,-0.620027637322748,-0.650473106423509,0.124716280903664,0.250577985628091,0.657164461345737,0.664271704310174,0.603880360275521,0.184630903542243,-0.324023397871675,-0.638457646848126,0.687672485083519
"M1",0.853882373257697,0.319124912029562,0.226719850769027,0.0187102192005597,-0.191875538913291,0.714239749024262,0.817837951204447,0.965958913127105,1,0.875449447534823,0.949771049630215,0.867025517289989,0.522226834719443,0.41110227605013,0.795354170947571,0.734716227911888,0.213191191699,0.634512106024097,0.677218800439277,0.611603249431806,0.875275660950803,0.544803788407636,0.552892375669131,0.233031110290784,0.657243084664213,0.506582997957269,-0.0216451575092026,-0.135940500235051,-0.548910243181081,-0.541865743658773,-0.886156745324362,-0.519508893183258,0.394133021234556,0.577286167761062,0.664030481081324,0.184956621780657,0.0710547290928289,-0.126878556850874,-0.0625159315687598,-0.247571445766713,0.312775437136113,0.0212870775244088,-0.199762290608766,-0.370118234958572,-0.302389341512247,0.106327328268296,-0.456194176862759,-0.687506595797569,0.459190874401554,-0.138280901791245,0.951937010953441,0.0251018849312697,0.179432537535652,0.795309803433584,-0.041841191410798,0.120915086904678,-0.21938913397307,0.170617307529942,-0.300763195352274,-0.0706152857828476,-0.526444053237197,-0.571452087005946,0.0597198619072521,-0.734127954726043,0.286530115388872,0.368789296861599,0.669650839411157,0.498951478927586,-0.219224722949759,-0.538289079507519,0.0784319191286282,0.313371575120924,0.0277560198088545,-0.393780198994974,-0.0731342825589977,0.474808411622116,-0.248265080496988,-0.28382440261775,0.402290354072956,-0.884336249400466,-0.667450099727835,-0.529590925497143,-0.381651301261403,-0.623976213246271,0.656838440796698,0.469775004934096,0.309473606652696,0.047794656293466,-0.787972094174058,-0.632289911327843,-0.69026902643716,-0.453679713814178,-0.542387051247905,-0.444361866184154,0.357563257670422,-0.870475719497941,-0.597613665715945,-0.151186894285918,-0.5135798790468,-0.352263852353164,-0.808437336573194,-0.663825955253661,-0.531512126312156,-0.763764231267375,-0.772010731258063,-0.768132336813847,-0.447599860281371,-0.715852204080158,0.013431032718088,-0.767546902051675,0.45274895657705,-0.589903694749845,-0.181376075645522,-0.279414785922902,-0.668868027247402,-0.516380333220289,-0.593182077268238,0.200783765823132,0.396870948290038,0.712949246556163,0.707973641088562,0.667964931906132,0.380136025689883,-0.260561690735518,-0.654011982693697,0.778580675723313
"S1",0.695992108477614,0.410664181488101,0.231554911267638,0.150055614738538,-0.0126067575551555,0.82798853810359,0.81899164449452,0.870243712215908,0.875449447534823,1,0.930221761218224,0.911789464571314,0.703224745074936,0.755235283815711,0.913718213192651,0.88439678651712,0.304887074156074,0.698039200987436,0.557719186228744,0.631449834870814,0.863921374711696,0.504924502624839,0.538994275991149,0.16970560757558,0.680413215103271,0.365788303310461,0.169736407592738,0.00975753435559992,-0.436911664647616,-0.528941953806261,-0.791562766224827,-0.485106173145894,0.606443567518118,0.344277063332788,0.648311088153728,0.250567166742029,0.01573744905245,-0.37009892773216,-0.213508966236379,-0.339176180877051,0.317814361030035,-0.177522699950788,0.0786127938651836,-0.282652941458987,-0.529325546153842,0.0213837894139784,-0.450238636029635,-0.522476869703458,0.630837106529808,0.200534723643781,0.804382806557637,0.147594704077235,0.221716190232271,0.785311695542232,-0.198840661923923,-0.0246235006314928,0.0872112454940571,-0.0492239741169359,-0.493039472251321,-0.162969377632535,-0.391917741878454,-0.478148106567228,-0.190419331494487,-0.842385879079327,-0.0779355571526646,0.181402407153163,0.575575496397202,0.193731690177436,-0.34166816429858,-0.737125848107526,-0.0715421683220381,0.0538365205101558,-0.0521488392251123,-0.334150000254887,-0.0260337174148509,0.614830652260971,-0.436040902706666,-0.441644877475146,0.150669463688804,-0.770601418033893,-0.532938345110618,-0.559838467635535,-0.33084737545696,-0.668357108829544,0.670923347752218,0.321531669285539,0.0691928439372725,-0.105971772102877,-0.956181572434242,-0.45518882096846,-0.562106018722432,-0.566817251727473,-0.490350027184521,-0.404415467692861,0.242141012566953,-0.632939778746507,-0.420998127386602,-0.428159330084655,-0.662682288004746,-0.653658503719464,-0.956478576938895,-0.836162251053923,-0.444409646748345,-0.860469102736446,-0.809363025129427,-0.460571705767771,-0.155666348869206,-0.620213097567892,-0.0746972737012071,-0.669175672982086,0.0966948060989089,-0.666714731170019,-0.337673217447075,-0.34267749082221,-0.786651796200735,-0.345108191996097,-0.344844330134641,0.531510183429323,0.107705285882018,0.552563784924439,0.47733060272613,0.409230182868612,0.304063814367866,-0.20566144031206,-0.689155435352793,0.665073932206493
