"","FP","PL","IL","dACC","Vacc","OA","AU","M2","M1","S1","SS","GA","AuA","RS","AA","ViA","TeAA","Prh","lpEC","Ech","VA","aOn","TT","DPA","PC","PAA","FC","IG","CA1","CA2","CA3","DG","proSub","Sub","Clst","dEPn","vEPn","LAn","BLA","BMe","CCA","PAn","aAA","CA","IAn","MAn","LSN","SFn","DLS","DMS","NACC.SHELL","NACC.CORE","FStr","OT","MGCn","Gpe","Gpi","SubInn","MSn","DBn","TnS","BNST","VALCT","VMT","VPLT","VPMT","PTTn","MGC","dLGC","LPT","PCT","PlnT","EnT","AVT","AMn","IADT","IMDT","MDT","SMT","pRE","PVT","PT","RE","XiT","Rh","CMT","PCn","CLT","RT","IGLLGC","vlLGC","subGn","MHb","LHb","SON","PVH","IPVH","ArH","ADPO","AVPO","AVPV","DMH","MePO","MPA","PSN","SPZ","SCN","AHN","SMN","MPO","VMHn","PHn","LHA","LPO","PSTN","STN","ZI","FF","TN","reSN","cSN","VTA","PAG","SCO","PreCN","APTN"
"FP",1,0.152210454688129,-0.03560324901893,-0.113592130727362,-0.478499546885912,0.597809143035646,0.651095747524823,0.655289332075123,0.759731402077984,0.604314868127854,0.685381649991515,0.349704794783376,-0.371293428829702,-0.488058350131035,-0.0641300361481849,-0.36088052989935,-0.421091253595671,0.468577446184044,0.0356245221537939,0.191271948915453,0.813461772577114,-0.19815334522946,0.374974857864893,0.0425022703779235,-0.152999604517149,-0.0481525403214492,-0.479795868069268,-0.215930420756554,-0.672442981989858,-0.470372375077247,-0.771866821536029,-0.419901747566418,-0.263113960474042,-0.181902648042527,0.159182863547166,-0.452440053047189,-0.0802675387492974,-0.52805715479499,-0.203779338952544,-0.0958381022864212,-0.195726533361899,0.11505799947492,0.447085365893921,0.373724268668576,-0.207030952569495,0.0639924853083079,-0.137505078143193,-0.38384647611635,0.657105507409995,-0.342177387188755,0.0123975040893436,-0.0542993595731453,0.529890386595516,0.0253764165362643,0.272997809678364,0.356466520068343,0.29769103124744,0.592107123729547,-0.25189609853725,-0.173515222266567,0.122731847817525,0.119849087753276,-0.54368415717048,-0.295252419993698,-0.00417342266016795,0.439282632348768,0.220573929639344,0.524714620137704,-0.483845948657263,-0.563055971325718,0.414909211322365,0.256795569299285,0.368988814086724,-0.147305655741776,-0.547965951308078,0.437172923986088,0.226421564012079,-0.250381996331353,0.349661998165553,-0.596530485629536,-0.753690826276591,0.507623216720731,0.00359869867964365,0.407493007274495,0.601357828415383,0.266675171073428,0.780871880673216,0.2780716490925,-0.294330447786067,-0.666877822706375,-0.806267737687236,0.0118109089175544,-0.708815260696127,-0.712358235934636,-0.213342014398167,-0.501452202104068,-0.0184520432097823,-0.337765094330777,-0.562446853198736,-0.886726244020916,-0.664170654912813,-0.414853034151216,-0.894748019634759,-0.176260010599032,-0.339344646561918,-0.0180856951177308,0.574162111104387,0.059976185288127,0.214887430015762,0.632151135438833,-0.507283228186784,-0.161253847612398,0.623629274093332,0.51402186568839,0.682870050193389,0.73133429067517,0.284742813896222,0.529517577564174,0.153089891973068,0.329379470507914,0.446554021755863,0.357882570731716,0.150159209474956,-0.715797972917961,-0.435083406417445,0.497236619216421
"PL",0.152210454688129,1,0.888624331514763,0.723762140906975,0.552769632931574,0.593372461998731,0.420115802118286,0.627240780555087,0.570271806864741,0.623029705099765,0.466207458650757,0.622959261729623,-0.127856040048203,0.413494030807479,-0.206675263455282,-0.34041536289381,-0.251066955340386,0.0696144339494404,-0.317584383445421,0.319649455099674,0.205986054599178,-0.468881441364272,0.548339821854701,0.926052838417125,0.813815736491825,0.139505187412378,-0.296406977727949,-0.212610200123122,-0.467423315611688,-0.317667039076766,-0.218943830260926,0.0751177546585088,-0.577162437942733,-0.715404857768765,0.649437081522583,-0.206902183635141,-0.522684330660374,-0.449173414576446,-0.640569641417592,-0.63785674163547,-0.216523791082299,-0.695642783353971,0.0174802668619865,-0.538453093312808,-0.690005108206065,0.00878789149659612,0.581200771382289,0.812549034488558,0.728886795762381,0.668417415137756,-0.268290432741957,-0.455647637683794,-0.00798284057078744,0.342775160952353,0.0722801727171632,0.534769419894993,0.599931118415036,0.260256789126434,0.0294575271324296,0.0697032418855805,0.667330590220191,0.730648497677287,0.115476725028943,-0.296883152300281,0.262236695778873,0.0995173846577513,-0.689147628857466,-0.271280958853848,0.331418260799401,-0.337890951931456,-0.0011442468694366,-0.45224433227361,-0.696528037031885,-0.191623308378943,-0.0433323762506896,0.227918310986666,-0.575816974206555,-0.350387794413227,-0.318200427327627,-0.266958629227425,-0.338305824111477,-0.227862648330278,-0.246461703457425,-0.421549382372149,-0.377470167398393,-0.430383068972329,0.344667556737433,-0.505509536915825,0.0405927851430972,-0.765119998825083,-0.49791687410732,-0.707259507979164,0.0990999056886172,0.0549174237835536,0.471390022384082,-0.681783784553985,-0.839265052048791,0.561936072847279,0.228043936112979,-0.134695366275969,-0.24777527992661,-0.55873773812042,-0.103502370160494,-0.547897199645747,-0.383212813607869,-0.824806037710699,0.19904539025376,-0.885002245526733,-0.0966288204720058,-0.459414639547967,-0.213513441079068,-0.813622285311869,-0.400567011363381,-0.311993376135987,0.103007454133886,0.208380918473465,-0.24435249571271,0.037731921900755,-0.0102792811237421,0.511887061220403,0.478730279640307,0.323484061496498,-0.48728601486762,0.23215701276263,-0.0878149066602146,0.20420686758225
"IL",-0.03560324901893,0.888624331514763,1,0.499549325874837,0.417143350328761,0.261813256491217,0.119106648656009,0.36706247858281,0.302949235602405,0.376968378208256,0.274982301372385,0.47333442533062,-0.205254733806991,0.594087719247052,-0.0784474920676951,-0.506847149639288,-0.234112196517907,-0.0538406607843336,-0.307499930126326,0.252514836586898,-0.0156051577079488,-0.365072480377396,0.617774182954409,0.920242699960249,0.622837595828098,0.0594486669861055,0.0378527749524083,0.0852059154192963,-0.426049196486191,-0.306472889529534,-0.145981942745532,0.352522706272969,-0.521767198214308,-0.633139020293518,0.260125513477605,-0.208909640824002,-0.716872342947083,-0.317863524291826,-0.7796583038725,-0.786374337447068,-0.360004546658333,-0.699571672913013,0.109169959698781,-0.510356790080397,-0.69039448292503,0.159397393329938,0.468450032880281,0.712386432490258,0.397633412267414,0.531862189126287,-0.149898583823569,-0.338466149579246,-0.0692496938763918,0.612360298242974,0.259164041704479,0.344350340727287,0.313606309698355,0.187084660658298,0.245667191105456,0.278020320698582,0.412279427893385,0.596230489538727,0.153604778813617,-0.274063195037132,0.0719573906550927,0.00279100280793513,-0.824658268002251,-0.31149302244246,0.575565750723616,-0.0491473565798123,0.00864577148208539,-0.411459935143659,-0.810795637980673,-0.432589200046742,-0.124342092565866,0.277680200420648,-0.680781624749244,-0.388428191406048,-0.255633640092439,-0.282887515016346,-0.171968660709441,-0.39171675232183,-0.473722955102656,-0.748483657121016,-0.581101732150504,-0.676956264551635,0.173012660747315,-0.499819875549301,-0.179304489570761,-0.62747549826705,-0.471288161420366,-0.900781611606981,0.278257312232744,0.322682998399856,0.620805483193127,-0.651997720723588,-0.619220108345162,0.758488576942729,0.164577836377804,0.0396661929525101,0.0260678905471623,-0.143155112534459,0.0101809783199857,-0.361250133784659,-0.590551434013856,-0.624587517551668,0.393717789864003,-0.714852527425677,0.119679942827496,-0.573334705153572,0.217100675596428,-0.536436098791924,-0.398420864817097,-0.326625288842696,0.0413788233441817,0.316140557916299,-0.451355703701158,-0.124200986038647,0.347482289843735,0.593024115417943,0.365864686856955,0.371306070979887,-0.333211881658515,0.57715439141379,-0.108079109226914,-0.0691769185764606
"dACC",-0.113592130727362,0.723762140906975,0.499549325874837,1,0.900350898379865,0.560924558028204,0.290543254339427,0.566791551261161,0.348623702222051,0.523481847976448,0.314347728986525,0.324194024924336,0.0354161235242063,0.304746850943469,0.0988558596446408,0.0955339046351228,-0.174780919528857,-0.341775390138096,-0.56395601119249,-0.166415614934007,0.0321440302912937,-0.610576392600382,0.293330150410238,0.643723329977558,0.905420105287013,0.0451076025784579,-0.263076201141251,-0.25153671680847,-0.131702880088206,-0.261809922223423,-0.0977598571536921,0.0195601701957998,-0.249294728994099,-0.418043587401332,0.686418505841484,0.341307598119353,-0.244206143622132,-0.233978494030249,-0.256693958877233,-0.394079714420823,-0.270974904095061,-0.795346570173858,-0.184488871791803,-0.541045639816547,-0.257983639599339,-0.274647256500191,0.667134323707613,0.758728480560341,0.568025782912765,0.630738662623625,-0.448192908393948,-0.527489404232945,0.169486425587169,-0.0199379865128655,-0.127645516592055,0.67450858035989,0.768867371228772,0.091197984756465,0.0472160539991575,-0.0868743087875437,0.390634063719397,0.284679742059162,0.124314990680958,-0.00811059154537831,0.724092292916843,0.408173704735741,-0.109745343130252,-0.688344927634308,0.263846487473835,-0.0223882565487594,0.244352798215554,-0.0268614085917821,-0.286642330929451,0.418461193703116,0.590987828651483,-0.264572083799894,-0.670901089312151,-0.402101211085154,-0.785193078340445,0.0950374845584637,-0.313700921079008,-0.306413700874554,0.194741100527009,-0.135110917992701,-0.377399069258221,-0.352156536025111,-0.00767553087372446,-0.224893614222164,0.566820249085731,-0.332423337261033,-0.0844559212835028,-0.265743888766314,0.100887672469934,-0.0295241115836083,0.326551970273675,-0.4179589595862,-0.727652101515953,0.156175584498045,0.604929351881399,0.167801161649994,-0.157163179123303,-0.582443876649879,0.220672668195131,-0.531213472493129,-0.0793113766658338,-0.631650843833808,-0.409222900615766,-0.783137696871265,-0.459743446839454,-0.649886615810565,-0.368498564409883,-0.701642872836133,-0.298948941992162,-0.396935269455195,0.083371767962956,-0.272711763312256,0.200143949788411,0.174737725586992,-0.64315676531456,-0.188267945609764,-0.0881510496995539,-0.350246172658547,-0.547340271887621,0.0233767959580015,0.0660984774908255,0.59598445439459
"Vacc",-0.478499546885912,0.552769632931574,0.417143350328761,0.900350898379865,1,0.182923651708486,-0.0864696761372721,0.243842837471457,0.0266810798656877,0.212831091554864,-0.021176441568196,0.147131617193796,0.130966331639065,0.407608453488562,-0.0359963618734774,0.244660922683923,-0.0190564189955356,-0.549940313509144,-0.580240910044159,-0.237269146625914,-0.337964140858302,-0.404659212026894,0.0405357780498736,0.534535650811819,0.771415119625479,0.162623785461668,-0.114860447955493,-0.202523110858373,0.133125223280969,-0.0232505725181456,0.204223367102924,0.113684726248567,-0.0503070836982767,-0.270747399612425,0.521036225550549,0.344090808582322,-0.214144323569554,-0.0684580545877664,-0.163672474662836,-0.327582628708399,-0.182160211097377,-0.662021903386702,-0.425652472771545,-0.708254811931157,-0.218795156300716,-0.156110411646564,0.658670808060894,0.794722149167505,0.211154616457706,0.650630617861768,-0.412900231200165,-0.28078930296963,-0.0683709272751013,-0.00523996422696331,-0.189296491268693,0.471659981817405,0.561480374599409,-0.215330069242978,0.11434254203094,-0.0391622007633419,0.282747603393318,0.244498290623178,0.448404126960896,0.259904255571123,0.687700915489339,0.213058409501605,-0.216637393712113,-0.781330495385378,0.504063653684899,0.201317487176497,0.0480212344362901,-0.197053466984923,-0.40403941487167,0.445117135937026,0.749610646528395,-0.421624538001278,-0.590014845163773,-0.108293816563425,-0.737185521183548,0.333296810247412,0.0319071223849238,-0.357758448744355,0.17262926255508,-0.25480049142538,-0.540921912300901,-0.388777077039922,-0.284012954967125,-0.227483068144312,0.5885257334135,0.00757653176980976,0.274948563457198,-0.131681499851299,0.392305287777394,0.333320586066763,0.275263829012107,-0.205825787128186,-0.644201077222666,0.242485954020674,0.817944860226972,0.413100941000138,0.0650309022248618,-0.381965480534675,0.621825603754438,-0.281310747518191,0.0781757163658768,-0.608084858983768,-0.643818620507264,-0.751893109212209,-0.467358381580982,-0.845544269534137,-0.209617358881698,-0.527846697478853,-0.44199250603894,-0.388796572827149,-0.127985889352087,-0.483588458431053,0.140482824943548,0.0173462417374047,-0.676141177642274,-0.324992318951917,-0.16563350373258,-0.430578938120694,-0.52860327250131,0.33175764212255,0.164959769805617,0.279271842801902
"OA",0.597809143035646,0.593372461998731,0.261813256491217,0.560924558028204,0.182923651708486,1,0.818907272554375,0.804313386707795,0.786315884393039,0.872055551988144,0.811265310680008,0.641644451519653,-0.0876493142478325,-0.0752599293624263,0.0902617986445529,-0.25618751012288,-0.345338840847532,0.300892084509737,-0.130823975221911,0.118749822981168,0.768334481374389,-0.566498167884085,0.353698958594569,0.384830549192891,0.628409778633037,0.0244179259244592,-0.641471663222248,-0.489490474618921,-0.555780211319256,-0.535437816144031,-0.510018034194744,-0.449009770999971,-0.629856726868452,-0.576674913413508,0.737010679182494,0.00980284472355343,-0.0643598715687877,-0.493304168229762,-0.239836638236226,-0.181867603686556,-0.0390483623054837,-0.468213507266386,0.387977943728645,0.0719034358791184,-0.23082429579319,-0.409691899002248,0.162671423320554,0.287535872935833,0.945455615966695,0.338379717166825,-0.20900918071784,-0.591855683023494,0.445723474612831,-0.0964969359953447,0.0226751779583637,0.562672071758769,0.642246438696461,0.67148875238699,-0.0720713999730414,-0.047998173593061,0.496311974839292,0.333407229190733,-0.354789055545323,-0.432429905974764,0.225045918245995,0.344678304639931,0.109018984789868,0.00918780332831733,-0.410329282363111,-0.660962900526169,0.183484783714347,0.0478536543370871,0.0363775284073723,0.195940996489904,-0.0311947963926495,0.213898453032718,-0.192489970455512,-0.442107575365433,-0.32202796971491,-0.324049238241341,-0.712866764431647,-0.0759506067950939,0.0701017408587584,0.324389205144934,0.219499864697715,0.186569057605546,0.63725562954811,-0.0835227238577616,0.323781758978794,-0.792540545182226,-0.535222875825098,-0.233462287400556,-0.531333644141413,-0.646578148000058,0.0918349052302161,-0.449768251960129,-0.477291582376331,-0.0382157926982137,-0.136130131620855,-0.321591207033071,-0.396611539871889,-0.797657564879026,-0.638403525504146,-0.556654107614008,0.0728425668426204,-0.418684261558832,0.142720855601685,-0.364349476135849,-0.396282748009491,0.351253566674357,-0.496730453907188,-0.781454982397805,0.0148080131890549,-0.144436655665866,0.225752489856701,0.188359583177947,0.141788883322624,0.249604702241109,-0.259356582642888,0.215511869466119,0.218499792455855,-0.0127895767528558,-0.450311700259434,-0.697212338055245,-0.0974781306405496,0.604646809311845
"AU",0.651095747524823,0.420115802118286,0.119106648656009,0.290543254339427,-0.0864696761372721,0.818907272554375,1,0.51163247286584,0.547752120557259,0.561260516418784,0.617965021507459,0.434461660256605,0.258767842062942,-0.0979655047727537,0.102325033538417,0.0223555518545169,0.117438358430338,0.678876067728664,0.354059554887625,0.519176912809831,0.773420959503792,-0.439827537126183,0.2529329173987,0.158558437907767,0.430197441722789,-0.0405998790407463,-0.312514779621766,-0.0891208017254264,-0.217338240947654,-0.121710433636993,-0.242607559830536,-0.132771204259404,-0.158784435567554,-0.106471537667617,0.672878969890089,0.00426336152042218,0.310454221628968,-0.0692833505803749,0.115460842999576,0.193015477647111,0.260899583962508,-0.166825511936188,0.212705119726745,0.354341349675174,0.0683576363938321,-0.102250761768376,0.0598786086564627,0.132427509539744,0.810784596313306,0.0829303704984874,-0.345685497201082,-0.702230454115848,0.165471355451208,-0.436146371954154,-0.370874426809173,0.191541566446822,0.379071238369623,0.312973436535116,-0.558827894067538,-0.498721343171168,0.537401222210571,0.249315410589915,-0.665579679740003,-0.508507029031933,-4.0147063874841e-05,0.103659677898702,0.267873930597,0.362614446527693,-0.597295315258635,-0.548677464293187,0.104543956037649,0.212971952783568,0.144207251356616,0.107183639960265,-0.333806044167454,0.0711842654826808,0.0121906192038248,-0.407111019974627,0.0107643554345909,-0.159584593761102,-0.406503659816216,0.207318977038073,0.386916811512212,0.45399085361946,0.244684080692598,0.326224359066056,0.532761468930632,-0.358368864778052,-0.10667432945213,-0.646889643168194,-0.632315522183374,-0.0719526402541491,-0.323435850889341,-0.848298685851387,-0.336085635670423,-0.359970342892468,-0.0348074058601478,-0.444145308705048,-0.462632548232495,-0.903158042229268,-0.69677193457821,-0.483929914580579,-0.82825858893937,-0.779289779793577,-0.200521309337554,-0.181108445729035,0.442915703191429,0.0443822635687199,0.187848814105353,0.636646101522284,-0.654929490326527,-0.475502192695832,-0.0459985485098875,-0.245732638213175,0.142485615034676,0.159275631043629,-0.0751687862870323,0.0729416615416963,0.0146826056136875,0.38458632203431,0.31439131189603,0.346299212047534,0.165261064913247,-0.765712945265516,0.20003030619565,0.509838325632204
"M2",0.655289332075123,0.627240780555087,0.36706247858281,0.566791551261161,0.243842837471457,0.804313386707795,0.51163247286584,1,0.946534462962364,0.806707807194385,0.650044549587646,0.421388159291027,-0.578603268367938,-0.316832628874238,-0.100578579066955,-0.325900032749398,-0.725800613627504,0.0430997206539703,-0.528703555417205,-0.102126323519484,0.501021943180904,-0.35197808927401,0.642171846279206,0.603258831493819,0.474422133840408,-0.158355288711681,-0.627373482827301,-0.507143692767367,-0.773138802273393,-0.629956025483743,-0.80283248712744,-0.411106263733865,-0.527979105174191,-0.500630140230769,0.512886021676133,-0.180846114068775,-0.4315138591359,-0.798505940516659,-0.500243075528261,-0.510088351940589,-0.493833981761551,-0.429563688099681,0.212020709895334,-0.291759369715164,-0.568607517202923,-0.350173861128459,0.472691137857122,0.256800757588109,0.86705698700954,0.331594346324332,0.0464761044707007,-0.181175719184268,0.50336656408882,0.259316127048378,0.368723131493322,0.901598634124081,0.866504680379429,0.651324729236401,0.0842715002095512,0.119814280417203,0.381305696687522,0.402675617407808,-0.140620631673304,-0.34657451435576,0.539263078020265,0.63023781246353,-0.018032642733482,-0.201023312438007,-0.158882669711151,-0.549275857210492,0.45567448748477,0.0504132051792148,-0.0127717263873299,-0.0348775374446667,-0.047410551363087,0.446085650208014,-0.3609702046836,-0.454666058096486,-0.303867542511243,-0.657271622988508,-0.890724690304156,0.173930012431896,-0.181338939093666,0.0333860653293382,0.339057916483455,-0.189216216015696,0.538858645124941,0.162210051857694,0.302351839451287,-0.749570656319979,-0.602224742863872,-0.190497685707796,-0.650984970635605,-0.370473986366484,0.336878762280569,-0.566579816500944,-0.658524127394695,0.0261493571256407,-0.0987531404488146,-0.375628922258662,-0.419245773110895,-0.711930934665833,-0.575701338677951,-0.332332426817072,-0.223495724981251,-0.556660718520153,0.148441962056051,-0.520801626302638,-0.277692707678552,0.0247168487528448,-0.474041955343124,-0.654204474839749,0.315473113744606,0.205041240636482,0.67041387546999,0.40703817582673,0.479035315002997,0.700123343897708,-0.270994683404521,0.0869638911393937,0.327080395026981,0.132464759007433,-0.373853502157206,-0.491855210917136,-0.601184495871269,0.743618969392102
"M1",0.759731402077984,0.570271806864741,0.302949235602405,0.348623702222051,0.0266810798656877,0.786315884393039,0.547752120557259,0.946534462962364,1,0.791208175872479,0.663045372464605,0.505121668392173,-0.575129444853776,-0.401886252340274,-0.307132978854032,-0.390450481654365,-0.694804568181083,0.25752035883311,-0.334310662973115,0.0918014222532448,0.586084013976771,-0.182020467412947,0.548143824534746,0.522679055547425,0.323294036010231,-0.0573238411951575,-0.736949314812623,-0.610177828456884,-0.820411228595063,-0.561543166653702,-0.781816553482311,-0.54630958712291,-0.590428176483386,-0.537942529786754,0.514801722986003,-0.419520715261689,-0.364507034998229,-0.853694153384794,-0.482971252371755,-0.412224437966671,-0.307839256351343,-0.201742800162673,0.246337373344773,-0.216807017170666,-0.640360679184379,-0.283213036676263,0.327292184477113,0.171141108341949,0.87914263955857,0.298256320085836,0.165671843366486,-0.0512188991663075,0.393679689341542,0.25637456302144,0.365969253658707,0.748702654371959,0.728338522339273,0.683369587432278,0.0132083960318647,0.13556345207394,0.487927295417884,0.542171199924366,-0.0988439912877083,-0.393488618653882,0.295894111993897,0.42713982082186,-0.112009128839959,0.0771017252831499,-0.270668851551445,-0.759599327062554,0.244594793950306,-0.131774335579247,-0.0580714753022671,-0.186072722615227,-0.288082699784292,0.609121698496499,-0.105193535798738,-0.254505752706981,-0.0186859769712186,-0.725837232319158,-0.835241431899797,0.293256843355778,-0.279866198218744,0.113558861443636,0.48356142323471,-0.00145150171844527,0.685518847465345,0.124463787945647,0.158439897262929,-0.811702741372074,-0.622294696718548,-0.137285747214711,-0.708176511575173,-0.381059127918183,0.244762350052606,-0.504993995485038,-0.642486183713756,0.0561468178038344,-0.251450676378657,-0.477410977304253,-0.455948172178927,-0.764093791009793,-0.66416448831965,-0.240063421570906,-0.110730536944584,-0.574897904973025,0.2258197438766,-0.472604051700791,-0.246728450920073,0.228894505441954,-0.508342728113176,-0.65935063380558,0.294782599227981,0.312670553749491,0.604384446371208,0.503077188265963,0.368623522214403,0.637043475020924,-0.163281369289005,0.279543515818941,0.551097958620729,0.310017706613892,-0.365904046382176,-0.547190912029741,-0.624124060348171,0.565918237071851
"S1",0.604314868127854,0.623029705099765,0.376968378208256,0.523481847976448,0.212831091554864,0.872055551988144,0.561260516418784,0.806707807194385,0.791208175872479,1,0.946450409823421,0.830464838166835,-0.261197467888706,0.0860808060245775,0.00214686045778046,-0.566268972578053,-0.542682627895728,-0.0066830024559059,-0.409778114669989,-0.0696207821845156,0.768518250475185,-0.684796109820213,0.286811022474969,0.433850023662463,0.487054815399719,0.329225690183097,-0.756191574466873,-0.56584767324233,-0.775660692387149,-0.791855689780883,-0.646671802584201,-0.564161094613064,-0.734001092886664,-0.78286157763238,0.538829815251058,-0.258249437690659,-0.401278964101794,-0.710543325610834,-0.560098635739188,-0.49058614945126,-0.265388613901148,-0.556427024970818,0.547647981896531,-0.0191605672229376,-0.438909648474447,-0.145388136778197,0.0238446120975779,0.217712847836799,0.856843935169095,0.193831970985298,-0.300662003541527,-0.346772743747894,0.653562242656186,0.224722257373111,0.355589995306553,0.589865813529127,0.525317318763779,0.773075019753733,0.193221371692169,0.150773161247643,0.277811567704613,0.323118875807641,-0.10946129878039,-0.0848538866579545,0.208143999510957,0.477925338777188,-0.104304949591499,-0.00633296632102197,-0.0401374766132326,-0.555547433285528,0.263167731999143,-0.0650867653197543,-0.0604167471114317,0.208081559609462,0.0522981631822996,0.1918976694775,-0.161578640223129,-0.278699711247012,-0.252769423216984,-0.309881900643916,-0.797383407989397,-0.184778966769132,-0.125686405687795,0.204677126328595,0.0462149014028215,0.114329787649412,0.818635163733025,0.17257891253932,0.239418779518858,-0.851877649048962,-0.574034523789345,-0.439851399392111,-0.448856944507816,-0.403283388487887,0.0789669794693121,-0.707954804101234,-0.514337991130141,0.189627065008167,0.22587668450098,-0.046501838902451,-0.284850796887148,-0.802734567384717,-0.417584390968718,-0.207808803662855,0.0285716914577815,-0.461866889612716,0.15204968229812,-0.552989136301527,-0.403565925880512,0.151939113343933,-0.397715169363037,-0.755098368036736,0.181395572289248,0.174247710303023,0.324266028247607,0.463708902569698,0.133058289109964,0.247722978310448,-0.200881779461618,0.253302532799904,0.271067297335288,-0.140225555255185,-0.600306652122215,-0.441360226615993,-0.228649296490016,0.428752548259415
