"","FP","PL","IL","dACC","Vacc","OA","AU","M2","M1","S1","SS","GA","AuA","RS","AA","ViA","TeAA","Prh","lpEC","Ech","VA","aOn","TT","DPA","PC","PAA","FC","IG","CA1","CA2","CA3","DG","proSub","Sub","Clst","dEPn","vEPn","LAn","BLA","BMe","CCA","PAn","aAA","CA","IAn","MAn","LSN","SFn","DLS","DMS","NACC.SHELL","NACC.CORE","FStr","OT","MGCn","Gpe","Gpi","SubInn","MSn","DBn","TnS","BNST","VALCT","VMT","VPLT","VPMT","PTTn","MGC","dLGC","LPT","PCT","PlnT","EnT","AVT","AMn","IADT","IMDT","MDT","SMT","pRE","PVT","PT","RE","XiT","Rh","CMT","PCn","CLT","RT","IGLLGC","vlLGC","subGn","MHb","LHb","SON","PVH","IPVH","ArH","ADPO","AVPO","AVPV","DMH","MePO","MPA","PSN","SPZ","SCN","AHN","SMN","MPO","VMHn","PHn","LHA","LPO","PSTN","STN","ZI","FF","TN","reSN","cSN","VTA","PAG","SCO","PreCN","APTN"
"FP",0,0.416503792564685,0.126850688275788,0.31016682159197,0.85780838840602,0.0352816905054794,0.135593899151795,0.09293826965617,0.221036447338679,0.0338968305939341,0.101251734176049,0.0933411284014552,0.589911638788493,0.138154961116751,0.0317961620127758,0.00288844121061355,0.533372761405069,0.0909561178888437,0.971017028081229,0.889894077106921,0.146372425686869,0.454929511891329,0.0974136624288089,0.232194173206166,0.00717594582057298,0.933182923049968,0.0138921230741694,0.369017274734419,0.364170767269802,0.447885618913782,0.126188576742148,0.228522708221251,0.663698313780814,0.768786500029897,0.185482893984269,0.605715018032804,0.7399888388119,0.300024708766074,0.298379628099637,0.313444088996849,0.192623714537365,0.303678225703467,0.132514887161193,0.520085547606655,0.292107291294112,0.818995488014786,0.67108013064667,0.89822042113915,0.466876582030851,0.680234419868717,0.96398999279791,0.889351741323607,0.521442912382779,0.306762307068275,0.183895749663388,0.895354562454731,0.322974046288981,0.874930807674548,0.954168364518952,0.677083643788544,0.933073375206041,0.549075683556238,0.342164096643173,0.650690243638181,0.311788141233298,0.0797017583311434,0.776146708185824,0.12108718797024,0.0244421626584919,0.0569065874289568,0.780306252366847,0.677326055565798,0.866735597577536,0.291350730956453,0.037438199058441,0.239196242360042,0.0855431766369114,0.436914895089903,0.773897522719606,0.902898627186678,0.92503511259757,0.443337978771379,0.779785919888347,0.802203611674367,0.524422337631726,0.65324356524171,0.536990007867042,0.30939605357802,0.368790120990608,0.0533935717753664,0.310654623290599,0.206090455700614,0.909740573714005,0.622952250417131,0.85237610296058,0.138883215548861,0.902035866289938,0.316566001952741,0.613316164893777,0.836266179154973,0.778485603289832,0.00598254041238499,0.130206088265545,0.225805304073493,0.940018717951954,0.131553268280598,0.791002979529757,0.0426282923643316,0.358091775486488,0.538963853720024,0.725003627692258,0.365695665402447,0.645878471035852,0.677715773004934,0.0811067844673606,0.34323253814676,0.172993370664307,0.308624119983816,0.691419098881178,0.45227630401122,0.988165751403241,0.660208139500281,0.202042385636622,0.606579076320815,0.00449319740187802,0.945828627298343
"PL",0.416503792564685,0,0.0246549252631253,0.372022208634888,0.0668741201847084,0.0582825840511774,0.216197298863662,0.966513923043379,0.473693018353681,0.321960031578105,0.285352280240142,0.250842095949924,0.320050156414449,0.67875329423096,0.569907479452222,0.288342370354518,0.44126208757738,0.0233417449438463,0.791355007953633,0.180074669946744,0.251941275847993,0.959800470146354,0.0555447780603067,0.107181131907588,0.646854427926609,0.181526639265992,0.539113970878625,0.284725678106004,0.398551891590048,0.814484217302211,0.925532178983366,0.22541091276309,0.0154031467864885,0.101606856471165,0.725431486546671,0.968987839431713,0.346998989892388,0.934717395095949,0.848861407085218,0.271503850907715,0.348217651832294,0.827110809201241,0.597231237015702,0.837285883377979,0.509411302668125,0.358832597435537,0.774063458526371,0.506030756578423,0.994000242297285,0.586186629211961,0.994583335238685,0.865438572851642,0.967745149561729,0.979774185044114,0.766855288534756,0.569775910740092,0.458286068780481,0.865662088904514,0.684137928627615,0.747825926390811,0.386539639850727,0.500658640968362,0.959651900205332,0.757115223093635,0.805810598220344,0.215597864668912,0.335462036686619,0.475816243225887,0.922178543421094,0.804741876437184,0.285219268650824,0.359300205494143,0.138723490089227,0.444562104718682,0.903369724195161,0.958002823566592,0.0308549335261594,0.457761725975091,0.636849126169118,0.531142812467976,0.988142983040956,0.17122035537975,0.671146647744523,0.406704983963684,0.069685060530696,0.591118929862161,0.0338019889840699,0.78827050760549,0.108168242654871,0.826083780043755,0.82059795685131,0.581184288702947,0.994287804373799,0.919060308012751,0.224836387480819,0.136720789195283,0.916330799488947,0.886872792043147,0.808551886227359,0.875868336662577,0.620017151835643,0.5554099650798,0.329753994911644,0.635711672123627,0.969317077528495,0.663914152750085,0.821189333739683,0.135733474615218,0.353756120365174,0.0290032086662705,0.434109186116276,0.643923307453629,0.656076043616227,0.782156563887992,0.528050430552652,0.763327311616419,0.148124772559161,0.655087548323119,0.155501461673907,0.367980742701416,0.860283959214442,0.535131938134038,0.0326858711685977,0.0757674657292184,0.295036732287976,0.657684411217026
"IL",0.126850688275788,0.0246549252631253,0,0.678956363781911,0.316054629669147,0.0293467562365483,0.0917000424676408,0.290511331153727,0.134272511373394,0.029607391144527,0.0398394883752531,0.0462122757208344,0.0971783922487028,0.410290703205353,0.100360672275284,0.0491533855789744,0.346062050516694,0.00808438354128719,0.943012408737056,0.158122370745924,0.048184559635858,0.573170343958877,0.0490742701205961,0.0172749628850327,0.162106840698516,0.530793907019385,0.224626844316197,0.0958482763030457,0.352763541540015,0.384487915095495,0.441804722289262,0.105471266966971,0.0198463700169526,0.0539458316522141,0.454001757614008,0.557379105804791,0.813215097112503,0.716288204094037,0.901055791393,0.867938830126785,0.270642756464462,0.492115182146184,0.838171557408967,0.602606365631676,0.973001076624068,0.460541469393658,0.600791416379479,0.423525185405049,0.684110760270653,0.791237855556452,0.934077957866751,0.887343578085341,0.592098544078376,0.459671298781118,0.346079083241712,0.410160760534134,0.47193544404622,0.941978683178156,0.776302600015733,0.382230095470406,0.472377533169154,0.123154015326476,0.63095308522799,0.244311771421599,0.775799324289533,0.34583719284789,0.815201829990029,0.755576631286866,0.318871569061915,0.443394335432982,0.863077368272065,0.867208742186559,0.590234760501459,0.0683861575364794,0.764128710173431,0.589179476804166,0.0864770384324181,0.726183599625949,0.698914438844574,0.195749221185295,0.477390792750689,0.0633137739372214,0.202653954741195,0.276464016125116,0.236507349666945,0.62561421016583,0.388296346820571,0.425552856019424,0.100055296468718,0.0654334744263444,0.435477142558368,0.122710128488276,0.357000913043075,0.792388398530776,0.933004510626841,0.012851640084912,0.629876660989156,0.238890594620525,0.705406688518021,0.466996368565089,0.791209500625957,0.329827457052166,0.158898395886913,0.502980025262333,0.908262398284001,0.270542060556988,0.520047331017532,0.0317993568535836,0.0579170699019805,0.0256613035711651,0.694220041183284,0.905965410951564,0.508379187092244,0.613923723514886,0.350530965526008,0.291621812361728,0.00440428230665662,0.334050193916462,0.741659842765873,0.74210697505486,0.783459260441952,0.150831808549164,0.00685092638997317,0.73802346669986,0.01077699060754,0.871942340958383
"dACC",0.31016682159197,0.372022208634888,0.678956363781911,0,0.130618127236184,0.896090684141985,0.703381720308249,0.0261509312935204,0.300065613976135,0.208763693753252,0.385353935734296,0.442514401704166,0.749403853021137,0.00400413379888668,0.0837520721667923,0.458265850220801,0.791243215013874,0.772214062720975,0.831188953028074,0.699436809681707,0.546796012725734,0.492527909742217,0.999578956804862,0.634338266872538,0.11435559437323,0.553174165129536,0.355794387548053,0.55907922087415,0.867462795419205,0.473580262642317,0.093752181077966,0.790047048199098,0.818561351042233,0.875195949696558,0.440700506321936,0.320754330126666,0.153820980988011,0.808609941645791,0.425587166851362,0.0576611237820347,0.657624937690337,0.23467778229118,0.924253220700544,0.393787043958829,0.117684401239981,0.845370994338108,0.122997258454099,0.851960420478026,0.374416685939014,0.0644080088186895,0.931429422922661,0.780561190589891,0.5889671745321,0.135850158770731,0.373780451988389,0.779205951593571,0.71068243381362,0.591427028646217,0.884947689648891,0.0389683461401257,0.633606092367047,0.300027537049976,0.762472167077772,0.362150469052908,0.88613044377394,0.870033251886208,0.0461211084230712,0.0362293523726008,0.053424165189148,0.0340979557689244,0.213065068031228,0.119848381086343,0.048986071186668,0.587281317269247,0.463748920899921,0.340570229493878,0.870702054869103,0.208366208674279,0.673683169947002,0.403994875068944,0.239161579343469,0.825992046691308,0.329635339297078,0.978387644876242,0.791106922294101,0.983168170345163,0.317373639196978,0.110997062947066,0.694842217609369,0.0661265013190053,0.0312207002661261,0.301769116208794,0.190776129365741,0.990867859446726,0.025195564354826,0.481935649867699,0.501995089323613,0.118067693110792,0.479320265752789,0.433428610539473,0.198136986756309,0.614020604753898,0.422188724821518,0.920955988411996,0.798432958807917,0.267820451276045,0.743002054458811,0.898390131197174,0.423598291498842,0.723149522201919,0.0063031879525999,0.627827168588134,0.773141065044599,0.896941822599246,0.651828183726594,0.320693834582922,0.307245895441231,0.456188328386493,0.0252002165624779,0.381863829615265,0.621385302583551,0.827091245964516,0.70127671310754,0.285160419110863,0.229041390831402,0.364981629208732
"Vacc",0.85780838840602,0.0668741201847084,0.316054629669147,0.130618127236184,0,0.346448612299487,0.203279353482129,0.933187262692029,0.300458292441705,0.561465216480009,0.31948098143431,0.223846398521993,0.194192816914631,0.436569134716499,0.759103128372722,0.755221605735748,0.143099347933419,0.525940188279349,0.87509080023051,0.13708378612496,0.238665901002903,0.962327419222768,0.65085631609603,0.314245831642248,0.733167781770474,0.66965563509001,0.900235988197213,0.314305655645614,0.625789285239125,0.708649486350216,0.857621744873425,0.248567985689285,0.0665732947167171,0.120617261022909,0.761877714274154,0.609558014721988,0.383091250034842,0.421935310023261,0.285810988076518,0.180470076887547,0.999171608560159,0.694578246667906,0.899725800879255,0.430689119254063,0.250047731830768,0.902400881293893,0.956326411302154,0.81155122866268,0.827043132564836,0.190010418488961,0.354855214109352,0.578362492836545,0.666568764732441,0.687091894733135,0.894812483373971,0.696101160503788,0.918362320360031,0.810345376376838,0.993000809100719,0.843062478864551,0.668005426827593,0.409416499212341,0.928684420004374,0.39303578744105,0.846670517174233,0.512970547572718,0.00936799406076721,0.390967420815277,0.475586751331465,0.389524093817865,0.482195913669604,0.248479323712856,0.026525846906739,0.980435412502489,0.437958004561343,0.91048685668779,0.313939203374015,0.568925869760669,0.953545485920127,0.260228975458745,0.994431376899539,0.0703298581579446,0.339708772408199,0.0527637702616482,0.688209475389205,0.756672127055257,0.283799951141425,0.87512282794704,0.106051886210687,0.346602004073696,0.154367898279222,0.547877112531267,0.963258792999756,0.529722516175162,0.314540773993266,0.306106361018037,0.800891202827114,0.709422092170554,0.812936604730531,0.433315360983646,0.872618162656255,0.921348598275232,0.602324154891413,0.934434488134483,0.706848319759775,0.645284452212559,0.66508557502048,0.409443901071052,0.597128532122565,0.0499146648953136,0.502041243640085,0.468941119779322,0.629569204593762,0.611070064299047,0.945367020208222,0.515134964022759,0.425588336522748,0.436026213697298,0.0499608058195949,0.14019771310568,0.507875742946809,0.810540986603144,0.530985461265622,0.538002777617146,0.711550087478821,0.0935852226168957
"OA",0.0352816905054794,0.0582825840511774,0.0293467562365483,0.896090684141985,0.346448612299487,0,0.140271477525563,0.237879771383167,0.0798308810240671,0.0219902876975698,0.0317886597333152,0.0413750218473902,0.183492899357601,0.46398220076472,0.275470189791535,0.0441732448389745,0.989293605643912,0.0115745980013846,0.850117813251782,0.804980445176843,0.105411049449552,0.593068860727637,0.00876276309028049,0.0188924769674404,0.222393960304215,0.643308049771951,0.0148304755483292,0.108006034369762,0.0506185417270586,0.173329504068414,0.230635733147113,0.0254487727774184,0.253761303785148,0.38738830641885,0.0747598051778029,0.280720184845671,0.749683178876684,0.510732555994378,0.319308878883528,0.711050241220291,0.491312678152776,0.906213867805525,0.184528990925481,0.478804221699147,0.461794149970661,0.697329788159661,0.582950390658589,0.74185876172081,0.802014165744571,0.786830730268093,0.570453150370072,0.477918383944987,0.958201824605073,0.454390661555743,0.209391968735907,0.838907607812974,0.268627157528975,0.678224336502067,0.476995523280958,0.862695909176864,0.916376663420722,0.492029863165488,0.526611561766329,0.448650978438003,0.500081857839327,0.0900155492191418,0.675419429835567,0.789559030405789,0.412291429385203,0.550815670828276,0.647614885358083,0.690044228260147,0.34405530394487,0.413066760038177,0.210062880209893,0.160256823453206,0.00493764836764057,0.898533440095615,0.862317230155843,0.521829814233029,0.895090408322839,0.163564547469656,0.491769756075744,0.510225941189437,0.401770567104849,0.859782933794787,0.170762138028674,0.398782980404623,0.0490326542975614,0.226826276438593,0.811821507046677,0.100892326835925,0.855892932089307,0.2987712055558,0.562711970220458,0.0623662583050223,0.719119796428212,0.264961289194381,0.933684261346551,0.761464502065852,0.941002614112214,0.0578591220692956,0.226822004038116,0.44712789310965,0.910370678272788,0.527926013621193,0.60583745932828,0.00356644302037553,0.267774645519798,0.24521262100602,0.926691789021619,0.924980584312663,0.623457317551072,0.82093247625339,0.409681481547559,0.315248713813267,0.0751807784392967,0.807091907420439,0.53968947537682,0.137051469637183,0.794815273582791,0.788345655893428,0.0178593815396885,0.413269380179102,0.0231879436938119,0.419355542289678
"AU",0.135593899151795,0.216197298863662,0.0917000424676408,0.703381720308249,0.203279353482129,0.140271477525563,0,0.138878894767884,0.056653853985563,0.0434808353473888,0.044483421925164,0.00405302423372316,0.241921571776757,0.267179833160803,0.0371553340061299,0.0401238199756107,0.471050920326017,0.325858026865198,0.711683016631033,0.20734923231939,0.00284133687937694,0.96220596432397,0.554676338449314,0.185113585403372,0.042850556431076,0.777643251857943,0.380249446936222,0.38179804470331,0.854857318576383,0.694989407827947,0.476756899490376,0.340491905283861,0.100183311446634,0.100312687560307,0.309444505129015,0.480972435016185,0.479891506328999,0.977630898772673,0.497467827866867,0.81306073622195,0.381127915366941,0.531104163841639,0.655639332658327,0.73108898317786,0.717134689779653,0.911588789252581,0.347342716634961,0.584248623266666,0.242734843561209,0.750697696542782,0.550597198792604,0.674436108355462,0.965483037419218,0.222325489817753,0.646228065097629,0.869727049681189,0.955447308095479,0.803598689219984,0.466747143094263,0.545587263683972,0.372122209899621,0.0594256565085218,0.660663884531047,0.186933702956551,0.980678453857427,0.10084385376381,0.926977109726046,0.34052345361285,0.375976492867382,0.244042652337159,0.805629546395246,0.750052823793104,0.851114121863003,0.325269615016873,0.509286058837989,0.548746678359546,0.306732927332658,0.370771109325577,0.717740243021864,0.169489008567034,0.35089109941109,0.00779726736126454,0.269606300693525,0.324057742466342,0.596356994554734,0.441062452138251,0.689901275047811,0.30790756526764,0.118270123454787,0.453676050698609,0.884101800119087,0.257756775292634,0.51205239615875,0.419339085069056,0.802258468369571,0.116873915998486,0.755020562012678,0.647493186546509,0.329475946765311,0.596391803224043,0.856040370344161,0.141264204904057,0.56691418180329,0.142560703364357,0.230062616661884,0.476905625421016,0.908660701334957,0.12225022195809,0.989885884805966,0.0239287701527678,0.762469386902257,0.233522432193225,0.848838402614302,0.43178843808588,0.039769107962608,0.166370721742223,0.0777665544396215,0.703317050246518,0.989512865849065,0.297375616766961,0.557754989804548,0.973758436494185,0.550363757730402,0.825556294522853,0.263475423578646,0.511037280454784
"M2",0.09293826965617,0.966513923043379,0.290511331153727,0.0261509312935204,0.933187262692029,0.237879771383167,0.138878894767884,0,0.00731221666064207,0.0123299395579552,0.0307620193095306,0.0242985227456811,0.273551792686105,0.00867711503029939,0.0738145127270863,0.162753321699789,0.956516864719414,0.978861478535618,0.804108668670947,0.920655148490619,0.103234371174991,0.98628179178539,0.628808569083376,0.218397143408903,0.0485226152432091,0.568050763779745,0.0705238164816787,0.0894925696630924,0.395747799410867,0.186624734435558,0.00271738251066178,0.140834374543747,0.652749908174723,0.409761912332327,0.0882870474922083,0.0583444354751922,0.178884523612216,0.798838087043808,0.489211834788096,0.116958718699605,0.582459914798202,0.284508784371352,0.674932587559535,0.748842988441788,0.153334876338504,0.967551944057314,0.0772243659293651,0.582649773548886,0.414004517498321,0.493716414725887,0.281878760801046,0.278172963686872,0.732919101360204,0.196466394036878,0.278421409752772,0.813444167461528,0.754923177723473,0.592528737921013,0.779144051822637,0.0498169304756066,0.518872247904912,0.0948451578355814,0.512460101619137,0.11735117665772,0.839543921772861,0.476830337316034,0.435041127712944,0.0295682258941982,0.0451870040481894,0.0518353623623211,0.505455193390479,0.414016547939713,0.585795299632849,0.778501786254597,0.399241566220174,0.0584976112691133,0.369436823654452,0.381447027913538,0.743411816285895,0.148143521433059,0.439342415381156,0.180287297170592,0.106813127090399,0.435024188150604,0.911090704159787,0.878970101561797,0.901405873611175,0.0736347370353587,0.559254600317815,0.0626351111924655,0.257113980794942,0.0247838439135237,0.429051504005501,0.550375721158022,0.166910122290082,0.0669850236139918,0.396727102280095,0.18217315421304,0.777482565179768,0.182537988783962,0.161278670262189,0.321875274196453,0.621349521015382,0.866005971164888,0.921619847776191,0.253047183701168,0.773176260730088,0.390019140342386,0.515220128739701,0.716664121908144,0.0348415285190475,0.8787640753097,0.833078314160009,0.795651797180429,0.32301302229455,0.0434307513739181,0.084487288276891,0.511197079197964,0.40787410760965,0.560022977754549,0.845896839485621,0.777730045130829,0.358518667430819,0.592654790487672,0.0870922371029043,0.90116910013167
"M1",0.221036447338679,0.473693018353681,0.134272511373394,0.300065613976135,0.300458292441705,0.0798308810240671,0.056653853985563,0.00731221666064207,0,0.00676524488713715,0.00640128206898625,0.00252009998083542,0.082629332505984,0.0987203874451672,0.226565388514717,0.225903889616003,0.576610240277897,0.747061139643273,0.845357493523113,0.727891889680553,0.0372484213852093,0.825642013088604,0.423409084015832,0.0271061426352841,0.238796284940857,0.905945032466549,0.0790336660905885,0.0460006015919132,0.137024844690321,0.102389908968175,0.048844065357737,0.0419327405430326,0.244676805550544,0.1421239894588,0.0220860556367559,0.00668476338229097,0.321060949714891,0.701096580667721,0.67122743211855,0.375879063818789,0.662538437041907,0.462341498905116,0.668219426076751,0.783165299527418,0.345850514594887,0.912508724683151,0.0333722188515207,0.568099310821081,0.427350426717815,0.796008146338877,0.124781971346051,0.114749915643031,0.377381738523967,0.176804393809226,0.271590162522873,0.871962930748365,0.747204662957323,0.586637564859738,0.641776944714072,0.116569661018496,0.589803735067621,0.0517499544991645,0.725452827654132,0.054264939830706,0.969939256828704,0.335984186863139,0.829658883819537,0.296309801951774,0.277359666976023,0.283935956673406,0.850164325969332,0.70301681568695,0.779811660645577,0.731372231722603,0.584401640197465,0.0540879689070287,0.226143710092756,0.684621062200164,0.938629017946499,0.0252312898294101,0.284020860581307,0.0207278940082484,0.0436273492392173,0.0848442133991277,0.900994731468823,0.83133386656247,0.780874175763161,0.0927220329122837,0.188453517927296,0.167586830720968,0.756903758078025,0.0070744342672742,0.452246232007185,0.25676766212641,0.48845099780694,0.0422061122040514,0.351709373022671,0.173298913343845,0.997610416841364,0.0786529084486312,0.156729775091662,0.356861614540305,0.691931617509656,0.776081136338541,0.907609102042985,0.758234445058252,0.363717255502438,0.22403215854927,0.414732684614953,0.297663584783911,0.109553387457018,0.985080781727942,0.903917501764507,0.925033641951277,0.63591927793631,0.0298956069536079,0.0261001257364828,0.962917225688797,0.944294016524213,0.206875795338062,0.967824745802819,0.702018522815824,0.211496471089407,0.765209336661435,0.119288145180423,0.591577437195579
"S1",0.0338968305939341,0.321960031578105,0.029607391144527,0.208763693753252,0.561465216480009,0.0219902876975698,0.0434808353473888,0.0123299395579552,0.00676524488713715,0,8.10387345004346e-05,0.000576387054908756,0.039393084101306,0.0280772573668666,0.0474487351811423,0.0115399360402879,0.521542745310297,0.23544377248103,0.654786618625165,0.504772781636845,0.00678454435367882,0.928625540357439,0.15600695539485,0.0217801081121387,0.0367174475636825,0.6401269672348,0.240982543095013,0.212077144311072,0.172160843059004,0.0525585878720495,0.0454394682525865,0.0165711566519758,0.355038819243331,0.39474571806256,0.0638139719423029,0.141827452736441,0.615805662584888,0.974804204381531,0.454151919395585,0.594292107181003,0.905886083502221,0.835894507407665,0.801986242556606,0.341222998555192,0.483704061756409,0.730142429904867,0.132974690799128,0.899313205228873,0.739595584460825,0.792908563268083,0.762582727119861,0.701102080104225,0.480260755804269,0.152190248257902,0.681133665138585,0.576210520495014,0.578162052557358,0.849770876240797,0.918049187376868,0.336207524947079,0.924711257724985,0.147364271133402,0.26924922232576,0.0448172891906953,0.421600803690498,0.449535587302914,0.933643645482334,0.381625434350015,0.305914292792781,0.296835720538569,0.41452954065857,0.99620217075745,0.785447540074155,0.227326842090256,0.212257875447299,0.0408777487170925,0.379140879314905,0.302524996902486,0.440033715144309,0.217752535002053,0.372581141787459,0.045231761825707,0.0567816041769661,0.203710334869304,0.884432881282181,0.870039317785316,0.964186454489783,0.0382682210138029,0.0821266761801239,0.267867832842678,0.534631814388943,0.00540396236441914,0.342939293079853,0.237439234430736,0.758286702859163,0.123675522956697,0.287123936980137,0.0502916968452207,0.986358843189337,0.43227376159132,0.36673377777771,0.0786980657404391,0.436685857022236,0.385403661721633,0.865732954736057,0.318658175798609,0.347899067906441,0.0296606396637674,0.150298714925843,0.17545438966067,0.259003110826034,0.553168118093243,0.530631950896309,0.662870002907528,0.347658095855654,0.284472386164783,0.0689350793375027,0.841387983901671,0.835634195096209,0.492256614649752,0.649147040676146,0.540068028268072,0.349883511579116,0.652944821745846,0.147995222299162,0.558834878490275
