"V1","V2"
"FP","OA"
"FP","S1"
"FP","AA"
"FP","ViA"
"FP","PC"
"FP","FC"
"FP","DMH"
"PL","IL"
"PL","proSub"
"PL","MPO"
"PL","PAG"
"IL","DPA"
"IL","proSub"
"IL","PVH"
"IL","AHN"
"IL","MPO"
"IL","ZI"
"IL","PAG"
"IL","PreCN"
"dACC","M2"
"dACC","RS"
"dACC","DBn"
"dACC","SON"
"dACC","VMHn"
"dACC","TN"
"OA","S1"
"OA","SS"
"OA","Prh"
"OA","FC"
"OA","IMDT"
"AU","GA"
"AU","AA"
"AU","VA"
"AU","PSTN"
"M2","M1"
"M2","S1"
"M2","SS"
"M2","GA"
"M2","RS"
"M2","subGn"
"M2","VMHn"
"M1","S1"
"M1","SS"
"M1","GA"
"M1","VA"
"M1","subGn"
"M1","STN"
"S1","SS"
"S1","GA"
"S1","AuA"
"S1","RS"
"S1","ViA"
"S1","VA"
"S1","PC"
"S1","subGn"
"SS","GA"
"SS","AuA"
"SS","ViA"
"SS","VA"
"SS","subGn"
"GA","AuA"
"GA","ViA"
"GA","VA"
"GA","subGn"
"AuA","TeAA"
"AuA","VA"
"RS","AA"
"RS","OT"
"RS","ArH"
"RS","VMHn"
"AA","ViA"
"AA","PC"
"ViA","Prh"
"ViA","VA"
"ViA","PC"
"ViA","DMH"
"TeAA","Ech"
"TeAA","SCO"
"Prh","lpEC"
"Prh","VTA"
"lpEC","PAn"
"lpEC","VTA"
"lpEC","PAG"
"Ech","BMe"
"Ech","IAn"
"aOn","FStr"
"aOn","PVT"
"TT","PAG"
"DPA","PT"
"DPA","AHN"
"DPA","ZI"
"DPA","PAG"
"DPA","PreCN"
"PC","PSTN"
"PAA","CCA"
"PAA","MAn"
"PAA","Gpe"
"PAA","VALCT"
"PAA","VPLT"
"PAA","PCT"
"PAA","SMT"
"PAA","Rh"
"FC","aAA"
"FC","MGCn"
"FC","SubInn"
"FC","IMDT"
"FC","STN"
"IG","NACC.SHELL"
"IG","PVH"
"IG","ZI"
"IG","PAG"
"CA1","Clst"
"CA1","BLA"
"CA2","DG"
"CA2","VMT"
"CA2","IADT"
"CA2","CLT"
"CA2","LHb"
"CA2","IPVH"
"CA3","IADT"
"DG","IADT"
"proSub","Sub"
"proSub","PVH"
"proSub","MPO"
"proSub","ZI"
"proSub","PreCN"
"Sub","BNST"
"Sub","pRE"
"Sub","IGLLGC"
"Sub","PVH"
"Sub","ZI"
"Sub","PreCN"
"Clst","dEPn"
"Clst","IADT"
"dEPn","LSN"
"dEPn","NACC.CORE"
"vEPn","BMe"
"vEPn","IAn"
"LAn","AMn"
"BLA","IAn"
"BMe","IAn"
"BMe","dLGC"
"BMe","IGLLGC"
"BMe","PreCN"
"CCA","MAn"
"CCA","DLS"
"CCA","MGCn"
"CCA","Gpe"
"CCA","Gpi"
"CCA","SubInn"
"CCA","VPLT"
"CCA","VPMT"
"CCA","SMT"
"CCA","Rh"
"CCA","LHA"
"PAn","PTTn"
"PAn","MGC"
