"","lower","r","upper","p"
"FP-FP",NA,1,NA,0
"PL-FP",-0.877834640901177,-0.368138059149579,0.532561817012702,0.416503792564685
"IL-FP",-0.938674067566223,-0.633233830468083,0.229049026045215,0.126850688275788
"dACC-FP",-0.457718382502235,0.450686039812277,0.898723787223821,0.31016682159197
"Vacc-FP",-0.714211784487541,0.0840543860006396,0.787279411499894,0.85780838840602
"OA-FP",0.0862346893022912,0.788112954545436,0.967164131371029,0.0352816905054794
"AU-FP",-0.24605529064164,0.622313787290962,0.936494548533708,0.135593899151795
"M2-FP",-0.150131619462534,0.679781064292763,0.947698456547602,0.09293826965617
"M1-FP",-0.37115109427167,0.530057093561156,0.917058610000739,0.221036447338679
"S1-FP",0.0955615737018699,0.791649853719418,0.967766118386506,0.0338968305939341
"SS-FP",-0.171776733046,0.667646729729653,0.945386470038738,0.101251734176049
"GA-FP",-0.151222449668494,0.679180222617745,0.94758463445316,0.0933411284014552
"AuA-FP",-0.620237212997047,0.249229839795977,0.843900804732095,0.589911638788493
"RS-FP",-0.250833834132882,0.619183333982322,0.935865236258703,0.138154961116751
"AA-FP",0.110372667439353,0.797172190153746,0.968702023793569,0.0317961620127758
"ViA-FP",0.564283196089859,0.924490238480461,0.989006850811514,0.00288844121061355
"TeAA-FP",-0.855067487422437,-0.286475203554334,0.594928249658675,0.533372761405069
"Prh-FP",-0.1446979290325,0.682757499065008,0.948261302483989,0.0909561178888437
"lpEC-FP",-0.745570055068785,0.0170748686759599,0.760356040023105,0.971017028081229
"Ech-FP",-0.779881760785352,-0.0649949355896531,0.72347356066145,0.889894077106921
"VA-FP",-0.265599669924086,0.609332178074641,0.933871596505254,0.146372425686869
"aOn-FP",-0.554858249527031,0.340456286158529,0.87036681962953,0.454929511891329
"TT-FP",-0.946444443419462,-0.673181191739694,0.162003925764455,0.0974136624288089
"DPA-FP",-0.914688963721199,-0.519402621141037,0.383759197181621,0.232194173206166
"PC-FP",0.417307359003688,0.890515130389882,0.983816446378235,0.00717594582057298
"PAA-FP",-0.735485197711986,0.0393890560432903,0.769618549084465,0.933182923049968
"FC-FP",0.290716766081538,0.856306573209866,0.978427238660283,0.0138921230741694
"IG-FP",-0.887096276134943,-0.403772038466388,0.501893815648652,0.369017274734419
"CA1-FP",-0.888045902740074,-0.407510526970196,0.498538690550699,0.364170767269802
"CA2-FP",-0.871735582142187,-0.345462190116916,0.550919279804484,0.447885618913782
"CA3-FP",-0.938841188650323,-0.634076207317553,0.227714915857133,0.126188576742148
"DG-FP",-0.915465672946001,-0.52288139623067,0.379679239022851,0.228522708221251
"proSb-FP",-0.82902608640095,-0.202206417651441,0.649798591237406,0.663698313780814
"Sub-FP",-0.806994301451205,-0.13749187452453,0.686662877303509,0.768786500029897
"Clst-FP",-0.92482186079634,-0.56583988476957,0.326226850051336,0.185482893984269
"dEPn-FP",-0.840747652329303,-0.239021948292362,0.626871392119363,0.605715018032804
"vEPn-FP",-0.813149805292323,-0.155014960499752,0.677082567250411,0.7399888388119
