"","lower","r","upper","p"
"FP-FP",NA,1,NA,0
"PL-FP",0.0365106016253559,0.768440736751614,0.963778813235211,0.0435505649280855
"IL-FP",-0.108018214127647,0.702156073325835,0.95188915573113,0.0785894930980737
"dACC-FP",-0.356223107856286,0.54231449959597,0.91975136491412,0.208521694306429
"Vacc-FP",-0.769947850953171,-0.0401960103231316,0.735113947919238,0.931816247549841
"OA-FP",-0.344281895973895,0.551851623814937,0.921822225947905,0.199025260424441
"AU-FP",0.154758414263166,0.813060735302995,0.971367827695795,0.0261677433816469
"M2-FP",0.605272750919172,0.933044153498968,0.990289058379587,0.00214865509933714
"M1-FP",0.08029267860448,0.785835219947066,0.966775390140957,0.0361898841790993
"S1-FP",-0.375462339765695,0.526445613340365,0.916258436442122,0.224789560609495
"SS-FP",-0.222173646035174,0.637553291480113,0.939529499376699,0.123474335700613
"GA-FP",-0.161304764878922,0.673573581084995,0.946519230845894,0.0971444926627646
"AuA-FP",-0.0346907777677062,0.737637500171242,0.958348465267981,0.0584480096113035
"RS-FP",-0.356803897143108,0.541844657606179,0.919648798897609,0.208995004512066
"AA-FP",-0.777123119888196,-0.0580185756559735,0.726794158112676,0.901670298509395
"ViA-FP",-0.813046661196835,-0.154717885060521,0.677247370613224,0.74047513544776
"TeAA-FP",0.128610808302329,0.803818008443819,0.969821903723609,0.0293671994650176
"Prh-FP",-0.234555952058786,0.629734920036497,0.937978371303426,0.129619794054662
"lpEC-FP",-0.521050485708839,0.381830943046384,0.881439232672075,0.3979848254865
"Ech-FP",-0.600143320321651,0.279012459671003,0.852871520374615,0.544553377410448
"VA-FP",0.00654247604533093,0.755876484287948,0.961583229785971,0.0493380788423491
"aOn-FP",-0.588335167222613,0.295759242916921,0.857771206940583,0.519572372089056
"TT-FP",-0.606896316114618,0.269188549394865,0.849949474050053,0.559387037099797
"DPA-FP",-0.347037505818149,0.549671402469909,0.921350674503793,0.201177458249484
"PC-FP",0.217458238800242,0.83394981825557,0.974813005765267,0.0196917279944563
"PAA-FP",-0.805143536011457,0.0185175253306871,0.817788983869489,0.972226886822062
"FC-FP",-0.999393892346099,-0.990353663084903,-0.856175775453581,0.00113565939009976
"IG-FP",-0.713787962560998,0.0849127975837002,0.787607894455272,0.856366677906927
"CA1-FP",-0.91483170770749,-0.520040970879633,0.383013163540248,0.231518412435895
"CA2-FP",-0.895729984458943,-0.438365516571794,0.469770863966746,0.325200112975834
"CA3-FP",-0.977577037516124,-0.851005946125418,-0.272726511039688,0.0151635476972104
"DG-FP",-0.919253977297003,-0.540038230922771,0.359030437501758,0.21081953187481
"proSb-FP",-0.898440320832791,-0.320751834876157,0.66353376480287,0.535372001057959
"Sub-FP",-0.847936095070201,-0.262489177807121,0.61143007168316,0.569576123011263
"Clst-FP",-0.233631201806156,0.630324934682688,0.938095859513332,0.129150705435451
"dEPn-FP",0.0462787052049439,0.772417631987371,0.96446829634141,0.041801174144751
"vEPn-FP",-0.00852356145587582,0.74934439254474,0.960431263384906,0.0525040205584187
"LAn-FP",-0.483110017862228,0.424319866933209,0.892265631970088,0.342709539049459
"BLA-FP",0.0365864939725584,0.768471854331276,0.96378421831289,0.0435367230306041
"BMe-FP",-0.547039070673633,0.35034403938639,0.873062559989653,0.441056130758353
"CCA-FP",-0.788022758867848,0.0652992995779244,0.832730537029393,0.902190268691667
"PAn-FP",-0.913901277167781,-0.396185846836892,0.612222907439403,0.436814533900426
"aAA-FP",-0.909823499422609,-0.139675688219844,0.846962976171118,0.822739352005571
"CA-FP",-0.529653073020724,0.371635336291212,0.878760806732785,0.411742408631843
"IAn-FP",-0.741219751075942,0.176535797925461,0.864273012238508,0.737947162292491
"MAn-FP",-0.623047866176736,0.575650075051205,0.966867163423539,0.309836823165654
"LSN-FP",-0.593390292566354,0.288655780028969,0.855705310395832,0.530120455892281
"SFn-FP",-0.823147365567027,-0.184386115800647,0.660366113072824,0.692270286104362
"DLS-FP",-0.093525732497373,0.709502885991494,0.953245094565858,0.0741559602995825
"DMS-FP",-0.418490718497835,0.488524976866956,0.907664489092305,0.265967464978426
"NACC.S-FP",-0.477759596826001,0.430006607406154,0.893674933168841,0.335573332797706
"NACC.C-FP",-0.908436255483385,-0.491866880714915,0.414855512187011,0.262210715213877
"FStr-FP",-0.720034759460243,0.444790194096447,0.953055347707923,0.452946539084193
"OT-FP",-0.842065026920282,-0.243270650521671,0.624125301929282,0.599122129650452
"MGCn-FP",-0.418349339599638,0.488655448017023,0.907694672862959,0.265820342295214
"Gpe-FP",-0.689485743500083,0.132228337555376,0.805116473394243,0.777479467050353
"Gpi-FP",-0.843962997843963,-0.249432519018445,0.620104218860355,0.589599140950458
"SbInn-FP",-0.790699525084208,-0.0930434693308875,0.709744399610561,0.842727329122141
"MSn-FP",-0.633007492940804,0.229406935707306,0.83773983166277,0.620713261660953
"DBn-FP",-0.829474841883542,-0.203584009043804,0.648967724350687,0.661502558208185
"TnS-FP",-0.881947673676993,-0.247625434284101,0.705769564222147,0.636153840804291
"BNST-FP",-0.641190248461999,0.216317551060617,0.833584936066848,0.641299269215936
"VALCT-FP",-0.973711944007296,-0.648887364592288,0.545905123982764,0.236152049753846
"VMT-FP",-0.879291228489874,-0.373644754770088,0.527972161859263,0.409016387481898
"VPLT-FP",-0.974924341827804,-0.834631681525534,-0.219594390023207,0.0194977427702309
"VPMT-FP",-0.626697438885641,0.239292072880287,0.840831621182901,0.605295215513053
"PTTn-FP",-0.889318050087899,-0.2794353483394,0.688193759922102,0.591756708274829
"MGC-FP",-0.899410755436747,-0.453537433301705,0.454880623260016,0.306731687884443
"dLGC-FP",-0.84371315969228,-0.248618644662259,0.620637964849265,0.59085430617727
"LPT-FP",-0.906169229818296,-0.482085006959532,0.425414879650392,0.273275137055834
"PCT-FP",-0.842797818164534,-0.0988442020778263,0.77487619332583,0.852216559522756
"PlnT-FP",-0.947035166341887,-0.67628475303908,0.156450980262336,0.0952953625418486
"EnT-FP",-0.925662478376251,-0.569797378644837,0.320997885824126,0.181735656299333
"AVT-FP",-0.982440565813535,-0.843060317231195,-0.0997420863669353,0.0350123788238283
"AMn-FP",-0.92464283165674,-0.564999175099423,0.327330678146267,0.18628373498154
"IADT-FP",-0.940823613469389,-0.546647028471939,0.476154088809125,0.261704802608386
"IMDT-FP",-0.936861923701373,-0.62414591736681,0.243238878202751,0.134106286681615
"MDT-FP",-0.91982873718767,-0.542669088505001,0.355784327029395,0.208164827115302
"SMT-FP",-0.923187353239167,-0.220594669925031,0.821568009031307,0.721425014889279
"pRE-FP",-0.824843650195141,0.21090523231164,0.921671919271264,0.733471385720174
"PVT-FP",-0.915549979524041,-0.523259782353973,0.379233334999597,0.228125017686528
"PT-FP",-0.897421796808056,-0.316027079025594,0.666466394916839,0.54174068581396
"RE-FP",-0.924988268395837,-0.45495391764685,0.565346154489008,0.36465300218028
"XiT-FP",-0.917352797141116,-0.184035105822241,0.833577651932569,0.767008726651139
"Rh-FP",-0.937247591864656,-0.317630431749428,0.784472337127843,0.602487440319075
"CMT-FP",-0.906375557565746,-0.48297092799835,0.424468611556438,0.272264538906717
"PCn-FP",-0.877497630666414,-0.366869050086328,0.533612038620837,0.418236771657598
"CLT-FP",-0.877689862585194,-0.229851855479704,0.715104137741892,0.661293969082779
"RT-FP",-0.94636899314803,-0.672785480501671,0.16270815742716,0.0976855062617644
"IGLLG-FP",-0.898851339728014,-0.451214780706049,0.457193563936022,0.30952857580994
"vlLGC-FP",-0.914468817035008,-0.518418991374051,0.384906453159655,0.233237252402078
"subGn-FP",-0.880853777661069,0.00633894352678514,0.883663360793936,0.9919290604819
"MHb-FP",-0.674927599732176,0.158885716679566,0.814489958066133,0.733658955968471
"LHb-FP",-0.898731349689026,-0.322107168913815,0.662686896176043,0.533549043729723
"SON-FP",-0.745339898637051,0.167601965144395,0.861924857899338,0.750951056973029
"PVH-FP",-0.949284863897816,-0.688192962191129,0.134644632507051,0.0873944706235004
"IPVH-FP",-0.864751356540053,-0.320228830075563,0.570375966950082,0.483802552391068
"ArH-FP",-0.969335025886908,-0.601351279092135,0.59839465226746,0.283381451137427
"ADPO-FP",-0.694065812669564,0.485492276392393,0.957590554450301,0.40707564320786
"AVPO-FP",-0.616080189270683,0.583162250262317,0.967596135230807,0.302041181291078
"AVPV-FP",-0.756531823084553,0.142552990859933,0.855178277527556,0.787618948691366
"DMH-FP",-0.774520482898892,0.0997250591350863,0.843055342562907,0.850908298512877
"MePO-FP",-0.792031251248088,-0.0965746816112674,0.7079716173699,0.836813212634264
"MPA-FP",-0.707616936713042,0.0972787484153215,0.792295986913678,0.835634755989345
"PSN-FP",-0.294048443630106,0.794276358605911,0.985758994972835,0.108488203730233
"SPZ-FP",-0.876060859048784,-0.223164233795815,0.718531288974385,0.670810692604521
"SCN-FP",-0.954446961163605,-0.457060155980447,0.712535293138132,0.439002541023258
"AHN-FP",-0.83708057478871,-0.0795842009968797,0.782517919111928,0.880875727544964
"SMN-FP",-0.987937591828921,-0.889764412666663,-0.281405787111527,0.0175580419977212
"MPO-FP",-0.82932122775435,-0.0543192458347817,0.7921632807496,0.918601267900727
"VMHn-FP",-0.437914830128247,0.579651547444805,0.946131189190461,0.227902955286976
"PHn-FP",-0.862246217627979,-0.311362431034785,0.576983251298102,0.496659957802561
"LHA-FP",-0.700148264246337,0.111919842804865,0.797742502707204,0.811186715815197
"LPO-FP",-0.730725043001272,0.0496597613408459,0.773781024703596,0.915798884281771
"PSTN-FP",-0.887195871377397,-0.404163368632841,0.501543886996009,0.368508726043643
"STN-FP",-0.486516953359872,0.537119808242641,0.93925467717919,0.271799199173741
"ZI-FP",-0.902566755656638,-0.46675537034542,0.4414804215508,0.291027613692675
"FF-FP",-0.996561957660194,-0.946414831480378,-0.388754727989111,0.0147699449949142
"TN-FP",-0.881680946922324,0.00263583737973462,0.882849187754699,0.996643951500741
"reSN-FP",-0.596234232789529,0.284616331787723,0.854522401674578,0.536150497834913
"cSN-FP",-0.695612337959383,0.120642957437238,0.800935178780055,0.796677370019062
"VTA-FP",-0.892117823061773,-0.423725566987649,0.483665286132127,0.343458980890703
"PAG-FP",-0.94932762462998,-0.600125763516125,0.412186200718745,0.20787928126033
"SCO-FP",-0.971112830748548,-0.753019269295124,0.150540531902386,0.0839663737723457
"PreCN-FP",-0.938372549387497,-0.325998615301619,0.780855670030595,0.592399575785235
"APTN-FP",-0.950214583334748,-0.693155624299911,0.125315457714933,0.0842082394532587
"FP-PL",0.0365106016253559,0.768440736751614,0.963778813235211,0.0435505649280855
"PL-PL",NA,1,NA,0
"IL-PL",0.4374410631701,0.873007056532636,0.976780079601891,0.0046448270809548
"dACC-PL",-0.0387528282036662,0.684615631080087,0.937169690503936,0.0610454341496542
"Vacc-PL",-0.673491670627858,0.0593466774454704,0.733350874517603,0.888985979557265
"OA-PL",-0.59210337139521,0.19316597866303,0.790268481395593,0.646722463735603
"AU-PL",-0.131416547360626,0.631761044243044,0.92474946835222,0.0928957772176618
"M2-PL",0.237103281552505,0.806950677890524,0.963654614479834,0.0154827724717366
"M1-PL",0.23262330425504,0.805290345529867,0.963314661477021,0.0158645013613743
"S1-PL",-0.417014962576092,0.407366275223738,0.864015054203075,0.316483045606821
"SS-PL",-0.0444121357775105,0.681591913478003,0.936476006352756,0.0626583041203505
"GA-PL",0.693755692116447,0.939254479785413,0.989205036031994,0.000535159924133954
"AuA-PL",-0.389824434860361,0.434093396634754,0.872020579599017,0.282543737596699
"RS-PL",-0.683584941489804,0.0406871342102344,0.724585386617198,0.923795775576102
"AA-PL",-0.823150062995358,-0.282123053230648,0.527399197393001,0.498417967093399
"ViA-PL",-0.840238857504888,-0.332345658694179,0.486190693691159,0.421217391194111
"TeAA-PL",-0.30139910239317,0.512020788854626,0.89409706782256,0.194556799628653
"Prh-PL",-0.617440753231863,0.154418862263232,0.774783847575722,0.715034390635712
"lpEC-PL",-0.592491456234281,0.192590413879831,0.790043914320083,0.647722845628618
"Ech-PL",-0.294237875295739,0.517795538863648,0.895662331692319,0.188709516956506
"VA-PL",0.198215882501859,0.79223193999336,0.960623156968224,0.0190733423651906
"aOn-PL",-0.63424322336594,0.127344130416621,0.763503351637716,0.763798546810542
"TT-PL",-0.537614894662075,0.268946406337991,0.818498173396021,0.519514667347841
"DPA-PL",-0.27951188611047,0.529442373079081,0.898791016742763,0.177205022568991
"PC-PL",-0.362502986489417,0.459563659337646,0.87943767197288,0.251955181523381
"PAA-PL",-0.703202380684884,0.105975061509059,0.795544444596944,0.82109969614824
"FC-PL",-0.995261178490938,-0.955354370082817,-0.640015153431268,0.00294535385090467
"IG-PL",-0.248688498653617,0.552871951063634,0.904972943814707,0.155237662758975
"CA1-PL",-0.812237274897138,-0.251531086221625,0.550763015440619,0.547893950716467
"CA2-PL",-0.769179604449822,-0.140850435089167,0.625950238151907,0.739377533200741
"CA3-PL",-0.881826066020608,-0.467915079842058,0.353226044063996,0.242307164678646
"DG-PL",-0.750145853434611,-0.0964650956801366,0.652566946328011,0.820246884868825
"proSb-PL",-0.93809264411929,-0.630308782545382,0.233656538431708,0.129163535574147
"Sub-PL",-0.934212173590579,-0.671784223122182,0.0624534098027123,0.068062422888125
"Clst-PL",-0.33656412900847,0.482555295363272,0.885962349837358,0.225856163520758
"dEPn-PL",-0.18028452128396,0.600702645287594,0.917147888543374,0.11530107932714
"vEPn-PL",-0.0500376127717299,0.678561496580416,0.935778778783414,0.0642998555402706
"LAn-PL",-0.626274403327293,0.140327792559527,0.768961783877394,0.740319132541007
"BLA-PL",-0.319994378126189,0.496674327631444,0.889891501625327,0.210554336728216
"BMe-PL",-0.726299511172216,-0.0442989397085457,0.681652637111338,0.917048089154193
"CCA-PL",-0.491772107662496,0.414959003351746,0.889925772186531,0.354593854094004
"PAn-PL",-0.822330437095303,-0.18194253703286,0.661789543554352,0.696211631714735
"aAA-PL",-0.815717844788959,-0.0122977159100318,0.80732090785967,0.981554356050209
"CA-PL",-0.778327366650167,-0.163120550996865,0.611886694844266,0.699531111811954
"IAn-PL",-0.654370322254627,0.194565610092439,0.826522321469616,0.675911471892235
"MAn-PL",0.0144539348471342,0.816438186184483,0.979195014132657,0.0474498571321557
"LSN-PL",0.166184895303353,0.779565973333263,0.957981994902532,0.0225459737451601
"SFn-PL",-0.375493404370768,0.447619717932087,0.875984727825527,0.266082577779083
"DLS-PL",-0.203984033222601,0.584740709509265,0.913149514639356,0.127894727881777
"DMS-PL",-0.279584795878367,0.529385450012007,0.898775816473724,0.177260308904554
"NACC.S-PL",-0.695949211144713,0.0171193110974537,0.713188677168729,0.967907562603894
"NACC.C-PL",-0.735053193449545,-0.0630259455012268,0.671468706085694,0.88213892432993
"FStr-PL",-0.578952906314299,0.4387643117008,0.922011818036601,0.384087695394189
"OT-PL",-0.820649902603495,-0.275015795068191,0.532938601547615,0.509756001863981
"MGCn-PL",-0.587576285843075,0.19984036716633,0.792860953674036,0.635155863879608
"Gpe-PL",-0.7804012505038,-0.168258102209287,0.608571250898828,0.69041988576094
"Gpi-PL",-0.875841443088961,-0.44712736836904,0.376022039956058,0.266673185912107
"SbInn-PL",-0.796710235579089,-0.209853015266602,0.580691217335105,0.617924937229734
"MSn-PL",-0.312440609286692,0.502970562900493,0.891625055282302,0.203910651652402
"DBn-PL",-0.770565874442296,-0.144184902980057,0.623875801978958,0.733376814971556
"TnS-PL",-0.551438152235579,0.344805677098972,0.871556538783925,0.448807063447133
"BNST-PL",-0.364678515611897,0.457583901803986,0.878868371063495,0.254270168114807
"VALCT-PL",-0.961681974872019,-0.683808559300818,0.287054153031413,0.13415960062806
"VMT-PL",-0.910320170445983,-0.573597242911379,0.219998899438383,0.137122448143656
"VPLT-PL",-0.895867297381102,-0.518554280030448,0.293290139334232,0.187948284410982
"VPMT-PL",-0.724354853908386,-0.0402027419527879,0.68384331996117,0.924701042083225
"PTTn-PL",-0.82372722370841,-0.186125379983397,0.659349247466447,0.689468310770813
"MGC-PL",-0.587998646352219,0.199220746592116,0.792621180520838,0.636226986578005
"dLGC-PL",-0.911070961273983,-0.576542159266399,0.21580778677651,0.13464896373555
"LPT-PL",-0.888021828863956,-0.489929782985941,0.327972431198756,0.21779446006251
"PCT-PL",-0.828508869737858,-0.200621734927119,0.650751849606999,0.666226520567765
"PlnT-PL",-0.862689603499418,-0.403015355771396,0.42130593497875,0.322182158459961
"EnT-PL",-0.946095334388357,-0.724313073820323,-0.0401149885955703,0.0421490317441923
"AVT-PL",-0.881023722165202,-0.380241265624965,0.522403963329864,0.400117689921047
"AMn-PL",-0.793753801010842,-0.202151837710013,0.585996891398958,0.631164969281291
"IADT-PL",-0.963724611123883,-0.76812874077906,-0.0357501442296089,0.0436894827944325
"IMDT-PL",-0.928747197370311,-0.648481273204207,0.103477460305575,0.0819732961772961
"MDT-PL",-0.877493292786165,-0.452819201257648,0.369877835999514,0.259885221844223
"SMT-PL",-0.878100147143767,-0.231545915733484,0.714228724646263,0.658888121160616
"pRE-PL",-0.856668087959724,-0.148006987307997,0.754139010539433,0.779610644623834
"PVT-PL",-0.723460931749882,-0.0383274807715388,0.684841888956544,0.928206321172089
"PT-PL",-0.69791014882694,0.116239697887543,0.799328398368917,0.803995813637518
"RE-PL",-0.935212145547085,-0.615945206042121,0.255732525597949,0.140829645334506
"XiT-PL",-0.90180725421923,-0.336577771133595,0.653485293519469,0.51419788171591
"Rh-PL",-0.914650003311208,-0.400025359307084,0.609362446839177,0.431968047658939
"CMT-PL",-0.816438275106824,-0.263176650465674,0.542014798198292,0.528855496795224
"PCn-PL",-0.70127820546137,0.00671121687366427,0.708035693809775,0.987416846201907
"CLT-PL",-0.922730406944426,-0.556064903113666,0.338912567589297,0.194897726967456
"RT-PL",-0.792330105153504,-0.198469188175494,0.588510365990079,0.637526926121768
"IGLLG-PL",-0.877393975565023,-0.45247599982908,0.370250364099172,0.260292044329392
"vlLGC-PL",-0.836292633387088,-0.32048648757592,0.496261139341467,0.438967046111211
"subGn-PL",-0.834305251446723,-0.0704343669246593,0.78605949081673,0.89452316206172
"MHb-PL",-0.736393756908055,-0.0659362556338166,0.669860743679744,0.876727383066507
"LHb-PL",-0.899643392353723,-0.454505110872876,0.453913361728725,0.305569706402984
"SON-PL",-0.168167162363401,0.669701737532063,0.945779991661999,0.0998175583174397
"PVH-PL",-0.885089995905918,-0.479448760374529,0.340143048851082,0.229297441758286
"IPVH-PL",-0.721373537040925,-0.0339672752517297,0.687153228713649,0.936360330221275
"ArH-PL",-0.94889849918895,-0.597350224418659,0.415771279017295,0.210550094435207
"ADPO-PL",-0.7747323285637,0.0992006239486513,0.842902061505805,0.851687169031162
"AVPO-PL",-0.557996419099303,0.463426968277315,0.926523376623205,0.354623390875582
"AVPV-PL",-0.614628463806288,0.25771179392524,0.846489943895799,0.576877497843335
"DMH-PL",-0.738018492900459,0.0338555341165686,0.767349915793295,0.94255799334953
"MePO-PL",-0.808413086927697,-0.241069391519472,0.558474420463534,0.565201599816645
"MPA-PL",-0.538257922158363,0.268106777099453,0.818199287792236,0.520870122072408
"PSN-PL",-0.629186061913383,0.372668174641075,0.909237024844327,0.466876108330041
"SPZ-PL",-0.883988526571458,-0.391649275005796,0.512589139154176,0.384912858177853
"SCN-PL",-0.948922351416019,-0.59750427744507,0.41557311535163,0.21040149164823
"AHN-PL",-0.754998363327468,-0.00449713366467604,0.751104669008214,0.992365505974923
"SMN-PL",-0.83830590274079,-0.231207454233813,0.631866626960759,0.617896547609932
"MPO-PL",-0.675338919750173,0.158148877048946,0.814235383721582,0.734863002789608
"VMHn-PL",-0.262236277447864,0.611600103799347,0.934332365275077,0.144459391551181
"PHn-PL",-0.71972012359652,-0.0305320543223349,0.688964012087527,0.942787965914199
"LHA-PL",-0.870893787340001,-0.430284302402121,0.393789388013599,0.287266876310309
"LPO-PL",-0.618555739246793,0.152657431831443,0.774061779360646,0.718183191906721
"PSTN-PL",-0.828459006458696,-0.2974144337307,0.515243089963084,0.474360154554507
"STN-PL",-0.678328839329471,0.15276468352045,0.812367482270177,0.743674126961788
"ZI-PL",-0.883082620281527,-0.472338710508657,0.348245872357652,0.237274097306089
"FF-PL",-0.982748762271688,-0.845624361522026,-0.108576588680441,0.0339082290484201
"TN-PL",-0.71897623024723,0.222289440458949,0.875846664698716,0.672057788396403
"reSN-PL",-0.359304687216362,0.462459391903135,0.880268213820172,0.248588317256268
"cSN-PL",-0.447806247621523,0.375292987514016,0.854093394472,0.359606448104175
