png_finale, scala_png
HCrifatti20%_s001.png, 1.10000
HCrifatti20%_s002.png, 1.10000
HCrifatti20%_s003.png, 1.10000
HCrifatti20%_s004.png, 1.10000
HCrifatti20%_s005.png, 1.10000
HCrifatti20%_s006.png, 1.10000
HCrifatti20%_s007.png, 1.10000
HCrifatti20%_s008.png, 1.10000
HCrifatti20%_s009.png, 1.10000
HCrifatti20%_s010.png, 1.10000
HCrifatti20%_s011.png, 1.10000
HCrifatti20%_s012.png, 1.10000
HCrifatti20%_s013.png, 1.10000
HCrifatti20%_s014.png, 1.10000
HCrifatti20%_s015.png, 1.10000
HCrifatti20%_s016.png, 1.10000
HCrifatti20%_s017.png, 1.10000
HCrifatti20%_s018.png, 1.10000
HCrifatti20%_s019.png, 1.10000
HCrifatti20%_s020.png, 1.10000
HCrifatti20%_s021.png, 1.10000
HCrifatti20%_s022.png, 1.10000
HCrifatti20%_s023.png, 1.10000
HCrifatti20%_s024.png, 1.10000
HCrifatti20%_s025.png, 1.10000
HCrifatti20%_s026.png, 1.10000
HCrifatti20%_s027.png, 1.10000
HCrifatti20%_s028.png, 1.10000
HCrifatti20%_s029.png, 1.10000
HCrifatti20%_s030.png, 1.10000
HCrifatti20%_s031.png, 1.10000
HCrifatti20%_s032.png, 1.10000
HCrifatti20%_s033.png, 1.10000
HCrifatti20%_s034.png, 1.10000
HCrifatti20%_s035.png, 1.10000
HCrifatti20%_s036.png, 1.10000
HCrifatti20%_s037.png, 1.10000
HCrifatti20%_s038.png, 1.10000
HCrifatti20%_s039.png, 1.10000
HCrifatti20%_s040.png, 1.10000
HCrifatti20%_s041.png, 1.10000
HCrifatti20%_s042.png, 1.10000
HCrifatti20%_s043.png, 1.10000
HCrifatti20%_s044.png, 1.10000
HCrifatti20%_s045.png, 1.10000
HCrifatti20%_s046.png, 1.10000
HCrifatti20%_s047.png, 1.10000
HCrifatti20%_s048.png, 1.10000
HCrifatti20%_s049.png, 1.10000
