Region ID;Region Name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load
0;Clear Label;0;0;um2;13;503;503;um2;0
997;root;130169;130169.4213;um2;9;213;213;um2;0.001636
8;Basic cell groups and regions;0;0;um2;0;0;0;um2;0
567;Cerebrum;0;0;um2;0;0;0;um2;0
688;Cerebral cortex;0;0;um2;0;0;0;um2;0
695;Cortical plate;0;0;um2;0;0;0;um2;0
315;Isocortex;0;0;um2;0;0;0;um2;0
184;Frontal pole, cerebral cortex;0;0;um2;0;0;0;um2;0
68;Frontal pole, layer 1;0;0;um2;0;0;0;um2;0
667;Frontal pole, layer 2/3;0;0;um2;0;0;0;um2;0
526157192;Frontal pole, layer 5;0;0;um2;0;0;0;um2;0
526157196;Frontal pole, layer 6a;0;0;um2;0;0;0;um2;0
526322264;Frontal pole, layer 6b;0;0;um2;0;0;0;um2;0
500;Somatomotor areas;0;0;um2;0;0;0;um2;0
107;Somatomotor areas, Layer 1;0;0;um2;0;0;0;um2;0
219;Somatomotor areas, Layer 2/3;0;0;um2;0;0;0;um2;0
299;Somatomotor areas, Layer 5;0;0;um2;0;0;0;um2;0
644;Somatomotor areas, Layer 6a;0;0;um2;0;0;0;um2;0
947;Somatomotor areas, Layer 6b;0;0;um2;0;0;0;um2;0
985;Primary motor area;0;0;um2;0;0;0;um2;0
320;Primary motor area, Layer 1;126985;126984.8483;um2;38;1476;1476;um2;0.011623
943;Primary motor area, Layer 2/3;343934;343933.8838;um2;217;8494;8494;um2;0.024697
648;Primary motor area, Layer 5;372595;372595.0408;um2;188;7245;7245;um2;0.019445
844;Primary motor area, Layer 6a;424742;424742.4236;um2;156;5267;5267;um2;0.0124
882;Primary motor area, Layer 6b;40205;40205.2341;um2;4;174;174;um2;0.004328
993;Secondary motor area;0;0;um2;0;0;0;um2;0
656;Secondary motor area, layer 1;126189;126188.705;um2;4;68;68;um2;0.000539
962;Secondary motor area, layer 2/3;203415;203414.6003;um2;129;7442;7442;um2;0.036585
767;Secondary motor area, layer 5;241231;241231.4046;um2;229;11321;11321;um2;0.04693
1021;Secondary motor area, layer 6a;236455;236454.5451;um2;187;8412;8412;um2;0.035576
1085;Secondary motor area, layer 6b;8758;8757.575745;um2;2;82;82;um2;0.009363
453;Somatosensory areas;0;0;um2;0;0;0;um2;0
12993;Somatosensory areas, layer 1;0;0;um2;0;0;0;um2;0
12994;Somatosensory areas, layer 2/3;0;0;um2;0;0;0;um2;0
12995;Somatosensory areas, layer 4;0;0;um2;0;0;0;um2;0
12996;Somatosensory areas, layer 5;0;0;um2;0;0;0;um2;0
12997;Somatosensory areas, layer 6a;0;0;um2;0;0;0;um2;0
12998;Somatosensory areas, layer 6b;0;0;um2;0;0;0;um2;0
322;Primary somatosensory area;0;0;um2;0;0;0;um2;0
793;Primary somatosensory area, layer 1;0;0;um2;0;0;0;um2;0
346;Primary somatosensory area, layer 2/3;0;0;um2;0;0;0;um2;0
865;Primary somatosensory area, layer 4;0;0;um2;0;0;0;um2;0
921;Primary somatosensory area, layer 5;0;0;um2;0;0;0;um2;0
686;Primary somatosensory area, layer 6a;0;0;um2;0;0;0;um2;0
719;Primary somatosensory area, layer 6b;0;0;um2;0;0;0;um2;0
353;Primary somatosensory area, nose;0;0;um2;0;0;0;um2;0
558;Primary somatosensory area, nose, layer 1;330001;330001.3769;um2;47;1430;1430;um2;0.004333
838;Primary somatosensory area, nose, layer 2/3;501570;501570.2472;um2;120;2739;2739;um2;0.005461
654;Primary somatosensory area, nose, layer 4;415985;415984.8479;um2;301;4873;4873;um2;0.011714
