png_finale, scala_png
F92_s001.png, 0.83691
F92_s002.png, 0.88075
F92_s003.png, 0.9828
F92_s004.png, 0.94587
F92_s005.png, 1.00838
F92_s006.png, 0.98379
F92_s007.png, 1.05906
F92_s008.png, 1.01961
F92_s009.png, 1.07452
F92_s010.png, 1.07117
F92_s011.png, 1.09225
F92_s012.png, 1.06273
F92_s013.png, 1.30429
F92_s014.png, 1.42394
F92_s015.png, 1.33783
F92_s016.png, 1.42188
F92_s017.png, 1.42358
F92_s018.png, 1.42935
F92_s019.png, 1.48511
F92_s020.png, 1.46285
F92_s021.png, 1.45304
F92_s022.png, 1.41457
F92_s023.png, 1.42613
F92_s024.png, 1.47337
F92_s025.png, 1.42155
F92_s026.png, 1.45703
F92_s027.png, 1.4416
F92_s028.png, 1.41591
F92_s029.png, 1.42668
F92_s030.png, 1.42558
F92_s031.png, 1.46362
F92_s032.png, 1.31845
F92_s033.png, 1.45148
F92_s034.png, 1.44476
F92_s035.png, 1.38955
F92_s036.png, 1.43952
F92_s037.png, 1.43315
F92_s038.png, 1.43361
F92_s039.png, 1.43341
F92_s040.png, 1.26284
F92_s041.png, 1.42668
