Region ID;Region Name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load;;;;;;;;;;;;;;
0;Clear Label;0;0;um2;1896;21688;21688;um2;0;;;;;;;;;;;;;;
997;root;8882981;8882981.199554;um2;1397;34194;34194;um2;0.003849;;;;;;;;;;;;;;
8;Basic cell groups and regions;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
567;Cerebrum;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
688;Cerebral cortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
695;Cortical plate;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
315;Isocortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
184;Frontal pole, cerebral cortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
68;Frontal pole, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
667;Frontal pole, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
526157192;Frontal pole, layer 5;1469;1469.203857;um2;2;92;92;um2;0.062619;;;;;;;;;;;;;;
526157196;Frontal pole, layer 6a;677693;677693.112976;um2;824;37350;37350;um2;0.055113;;;;;;;;;;;;;;
526322264;Frontal pole, layer 6b;1073;1073.291748;um2;0;0;0;um2;0;;;;;;;;;;;;;;
500;Somatomotor areas;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
107;Somatomotor areas, Layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
219;Somatomotor areas, Layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
299;Somatomotor areas, Layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
644;Somatomotor areas, Layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
947;Somatomotor areas, Layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
985;Primary motor area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
320;Primary motor area, Layer 1;6660111;6660110.522278;um2;3296;108168;108168;um2;0.016241;;;;;;;;;;;;;;
943;Primary motor area, Layer 2/3;18630884;18630883.957092;um2;41657;1353968;1353968;um2;0.072673;;;;;;;;;;;;;;
648;Primary motor area, Layer 5;16584323;16584323.085846;um2;30535;1114708;1114708;um2;0.067215;;;;;;;;;;;;;;
844;Primary motor area, Layer 6a;14532030;14532029.808746;um2;29080;1136528;1136528;um2;0.078208;;;;;;;;;;;;;;
882;Primary motor area, Layer 6b;976917;976916.541351;um2;616;19313;19313;um2;0.019769;;;;;;;;;;;;;;
993;Secondary motor area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
656;Secondary motor area, layer 1;7773384;7773383.707153;um2;2327;70365;70365;um2;0.009052;;;;;;;;;;;;;;
962;Secondary motor area, layer 2/3;14673386;14673386.232239;um2;26885;866284;866284;um2;0.059038;;;;;;;;;;;;;;
767;Secondary motor area, layer 5;20804655;20804655.416748;um2;35254;1261112;1261112;um2;0.060617;;;;;;;;;;;;;;
1021;Secondary motor area, layer 6a;12098926;12098926.218994;um2;20729;833176;833176;um2;0.068864;;;;;;;;;;;;;;
1085;Secondary motor area, layer 6b;383208;383207.945129;um2;483;18729;18729;um2;0.048874;;;;;;;;;;;;;;
453;Somatosensory areas;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12993;Somatosensory areas, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12994;Somatosensory areas, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12995;Somatosensory areas, layer 4;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12996;Somatosensory areas, layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
