Region ID;Region Name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load;;;;;;;;;;;;;;
0;Clear Label;0;0;um2;615;20729;20729;um2;0;;;;;;;;;;;;;;
997;root;8581978;8581977.863281;um2;565;19585;19585;um2;0.002282;;;;;;;;;;;;;;
8;Basic cell groups and regions;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
567;Cerebrum;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
688;Cerebral cortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
695;Cortical plate;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
315;Isocortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
184;Frontal pole, cerebral cortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
68;Frontal pole, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
667;Frontal pole, layer 2/3;754788;754787.788330;um2;223;12827;12827;um2;0.016994;;;;;;;;;;;;;;
526157192;Frontal pole, layer 5;4747452;4747451.911499;um2;1607;103054;103054;um2;0.021707;;;;;;;;;;;;;;
526157196;Frontal pole, layer 6a;498253;498253.476013;um2;424;20057;20057;um2;0.040255;;;;;;;;;;;;;;
526322264;Frontal pole, layer 6b;7241;7241.198364;um2;2;110;110;um2;0.015191;;;;;;;;;;;;;;
500;Somatomotor areas;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
107;Somatomotor areas, Layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
219;Somatomotor areas, Layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
299;Somatomotor areas, Layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
644;Somatomotor areas, Layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
947;Somatomotor areas, Layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
985;Primary motor area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
320;Primary motor area, Layer 1;5897014;5897013.654144;um2;1475;58608;58608;um2;0.009939;;;;;;;;;;;;;;
943;Primary motor area, Layer 2/3;16702735;16702734.834869;um2;18860;829805;829805;um2;0.049681;;;;;;;;;;;;;;
648;Primary motor area, Layer 5;15019175;15019175.324371;um2;14396;702055;702055;um2;0.046744;;;;;;;;;;;;;;
844;Primary motor area, Layer 6a;13312800;13312799.847992;um2;12470;513783;513783;um2;0.038593;;;;;;;;;;;;;;
882;Primary motor area, Layer 6b;874392;874392.191223;um2;172;4840;4840;um2;0.005535;;;;;;;;;;;;;;
993;Secondary motor area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
656;Secondary motor area, layer 1;13534195;13534194.939056;um2;2442;101722;101722;um2;0.007516;;;;;;;;;;;;;;
962;Secondary motor area, layer 2/3;22633748;22633748.092773;um2;16878;758587;758587;um2;0.033516;;;;;;;;;;;;;;
767;Secondary motor area, layer 5;23324850;23324849.753845;um2;23415;1190434;1190434;um2;0.051037;;;;;;;;;;;;;;
1021;Secondary motor area, layer 6a;10990112;10990111.770081;um2;11726;572045;572045;um2;0.052051;;;;;;;;;;;;;;
1085;Secondary motor area, layer 6b;344087;344086.747467;um2;208;7884;7884;um2;0.022913;;;;;;;;;;;;;;
453;Somatosensory areas;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12993;Somatosensory areas, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12994;Somatosensory areas, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12995;Somatosensory areas, layer 4;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12996;Somatosensory areas, layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12997;Somatosensory areas, layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12998;Somatosensory areas, layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
322;Primary somatosensory area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
793;Primary somatosensory area, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
346;Primary somatosensory area, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
865;Primary somatosensory area, layer 4;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
921;Primary somatosensory area, layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
686;Primary somatosensory area, layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
719;Primary somatosensory area, layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
353;Primary somatosensory area, nose;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
558;Primary somatosensory area, nose, layer 1;1989597;1989597.297882;um2;806;27312;27312;um2;0.013727;;;;;;;;;;;;;;
838;Primary somatosensory area, nose, layer 2/3;2779429;2779429.327728;um2;4756;175601;175601;um2;0.063179;;;;;;;;;;;;;;
654;Primary somatosensory area, nose, layer 4;2066920;2066920.153839;um2;6952;287344;287344;um2;0.139020;;;;;;;;;;;;;;
702;Primary somatosensory area, nose, layer 5;1866713;1866712.531860;um2;3005;114131;114131;um2;0.061140;;;;;;;;;;;;;;
889;Primary somatosensory area, nose, layer 6a;2484744;2484743.700104;um2;4439;154140;154140;um2;0.062035;;;;;;;;;;;;;;
929;Primary somatosensory area, nose, layer 6b;163852;163852.234161;um2;63;1451;1451;um2;0.008856;;;;;;;;;;;;;;
329;Primary somatosensory area, barrel field;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
981;Primary somatosensory area, barrel field, layer 1;2429428;2429428.160645;um2;1570;60160;60160;um2;0.024763;;;;;;;;;;;;;;
201;Primary somatosensory area, barrel field, layer 2/3;4072876;4072876.003937;um2;9793;408714;408714;um2;0.100350;;;;;;;;;;;;;;
1047;Primary somatosensory area, barrel field, layer 4;3364400;3364399.811890;um2;11957;559521;559521;um2;0.166306;;;;;;;;;;;;;;
1070;Primary somatosensory area, barrel field, layer 5;3160803;3160802.863831;um2;6192;223706;223706;um2;0.070775;;;;;;;;;;;;;;
1038;Primary somatosensory area, barrel field, layer 6a;3555256;3555256.413818;um2;7829;270315;270315;um2;0.076032;;;;;;;;;;;;;;
1062;Primary somatosensory area, barrel field, layer 6b;392055;392055.340973;um2;207;3714;3714;um2;0.009473;;;;;;;;;;;;;;
480149202;Rostrolateral lateral visual area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
480149206;Rostrolateral lateral visual area, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
480149210;Rostrolateral lateral visual area, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
480149214;Rostrolateral lateral visual area, layer 4;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
480149218;Rostrolateral lateral visual area,layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
