png_finale, scala_png
105_s001.png, 0.63928
105_s002.png, 0.70407
105_s003.png, 1.07109
105_s004.png, 1.12025
105_s005.png, 1.05489
105_s006.png, 1.07482
105_s007.png, 1.06723
105_s008.png, 0.95909
105_s009.png, 1.05556
105_s010.png, 0.96564
105_s011.png, 1.04389
105_s012.png, 1.0766
105_s013.png, 1.05282
105_s014.png, 1.04741
105_s015.png, 1.08121
105_s016.png, 1.05128
105_s017.png, 1.03702
105_s018.png, 1.152
105_s019.png, 1.12226
105_s020.png, 1.14242
105_s021.png, 1.13181
105_s022.png, 1.16211
105_s023.png, 1.12402
105_s024.png, 1.12007
105_s025.png, 1.15783
105_s026.png, 1.16181
105_s027.png, 1.11495
