id;name;tot_objects;tot_area;avrg_density;densities_stdev;slices_count;ideal_count
184;Frontal pole, cerebral cortex;463.0;885722.3028464598;0.0005227372038753564;4.004666521964548e-05;0;0
985;Primary motor area;32817.0;45567682.969934046;0.0007201814501222926;0.00047671201095778065;0;0
993;Secondary motor area;28862.0;49430674.372734845;0.0005838884531973897;0.0002855138396652418;0;0
353;Primary somatosensory area, nose;14059.0;10916630.180122282;0.0012878516326035804;0.0004106715740982163;0;0
329;Primary somatosensory area, barrel field;37875.0;22796374.961143035;0.0016614483690744182;0.0003896260882536137;0;0
337;Primary somatosensory area, lower limb;13221.0;8047357.257706845;0.0016428995975465645;0.0003911533290567191;0;0
345;Primary somatosensory area, mouth;16737.0;25061311.882512033;0.0006678421336625718;0.00018182495880096007;0;0
369;Primary somatosensory area, upper limb;25658.0;16758943.742550582;0.0015310034089353085;0.0005462613025229922;0;0
361;Primary somatosensory area, trunk;7363.0;5075168.862782817;0.0014507891656560011;0.00030850496264063065;0;0
182305689;Primary somatosensory area, unassigned;7255.0;4370723.553502813;0.001659908230568747;0.0004957702255472171;0;0
378;Supplemental somatosensory area;22811.0;23604778.94801309;0.0009663721083869796;0.0005630801539502512;0;0
1057;Gustatory areas;2590.0;5809501.22525088;0.0004458214052426079;0.00018644018133153812;0;0
677;Visceral area;3670.0;7614113.913962394;0.00048199961827076574;0.0002146805719236501;0;0
1011;Dorsal auditory area;4951.0;3984835.888192753;0.0012424602013523403;0.0004515486534803985;0;0
1002;Primary auditory area;3952.0;4561299.15538399;0.0008664198214965147;0.0002606540851852438;0;0
1027;Posterior auditory area;740.0;714934.2047012963;0.0010350602826580053;0.00032389137805978967;0;0
1018;Ventral auditory area;4680.0;5264916.057518881;0.000888903061107013;0.00027708100067132496;0;0
402;Anterolateral visual area;1791.0;1280413.7587183556;0.0013987666000970823;0.0001437356488119978;0;0
394;Anteromedial visual area;3771.0;2485967.6865021875;0.001516914326954057;0.00039073925292432154;0;0
409;Lateral visual area;24.0;14090.421909726403;0.0017032846960695453;0.0;0;0
385;Primary visual area;5278.0;2875504.903546954;0.0018355037383137663;0.00020458206086919743;0;0
425;Posterolateral visual area;0;0;0;0;0;0
533;posteromedial visual area;1850.0;1079543.5453289293;0.0017136872412463159;0.0004227670288850601;0;0
312782574;Laterointermediate area;0;0;0;0;0;0
312782628;Postrhinal area;0;0;0;0;0;0
39;Anterior cingulate area, dorsal part;14708.0;14236245.289059056;0.0010331375795627447;0.000320391889871454;0;0
48;Anterior cingulate area, ventral part;13997.0;11346253.156585729;0.0012336231006687608;0.0004280647529290498;0;0
972;Prelimbic area;6386.0;6860851.341512566;0.0009307882771574703;0.0002616885500777995;0;0
44;Infralimbic area;2387.0;3136244.5687396;0.0007611013579082234;6.573808712711389e-05;0;0
723;Orbital area, lateral part;7872.0;9573133.942953795;0.0008223012491947951;0.00019124092150245303;0;0
731;Orbital area, medial part;3928.0;4256985.875747603;0.0009227185888443128;0.00011461279388230829;0;0
746;Orbital area, ventrolateral part;5692.0;5274791.181269028;0.0010790948502781485;0.00018074724272014605;0;0
104;Agranular insular area, dorsal part;2212.0;5197074.689106268;0.00042562405436208844;0.00018555019054389678;0;0
111;Agranular insular area, posterior part;2817.0;8955439.557656784;0.0003145574242183905;0.0001496605207572887;0;0
119;Agranular insular area, ventral part;794.0;2075434.8587406902;0.00038257042694260935;0.00020159125896275693;0;0
894;Retrosplenial area, lateral agranular part;5336.0;4234863.966063209;0.0012600168606975168;0.0004156389148514361;0;0
879;Retrosplenial area, dorsal part;4047.0;6699247.599160268;0.0006040976900909409;0.00023524290178736276;0;0
886;Retrosplenial area, ventral part;5378.0;10238039.212314732;0.0005252958978249586;0.0003443831498152949;0;0
312782546;Anterior area;9077.0;5937376.333006416;0.0015287897365609334;0.00043541048378836506;0;0
417;Rostrolateral visual area;3584.0;2282532.465232724;0.0015701857715458957;0.0004940619278773285;0;0
541;Temporal association areas;3290.0;4628578.013199794;0.0007108014579461699;0.00023046952981531393;0;0
922;Perirhinal area;342.0;602902.263391617;0.0005672561222047575;0.0001536758560823034;0;0
