Region ID;Region Name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load;;;;;;;;;;;;;;
0;Clear Label;0;0;um2;1088;11095;11095;um2;0;;;;;;;;;;;;;;
997;root;5115903;5115903.136993;um2;1069;11294;11294;um2;0.002208;;;;;;;;;;;;;;
8;Basic cell groups and regions;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
567;Cerebrum;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
688;Cerebral cortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
695;Cortical plate;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
315;Isocortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
184;Frontal pole, cerebral cortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
68;Frontal pole, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
667;Frontal pole, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
526157192;Frontal pole, layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
526157196;Frontal pole, layer 6a;59034;59034.147186;um2;328;6070;6070;um2;0.102822;;;;;;;;;;;;;;
526322264;Frontal pole, layer 6b;1113;1112.637024;um2;7;132;132;um2;0.118637;;;;;;;;;;;;;;
500;Somatomotor areas;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
107;Somatomotor areas, Layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
219;Somatomotor areas, Layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
299;Somatomotor areas, Layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
644;Somatomotor areas, Layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
947;Somatomotor areas, Layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
985;Primary motor area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
320;Primary motor area, Layer 1;2310059;2310058.900528;um2;3274;51280;51280;um2;0.022199;;;;;;;;;;;;;;
943;Primary motor area, Layer 2/3;6900247;6900246.747086;um2;30225;552907;552907;um2;0.080129;;;;;;;;;;;;;;
648;Primary motor area, Layer 5;6475895;6475895.103210;um2;23762;453395;453395;um2;0.070013;;;;;;;;;;;;;;
844;Primary motor area, Layer 6a;5898870;5898869.722504;um2;18906;306807;306807;um2;0.052011;;;;;;;;;;;;;;
882;Primary motor area, Layer 6b;477644;477644.096085;um2;334;4180;4180;um2;0.008751;;;;;;;;;;;;;;
993;Secondary motor area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
656;Secondary motor area, layer 1;2694151;2694151.131409;um2;2022;29573;29573;um2;0.010977;;;;;;;;;;;;;;
962;Secondary motor area, layer 2/3;4625599;4625598.823776;um2;19070;352685;352685;um2;0.076246;;;;;;;;;;;;;;
767;Secondary motor area, layer 5;6374895;6374894.844391;um2;25688;531139;531139;um2;0.083317;;;;;;;;;;;;;;
1021;Secondary motor area, layer 6a;4714095;4714095.063141;um2;18779;350035;350035;um2;0.074253;;;;;;;;;;;;;;
1085;Secondary motor area, layer 6b;138485;138484.726089;um2;243;3432;3432;um2;0.024783;;;;;;;;;;;;;;
453;Somatosensory areas;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12993;Somatosensory areas, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12994;Somatosensory areas, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12995;Somatosensory areas, layer 4;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12996;Somatosensory areas, layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12997;Somatosensory areas, layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12998;Somatosensory areas, layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
322;Primary somatosensory area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
793;Primary somatosensory area, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
346;Primary somatosensory area, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
865;Primary somatosensory area, layer 4;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
921;Primary somatosensory area, layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
686;Primary somatosensory area, layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
719;Primary somatosensory area, layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
353;Primary somatosensory area, nose;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
558;Primary somatosensory area, nose, layer 1;944638;944637.691727;um2;2376;31079;31079;um2;0.032900;;;;;;;;;;;;;;
838;Primary somatosensory area, nose, layer 2/3;1427788;1427788.338181;um2;8739;124120;124120;um2;0.086932;;;;;;;;;;;;;;
654;Primary somatosensory area, nose, layer 4;1223581;1223580.842300;um2;10685;143335;143335;um2;0.117144;;;;;;;;;;;;;;
