Region ID;Region Name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load;;;;;;;;;;;;;;
0;Clear Label;0;0;um2;5488;580021;580021;um2;0;;;;;;;;;;;;;;
997;root;12186848;12186848.012939;um2;2383;107729;107729;um2;0.008840;;;;;;;;;;;;;;
8;Basic cell groups and regions;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
567;Cerebrum;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
688;Cerebral cortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
695;Cortical plate;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
315;Isocortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
184;Frontal pole, cerebral cortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
68;Frontal pole, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
667;Frontal pole, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
526157192;Frontal pole, layer 5;748554;748554.180176;um2;420;32962;32962;um2;0.044034;;;;;;;;;;;;;;
526157196;Frontal pole, layer 6a;475286;475285.948792;um2;539;30024;30024;um2;0.063170;;;;;;;;;;;;;;
526322264;Frontal pole, layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
500;Somatomotor areas;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
107;Somatomotor areas, Layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
219;Somatomotor areas, Layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
299;Somatomotor areas, Layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
644;Somatomotor areas, Layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
947;Somatomotor areas, Layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
985;Primary motor area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
320;Primary motor area, Layer 1;4783977;4783976.673798;um2;2365;125908;125908;um2;0.026319;;;;;;;;;;;;;;
943;Primary motor area, Layer 2/3;13626749;13626748.556335;um2;23241;1104505;1104505;um2;0.081054;;;;;;;;;;;;;;
648;Primary motor area, Layer 5;12273569;12273569.015747;um2;16601;806562;806562;um2;0.065715;;;;;;;;;;;;;;
844;Primary motor area, Layer 6a;11968229;11968228.844391;um2;14999;648809;648809;um2;0.054211;;;;;;;;;;;;;;
882;Primary motor area, Layer 6b;718049;718048.886902;um2;190;6694;6694;um2;0.009322;;;;;;;;;;;;;;
993;Secondary motor area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
656;Secondary motor area, layer 1;8191274;8191273.746735;um2;2306;127636;127636;um2;0.015582;;;;;;;;;;;;;;
962;Secondary motor area, layer 2/3;14132283;14132283.172668;um2;15737;819695;819695;um2;0.058002;;;;;;;;;;;;;;
767;Secondary motor area, layer 5;18783925;18783925.479614;um2;18871;971246;971246;um2;0.051706;;;;;;;;;;;;;;
1021;Secondary motor area, layer 6a;8828355;8828354.808624;um2;12458;616673;616673;um2;0.069851;;;;;;;;;;;;;;
1085;Secondary motor area, layer 6b;319641;319640.884033;um2;257;10995;10995;um2;0.034398;;;;;;;;;;;;;;
453;Somatosensory areas;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12993;Somatosensory areas, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12994;Somatosensory areas, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12995;Somatosensory areas, layer 4;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12996;Somatosensory areas, layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12997;Somatosensory areas, layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12998;Somatosensory areas, layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
322;Primary somatosensory area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
793;Primary somatosensory area, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
346;Primary somatosensory area, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
865;Primary somatosensory area, layer 4;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
921;Primary somatosensory area, layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
686;Primary somatosensory area, layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
719;Primary somatosensory area, layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
353;Primary somatosensory area, nose;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
558;Primary somatosensory area, nose, layer 1;1337744;1337744.281403;um2;772;37928;37928;um2;0.028352;;;;;;;;;;;;;;
838;Primary somatosensory area, nose, layer 2/3;1742272;1742271.786224;um2;3492;150026;150026;um2;0.086109;;;;;;;;;;;;;;
654;Primary somatosensory area, nose, layer 4;889635;889634.833466;um2;3635;149803;149803;um2;0.168387;;;;;;;;;;;;;;
702;Primary somatosensory area, nose, layer 5;377192;377192.435303;um2;564;21705;21705;um2;0.057544;;;;;;;;;;;;;;
889;Primary somatosensory area, nose, layer 6a;43784;43783.906006;um2;115;4556;4556;um2;0.104056;;;;;;;;;;;;;;
929;Primary somatosensory area, nose, layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
329;Primary somatosensory area, barrel field;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
981;Primary somatosensory area, barrel field, layer 1;467778;467778.399902;um2;203;14045;14045;um2;0.030025;;;;;;;;;;;;;;
201;Primary somatosensory area, barrel field, layer 2/3;942397;942396.870941;um2;2697;115867;115867;um2;0.122949;;;;;;;;;;;;;;
1047;Primary somatosensory area, barrel field, layer 4;930172;930171.938873;um2;4542;198418;198418;um2;0.213313;;;;;;;;;;;;;;
1070;Primary somatosensory area, barrel field, layer 5;1095012;1095012.449554;um2;2748;117819;117819;um2;0.107596;;;;;;;;;;;;;;
1038;Primary somatosensory area, barrel field, layer 6a;1257779;1257778.741730;um2;4032;162219;162219;um2;0.128973;;;;;;;;;;;;;;
1062;Primary somatosensory area, barrel field, layer 6b;186956;186956.227966;um2;364;13839;13839;um2;0.074023;;;;;;;;;;;;;;
480149202;Rostrolateral lateral visual area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
480149206;Rostrolateral lateral visual area, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
480149210;Rostrolateral lateral visual area, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
480149214;Rostrolateral lateral visual area, layer 4;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
480149218;Rostrolateral lateral visual area,layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
480149222;Rostrolateral lateral visual area, layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
480149226;Rostrolateral lateral visual area, layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
337;Primary somatosensory area, lower limb;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
1030;Primary somatosensory area, lower limb, layer 1;418890;418889.591187;um2;224;29319;29319;um2;0.069992;;;;;;;;;;;;;;
113;Primary somatosensory area, lower limb, layer 2/3;719367;719367.135620;um2;1557;74021;74021;um2;0.102897;;;;;;;;;;;;;;
1094;Primary somatosensory area, lower limb, layer 4;183537;183537.420135;um2;521;25386;25386;um2;0.138315;;;;;;;;;;;;;;
1128;Primary somatosensory area, lower limb, layer 5;170536;170535.676300;um2;282;12918;12918;um2;0.075750;;;;;;;;;;;;;;
478;Primary somatosensory area, lower limb, layer 6a;53251;53250.512299;um2;109;4353;4353;um2;0.081746;;;;;;;;;;;;;;
510;Primary somatosensory area, lower limb, layer 6b;16921;16921.180939;um2;21;820;820;um2;0.048460;;;;;;;;;;;;;;
345;Primary somatosensory area, mouth;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
878;Primary somatosensory area, mouth, layer 1;2963910;2963909.553864;um2;1528;83526;83526;um2;0.028181;;;;;;;;;;;;;;
657;Primary somatosensory area, mouth, layer 2/3;5976430;5976430.494446;um2;10942;452209;452209;um2;0.075665;;;;;;;;;;;;;;
950;Primary somatosensory area, mouth, layer 4;3590693;3590693.092865;um2;9071;357871;357871;um2;0.099666;;;;;;;;;;;;;;
974;Primary somatosensory area, mouth, layer 5;4997558;4997558.245941;um2;6866;275336;275336;um2;0.055094;;;;;;;;;;;;;;
1102;Primary somatosensory area, mouth, layer 6a;5844299;5844299.150299;um2;11377;445292;445292;um2;0.076193;;;;;;;;;;;;;;
2;Primary somatosensory area, mouth, layer 6b;372812;372811.950470;um2;166;5754;5754;um2;0.015434;;;;;;;;;;;;;;
369;Primary somatosensory area, upper limb;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
450;Primary somatosensory area, upper limb, layer 1;1174453;1174453.030579;um2;853;42233;42233;um2;0.035960;;;;;;;;;;;;;;
854;Primary somatosensory area, upper limb, layer 2/3;2502447;2502446.533417;um2;6353;282501;282501;um2;0.112890;;;;;;;;;;;;;;
577;Primary somatosensory area, upper limb, layer 4;1353208;1353208.041870;um2;3821;170478;170478;um2;0.125981;;;;;;;;;;;;;;
625;Primary somatosensory area, upper limb, layer 5;1884456;1884455.616608;um2;3344;148222;148222;um2;0.078655;;;;;;;;;;;;;;
945;Primary somatosensory area, upper limb, layer 6a;2182520;2182519.715302;um2;4366;185256;185256;um2;0.084882;;;;;;;;;;;;;;
1026;Primary somatosensory area, upper limb, layer 6b;140734;140734.414459;um2;30;955;955;um2;0.006786;;;;;;;;;;;;;;
361;Primary somatosensory area, trunk;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
1006;Primary somatosensory area, trunk, layer 1;188736;188736.248932;um2;83;6604;6604;um2;0.034991;;;;;;;;;;;;;;
670;Primary somatosensory area, trunk, layer 2/3;479867;479867.336365;um2;1225;50868;50868;um2;0.106004;;;;;;;;;;;;;;
1086;Primary somatosensory area, trunk, layer 4;193509;193508.889709;um2;855;36560;36560;um2;0.188932;;;;;;;;;;;;;;
1111;Primary somatosensory area, trunk, layer 5;446025;446024.974487;um2;942;41364;41364;um2;0.092739;;;;;;;;;;;;;;
9;Primary somatosensory area, trunk, layer 6a;254685;254685.466949;um2;557;21275;21275;um2;0.083534;;;;;;;;;;;;;;
461;Primary somatosensory area, trunk, layer 6b;30371;30371.350403;um2;56;2200;2200;um2;0.072437;;;;;;;;;;;;;;
182305689;Primary somatosensory area, unassigned;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
182305693;Primary somatosensory area, unassigned, layer 1;358284;358284.413116;um2;306;15001;15001;um2;0.041869;;;;;;;;;;;;;;
