Region ID;Region Name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load;;;;;;;;;;;;;;
0;Clear Label;0;0;um2;4687;71026;71026;um2;0;;;;;;;;;;;;;;
997;root;9952551;9952551.477585;um2;1288;33029;33029;um2;0.003319;;;;;;;;;;;;;;
8;Basic cell groups and regions;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
567;Cerebrum;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
688;Cerebral cortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
695;Cortical plate;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
315;Isocortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
184;Frontal pole, cerebral cortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
68;Frontal pole, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
667;Frontal pole, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
526157192;Frontal pole, layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
526157196;Frontal pole, layer 6a;734136;734136.161835;um2;285;11279;11279;um2;0.015364;;;;;;;;;;;;;;
526322264;Frontal pole, layer 6b;2230;2229.713745;um2;1;13;13;um2;0.005830;;;;;;;;;;;;;;
500;Somatomotor areas;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
107;Somatomotor areas, Layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
219;Somatomotor areas, Layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
299;Somatomotor areas, Layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
644;Somatomotor areas, Layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
947;Somatomotor areas, Layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
985;Primary motor area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
320;Primary motor area, Layer 1;6529727;6529727.411713;um2;1500;50144;50144;um2;0.007679;;;;;;;;;;;;;;
943;Primary motor area, Layer 2/3;19393804;19393804.447083;um2;12046;445785;445785;um2;0.022986;;;;;;;;;;;;;;
648;Primary motor area, Layer 5;16508932;16508932.347504;um2;5295;176049;176049;um2;0.010664;;;;;;;;;;;;;;
844;Primary motor area, Layer 6a;16629986;16629985.967377;um2;8576;297114;297114;um2;0.017866;;;;;;;;;;;;;;
882;Primary motor area, Layer 6b;1175150;1175150.161591;um2;507;13091;13091;um2;0.011140;;;;;;;;;;;;;;
993;Secondary motor area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
656;Secondary motor area, layer 1;8137129;8137128.984863;um2;1129;47448;47448;um2;0.005831;;;;;;;;;;;;;;
962;Secondary motor area, layer 2/3;14715209;14715208.783752;um2;8339;350658;350658;um2;0.023830;;;;;;;;;;;;;;
767;Secondary motor area, layer 5;21493713;21493712.505676;um2;9536;370045;370045;um2;0.017216;;;;;;;;;;;;;;
