2png_finale, scala_png
F75_s001.png, 0.99999
F75_s002.png, 0.87402
F75_s003.png, 1.01681
F75_s004.png, 0.99968
F75_s005.png, 0.90569
F75_s006.png, 0.97895
F75_s007.png, 0.97482
F75_s008.png, 0.99088
F75_s009.png, 0.97495
F75_s010.png, 1.09325
F75_s011.png, 1.11958
F75_s012.png, 1.13706
F75_s013.png, 1.11828
F75_s014.png, 1.10587
F75_s015.png, 1.11573
F75_s016.png, 1.12884
F75_s017.png, 1.12182
F75_s018.png, 1.10779
F75_s019.png, 1.10562
F75_s020.png, 1.12248
F75_s021.png, 1.13386
F75_s022.png, 1.10879
F75_s023.png, 1.12792
F75_s024.png, 1.10538
F75_s025.png, 1.12289
F75_s026.png, 1.10699
F75_s027.png, 1.14583
F75_s028.png, 1.10707
F75_s029.png, 1.10833
F75_s030.png, 1.21841
F75_s031.png, 1.13409
F75_s032.png, 1.11583
F75_s033.png, 1.09463
F75_s034.png, 1.12768
F75_s035.png, 1.1188
F75_s036.png, 1.16831
F75_s037.png, 1.13617
F75_s038.png, 1.13571
F75_s039.png, 1.12627
F75_s040.png, 1.1477
F75_s041.png, 1.14726
F75_s042.png, 1.18969
F75_s043.png, 1.20456
