Region ID;Region Name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load
0;Clear Label;0;0;um2;73;512;512;um2;0
997;root;219472;219471.9602;um2;36;299;299;um2;0.001362
8;Basic cell groups and regions;0;0;um2;0;0;0;um2;0
567;Cerebrum;0;0;um2;0;0;0;um2;0
688;Cerebral cortex;0;0;um2;0;0;0;um2;0
695;Cortical plate;0;0;um2;0;0;0;um2;0
315;Isocortex;0;0;um2;0;0;0;um2;0
184;Frontal pole, cerebral cortex;0;0;um2;0;0;0;um2;0
68;Frontal pole, layer 1;0;0;um2;0;0;0;um2;0
667;Frontal pole, layer 2/3;0;0;um2;0;0;0;um2;0
526157192;Frontal pole, layer 5;0;0;um2;0;0;0;um2;0
526157196;Frontal pole, layer 6a;0;0;um2;0;0;0;um2;0
526322264;Frontal pole, layer 6b;0;0;um2;0;0;0;um2;0
500;Somatomotor areas;0;0;um2;0;0;0;um2;0
107;Somatomotor areas, Layer 1;0;0;um2;0;0;0;um2;0
219;Somatomotor areas, Layer 2/3;0;0;um2;0;0;0;um2;0
299;Somatomotor areas, Layer 5;0;0;um2;0;0;0;um2;0
644;Somatomotor areas, Layer 6a;0;0;um2;0;0;0;um2;0
947;Somatomotor areas, Layer 6b;0;0;um2;0;0;0;um2;0
985;Primary motor area;0;0;um2;0;0;0;um2;0
320;Primary motor area, Layer 1;10035;10034.85364;um2;3;12;12;um2;0.001196
943;Primary motor area, Layer 2/3;100349;100348.5364;um2;99;751;751;um2;0.007484
648;Primary motor area, Layer 5;181275;181274.7754;um2;159;1092;1092;um2;0.006024
844;Primary motor area, Layer 6a;146315;146314.6401;um2;55;314;314;um2;0.002146
882;Primary motor area, Layer 6b;10035;10034.85364;um2;2;5;5;um2;0.000498
993;Secondary motor area;0;0;um2;0;0;0;um2;0
656;Secondary motor area, layer 1;18775;18774.88745;um2;3;9;9;um2;0.000479
962;Secondary motor area, layer 2/3;110707;110707.095;um2;124;948;948;um2;0.008563
767;Secondary motor area, layer 5;202316;202315.5975;um2;131;997;997;um2;0.004928
1021;Secondary motor area, layer 6a;143078;143077.5906;um2;58;338;338;um2;0.002362
1085;Secondary motor area, layer 6b;2913;2913.344604;um2;0;0;0;um2;0
453;Somatosensory areas;0;0;um2;0;0;0;um2;0
12993;Somatosensory areas, layer 1;0;0;um2;0;0;0;um2;0
12994;Somatosensory areas, layer 2/3;0;0;um2;0;0;0;um2;0
12995;Somatosensory areas, layer 4;0;0;um2;0;0;0;um2;0
12996;Somatosensory areas, layer 5;0;0;um2;0;0;0;um2;0
12997;Somatosensory areas, layer 6a;0;0;um2;0;0;0;um2;0
12998;Somatosensory areas, layer 6b;0;0;um2;0;0;0;um2;0
322;Primary somatosensory area;0;0;um2;0;0;0;um2;0
793;Primary somatosensory area, layer 1;0;0;um2;0;0;0;um2;0
346;Primary somatosensory area, layer 2/3;0;0;um2;0;0;0;um2;0
865;Primary somatosensory area, layer 4;0;0;um2;0;0;0;um2;0
921;Primary somatosensory area, layer 5;0;0;um2;0;0;0;um2;0
686;Primary somatosensory area, layer 6a;0;0;um2;0;0;0;um2;0
719;Primary somatosensory area, layer 6b;0;0;um2;0;0;0;um2;0
353;Primary somatosensory area, nose;0;0;um2;0;0;0;um2;0
558;Primary somatosensory area, nose, layer 1;18127;18127.47754;um2;4;32;32;um2;0.001765
838;Primary somatosensory area, nose, layer 2/3;50498;50497.97315;um2;78;463;463;um2;0.009169
654;Primary somatosensory area, nose, layer 4;90637;90637.3877;um2;264;1593;1593;um2;0.017576
702;Primary somatosensory area, nose, layer 5;175124;175124.3812;um2;42;163;163;um2;0.000931
889;Primary somatosensory area, nose, layer 6a;365463;365462.8954;um2;144;884;884;um2;0.002419
929;Primary somatosensory area, nose, layer 6b;33342;33341.61047;um2;5;47;47;um2;0.00141
329;Primary somatosensory area, barrel field;0;0;um2;0;0;0;um2;0
981;Primary somatosensory area, barrel field, layer 1;273207;273206.9829;um2;114;802;802;um2;0.002936
