Region ID;Region Name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load;;;;;;;;;;;;;;
0;Clear Label;0;0;um2;23;4132;4132;um2;0;;;;;;;;;;;;;;
997;root;60885;60885.326294;um2;1;6;6;um2;0.000099;;;;;;;;;;;;;;
8;Basic cell groups and regions;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
567;Cerebrum;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
688;Cerebral cortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
695;Cortical plate;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
315;Isocortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
184;Frontal pole, cerebral cortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
68;Frontal pole, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
667;Frontal pole, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
526157192;Frontal pole, layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
526157196;Frontal pole, layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
526322264;Frontal pole, layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
500;Somatomotor areas;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
107;Somatomotor areas, Layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
219;Somatomotor areas, Layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
299;Somatomotor areas, Layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
644;Somatomotor areas, Layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
947;Somatomotor areas, Layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
985;Primary motor area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
320;Primary motor area, Layer 1;88560;88560.474609;um2;99;1248;1248;um2;0.014092;;;;;;;;;;;;;;
943;Primary motor area, Layer 2/3;237596;237596.273315;um2;889;12504;12504;um2;0.052627;;;;;;;;;;;;;;
648;Primary motor area, Layer 5;223041;223041.195313;um2;704;11878;11878;um2;0.053255;;;;;;;;;;;;;;
844;Primary motor area, Layer 6a;241081;241081.291992;um2;826;12666;12666;um2;0.052538;;;;;;;;;;;;;;
882;Primary motor area, Layer 6b;20500;20500.109863;um2;26;355;355;um2;0.017317;;;;;;;;;;;;;;
993;Secondary motor area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
656;Secondary motor area, layer 1;76055;76055.407593;um2;22;423;423;um2;0.005562;;;;;;;;;;;;;;
962;Secondary motor area, layer 2/3;120541;120540.645996;um2;321;4069;4069;um2;0.033756;;;;;;;;;;;;;;
767;Secondary motor area, layer 5;145346;145345.778931;um2;385;6099;6099;um2;0.041962;;;;;;;;;;;;;;
1021;Secondary motor area, layer 6a;118286;118285.633911;um2;333;5816;5816;um2;0.049169;;;;;;;;;;;;;;
1085;Secondary motor area, layer 6b;4510;4510.024170;um2;13;227;227;um2;0.050332;;;;;;;;;;;;;;
453;Somatosensory areas;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12993;Somatosensory areas, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12994;Somatosensory areas, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12995;Somatosensory areas, layer 4;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
