Region ID;Region Name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load;;;;;;;;;;;;;;
0;Clear Label;0;0;um2;2784;66771;66771;um2;0;;;;;;;;;;;;;;
997;root;7456701;7456700.726471;um2;1073;19725;19725;um2;0.002645;;;;;;;;;;;;;;
8;Basic cell groups and regions;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
567;Cerebrum;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
688;Cerebral cortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
695;Cortical plate;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
315;Isocortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
184;Frontal pole, cerebral cortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
68;Frontal pole, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
667;Frontal pole, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
526157192;Frontal pole, layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
526157196;Frontal pole, layer 6a;458620;458619.761658;um2;696;21481;21481;um2;0.046838;;;;;;;;;;;;;;
526322264;Frontal pole, layer 6b;3353;3352.671143;um2;5;201;201;um2;0.059952;;;;;;;;;;;;;;
500;Somatomotor areas;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
107;Somatomotor areas, Layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
219;Somatomotor areas, Layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
299;Somatomotor areas, Layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
644;Somatomotor areas, Layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
947;Somatomotor areas, Layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
985;Primary motor area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
320;Primary motor area, Layer 1;4619855;4619855.393982;um2;1723;36321;36321;um2;0.007862;;;;;;;;;;;;;;
943;Primary motor area, Layer 2/3;13022074;13022073.663818;um2;25426;575501;575501;um2;0.044194;;;;;;;;;;;;;;
648;Primary motor area, Layer 5;11550882;11550882.316528;um2;18571;474653;474653;um2;0.041092;;;;;;;;;;;;;;
844;Primary motor area, Layer 6a;10273409;10273409.262238;um2;18848;569785;569785;um2;0.055462;;;;;;;;;;;;;;
882;Primary motor area, Layer 6b;639675;639675.278656;um2;307;8135;8135;um2;0.012717;;;;;;;;;;;;;;
993;Secondary motor area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
656;Secondary motor area, layer 1;5723229;5723228.822968;um2;1161;25199;25199;um2;0.004403;;;;;;;;;;;;;;
962;Secondary motor area, layer 2/3;10618720;10618719.957703;um2;15507;371542;371542;um2;0.034989;;;;;;;;;;;;;;
767;Secondary motor area, layer 5;15238829;15238829.132324;um2;24408;675632;675632;um2;0.044336;;;;;;;;;;;;;;
1021;Secondary motor area, layer 6a;8732249;8732248.967957;um2;15671;469272;469272;um2;0.053740;;;;;;;;;;;;;;
1085;Secondary motor area, layer 6b;278792;278791.512909;um2;326;10145;10145;um2;0.036389;;;;;;;;;;;;;;
453;Somatosensory areas;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12993;Somatosensory areas, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
