Region ID;Region Name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load;;;;;;;;;;;;;;
0;Clear Label;0;0;um2;628;2750;2750;um2;0;;;;;;;;;;;;;;
997;root;2736778;2736777.966202;um2;1172;5811;5811;um2;0.002123;;;;;;;;;;;;;;
8;Basic cell groups and regions;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
567;Cerebrum;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
688;Cerebral cortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
695;Cortical plate;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
315;Isocortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
184;Frontal pole, cerebral cortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
68;Frontal pole, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
667;Frontal pole, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
526157192;Frontal pole, layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
526157196;Frontal pole, layer 6a;43794;43793.602203;um2;105;902;902;um2;0.020597;;;;;;;;;;;;;;
526322264;Frontal pole, layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
500;Somatomotor areas;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
107;Somatomotor areas, Layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
219;Somatomotor areas, Layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
299;Somatomotor areas, Layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
644;Somatomotor areas, Layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
947;Somatomotor areas, Layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
985;Primary motor area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
320;Primary motor area, Layer 1;2184894;2184894.342468;um2;2348;13573;13573;um2;0.006212;;;;;;;;;;;;;;
943;Primary motor area, Layer 2/3;6678889;6678888.541664;um2;26848;163467;163467;um2;0.024475;;;;;;;;;;;;;;
648;Primary motor area, Layer 5;6314770;6314769.964188;um2;17330;100368;100368;um2;0.015894;;;;;;;;;;;;;;
844;Primary motor area, Layer 6a;5560749;5560749.097878;um2;17594;111982;111982;um2;0.020138;;;;;;;;;;;;;;
882;Primary motor area, Layer 6b;343803;343803.174141;um2;455;3006;3006;um2;0.008743;;;;;;;;;;;;;;
993;Secondary motor area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
656;Secondary motor area, layer 1;2213103;2213102.581810;um2;1875;11000;11000;um2;0.004970;;;;;;;;;;;;;;
962;Secondary motor area, layer 2/3;3961866;3961865.592499;um2;15119;97642;97642;um2;0.024645;;;;;;;;;;;;;;
767;Secondary motor area, layer 5;5637287;5637287.054665;um2;21404;131581;131581;um2;0.023341;;;;;;;;;;;;;;
1021;Secondary motor area, layer 6a;4360587;4360587.140083;um2;14000;91980;91980;um2;0.021093;;;;;;;;;;;;;;
