Region ID;Region Name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load;;;;;;;;;;;;;;
0;Clear Label;0;0;um2;1280;23600;23600;um2;0;;;;;;;;;;;;;;
997;root;6181199;6181198.949615;um2;742;17145;17145;um2;0.002774;;;;;;;;;;;;;;
8;Basic cell groups and regions;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
567;Cerebrum;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
688;Cerebral cortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
695;Cortical plate;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
315;Isocortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
184;Frontal pole, cerebral cortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
68;Frontal pole, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
667;Frontal pole, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
526157192;Frontal pole, layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
526157196;Frontal pole, layer 6a;82822;82821.725464;um2;58;2600;2600;um2;0.031393;;;;;;;;;;;;;;
526322264;Frontal pole, layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
500;Somatomotor areas;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
107;Somatomotor areas, Layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
219;Somatomotor areas, Layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
299;Somatomotor areas, Layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
644;Somatomotor areas, Layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
947;Somatomotor areas, Layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
985;Primary motor area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
320;Primary motor area, Layer 1;4748100;4748100.187103;um2;1595;68867;68867;um2;0.014504;;;;;;;;;;;;;;
943;Primary motor area, Layer 2/3;14729203;14729202.989319;um2;18031;816836;816836;um2;0.055457;;;;;;;;;;;;;;
648;Primary motor area, Layer 5;13923999;13923999.313446;um2;13944;641722;641722;um2;0.046087;;;;;;;;;;;;;;
844;Primary motor area, Layer 6a;13578678;13578677.891144;um2;16586;696421;696421;um2;0.051288;;;;;;;;;;;;;;
882;Primary motor area, Layer 6b;896811;896810.726746;um2;265;7484;7484;um2;0.008345;;;;;;;;;;;;;;
993;Secondary motor area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
656;Secondary motor area, layer 1;5082950;5082949.576721;um2;583;22370;22370;um2;0.004401;;;;;;;;;;;;;;
962;Secondary motor area, layer 2/3;8994583;8994582.923492;um2;6327;269562;269562;um2;0.029969;;;;;;;;;;;;;;
767;Secondary motor area, layer 5;11835650;11835649.827545;um2;9810;436355;436355;um2;0.036868;;;;;;;;;;;;;;
1021;Secondary motor area, layer 6a;8921917;8921916.944489;um2;9368;394838;394838;um2;0.044255;;;;;;;;;;;;;;
1085;Secondary motor area, layer 6b;340887;340887.122498;um2;192;5786;5786;um2;0.016973;;;;;;;;;;;;;;
453;Somatosensory areas;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12993;Somatosensory areas, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12994;Somatosensory areas, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12995;Somatosensory areas, layer 4;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12996;Somatosensory areas, layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12997;Somatosensory areas, layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12998;Somatosensory areas, layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
322;Primary somatosensory area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
793;Primary somatosensory area, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
346;Primary somatosensory area, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
865;Primary somatosensory area, layer 4;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
921;Primary somatosensory area, layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
686;Primary somatosensory area, layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
719;Primary somatosensory area, layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
353;Primary somatosensory area, nose;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
558;Primary somatosensory area, nose, layer 1;2049218;2049217.850403;um2;960;35364;35364;um2;0.017257;;;;;;;;;;;;;;
838;Primary somatosensory area, nose, layer 2/3;2980461;2980461.266083;um2;5330;210032;210032;um2;0.070470;;;;;;;;;;;;;;
654;Primary somatosensory area, nose, layer 4;2313221;2313221.203400;um2;9524;353980;353980;um2;0.153025;;;;;;;;;;;;;;
702;Primary somatosensory area, nose, layer 5;2108654;2108654.483063;um2;2911;98280;98280;um2;0.046608;;;;;;;;;;;;;;
889;Primary somatosensory area, nose, layer 6a;2782202;2782201.516449;um2;6944;230773;230773;um2;0.082946;;;;;;;;;;;;;;
929;Primary somatosensory area, nose, layer 6b;165610;165610.125549;um2;170;4713;4713;um2;0.028458;;;;;;;;;;;;;;
329;Primary somatosensory area, barrel field;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
981;Primary somatosensory area, barrel field, layer 1;1798107;1798107.202484;um2;822;30891;30891;um2;0.017180;;;;;;;;;;;;;;
201;Primary somatosensory area, barrel field, layer 2/3;3137239;3137238.756714;um2;5202;194174;194174;um2;0.061893;;;;;;;;;;;;;;
1047;Primary somatosensory area, barrel field, layer 4;2531299;2531298.703827;um2;9461;336490;336490;um2;0.132932;;;;;;;;;;;;;;
