png_finale, scala_png
F71_s001.png, 0.82961
F71_s002.png, 0.86431
F71_s003.png, 0.78804
F71_s004.png, 0.81616
F71_s005.png, 0.82757
F71_s006.png, 0.94571
F71_s007.png, 0.81071
F71_s008.png, 0.89321
F71_s009.png, 1.16078
F71_s010.png, 1.1273
F71_s011.png, 1.14194
F71_s012.png, 1.13877
F71_s013.png, 1.14935
F71_s014.png, 1.1435
F71_s015.png, 1.1503
F71_s016.png, 1.14734
F71_s017.png, 1.13652
F71_s018.png, 1.1521
F71_s019.png, 1.34513
F71_s020.png, 1.29857
F71_s021.png, 1.34933
F71_s022.png, 1.2885
F71_s023.png, 1.32307
F71_s024.png, 1.33171
F71_s025.png, 1.33044
F71_s026.png, 1.32973
F71_s027.png, 1.34652
F71_s028.png, 1.28805
F71_s029.png, 1.31542
F71_s030.png, 1.31251
F71_s031.png, 1.29614
F71_s032.png, 1.31279
F71_s033.png, 1.28185
F71_s034.png, 1.30287
F71_s035.png, 1.30276
F71_s036.png, 1.39646
F71_s037.png, 1.30606
