Region ID;Region Name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load;;;;;;;;;;;;;;
0;Clear Label;0;0;um2;2754;21343;21343;um2;0;;;;;;;;;;;;;;
997;root;5189993;5189992.783066;um2;1390;13082;13082;um2;0.002521;;;;;;;;;;;;;;
8;Basic cell groups and regions;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
567;Cerebrum;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
688;Cerebral cortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
695;Cortical plate;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
315;Isocortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
184;Frontal pole, cerebral cortex;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
68;Frontal pole, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
667;Frontal pole, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
526157192;Frontal pole, layer 5;7810;7809.801392;um2;5;76;76;um2;0.009731;;;;;;;;;;;;;;
526157196;Frontal pole, layer 6a;285003;285003.455597;um2;506;8214;8214;um2;0.028821;;;;;;;;;;;;;;
526322264;Frontal pole, layer 6b;2745;2745.230286;um2;5;70;70;um2;0.025499;;;;;;;;;;;;;;
500;Somatomotor areas;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
107;Somatomotor areas, Layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
219;Somatomotor areas, Layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
299;Somatomotor areas, Layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
644;Somatomotor areas, Layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
947;Somatomotor areas, Layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
985;Primary motor area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
320;Primary motor area, Layer 1;3848890;3848890.298981;um2;2308;32039;32039;um2;0.008324;;;;;;;;;;;;;;
943;Primary motor area, Layer 2/3;11858060;11858059.913193;um2;30897;528839;528839;um2;0.044597;;;;;;;;;;;;;;
648;Primary motor area, Layer 5;10560395;10560394.750626;um2;27737;502833;502833;um2;0.047615;;;;;;;;;;;;;;
844;Primary motor area, Layer 6a;8824292;8824292.479904;um2;23352;403342;403342;um2;0.045708;;;;;;;;;;;;;;
882;Primary motor area, Layer 6b;500482;500482.045761;um2;447;5658;5658;um2;0.011305;;;;;;;;;;;;;;
993;Secondary motor area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
656;Secondary motor area, layer 1;5388261;5388261.167999;um2;2496;38924;38924;um2;0.007224;;;;;;;;;;;;;;
962;Secondary motor area, layer 2/3;9652014;9652014.138260;um2;20140;371063;371063;um2;0.038444;;;;;;;;;;;;;;
767;Secondary motor area, layer 5;13330703;13330703.174210;um2;30810;582723;582723;um2;0.043713;;;;;;;;;;;;;;
1021;Secondary motor area, layer 6a;8114509;8114508.726471;um2;18555;325211;325211;um2;0.040078;;;;;;;;;;;;;;
1085;Secondary motor area, layer 6b;208070;208070.398636;um2;307;4372;4372;um2;0.021012;;;;;;;;;;;;;;
453;Somatosensory areas;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12993;Somatosensory areas, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12994;Somatosensory areas, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12995;Somatosensory areas, layer 4;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12996;Somatosensory areas, layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12997;Somatosensory areas, layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
12998;Somatosensory areas, layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
322;Primary somatosensory area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
793;Primary somatosensory area, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
346;Primary somatosensory area, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
865;Primary somatosensory area, layer 4;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
921;Primary somatosensory area, layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
686;Primary somatosensory area, layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
719;Primary somatosensory area, layer 6b;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
353;Primary somatosensory area, nose;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
558;Primary somatosensory area, nose, layer 1;1193723;1193722.799210;um2;1886;33113;33113;um2;0.027739;;;;;;;;;;;;;;
838;Primary somatosensory area, nose, layer 2/3;1829106;1829106.207581;um2;8356;138697;138697;um2;0.075828;;;;;;;;;;;;;;
654;Primary somatosensory area, nose, layer 4;1558532;1558531.604172;um2;12749;192759;192759;um2;0.123680;;;;;;;;;;;;;;
702;Primary somatosensory area, nose, layer 5;1584560;1584560.431091;um2;5172;83003;83003;um2;0.052382;;;;;;;;;;;;;;
889;Primary somatosensory area, nose, layer 6a;2262016;2262015.968826;um2;9878;159214;159214;um2;0.070386;;;;;;;;;;;;;;
929;Primary somatosensory area, nose, layer 6b;150212;150212.074142;um2;213;3076;3076;um2;0.020478;;;;;;;;;;;;;;
329;Primary somatosensory area, barrel field;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
981;Primary somatosensory area, barrel field, layer 1;2201834;2201834.190521;um2;3675;62573;62573;um2;0.028419;;;;;;;;;;;;;;
201;Primary somatosensory area, barrel field, layer 2/3;4084969;4084969.072540;um2;18155;302781;302781;um2;0.074121;;;;;;;;;;;;;;
1047;Primary somatosensory area, barrel field, layer 4;3483412;3483411.510834;um2;26984;405348;405348;um2;0.116365;;;;;;;;;;;;;;
1070;Primary somatosensory area, barrel field, layer 5;3236949;3236949.440506;um2;11747;185816;185816;um2;0.057405;;;;;;;;;;;;;;
1038;Primary somatosensory area, barrel field, layer 6a;3475189;3475189.245377;um2;15571;240225;240225;um2;0.069126;;;;;;;;;;;;;;
1062;Primary somatosensory area, barrel field, layer 6b;390642;390642.317398;um2;767;11597;11597;um2;0.029687;;;;;;;;;;;;;;
480149202;Rostrolateral lateral visual area;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
480149206;Rostrolateral lateral visual area, layer 1;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
480149210;Rostrolateral lateral visual area, layer 2/3;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
480149214;Rostrolateral lateral visual area, layer 4;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
480149218;Rostrolateral lateral visual area,layer 5;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
480149222;Rostrolateral lateral visual area, layer 6a;0;0;um2;0;0;0;um2;0;;;;;;;;;;;;;;
