sigla;name;tot_objects;tot_area;avrg_density;densities_stdev;slices_count;ideal_count
FP;Frontal pole, cerebral cortex;1018.0;639385.7840665726;0.0015921530089790146;0.0003907479963609441;0;0
M1;Primary motor area;39838.0;36704308.73160782;0.001085376659489942;0.0007130393163071716;0;0
M2;Secondary motor area;49170.0;41386385.93510195;0.0011880718475177695;0.000566873023740275;0;0
S1;primary somatosensory area;127522.0;67134612.63990581;0.001899497069924241;0.0003827690872123207;0;0
SS;Supplemental somatosensory area;27457.0;22667227.33756249;0.0012113082730017114;0.0006455391849976553;0;0
GA;Gustatory areas;3040.0;4136906.0275236834;0.0007348486960482683;0.0002603269732490179;0;0
VA;Visceral area;2302.0;3270937.387171624;0.000703773789442829;0.00026476374737072287;0;0
AuA;auditory area;19739.0;11425709.789743822;0.0017275950784010393;0.00046144479130157514;0;0
ViA;visual area;74600.0;26793373.2461614;0.002784270547594738;0.00037462336695130374;0;0
dACC;Anterior cingulate area, dorsal part;17234.0;12900161.817421816;0.0013359522340816907;0.0003283032071786122;0;0
Vacc;Anterior cingulate area, ventral part;14818.0;9054932.335382683;0.0016364561822397932;0.0003611897928120266;0;0
PL;Prelimbic area;13885.0;9412266.07846033;0.001475202664720176;0.00028773546731443466;0;0
IL;Infralimbic area;6241.0;4791991.233812686;0.0013023813474371548;0.0003494461735798344;0;0
OA;orbital area;21016.0;9019208.190311633;0.002330138029475274;0.0005308148065343026;0;0
AU;agranular insular area;22145.0;21179300.03214101;0.0010455964062265266;0.0005205933665200856;0;0
RS;retrosplenial area;33177.0;22253385.43781385;0.001490874280352162;0.0006051648321121892;0;0
AA;Anterior area;6322.0;2852696.7308445913;0.002216148646872905;0.0001528896779152459;0;0
TeAA;Temporal association areas;13607.0;9733597.731303003;0.0013979414781278903;0.0005081992267103103;0;0
Prh;Perirhinal area;2913.0;2309890.709689834;0.0012610986259134094;0.0004713913425606747;0;0
Ech;Ectorhinal area;5673.0;4338333.457560273;0.0013076449875271453;0.0005334689065068349;0;0
aOn;Anterior olfactory nucleus;25554.0;11195255.008034592;0.0022825741782264404;0.0006031131593487755;5;8
TT;taenia tecta;8021.0;5864857.097148393;0.001367637756067401;0.00031975729292254266;0;0
DPA;Dorsal peduncular area;4501.0;3134492.6525543206;0.0014359580636860332;0.00035814363048225256;7;9
PC;Piriform area;43607.0;32667576.26299268;0.0013348709940688192;0.0004958417402324809;19;54
CCA;central amygdalar area;4345.0;6476638.717298932;0.000670872684065983;0.00018617071071984267;0;0
PAA;Piriform-amygdalar area;2021.0;2069688.5580483717;0.0009764754180724258;0.00043903599309477894;7;24
CA1;Field CA1;23139.0;28033875.855084464;0.0008253942522829326;0.00022636526396366542;8;21
CA2;Field CA2;508.0;852301.7838894728;0.0005960330127220265;0.00017355574377539456;5;21
CA3;Field CA3;7198.0;10392526.922400137;0.0006926130722341813;0.0003167981947093074;8;24
DG;Dentate gyrus;8005.0;17921202.03920845;0.0004466776270077455;0.0003419708650626934;0;0
FC;Fasciola cinerea;55.0;93549.69822906001;0.0005879227944202491;2.242794843294421e-05;2;11
IG;Induseum griseum;59.0;295596.7051396009;0.0001995962707775656;8.796231717384135e-05;8;21
lpEC;Entorhinal area, lateral part;12640.0;11669423.707502492;0.0010831725984783212;0.00021809305575034755;0;0
Sub;Subiculum;6088.0;4799863.910325191;0.0012683692941593292;0.0005977773697856525;7;9
proSub;Prosubiculum;3809.0;3091327.871823389;0.0012321565870505025;0.0006377682979250295;7;7
Clst;Claustrum;3697.0;2300374.1922036516;0.0016071298367586213;0.00029254934996164746;12;29
dEPn;Endopiriform nucleus, dorsal part;6627.0;5897786.111475798;0.0011236419691628544;0.000319924377985923;18;52
vEPn;Endopiriform nucleus, ventral part;1206.0;1828430.470718744;0.0006595820947601739;0.0003226479635494661;11;31
LAn;Lateral amygdalar nucleus;826.0;763444.4183984861;0.0010819386193597954;0.0007789020441578261;3;17
BLA;basolateral amygdalar nucleus;1832.0;2108751.7003107686;0.0008687604139121815;0.0002860402016991641;0;0
BMe;basomedial amygdalar nucleus;3494.0;2231561.621856599;0.0015657197030898417;0.000977104693860438;0;0
PAn;Posterior amygdalar nucleus;1238.0;1585120.2314959816;0.0007810133107894399;0.0001448611908480072;5;12
DLS;DLS;35421.0;58622938.152831085;0.0006042174124343069;0.00043008605682062355;15;39
DMS;DMS;40894.0;27325065.46294283;0.0014965746397006374;;13;39
NACC SHELL;NACC_SHELL;18101.0;11624930.836119909;0.0015570845328178855;0.00023768841705814153;8;16
NACC CORE;NACC_CORE;7108.0;4443149.564976811;0.0015997660884587161;;7;16
FStr;Fundus of striatum;1912.0;2766763.8799576657;0.0006910600553413527;0.00023330881531461286;7;9
OT;Olfactory tubercle;13882.0;14980828.100779546;0.0009266510440285763;0.00036131241590604016;11;22
LSN;lateral septal nucleus;9958.0;9241186.178563248;0.001077567295754688;0.00033165880514653015;0;0
SFn;Septofimbrial nucleus;1098.0;2480755.7088217596;0.00044260706368443574;0.00021625187635762174;6;11
aAA;Anterior amygdalar area;2755.0;2820728.684287714;0.0009766979771383749;6.584962075518627e-05;4;9
CA;central amygdalar nucleus;735.0;548015.7235043892;0.0013412023934275185;0.0;0;0
IAn;Intercalated amygdalar nucleus;170.0;158295.1056989588;0.0010739435009652241;0.0011550112099141742;5;20
MAn;Medial amygdalar nucleus;1920.0;1687004.3420488206;0.0011381120677307875;0.00039458275167576713;2;18
Gpe;Globus pallidus, external segment;2913.0;4515816.808491661;0.0006450660253804623;0.00027928333262248746;5;17
Gpi;Globus pallidus, internal segment;339.0;356648.583168;0.0009505154821835179;0.0;1;8
SubInn;Substantia innominata;11496.0;11964844.157384902;0.00096081485465103;0.0007669572714804542;15;35
MGCn;Magnocellular nucleus;2529.0;2267816.482179475;0.001115169600306245;0.0002806744913288068;6;11
MSn;Medial septal nucleus;704.0;1062891.0875003736;0.0006623444379946901;0.0002231002056814066;3;10
DBn;Diagonal band nucleus;3086.0;2892464.461491676;0.001066910256317727;0.00046436739832777764;10;18
TnS;Triangular nucleus of septum;409.0;2069385.1970863475;0.00019764324233876985;0.00010998830662711781;4;7
BNST;Bed nuclei of the stria terminalis;5797.0;8044279.786835587;0.0007206362972962171;0.00015725467586526998;6;12
VALCT;Ventral anterior-lateral complex of the thalamus;969.0;1320417.357338538;0.0007338588777363072;8.634631818746087e-05;2;11
VMT;Ventral medial nucleus of the thalamus;1714.0;2044584.418465737;0.0008383121697103568;0.0004071606577612231;4;15
VPLT;Ventral posterolateral nucleus of the thalamus;952.0;1935548.0893907114;0.000491850347308952;7.573069886108266e-05;3;15
parVPT;Ventral posterolateral nucleus of the thalamus, parvicellular part;22.0;104428.1482403896;0.00021067116836503548;0.0;1;5
VPMT;Ventral posteromedial nucleus of the thalamus;1704.0;3041883.3100721;0.000560179279184648;0.0002369715630923958;3;14
PTTn;Posterior triangular thalamic nucleus;542.0;988771.3499688059;0.0005481550411195665;0.0001651724654591857;4;7
MGC;medial geniculate complex;802.0;2435046.9609491876;0.00032935709777333344;0.00026453082171836497;0;0
dLGC;dorsal part of the lateral geniculate complex;1148.0;1392994.2266274248;0.0008241240186468111;0.0005279112890339461;0;0
LPT;Lateral posterior nucleus of the thalamus;2014.0;2897973.722262063;0.0006949683444430744;0.00027707379200647193;5;18
PCT;Posterior complex of the thalamus;1470.0;2403768.7406147094;0.0006115396939657685;8.948720269003117e-05;2;13
PlnT;Posterior limiting nucleus of the thalamus;427.0;573281.5035079592;0.0007448347755634013;0.00018778806172069947;5;9
SGn;Suprageniculate nucleus;376.0;668255.6125068156;0.0005626589481074731;7.525704233078589e-05;4;6
EnT;Ethmoid nucleus of the thalamus;704.0;667841.6746334371;0.0010541420620185306;0.000350049631505325;4;13
AVT;Anteroventral nucleus of thalamus;1193.0;1483526.1516262968;0.000804165129608392;0.0002688267592702364;3;8
AMn;anteromedial nucleus;1659.0;1481108.2615072438;0.0011201071813020105;0.00016090353783756284;0;0
ADn;Anterodorsal nucleus;116.0;451062.81244104163;0.00025717039135245124;9.193925399338969e-05;2;6
IADT;Interanterodorsal nucleus of the thalamus;760.0;440178.4289486571;0.00172657256698203;0.0005415993928579816;3;6
LDT;Lateral dorsal nucleus of thalamus;759.0;1322365.9676595756;0.0005739712141437942;0.00010157079317974811;2;11
IMDT;Intermediodorsal nucleus of the thalamus;806.0;447597.14753581444;0.0018007263997041178;0.00029065131529533856;3;13
MDT;Mediodorsal nucleus of thalamus;3317.0;2787526.820260443;0.0011899437077667607;0.0003476648161158524;5;16
SMT;Submedial nucleus of the thalamus;27.0;29586.456575999997;0.0009125797112825574;0.0;1;8
pRE ;Perireunensis nucleus;288.0;158152.31078399997;0.0018210293518464134;0.0;1;10
PVT;Paraventricular nucleus of the thalamus;2324.0;1731667.8823044223;0.0013420587306310317;0.0005940678615542926;7;20
PT ;Parataenial nucleus;1179.0;1120729.2089697812;0.0010519936400013913;0.0002975114376505184;4;8
RE;Nucleus of reuniens;1537.0;1162902.0475864583;0.0013216934334151034;0.0004117739661382556;4;15
XiT;Xiphoid thalamic nucleus;272.0;141475.1080991668;0.0019225996972509253;0.0005478493448341433;2;12
Rh;Rhomboid nucleus;214.0;87683.08838399999;0.0024406074642673026;0.0;1;10
CMT;Central medial nucleus of the thalamus;887.0;556053.7226483552;0.0015951696101869875;0.0006618375908310988;4;14
PCn;Paracentral nucleus;106.0;332836.571517152;0.0003184746180890687;0.0010218671708341009;3;9
CLT;Central lateral nucleus of the thalamus;1085.0;694254.1899915128;0.0015628281624245784;6.782669370916869e-05;3;11
RT;Reticular nucleus of the thalamus;1381.0;2272739.8575727;0.0006076366353142222;0.00012021860061043199;3;17
IGLLGC;Intergeniculate leaflet of the lateral geniculate complex;281.0;177340.984134196;0.001584518104328123;0.0008388695095468163;3;7
vlLGC;Ventral part of the lateral geniculate complex;930.0;781490.452918743;0.001190033731732227;8.885533690689591e-05;3;14
subGn;Subgeniculate nucleus;25.0;17927.5092960195;0.0013945049246495624;0.0;1;5
MHb;Medial habenula;511.0;624184.000853952;0.0008186688529358267;0.0003283256756310333;3;15
LHb;Lateral habenula;906.0;732002.6971691753;0.0012377003575310757;0.0007049315138434395;3;14
SON;Supraoptic nucleus;10.0;241627.43471158738;4.138602891652702e-05;4.445228141805192e-05;4;7
PVH;paraventricular hypotalamic nucleus;1448.0;891846.6356084128;0.0016235975359285653;8.659011704409209e-05;0;0
IPVH;Periventricular hypothalamic nucleus, intermediate part;256.0;453552.70229605195;0.0005644327521455237;8.878305903498542e-05;3;13
ArH;Arcuate hypothalamic nucleus;486.0;507865.0587345996;0.0009569471095548909;0.00029821233334083693;2;11
ADPO;Anterodorsal preoptic nucleus;1387.0;637199.9045148026;0.002176710935096788;7.705522540954793e-05;2;4
AVPO;Anteroventral preoptic nucleus;437.0;388450.00862028974;0.0011249838854480961;8.84639090319478e-05;2;5
AVPV;Anteroventral periventricular nucleus;445.0;642532.4228840168;0.0006925720541892821;3.5830384544600224e-05;3;6
DMH;Dorsomedial nucleus of the hypothalamus;1487.0;987208.7709079236;0.0015062670063520857;4.1579550213493395e-05;2;8
MePO;Median preoptic nucleus;439.0;225940.83935831962;0.001942986497026285;0.000925094421395259;3;6
MPA;Medial preoptic area;2988.0;2940182.3311796854;0.0010162635045837885;0.00022488749224394838;6;12
PSN;Parastrial nucleus;704.0;467948.3391331104;0.0015044395740439703;0.0002808381748201055;2;5
SPZ;Subparaventricular zone;866.0;412355.6592873096;0.002100128809913126;0.0006593735906676236;3;7
SCN;Suprachiasmatic nucleus;267.0;267122.71072997403;0.0009995406203776582;0.00031685715276408077;2;6
VlPO;Ventrolateral preoptic nucleus;49.0;370414.07638086076;0.00013228438961811502;8.63609005304067e-05;3;5
AHN;Anterior hypothalamic nucleus;2383.0;2513080.778516361;0.0009482385207716417;0.0003834222413580531;5;11
LMN;Lateral mammillary nucleus;316.0;407338.9268594445;0.0007757667611989322;0.00024880912040717084;2;5
lMMN;Medial mammillary nucleus, lateral part;806.0;965183.1556855086;0.0008350746645879342;0.0005167190315249879;4;7
SMN;Supramammillary nucleus;1289.0;875873.5941304378;0.0014716735481444805;0.0004728672664277032;3;8
MPO;Medial preoptic nucleus;2323.0;2709890.4114753744;0.000857230237120646;0.000270199861869634;6;9
VPrM;Ventral premammillary nucleus;304.0;449841.3844004433;0.0006757937587382643;0.0003439366640576572;2;6
VMHn;Ventromedial hypothalamic nucleus;1098.0;827784.6376388024;0.001326431960771787;0.0007644260369459347;2;10
PHn;Posterior hypothalamic nucleus;3479.0;1949620.1083795056;0.00178445020393829;0.00015491152546073778;4;11
LHA;Lateral hypothalamic area;3992.0;3807009.2405997496;0.001048592148773221;0.00013374768526426233;6;21
LPO;Lateral preoptic area;3804.0;3681409.054673004;0.0010333000064666504;0.0003265695944838788;7;13
PSTN;Parasubthalamic nucleus;237.0;250060.0703211847;0.0009477722680617903;0.00012388230091492952;3;7
STN;Subthalamic nucleus;395.0;459403.8479656372;0.0008598099509813977;2.0244207955957187e-05;2;8
TN ;Tuberal nucleus;1012.0;1077611.4889836796;0.0009391139667176718;0.0005156356721634713;2;10
ZI ;Zona incerta;3912.0;3567398.9162815744;0.0010965972945009513;0.0003180133301174039;6;25
FF;Fields of Forel;928.0;692396.7088930155;0.0013402721129100402;2.1460552632720782e-05;2;6
SCO;Subcommissural organ;5.0;15512.083122783599;0.00032232937126646624;0.00023646867990835703;2;9
reSN;Substantia nigra, reticular part;3291.0;7187328.693652596;0.0004578891741665311;0.0002038552205140601;7;6
VTA;Ventral tegmental area;1194.0;1516146.5132437842;0.0007875228347459943;0.0005238764507518163;5;5
PAG;Periaqueductal gray;8011.0;7501060.055086148;0.0010679823839789262;0.00018906753604299036;7;7
PreCN;Precommissural nucleus;40.0;70431.7030848753;0.0005679260652237402;2.1207971430363588e-05;2;7
APTN;Anterior pretectal nucleus;3399.0;3511392.8936384297;0.0009679919345277336;0.00016834857430637852;4;9
cSN;Substantia nigra, compact part;321.0;537301.6505322051;0.0005974297672118535;0.0001866734299170246;6;6
