sigla;name;tot_objects;tot_area;avrg_density;densities_stdev;slices_count;ideal_count
FP;Frontal pole, cerebral cortex;256.0;350111.446556891;0.0007311957450051595;0.00015792202223184328;0;0
M1;Primary motor area;18396.0;34683916.28806621;0.0005303899319561432;0.00021419350800607728;0;0
M2;Secondary motor area;16555.0;30923340.977270387;0.00053535612507615;0.0004306120356830027;0;0
nS1;Primary somatosensory area, nose;10879.0;13804668.743796742;0.0007880667187243142;0.00033993686071942904;0;0
bfS1;Primary somatosensory area, barrel field;15109.0;19502765.205575563;0.0007747106546552974;0.00036153509337178417;0;0
llS1;Primary somatosensory area, lower limb;6641.0;10134475.186702052;0.0006552880023539833;0.00014161262733851753;0;0
mS1;Primary somatosensory area, mouth;8262.0;19211496.07266892;0.00043005500293930086;0.0002730265555351555;0;0
ulS1;Primary somatosensory area, upper limb;10390.0;14040238.00198243;0.0007400159454941554;0.00029966924725831204;0;0
tS1;Primary somatosensory area, trunk;2525.0;4123720.993472277;0.0006123110666305982;0.00019678596574966605;0;0
uS1;Primary somatosensory area, unassigned;4122.0;5027844.90117519;0.000819834358660614;0.00037655544905729036;0;0
SS;Supplemental somatosensory area;18999.0;33314415.223794624;0.0005702936663414724;0.00039962361845912294;0;0
GA;Gustatory areas;2376.0;6345939.530343197;0.00037441264428050776;0.00018157396543848643;0;0
VA;Visceral area;3844.0;8566824.374852717;0.000448707692815996;0.00018939703221346137;0;0
DAA;Dorsal auditory area;5000.0;6090980.595528981;0.0008208858855452924;0.00034052591778806386;0;0
PrAA;Primary auditory area;7323.0;11436932.594473133;0.0006402940595749266;0.0002912775129541705;0;0
PoAA;Posterior auditory area;2607.0;3080638.3690008647;0.000846253174742325;0.00034972692695852715;0;0
VAA;Ventral auditory area;5670.0;9265554.273484496;0.0006119439628372803;0.0002153128958741821;0;0
alVA;Anterolateral visual area;4148.0;3638098.0289503844;0.0011401561934263563;0.0004553208501018245;0;0
amVA;Anteromedial visual area;5118.0;4520218.539531213;0.0011322461414732354;0.0002307812812363744;0;0
lVA;Lateral visual area;6699.0;4808722.098673931;0.001393093604192128;0.00030185661205488977;0;0
PrVA;Primary visual area;34906.0;27514669.291623145;0.0012686323658859004;0.00042125443082023493;0;0
plVA;Posterolateral visual area;39.0;33700.657026439105;0.001157247467591015;0.00010011794825251013;0;0
pmVA;posteromedial visual area;6122.0;5610766.16723733;0.001091116581501452;0.00035052205342681736;0;0
LIA;Laterointermediate area;2705.0;1795888.9318770512;0.0015062178690375646;0.0003075638029977597;0;0
POR;Postrhinal area;2329.0;2232268.914446372;0.0010433330791499277;0.00023435955083460946;0;0
dACC;Anterior cingulate area, dorsal part;6604.0;10303044.701246114;0.0006409755748416068;0.000564003541360454;0;0
Vacc;Anterior cingulate area, ventral part;6103.0;8578218.948397093;0.0007114530459892719;0.00036486077329412963;0;0
PL;Prelimbic area;3700.0;6274527.3801667495;0.0005896858481637019;0.0003061824938086427;0;0
IL;Infralimbic area;1438.0;3209643.5841583638;0.00044802482340950447;0.00033512961137152663;0;0
lOA;Orbital area, lateral part;5222.0;7056653.220246562;0.0007400108574157115;0.0003712455662277309;0;0
