sigla;name;tot_objects;tot_area;avrg_density;densities_stdev;slices_count;ideal_count
FP;Frontal pole, cerebral cortex;93.0;305794.29760000005;0.0003041260112758884;0.00013178260765796468;0;0
M1;Primary motor area;10948.0;32239732.518400002;0.00033958098113102237;0.0001324739588766722;0;0
M2;Secondary motor area;9119.0;32711603.865599997;0.0002787695778374742;0.0001340427555781206;0;0
S1;primary somatosensory area;51353.0;74712840.4352;0.0006873383437287399;0.00023700749101950329;0;0
SS;Supplemental somatosensory area;18818.0;33930250.041600004;0.0005546083502752939;0.00029094874577325556;0;0
GA;Gustatory areas;1166.0;3864327.2448;0.0003017342802861787;0.00021121656893698915;0;0
VA;Visceral area;4076.0;11195194.1376;0.0003640847983431044;0.00022787540500798895;0;0
AuA;auditory area;11548.0;22200967.711999997;0.0005201575061864584;0.00021817378017332747;0;0
ViA;visual area;12342.0;21178501.0624;0.0005827607895212097;0.00012512641490308613;0;0
dACC;Anterior cingulate area, dorsal part;3209.0;7942043.507200001;0.00040405218091424757;0.00019192284711864365;0;0
Vacc;Anterior cingulate area, ventral part;2590.0;5013091.564800001;0.000516647255794405;0.000232530216861796;0;0
PL;Prelimbic area;2791.0;6249450.592;0.00044659925843286034;8.374377850285033e-05;0;0
IL;Infralimbic area;2003.0;3636611.8272;0.0005507874073934926;0.00021221019972527915;0;0
OA;orbital area;3174.0;5014679.084799999;0.000632941798732588;8.660078154122277e-05;0;0
AU;agranular insular area;5819.0;18082820.8;0.00032179713908352174;0.00013002894327164113;0;0
RS;retrosplenial area;17788.0;34991569.1136;0.0005083510242782003;0.00019911385759458972;0;0
AA;Anterior area;5178.0;8818415.7248;0.0005871803010418219;0.00015604401226332074;0;0
TeAA;Temporal association areas;2157.0;6223577.888;0.0003465852020843223;0.00012745282352618378;0;0
Prh;Perirhinal area;565.0;1724695.6671999998;0.0003275940275986565;0.0003521917421702042;0;0
Ech;Ectorhinal area;1992.0;4574446.624;0.0004354625080876231;0.0001506718373997029;0;0
aOn;Anterior olfactory nucleus;4568.0;5832923.2896;0.000783140763765;0.00012409693545031346;4;8
TT;taenia tecta;1783.0;4044289.2863999996;0.0004408685615037017;0.00010850509201410913;0;0
DPA;Dorsal peduncular area;958.0;2118949.6768;0.00045211078417244647;9.136782785066625e-05;5;9
PC;Piriform area;12237.0;29186397.996799998;0.0004192706479690185;0.0001558123791610744;18;54
CCA;central amygdalar area;1627.0;4566684.8127999995;0.00035627595656255234;4.831042815216134e-05;0;0
PAA;Piriform-amygdalar area;794.0;2173381.4784;0.000365329330304465;6.332853945960612e-05;6;24
CA1;Field CA1;5981.0;31930661.734400004;0.00018731212180161184;4.642814387029627e-05;15;21
CA2;Field CA2;199.0;1943094.2784000002;0.00010241397044504826;5.550589446211155e-05;15;21
CA3;Field CA3;5608.0;22739394.0928;0.0002466204674193877;0.00016328896508729346;16;24
DG;Dentate gyrus;2192.0;18223475.8464;0.00012028440778672988;0.000113252022554503;0;0
FC;Fasciola cinerea;66.0;358654.84160000004;0.00018402093696983567;0.00010918747706508805;8;11
IG;Induseum griseum;10.0;218309.5552;4.580651538975789e-05;0.00020753356142224217;7;21
