sigla;name;tot_objects;tot_area;avrg_density;densities_stdev;slices_count;ideal_count
FP;Frontal pole, cerebral cortex;76.0;84963.4359298882;0.0008945024311718652;9.936495981804341e-06;0;0
M1;Primary motor area;49529.0;55438459.114300594;0.0008934050619603852;0.00023129959086701457;0;0
M2;Secondary motor area;36791.0;39966535.556233354;0.0009205451382753619;0.000307769161103465;0;0
S1;primary somatosensory area;231178.0;150874782.6389761;0.0015322507575913408;0.00038704380604813877;0;0
SS;Supplemental somatosensory area;61130.0;55237795.262207665;0.001106669802982228;0.0004673623705673665;0;0
GA;Gustatory areas;10654.0;10415644.53233228;0.001022884370422571;0.00038384073341411615;0;0
VA;Visceral area;11662.0;14197106.830037653;0.0008214349683786291;0.00044427315901277237;0;0
AuA;auditory area;22623.0;23276035.114701692;0.0009719438851383576;0.0004886929231213441;0;0
ViA;visual area;43116.0;27101809.213369176;0.0015908901011203013;0.00031129543064087946;0;0
dACC;Anterior cingulate area, dorsal part;20321.0;15911248.228493143;0.0012771468151449032;0.0003347219078897055;0;0
Vacc;Anterior cingulate area, ventral part;17831.0;14238335.38188133;0.0012523233595614297;0.00043828110505019093;0;0
PL;Prelimbic area;6760.0;4883701.550254146;0.0013841959690694475;0.00024300955059293334;0;0
IL;Infralimbic area;3412.0;3516177.2278582836;0.0009703720202062345;0.0002676476690093266;0;0
OA;orbital area;10451.0;6242380.758755067;0.0016742009825886153;0.00035357105423830634;0;0
AU;agranular insular area;27792.0;36427578.62442539;0.0007629384397612673;0.00026249749857148205;0;0
RS;retrosplenial area;50940.0;41463712.9422286;0.0012285441024293873;0.0003967583496030095;0;0
AA;Anterior area;10818.0;7719449.2100144345;0.001401395320532172;0.0005211220718087794;0;0
TeAA;Temporal association areas;4455.0;6567623.705386542;0.0006783275351701652;0.00037757827722256017;0;0
Prh;Perirhinal area;629.0;1147863.9217918348;0.0005479743618199277;0.00027697216148933016;0;0
Ech;Ectorhinal area;3199.0;4411057.712639965;0.0007252228849405456;0.0003109719547579694;0;0
aOn;Anterior olfactory nucleus;13168.0;9673449.562383773;0.0013612517349762337;0.0002109951048502749;5;8
TT;taenia tecta;4813.0;6506982.350114978;0.0007396669824861219;0.00022068084179277655;0;0
DPA;Dorsal peduncular area;2537.0;2553135.4587053545;0.0009936801399822567;0.0002873260412542039;5;9
