sigla;name;tot_objects;tot_area;avrg_density;densities_stdev;slices_count;ideal_count
FP;Frontal pole, cerebral cortex;63.0;66473.1578987487;0.0009477509718428153;0.00028968372263802624;0;0
M1;Primary motor area;68431.0;81773089.99842148;0.0008368400900751209;0.0003603998208212667;0;0
M2;Secondary motor area;36040.0;49493330.7709601;0.0007281789170096881;0.0003075783696416634;0;0
S1;primary somatosensory area;186019.0;151271370.11413792;0.0012297039410672631;0.0005405498328900464;0;0
SS;Supplemental somatosensory area;56877.0;51770857.78227269;0.0010986296622551954;0.0005230941839433232;0;0
GA;Gustatory areas;13147.0;15315113.032576188;0.0008584331027812541;0.00046364549143050094;0;0
VA;Visceral area;8339.0;11435173.598724168;0.0007292412247183015;0.00043112695043216645;0;0
AuA;auditory area;27097.0;26784082.014549796;0.0010116829833958924;0.00035899069308016694;0;0
ViA;visual area;38759.0;22694586.445999864;0.0017078522268834575;0.0002498994002865821;0;0
dACC;Anterior cingulate area, dorsal part;20944.0;23455005.852434207;0.0008929437123899243;0.0003864353551853431;0;0
Vacc;Anterior cingulate area, ventral part;15398.0;19461558.98418826;0.0007912007466878816;0.00032862226526474;0;0
PL;Prelimbic area;8356.0;6961076.267156263;0.0012003890891736475;0.0002877814452010422;0;0
IL;Infralimbic area;4900.0;4431280.519793983;0.0011057751767490922;0.0004118993144836423;0;0
OA;orbital area;6048.0;4637359.4192269705;0.001304190478513347;0.00039557385498606575;0;0
AU;agranular insular area;24956.0;39251048.52291674;0.0006358046711906162;0.00026153483547653985;0;0
RS;retrosplenial area;28906.0;35617479.43517074;0.0008115678160947167;0.0003198674447498522;0;0
AA;Anterior area;7939.0;6637784.895601749;0.0011960315263093938;0.00028635340864081995;0;0
TeAA;Temporal association areas;5157.0;7497886.174117649;0.0006877938501923011;0.00021456070111164328;0;0
Prh;Perirhinal area;1392.0;2296868.779477839;0.0006060424576437718;0.0002520692439547056;0;0
Ech;Ectorhinal area;5082.0;6181441.365923554;0.0008221383491584266;0.00018567422468543571;0;0
aOn;Anterior olfactory nucleus;3615.0;3148868.5247561126;0.001148031418771284;0.00011520571547370046;3;8
TT;taenia tecta;2606.0;3197126.9119130806;0.0008151068355433644;0.00017618287066996352;0;0
DPA;Dorsal peduncular area;2921.0;2827137.833047705;0.0010332004212370183;0.00037675478601374485;8;9
PC;Piriform area;42984.0;56650556.74947191;0.0007587568854811068;0.00029252188579480086;37;54
CCA;central amygdalar area;7138.0;16063081.145961734;0.0004443730275118791;0.00015218206892239297;0;0
PAA;Piriform-amygdalar area;3035.0;5411569.50161059;0.0005608354469247275;0.000184498199136882;17;24
CA1;Field CA1;17796.0;33772283.42989808;0.0005269409762280236;0.00016189839151419883;14;21
CA2;Field CA2;746.0;2559886.335824731;0.0002914191890319449;8.627796084223188e-05;13;21
CA3;Field CA3;10923.0;28336471.243818477;0.0003854749557915692;7.689798215292482e-05;16;24
DG;Dentate gyrus;4191.0;16995218.16657761;0.00024659877613350794;0.00013957889854332643;0;0
FC;Fasciola cinerea;50.0;205548.88840590572;0.0002432511330407342;0.00011683281603732504;5;11
IG;Induseum griseum;138.0;1061125.1373756104;0.00013005063695060843;8.784436997043571e-05;27;21
lpEC;Entorhinal area, lateral part;4021.0;8511208.414058961;0.00047243585215914143;0.0002335595372283131;0;0
Sub;Subiculum;624.0;2470801.494817662;0.00025254962865644913;0.00019994571015369443;7;9
proSub;Prosubiculum;191.0;815880.7965071574;0.00023410282582662115;7.238798592341813e-05;6;7
Clst;Claustrum;3966.0;4245134.056113444;0.0009342461150993661;0.00038866198094096696;30;29
dEPn;Endopiriform nucleus, dorsal part;8130.0;11792863.224011026;0.000689400007917229;0.0002464981889102372;45;52
vEPn;Endopiriform nucleus, ventral part;2177.0;5012956.487409518;0.0004342746651537326;0.00011949957756361967;24;31
LAn;Lateral amygdalar nucleus;1774.0;3647361.56989761;0.0004863789799840985;0.00021437860544368443;11;17
BLA;basolateral amygdalar nucleus;5066.0;8600836.439936992;0.0005890124798184294;0.00024874642832983665;0;0
BMe;basomedial amygdalar nucleus;4546.0;7122882.878374937;0.0006382247297371195;0.00011361368243148626;0;0
PAn;Posterior amygdalar nucleus;2398.0;4672173.598700456;0.0005132514769286382;0.0001986764913644794;10;12
DLS;DLS;52794.0;165148005.45104596;0.00031967688532362856;0.00020610880729196243;37;39
DMS;DMS;55034.0;59197897.553272426;0.0009296613946546781;;38;39
NACC SHELL;NACC_SHELL;14350.0;22652851.954647213;0.0006334743205283743;0.00031151141000740514;17;16
NACC CORE;NACC_CORE;14163.0;11888248.946289234;0.0011913445002698065;;18;16
FStr;Fundus of striatum;1573.0;5377709.577327142;0.00029250370950337207;0.00012641336265045228;15;9
OT;Olfactory tubercle;952.0;2988614.2168774256;0.00031854228445539283;0.00023618533577527068;3;22
LSN;lateral septal nucleus;32817.0;33721213.04291737;0.000973185631199964;0.00032981226554415824;0;0
SFn;Septofimbrial nucleus;1884.0;3987025.8272396107;0.0004725326801568211;0.00017212800816031128;14;11
aAA;Anterior amygdalar area;1145.0;3906587.4948081532;0.00029309467700946225;7.289427187249065e-05;8;9
CA;central amygdalar nucleus;2555.0;6406396.446040405;0.0003988201513159814;0.00018902197753812742;0;0
IAn;Intercalated amygdalar nucleus;596.0;918727.8023506396;0.0006487231566031698;0.0003202551634987096;18;20
MAn;Medial amygdalar nucleus;4422.0;8864792.779234841;0.0004988272270005258;0.00020090342883228977;13;18
Gpe;Globus pallidus, external segment;1447.0;9907166.17811204;0.00014605589267260556;0.00015292525976686973;13;17
Gpi;Globus pallidus, internal segment;752.0;2393769.880063734;0.00031414882702926234;0.00015538711576091832;5;8
SubInn;Substantia innominata;8612.0;27295405.320704635;0.0003155109769873049;0.00017004134970027515;37;35
MGCn;Magnocellular nucleus;926.0;3664452.579247918;0.0002526980442437734;9.057438114264097e-05;17;11
MSn;Medial septal nucleus;3015.0;5105431.05408835;0.0005905475890396433;0.00023159959499397635;16;10
DBn;Diagonal band nucleus;2080.0;6555172.70872962;0.00031730666641780977;0.00017967687575748674;22;18
TnS;Triangular nucleus of septum;909.0;2964203.0405855956;0.00030665915510984086;0.0001967139857454779;9;7
BNST;Bed nuclei of the stria terminalis;11470.0;15562499.810387071;0.0007370281214297228;0.00031903530758638;18;12
VALCT;Ventral anterior-lateral complex of the thalamus;1397.0;3203995.8431188692;0.00043601804384368886;0.00018437796321912756;7;11
VMT;Ventral medial nucleus of the thalamus;1677.0;3630246.8924839073;0.0004619520516557908;0.0003379158703886679;10;15
VPLT;Ventral posterolateral nucleus of the thalamus;850.0;3449699.1778473533;0.00024639829625098164;0.00018467874518978872;10;15
parVPT;Ventral posterolateral nucleus of the thalamus, parvicellular part;29.0;547861.2931356388;5.2933106177333496e-05;4.507933174167102e-05;4;5
VPMT;Ventral posteromedial nucleus of the thalamus;382.0;5813331.872708557;6.571102568448719e-05;7.622648111770594e-05;8;14
PTTn;Posterior triangular thalamic nucleus;447.0;1517808.3484392927;0.00029450358502747324;0.00011849295890056045;6;7
MGC;medial geniculate complex;720.0;2642906.5861171763;0.00027242733579085264;0.0001678781817468166;0;0
dLGC;dorsal part of the lateral geniculate complex;809.0;3753099.9495335286;0.000215555143981857;7.971902677948111e-05;0;0
LPT;Lateral posterior nucleus of the thalamus;1340.0;5327593.819711635;0.0002515206761900872;0.00016077535477751495;12;18
PCT;Posterior complex of the thalamus;545.0;4267524.98520132;0.00012770868404752636;6.602618224725623e-05;7;13
PlnT;Posterior limiting nucleus of the thalamus;297.0;730222.5407127577;0.0004067253247347081;9.20682175423163e-05;7;9
SGn;Suprageniculate nucleus;108.0;640526.4799364281;0.00016861129614925355;9.211958024650563e-05;6;6
EnT;Ethmoid nucleus of the thalamus;345.0;1107920.7557960814;0.0003113941120744732;0.00018255900774779866;10;13
AVT;Anteroventral nucleus of thalamus;711.0;1583998.5759668727;0.00044886403989726165;0.00017073537973722068;6;8
AMn;anteromedial nucleus;961.0;1245135.811725917;0.0007718033574730547;0.0003499923452380697;0;0
ADn;Anterodorsal nucleus;126.0;682189.1055404011;0.0001846995194978791;0.00011578361459640369;4;6
IADT;Interanterodorsal nucleus of the thalamus;341.0;376537.353449752;0.0009056206426157549;0.00047590155714925976;4;6
LDT;Lateral dorsal nucleus of thalamus;650.0;3578703.633692122;0.00018163001648990973;0.00014134157204162402;6;11
IMDT;Intermediodorsal nucleus of the thalamus;773.0;861143.3110741766;0.0008976438533044773;0.000667796268487282;8;13
MDT;Mediodorsal nucleus of thalamus;3761.0;4677705.621076074;0.0008040266542328518;0.0005724600702365874;10;16
SMT;Submedial nucleus of the thalamus;578.0;1096963.0130013188;0.0005269092878697681;0.0002023945477253407;5;8
pRE ;Perireunensis nucleus;311.0;664322.8310332351;0.0004681458855121617;0.00022165494923275818;7;10
PVT;Paraventricular nucleus of the thalamus;3666.0;2717864.115341358;0.0013488533070166234;0.00037114024614489635;15;20
PT ;Parataenial nucleus;1214.0;1411546.0109400388;0.0008600498960650385;0.00021431467615189428;7;8
RE;Nucleus of reuniens;889.0;1632404.1848686584;0.0005445955163803553;0.00012036370391723487;9;15
XiT;Xiphoid thalamic nucleus;187.0;361849.36696156434;0.0005167896287071939;0.00016479474247753763;7;12
Rh;Rhomboid nucleus;332.0;334473.46586694114;0.0009926048965931272;0.000416293103974361;7;10
CMT;Central medial nucleus of the thalamus;1083.0;874882.0809933151;0.0012378811082407746;0.0006135604818583025;9;14
PCn;Paracentral nucleus;368.0;764045.3506535856;0.00048164680235957534;0.0003830994972196768;6;9
CLT;Central lateral nucleus of the thalamus;762.0;1218016.214448681;0.00062560743523838;0.00015974076010608093;8;11
RT;Reticular nucleus of the thalamus;2366.0;5551515.632466833;0.0004261899194092084;0.0001909921754016117;12;17
IGLLGC;Intergeniculate leaflet of the lateral geniculate complex;376.0;351053.59850882005;0.0010710615176632442;0.0001533075986525221;7;7
vlLGC;Ventral part of the lateral geniculate complex;1996.0;2269519.23618107;0.0008794814197559647;0.0002598084168814657;10;14
subGn;Subgeniculate nucleus;48.0;127713.7406216332;0.0003758405302856611;9.387108279814933e-05;3;5
MHb;Medial habenula;811.0;1339263.4249109705;0.0006055567447859725;0.00029142564973398937;10;15
LHb;Lateral habenula;987.0;1415698.4823025202;0.0006971823536850329;0.00047017442948633106;9;14
SON;Supraoptic nucleus;146.0;372300.7738796869;0.0003921560475917289;0.00010439679826907082;7;7
PVH;paraventricular hypotalamic nucleus;1293.0;1411126.714871455;0.0009162890804726805;0.00024050816014224927;0;0
IPVH;Periventricular hypothalamic nucleus, intermediate part;708.0;936220.3985834627;0.000756232187496909;0.000362107271581838;8;13
ArH;Arcuate hypothalamic nucleus;374.0;815673.9452449346;0.00045851654595598665;0.00026922294707140015;5;11
ADPO;Anterodorsal preoptic nucleus;3788.0;2541841.7826394998;0.0014902579798127579;0.00037642943613948776;9;4
AVPO;Anteroventral preoptic nucleus;967.0;1475994.6693922046;0.0006551514175848602;0.0002852395846582147;9;5
