sigla;name;tot_objects;tot_area;avrg_density;densities_stdev;slices_count;ideal_count
FP;Frontal pole, cerebral cortex;286.0;610979.4563284089;0.00046810084535194507;2.9747225158199558e-05;0;0
M1;Primary motor area;27970.0;57777853.6640256;0.00048409551802743836;0.00015323096737018796;0;0
M2;Secondary motor area;25986.0;52277328.26102327;0.0004970797258469412;0.0002359624008683605;0;0
S1;primary somatosensory area;95939.0;105724761.34503694;0.0009074411592843353;0.0002986857138928125;0;0
SS;Supplemental somatosensory area;22883.0;30797277.519994963;0.0007430202226525815;0.00025466814424863116;0;0
GA;Gustatory areas;5313.0;9531841.414865134;0.0005573949217948852;0.0002618255420889435;0;0
VA;Visceral area;3839.0;9299794.209052011;0.00041280483349441066;0.0002805596128758085;0;0
AuA;auditory area;11928.0;21433597.755711105;0.0005565094640642734;0.00019992754674941253;0;0
ViA;visual area;28746.0;34257556.148425356;0.0008391141468309702;0.00018420620967270142;0;0
dACC;Anterior cingulate area, dorsal part;11020.0;16135948.045195017;0.0006829471667319572;0.00023922500364737236;0;0
Vacc;Anterior cingulate area, ventral part;10892.0;13947338.828248803;0.0007809375060093507;0.0003260549811484631;0;0
PL;Prelimbic area;5741.0;7213188.474127541;0.000795903229285076;0.00021228932072512384;0;0
IL;Infralimbic area;2076.0;2547491.100429743;0.0008149194317694747;0.00018876671041259031;0;0
OA;orbital area;5720.0;7640900.037983634;0.0007486029095480037;9.260469129668767e-05;0;0
AU;agranular insular area;11373.0;33085703.82939577;0.00034374363195185806;0.0001493370819327747;0;0
RS;retrosplenial area;28720.0;42083976.93940996;0.0006824450084969245;0.0002579811763496258;0;0
AA;Anterior area;5619.0;6406391.052764762;0.0008770928832973826;0.0003144448700826486;0;0
TeAA;Temporal association areas;2877.0;7234605.5173735935;0.00039767199373773847;0.00015116834965562235;0;0
Prh;Perirhinal area;326.0;1031081.7365709238;0.0003161728003098771;0.00017686252833739569;0;0
Ech;Ectorhinal area;1481.0;3247803.727705474;0.0004560004619017741;0.00011928538908280073;0;0
aOn;Anterior olfactory nucleus;9945.0;8904335.32604477;0.001116871685066861;0.00010482289062845668;5;8
TT;taenia tecta;2739.0;5176524.434677708;0.0005291194960177042;0.00017110507674572456;0;0
DPA;Dorsal peduncular area;1300.0;1848320.669741245;0.000703341157885765;0.00020198589895099775;7;9
PC;Piriform area;30583.0;53961937.47200323;0.0005667513331200758;0.0001844019394797376;34;54
CCA;central amygdalar area;3248.0;10339097.451713445;0.00031414734363121086;9.551138830445185e-05;0;0
PAA;Piriform-amygdalar area;1261.0;3956713.4740349464;0.00031869884141852385;0.0002571892381634699;14;24
CA1;Field CA1;10414.0;35144700.76958599;0.0002963177882286086;7.914466011044586e-05;17;21
CA2;Field CA2;399.0;2530895.804963036;0.00015765168965769708;7.121193747143996e-05;19;21
CA3;Field CA3;8661.0;31669077.764288176;0.00027348444007316904;8.074112303269669e-05;20;24
DG;Dentate gyrus;2736.0;20246725.45211128;0.00013513296293128212;0.00012502464558163942;0;0
FC;Fasciola cinerea;76.0;335796.98038822255;0.00022632722876821186;9.587697622421208e-05;8;11
