sigla;name;tot_objects;tot_area;avrg_density;densities_stdev;slices_count;ideal_count
FP;Frontal pole, cerebral cortex;516.0;592448.8423884307;0.000870961276453456;0.00013523989991590934;0;0
M1;Primary motor area;84839.0;73260421.46514904;0.0011580468458041704;0.00024263319504977014;0;0
M2;Secondary motor area;66867.0;68117745.01014023;0.0009816384848037169;0.000297573486454105;0;0
S1;primary somatosensory area;266308.0;148859302.96040156;0.0017889913139714302;0.000415798776906804;0;0
SS;Supplemental somatosensory area;82144.0;53296882.40741443;0.0015412533771125886;0.0004086730427735908;0;0
GA;Gustatory areas;8982.0;11187434.532249365;0.0008028650334541053;0.00031707056707133496;0;0
VA;Visceral area;11041.0;14732500.131936686;0.000749431522221109;0.0003506200950767511;0;0
AuA;auditory area;17028.0;20005029.619742207;0.0008511859429188603;0.00037067093355617174;0;0
ViA;visual area;12599.0;10612536.928303648;0.0011871807924077468;0.00028262007074799885;0;0
dACC;Anterior cingulate area, dorsal part;17387.0;20836685.502182312;0.0008344417348996791;0.00027048819493539805;0;0
Vacc;Anterior cingulate area, ventral part;13874.0;17165507.216594208;0.0008082487645100141;0.00026722729352933233;0;0
PL;Prelimbic area;8206.0;12347027.081922373;0.0006646134284434051;0.00038171569527091937;0;0
IL;Infralimbic area;3658.0;6576898.631447502;0.0005561892017780598;0.0002765301665339649;0;0
OA;orbital area;12316.0;11247002.900162563;0.0010950472858704417;0.00022933081945522766;0;0
AU;agranular insular area;27168.0;45126002.16703746;0.0006020475711417002;0.0002670514751734979;0;0
RS;retrosplenial area;27614.0;33190142.00373069;0.0008319940299410617;0.000278466139104716;0;0
AA;Anterior area;8693.0;8206324.246611008;0.001059304962704828;0.0005296660256930487;0;0
TeAA;Temporal association areas;3507.0;7269831.267814821;0.0004824045938351112;0.00021502111736704802;0;0
Prh;Perirhinal area;890.0;2227027.9175848817;0.00039963576252118456;0.00041855310657414117;0;0
Ech;Ectorhinal area;3485.0;5778489.573301979;0.0006030987779404403;0.0002799244759013787;0;0
aOn;Anterior olfactory nucleus;3290.0;4266725.242480087;0.000771083164025731;0.0001740670296150452;5;8
TT;taenia tecta;3408.0;5472041.715593945;0.000622802269633299;0.00016673229379243496;0;0
DPA;Dorsal peduncular area;2484.0;3679387.7345779235;0.0006751123228074111;0.00018783339840207307;9;9
PC;Piriform area;34075.0;62525710.43932;0.0005449758149180749;0.0002246959720966846;32;54
CCA;central amygdalar area;7118.0;19664612.012429137;0.0003619700198255132;0.0001530470713986736;0;0
PAA;Piriform-amygdalar area;2218.0;7842520.746063277;0.0002828172308136224;0.00019728675030018515;21;24
CA1;Field CA1;14962.0;30936951.965151533;0.0004836287691448634;0.0002059268518027888;12;21
CA2;Field CA2;763.0;2137273.700253178;0.00035699686002294245;0.0001778894041735974;13;21
CA3;Field CA3;12499.0;28700762.0131716;0.0004354936636965894;0.00019633188065402716;15;24
DG;Dentate gyrus;4384.0;17674917.50519433;0.0002480351039099121;0.00018225116120151243;0;0
FC;Fasciola cinerea;153.0;441843.0167433632;0.0003462768318207174;0.00021487332421951682;8;11
IG;Induseum griseum;191.0;844619.6756889693;0.0002261372846236365;0.00015025331936761144;18;21
lpEC;Entorhinal area, lateral part;3213.0;8265818.808346385;0.0003887092222195438;0.0001731012319097685;0;0
Sub;Subiculum;338.0;1164913.8225805517;0.0002901502183665847;0.00016402026001145339;3;9
proSub;Prosubiculum;131.0;306880.3127166532;0.0004268765201661994;8.061396842953326e-05;3;7
Clst;Claustrum;3076.0;3583804.320291322;0.0008583057904651324;0.0005898203230615941;25;29
dEPn;Endopiriform nucleus, dorsal part;7080.0;11840438.128983371;0.0005979508463178713;0.00023184703894516703;37;52
vEPn;Endopiriform nucleus, ventral part;2369.0;5662897.319010883;0.00041833709257751197;0.00018675593329063242;24;31
LAn;Lateral amygdalar nucleus;1573.0;4749970.837966766;0.00033115992785196245;0.00039673393601964533;16;17
BLA;basolateral amygdalar nucleus;5737.0;10961216.301473;0.0005233908210742128;0.00016593289000750038;0;0
BMe;basomedial amygdalar nucleus;4741.0;9609166.110850586;0.0004933830829135636;0.00016939817660478946;0;0
PAn;Posterior amygdalar nucleus;2209.0;5608180.372374437;0.00039388890037870444;0.00021428127686772146;10;12
DLS;DLS;60124.0;126305157.75277616;0.0004760217323641202;0.0002116258992283468;32;39
DMS;DMS;23931.0;42440590.36108102;0.0005638705728736815;;31;39
NACC SHELL;NACC_SHELL;10431.0;17847227.558613542;0.0005844605256330541;0.00032731268280546545;15;16
NACC CORE;NACC_CORE;9053.0;12945356.291544855;0.0006993241279819303;;15;16
FStr;Fundus of striatum;1206.0;2643823.8085648664;0.00045615747770069704;0.00012633670778580854;11;9
OT;Olfactory tubercle;8684.0;26827692.926258974;0.00032369537044685986;0.00017116053273943322;17;22
LSN;lateral septal nucleus;12870.0;19227336.03329523;0.0006693594982536073;0.0002451690873993875;0;0
SFn;Septofimbrial nucleus;706.0;2281749.502743045;0.00030941170323528933;0.00021039152793800607;9;11
aAA;Anterior amygdalar area;1379.0;2921186.8886983832;0.00047206839293135815;0.00020312863557469426;11;9
CA;central amygdalar nucleus;4795.0;8476475.665723886;0.0005656832142383682;0.00017848983723347847;0;0
IAn;Intercalated amygdalar nucleus;698.0;1199950.4570661345;0.0005816906822191661;0.00050059715632647;20;20
MAn;Medial amygdalar nucleus;3946.0;12564176.3263364;0.0003140675439048552;0.0001444960239108013;16;18
Gpe;Globus pallidus, external segment;4397.0;11037603.718622461;0.00039836545251044434;0.00021480498647246212;16;17
Gpi;Globus pallidus, internal segment;1012.0;2442732.190375992;0.0004142901968488941;0.00015829512956390567;9;8
SubInn;Substantia innominata;8389.0;21602939.77457494;0.00038832677809310154;0.00024580331730002285;30;35
MGCn;Magnocellular nucleus;793.0;2611958.2816248857;0.0003036036239854026;0.0002096296488237791;10;11
MSn;Medial septal nucleus;1033.0;2713694.8235417805;0.00038066181614769025;0.00013056279017344878;9;10
DBn;Diagonal band nucleus;1269.0;4857392.192928482;0.00026125129485064916;0.0001688240645546679;13;18
TnS;Triangular nucleus of septum;395.0;1496962.4853408444;0.0002638676679396292;0.00018679930146613967;7;7
BNST;Bed nuclei of the stria terminalis;4592.0;8308177.3719047755;0.0005527084695529573;0.0002465236540912021;12;12
VALCT;Ventral anterior-lateral complex of the thalamus;2277.0;3422979.3304083357;0.0006652099765172614;0.0003076680800910931;10;11
VMT;Ventral medial nucleus of the thalamus;2899.0;4560182.835900461;0.0006357201244602199;0.00017915570848101942;12;15
VPLT;Ventral posterolateral nucleus of the thalamus;2379.0;4411141.066836137;0.0005393162367637275;0.00024486148666537567;13;15
parVPT;Ventral posterolateral nucleus of the thalamus, parvicellular part;193.0;544860.5192275831;0.0003542190949595776;0.00024720939162929954;6;5
VPMT;Ventral posteromedial nucleus of the thalamus;7562.0;8882780.708340978;0.0008513099949545351;0.00023350679477419236;11;14
PTTn;Posterior triangular thalamic nucleus;802.0;1028408.5377751981;0.0007798457233105068;0.0003820985993268154;4;7
MGC;medial geniculate complex;742.0;1443253.644640496;0.000514116144972443;0.00026762716463344744;0;0
