,HC,SS,MS,SC,MC
FP,0.000336922,0.000677321,0.001262262,0.0009095,0.001174422
M1,0.000360574,0.000683556,0.000983458,0.000774398,0.001102929
M2,0.00035854,0.000643437,0.000977123,0.000764284,0.001063337
S1,0.000608044,0.000951718,0.001435024,0.001105896,0.001423512
SS,0.000569087,0.000849076,0.001193554,0.000917093,0.00122589
GA,0.000353868,0.000568606,0.00082805,0.000602964,0.001012221
VA,0.000397448,0.000569543,0.000850755,0.000634285,0.000967784
AuA,0.000479099,0.000640745,0.001290733,0.000640938,0.001045591
ViA,0.000613992,0.000930641,0.001820242,0.000994958,0.001443113
dACC,0.00038438,0.000673758,0.001232338,0.000812594,0.001194173
Vacc,0.000430939,0.000725325,0.001233757,0.000801838,0.001165054
PL,0.000469671,0.000729534,0.001341516,0.00095025,0.001343606
IL,0.000560925,0.000748996,0.001229914,0.000861078,0.001209654
OA,0.000512981,0.00086591,0.001494582,0.000943803,0.001375352
AU,0.000341527,0.000505804,0.000813434,0.00051137,0.000876829
RS,0.000468523,0.000541207,0.001033983,0.000600844,0.000970514
AA,0.000509737,0.000783412,0.001445645,0.00085257,0.001440886
TeAA,0.000364336,0.000502963,0.001027262,0.000494165,0.000889793
Prh,0.000310272,0.000451505,0.00077553,0.000452823,0.000757347
Ech,0.000413426,0.000582373,0.000993407,0.00061089,0.000984209
aOn,0.000757592,0.000961598,0.001597633,0.001089429,0.00139688
TT,0.00046595,0.000661827,0.000896207,0.000629355,0.000886008
DPA,0.000563342,0.000765736,0.001198569,0.00078715,0.001180884
PC,0.000438873,0.000571655,0.000888544,0.000612864,0.00093254
CCA,0.000328016,0.000385198,0.000548814,0.000339542,0.000621664
PAA,0.0002759,0.000367633,0.000522096,0.000333497,0.00055509
CA1,0.000265378,0.000292941,0.000539685,0.000306424,0.000558346
CA2,0.000171544,0.0002044,0.000323215,0.000190848,0.000386604
CA3,0.000227928,0.000273238,0.000434053,0.00026013,0.000474083
DG,0.000157207,0.000177202,0.000243296,0.000159,0.000309723
FC,0.000232154,0.000226336,0.000195718,0.000223204,0.000449656
IG,0.000063112,0.00011369,0.000147346,7.90E-05,0.000197626
lpEC,0.000309671,0.000400497,0.000688985,0.000400833,0.00065739
Sub,0.000216513,0.000250008,0.000517686,0.000277303,0.000499187
proSub,0.000263335,0.000311175,0.000624583,0.000317754,0.000686708
Clst,0.000510241,0.000765508,0.001200464,0.00086432,0.001329179
dEPn,0.000410049,0.000563249,0.00086533,0.000605986,0.000947359
vEPn,0.000325299,0.00039744,0.000494919,0.000390365,0.000634435
LAn,0.00033104,0.000333852,0.000480577,0.000297611,0.000529196
BLA,0.000383912,0.00046456,0.000622456,0.000443772,0.000765179
BMe,0.000353658,0.000455482,0.000684632,0.000505089,0.000781534
PAn,0.000364218,0.000357973,0.000613107,0.000374755,0.000631903
DLS,0.000159635,0.000316241,0.00047653,0.000258462,0.000656693
DMS,0.000211518,0.00044082,0.001085143,0.000469729,0.001159534
NACC SHELL,0.000336222,0.000576134,0.000950342,0.000576774,0.001051467
NACC CORE,0.000372993,0.000687851,0.001431626,0.000687945,0.00165629
FStr,0.000273386,0.000358204,0.000443283,0.000309736,0.000573139
OT,0.000202146,0.000334069,0.000575088,0.000348282,0.000568282
LSN,0.00050176,0.000668823,0.000982766,0.000686132,0.000970577
SFn,0.000285436,0.000335314,0.000422114,0.000324465,0.000453832
aAA,0.000330786,0.000420685,0.000569801,0.00038347,0.000722138
CA,0.000354977,0.000384573,0.000537129,0.000385089,0.000680171
IAn,0.000491118,0.000556808,0.00080789,0.000626877,0.000926617
MAn,0.000355094,0.00037066,0.000439723,0.000393519,0.000634664
Gpe,0.000134704,0.000221075,0.000243083,0.000167023,0.000308336
Gpi,0.0001891,0.000242505,0.000320732,0.000248217,0.000353736
SubInn,0.000258179,0.000370039,0.000504147,0.000324061,0.00059826
